frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0715,11.4616,0.0109,0.0026,0.0082,4.6652,11.4126,0.0218,6.0725,0.1019,0.5037,0.0468,0.037,0.0748,3.4913,0.0173,0,15.1404,0,1,0,0,24,0
1,0.0403,1.1824,0.5784,0.0023,0.576,0.1955,0.5972,0.0267,0.1269,0.0938,0.1497,0.0028,0.0078,0.0205,7.5157,0.0103,0,8.773,1,2,0,0,24,0
2,0.0491,1.585,0.828,0.0024,0.8255,0.208,0.7439,0.0073,0.0974,0.0803,0.3451,0.0044,0.013,0.0319,0.8634,0.1914,0.4823,3.3551,2,3,1,0,0,0
3,0.0465,1.4268,0.7265,0.0032,0.7232,0.1655,0.6919,0.0069,0.122,0.0755,0.3179,0.0028,0.0086,0.0128,20.1076,0.0352,0,21.6373,3,4,1,0,24,0
4,0.075,1.9348,1.0738,0.0027,1.0711,0.2673,0.8301,0.0127,0.1821,0.102,0.2601,0.004,0.0306,0.0427,8.9612,0.4313,0.581,12.2217,0,5,2,0,0,0
5,0.0388,1.3886,0.6752,0.0028,0.6723,0.1994,0.7013,0.0109,0.1625,0.1017,0.2193,0.0052,0.0124,0.0195,0.4194,0.2448,0.4248,2.7233,1,6,3,0,0,0
6,0.0387,1.5037,0.6493,0.0022,0.6471,0.2057,0.8466,0.0267,0.2168,0.1641,0.2253,0.0059,0.0082,0.0222,0.3953,0.2033,0.3982,2.6856,2,7,4,0,0,0
7,0.0566,1.3173,0.6922,0.0023,0.6899,0.1814,0.6153,0.0084,0.1852,0.103,0.1336,0.0026,0.0098,0.02,0.3128,0.1446,0.1477,2.0996,3,8,5,0,0,0
8,0.0469,1.2862,0.6544,0.0025,0.6518,0.1999,0.6236,0.0101,0.1491,0.1387,0.1214,0.0026,0.0087,0.0133,0.359,0.2174,0.1787,2.2036,0,9,6,0,0,0
9,0.0385,1.365,0.6187,0.0021,0.6166,0.2005,0.7404,0.0245,0.1889,0.11,0.2102,0.0036,0.0073,0.0177,0.3921,0.1602,0.221,2.3105,1,10,7,0,0,0
