frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0705,10.974,0.0201,0.0035,0.0165,4.3716,10.8961,0.0181,4.6715,0.1207,1.6452,0.0679,0.0545,0.2054,10.0039,0.0202,0,21.291,0,1,0,0,24,0
1,0.0491,1.7084,0.6822,0.0028,0.6793,0.3088,0.989,0.0401,0.2351,0.1142,0.2711,0.0179,0.0359,0.0489,14.0219,0.3259,0.7275,17.2392,1,2,1,0,0,0
2,0.0489,1.515,0.7795,0.003,0.7764,0.2606,0.7215,0.0177,0.2219,0.1025,0.114,0.003,0.014,0.0186,0.6012,0.0076,0,2.1951,2,3,1,0,24,0
3,0.0403,1.5144,0.6892,0.0021,0.687,0.2576,0.8152,0.0105,0.1228,0.0599,0.3585,0.0039,0.0106,0.0164,17.5175,0.0103,0,19.1018,3,4,1,0,24,0
4,0.0928,1.5295,0.7694,0.0025,0.7668,0.2721,0.7549,0.0126,0.1306,0.1518,0.184,0.0013,0.0063,0.0161,2.08,0.1906,1.2307,5.4965,0,5,2,0,0,0
5,0.0407,1.2035,0.6892,0.002,0.6872,0.1406,0.4941,0.0088,0.0996,0.0774,0.1644,0.0021,0.0203,0.0357,0.3045,0.1168,0.2305,2.0139,1,6,3,0,0,0
6,0.0403,1.5377,0.6909,0.0023,0.6885,0.2349,0.8331,0.028,0.2087,0.1333,0.2207,0.0059,0.0134,0.0238,0.4968,0.21,0.5655,3.0336,2,7,4,0,0,0
7,0.046,1.3358,0.6985,0.0024,0.696,0.2032,0.6195,0.0114,0.1531,0.0766,0.166,0.0076,0.0174,0.0211,0.2909,0.1888,0.2449,2.2524,3,8,5,0,0,0
8,0.0392,1.2291,0.69,0.002,0.6879,0.1378,0.5238,0.0084,0.1944,0.0582,0.1216,0.0024,0.0156,0.0313,0.8375,0.004,0,2.1436,0,9,5,0,24,0
9,0.0389,1.2369,0.6421,0.0021,0.6399,0.1915,0.5868,0.0248,0.1515,0.0556,0.1599,0.0018,0.0085,0.0168,0.5733,0.1232,0.1811,2.2696,1,10,6,0,0,0
10,0.0426,2.1134,1.1793,0.0024,1.1768,0.2342,0.9218,0.03,0.2768,0.1468,0.2256,0.006,0.0121,0.0264,0.4581,0.1847,0.2572,3.2254,2,11,7,0,0,0
11,0.0399,1.305,0.6378,0.0019,0.6358,0.2303,0.6574,0.0103,0.1537,0.0807,0.1756,0.0051,0.0103,0.0181,0.4951,0.1493,0.246,2.3537,3,12,8,0,0,0
12,0.0407,1.2729,0.633,0.0021,0.6307,0.2422,0.6228,0.0105,0.1295,0.0822,0.1512,0.0055,0.0175,0.017,0.4244,0.1565,0.3037,2.3355,0,13,9,0,0,0
13,0.0411,1.182,0.691,0.0023,0.6886,0.1377,0.4742,0.0078,0.1103,0.068,0.1459,0.0034,0.0164,0.0168,0.2304,0.15,0.2229,1.9542,1,14,10,0,0,0
14,0.0386,1.0934,0.638,0.0024,0.6355,0.1379,0.4374,0.0085,0.0839,0.0533,0.1499,0.0021,0.0188,0.0309,0.3083,0.1428,0.2278,1.9284,2,15,11,0,0,0
15,0.0397,1.5749,0.6539,0.002,0.6518,0.1894,0.9162,0.0233,0.5056,0.0818,0.1118,0.0025,0.0056,0.0186,0.2233,0.1355,0.2928,2.3678,3,16,12,0,0,0
16,0.0554,1.683,0.9102,0.0026,0.9073,0.2279,0.7595,0.0149,0.1773,0.1466,0.1878,0.0038,0.0132,0.0268,0.4039,0.2819,0.4866,3.0549,0,17,13,0,0,0
17,0.0398,1.0371,0.6128,0.0021,0.6107,0.1347,0.4048,0.0088,0.0801,0.0488,0.1288,0.002,0.0197,0.0322,0.2871,0.1886,0.2425,1.9461,1,18,14,0,0,0
18,0.0578,1.4015,0.8165,0.0023,0.8141,0.1841,0.561,0.0094,0.1356,0.0941,0.133,0.0034,0.0241,0.0451,0.3266,0.1451,0.2003,2.2718,2,19,15,0,0,0
19,0.0494,1.5001,0.6353,0.0024,0.6328,0.2116,0.8497,0.0323,0.2338,0.1029,0.2615,0.006,0.015,0.0265,0.3504,0.2261,0.2468,2.5354,3,20,16,0,0,0
20,0.0584,1.3919,0.7899,0.0028,0.7869,0.2086,0.5807,0.0103,0.1164,0.108,0.1333,0.0022,0.0209,0.1363,0.2714,0.1492,0.5061,2.6608,0,21,17,0,0,0
21,0.0454,2.013,0.7371,0.0025,0.7345,0.1328,1.2146,0.0084,0.1408,0.1301,0.783,0.0176,0.0583,0.0731,1.3679,0.7499,0.9147,5.5667,1,22,18,0,0,0
22,0.0446,1.2645,0.6638,0.0024,0.6612,0.1941,0.5748,0.0104,0.1372,0.091,0.1384,0.0023,0.0261,0.0416,0.3268,0.3114,1.5908,3.9796,2,23,19,0,0,0
23,0.0399,1.317,0.663,0.0024,0.6605,0.1822,0.6315,0.0083,0.1715,0.0903,0.1745,0.0043,0.0215,0.032,0.3692,0.286,0.7625,3.0071,3,24,20,0,0,0
24,0.0485,2.5014,0.6516,0.0027,0.6485,0.1793,1.803,0.0171,0.5028,0.295,0.7897,0.0156,0.0451,0.064,1.8661,0.8648,1.1605,6.9334,0,25,21,0,0,0
25,0.0394,1.0223,0.7172,0.0024,0.7146,0.137,0.2879,0.0082,0.0632,0.0243,0.0522,0.0017,0.0176,0.0311,0.3413,0.1592,0.2191,1.923,1,26,22,0,0,0
26,0.0456,1.1809,0.7296,0.0027,0.7269,0.1436,0.429,0.0089,0.105,0.073,0.0947,0.0025,0.0218,0.0351,0.2516,0.1302,0.2046,1.9421,2,27,23,0,0,0
27,0.0569,1.0421,0.5927,0.003,0.5897,0.1551,0.4431,0.0176,0.148,0.0352,0.085,0.0012,0.0064,0.0129,0.2519,0.1708,0.2708,1.9086,3,28,24,0,0,0
28,0.0374,1.0132,0.546,0.0022,0.5437,0.1352,0.4539,0.0077,0.1041,0.0657,0.1385,0.0015,0.0137,0.0153,0.3601,0.257,0.3496,2.1832,0,29,25,0,0,0
29,0.0399,1.111,0.6301,0.0022,0.6277,0.1425,0.4636,0.0082,0.0897,0.0532,0.1627,0.0055,0.0178,0.0344,0.3204,0.1976,0.2002,2.0111,1,30,26,0,0,0
30,0.0395,1.4782,0.6732,0.0024,0.6708,0.1897,0.7844,0.0102,0.2686,0.082,0.2269,0.0051,0.0204,0.0329,0.3094,0.1371,0.2506,2.351,2,31,27,0,0,0
31,0.0414,1.3097,0.6986,0.0022,0.6964,0.2462,0.5947,0.0098,0.1352,0.0743,0.124,0.0035,0.017,0.0203,0.2358,0.1304,0.1595,1.9728,3,32,28,0,0,0
