frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0717,9.4038,0.0116,0.0027,0.0087,3.8533,9.3744,0.0286,4.818,0.0993,0.5592,0.0155,0.0173,0.0526,3.3924,0.0091,0,12.9351,0,1,0,0,24,0
1,0.0443,1.3046,0.7939,0.0028,0.791,0.1778,0.4989,0.0201,0.0935,0.0715,0.1308,0.0037,0.0118,0.0144,6.3808,0.009,0,7.7565,1,2,0,0,24,0
2,0.0457,1.5098,0.7074,0.0026,0.7047,0.2711,0.7862,0.0143,0.2066,0.1342,0.1558,0.0021,0.0166,0.0261,0.8168,0.3514,0.4946,3.4547,2,3,1,0,0,0
3,0.1,1.8853,0.9701,0.0038,0.9656,0.2424,0.9006,0.016,0.1669,0.0922,0.3785,0.0027,0.0154,0.0237,20.3112,0.1645,0.2281,22.8132,3,4,2,0,0,0
4,0.066,2.0729,1.3225,0.0034,1.3191,0.3121,0.7399,0.0194,0.1521,0.0711,0.1773,0.0055,0.0112,0.0195,0.5372,0.003,0,2.7007,0,5,2,0,24,0
5,0.0447,1.4896,0.7095,0.0023,0.7068,0.1999,0.7602,0.0113,0.2284,0.1184,0.1945,0.0052,0.0209,0.0333,0.9195,0.2022,0.372,3.2001,1,6,3,0,0,0
6,0.047,1.3855,0.72,0.0024,0.7172,0.2071,0.6548,0.0263,0.1278,0.0767,0.2087,0.0065,0.0108,0.0317,0.3534,0.1344,0.2836,2.3135,2,7,4,0,0,0
7,0.0456,1.524,0.7743,0.0022,0.7721,0.2454,0.723,0.0156,0.1511,0.1424,0.1608,0.0055,0.0266,0.0346,0.32,0.2477,0.3382,2.7337,3,8,5,0,0,0
8,0.044,1.5809,0.7005,0.0023,0.698,0.2032,0.8642,0.0111,0.2166,0.1326,0.2885,0.0105,0.016,0.0219,0.4675,0.1804,0.2862,2.7062,0,9,6,0,0,0
9,0.0453,1.3184,0.7574,0.0022,0.755,0.1517,0.5518,0.0242,0.1587,0.0751,0.1383,0.0025,0.0095,0.0298,0.3578,0.1621,0.234,2.2713,1,10,7,0,0,0
10,0.0463,1.6035,0.7073,0.0023,0.7048,0.2194,0.8867,0.0258,0.2269,0.1369,0.2703,0.0057,0.0097,0.0261,0.3905,0.1848,0.3632,2.7545,2,11,8,0,0,0
11,0.0466,1.6839,0.7066,0.0024,0.7041,0.2096,0.9637,0.0122,0.3081,0.1424,0.2839,0.0056,0.014,0.023,0.3616,0.2094,0.7022,3.1803,3,12,9,0,0,0
12,0.046,1.349,0.6664,0.0024,0.6639,0.2296,0.6731,0.0104,0.1944,0.0805,0.1541,0.0023,0.0102,0.0127,0.2199,0.1284,0.2287,2.0634,0,13,10,0,0,0
13,0.0406,1.3278,0.6809,0.0021,0.6787,0.2019,0.63,0.0103,0.1387,0.0648,0.2101,0.0028,0.0173,0.0254,0.3482,0.1702,0.4077,2.4352,1,14,11,0,0,0
14,0.0482,1.5668,0.7501,0.0029,0.747,0.2294,0.7848,0.0124,0.2214,0.1162,0.1979,0.0048,0.0322,0.0485,0.5173,0.2501,0.3456,2.9295,2,15,12,0,0,0
15,0.049,1.3478,0.7424,0.0023,0.7395,0.2143,0.5902,0.027,0.1532,0.0765,0.113,0.0042,0.0158,0.0344,0.5716,0.4467,1.1072,4.0126,3,16,13,0,0,0
16,0.0422,1.2057,0.6831,0.0021,0.6807,0.2038,0.5047,0.0107,0.1164,0.0466,0.1238,0.0016,0.0183,0.0265,0.3075,0.1312,0.1725,1.9773,0,17,14,0,0,0
17,0.0533,1.6853,0.9998,0.0033,0.9963,0.2455,0.6621,0.0125,0.1154,0.0999,0.177,0.0096,0.0245,0.042,0.2968,0.2562,0.299,2.7927,1,18,15,0,0,0
18,0.0485,1.7946,0.8663,0.0037,0.8624,0.2231,0.9081,0.0125,0.1582,0.1573,0.3503,0.0047,0.0205,0.028,0.4612,0.2194,0.4111,3.1117,2,19,16,0,0,0
19,0.0412,1.1817,0.6301,0.0026,0.6275,0.2092,0.5443,0.0251,0.1045,0.0673,0.1335,0.0032,0.0074,0.031,0.2843,0.2119,0.2786,2.1498,3,20,17,0,0,0
20,0.0675,1.3926,0.7527,0.0053,0.7473,0.2239,0.6297,0.0086,0.1506,0.1016,0.133,0.0104,0.0101,0.0218,0.3632,0.1574,0.4164,2.5216,0,21,18,0,0,0
21,0.0591,1.3997,0.7783,0.0021,0.776,0.167,0.5919,0.0112,0.163,0.0709,0.1732,0.0047,0.0303,0.0436,0.4079,0.226,0.216,2.4817,1,22,19,0,0,0
22,0.0519,1.6881,0.8943,0.0027,0.8912,0.2323,0.7706,0.0141,0.2042,0.1478,0.1657,0.0048,0.0225,0.038,0.5851,0.2616,0.3569,3.1362,2,23,20,0,0,0
23,0.0505,1.9288,1.0111,0.0031,1.0078,0.3259,0.901,0.018,0.2831,0.0918,0.1776,0.0031,0.017,0.0308,0.5889,0.4144,0.5855,3.9028,3,24,21,0,0,0
24,0.0684,1.6988,1.1323,0.003,1.129,0.1801,0.5459,0.0061,0.1415,0.0935,0.1203,0.003,0.0202,0.0333,0.3031,0.2572,0.445,2.9941,0,25,22,0,0,0
25,0.0413,0.9745,0.6397,0.0023,0.6373,0.1465,0.3271,0.0078,0.0666,0.0239,0.08,0.0015,0.0077,0.0266,0.3166,0.1315,0.1674,1.739,1,26,23,0,0,0
26,0.063,1.2886,0.6896,0.0022,0.6871,0.2246,0.5807,0.0122,0.1458,0.0615,0.1306,0.0044,0.0185,0.0404,0.3013,0.1595,0.2274,2.2107,2,27,24,0,0,0
27,0.0404,1.2783,0.6721,0.0023,0.6697,0.1974,0.5898,0.0103,0.1325,0.0639,0.1802,0.0036,0.0169,0.0278,0.3045,0.2079,0.2991,2.2728,3,28,25,0,0,0
