frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0659,16.6505,0.011,0.0025,0.0084,4.0876,16.6232,0.022,11.984,0.0814,0.4306,0.0172,0.0151,0.1965,11.6838,0.0225,0,28.6473,0,1,0,0,24,0
1,0.0455,1.4459,0.6832,0.0025,0.6805,0.2629,0.7507,0.032,0.1561,0.1246,0.1681,0.005,0.0119,0.0392,8.2397,0.2398,0.5002,10.7319,1,2,1,0,0,0
2,0.0414,1.3956,0.6521,0.0024,0.6496,0.1894,0.7326,0.0094,0.1462,0.2213,0.1597,0.0052,0.011,0.0172,0.5403,0.0084,0,2.006,2,3,1,0,24,0
3,0.037,1.7416,0.6443,0.0022,0.642,0.1788,1.089,0.0086,0.0958,0.0542,0.748,0.0028,0.0085,0.0138,0.6987,0.1155,0.2257,2.9089,3,4,2,0,0,0
4,0.0632,2.3729,1.6054,0.0034,1.6019,0.3763,0.7547,0.0216,0.1579,0.0624,0.132,0.0019,0.014,0.0248,0.7739,0.0058,0,3.2434,0,5,2,0,24,0
5,0.044,1.1147,0.6518,0.0023,0.6494,0.1483,0.4392,0.0091,0.0881,0.0416,0.1491,0.0021,0.023,0.0383,0.8082,0.2625,0.4773,2.9203,1,6,3,0,0,0
6,0.0378,1.3668,0.6737,0.0022,0.6714,0.1906,0.6856,0.0253,0.2373,0.1099,0.1193,0.0015,0.0081,0.0149,0.8569,0.0042,0,2.2827,2,7,3,0,24,0
7,0.0451,1.5873,0.7202,0.0022,0.718,0.1416,0.8559,0.0082,0.3809,0.1179,0.2025,0.0033,0.0111,0.019,0.7208,0.2422,1.1515,3.9855,3,8,4,0,0,0
8,0.0473,1.1198,0.6878,0.0026,0.6852,0.1524,0.4254,0.0076,0.0778,0.0619,0.1208,0.0038,0.0069,0.0136,0.2832,0.1843,0.3143,2.1035,0,9,5,0,0,0
9,0.0471,1.3248,0.6899,0.0023,0.6875,0.2043,0.6243,0.0267,0.153,0.0851,0.1509,0.0026,0.0105,0.0338,0.3628,0.2164,0.2532,2.3835,1,10,6,0,0,0
10,0.0456,1.3561,0.7148,0.0021,0.7125,0.2333,0.6289,0.0263,0.1714,0.0722,0.1224,0.0019,0.0122,0.0348,0.3795,0.1399,0.1807,2.2228,2,11,7,0,0,0
11,0.0488,0.9965,0.6051,0.0022,0.6028,0.1377,0.3827,0.0079,0.068,0.0431,0.1235,0.0019,0.008,0.0327,0.3744,0.5442,0.7889,3.1592,3,12,8,0,0,0
12,0.0415,1.1566,0.6521,0.0026,0.6494,0.1893,0.4837,0.0104,0.1041,0.0554,0.121,0.002,0.0208,0.0422,0.344,0.1259,0.2767,2.085,0,13,9,0,0,0
13,0.0462,1.8452,1.0425,0.0024,1.04,0.2094,0.7862,0.0119,0.1438,0.0903,0.3249,0.0039,0.017,0.0222,0.3559,0.1728,0.4362,2.9968,1,14,10,0,0,0
14,0.0448,1.0702,0.6788,0.002,0.6766,0.1794,0.3835,0.0091,0.0849,0.035,0.0727,0.0012,0.008,0.0138,0.3226,0.1811,0.4177,2.1438,2,15,11,0,0,0
15,0.0381,1.8813,0.6893,0.002,0.6872,0.1906,1.1756,0.0239,0.5625,0.2511,0.143,0.003,0.0167,0.0259,0.397,0.1502,0.1987,2.7773,3,16,12,0,0,0
16,0.0521,1.5137,0.7681,0.0023,0.7656,0.2378,0.7223,0.016,0.2158,0.099,0.1486,0.0029,0.0238,0.0225,0.5555,0.7741,1.0089,4.3292,0,17,13,0,0,0
17,0.0503,1.1533,0.6667,0.0022,0.6644,0.1436,0.4652,0.0089,0.0962,0.0542,0.1592,0.002,0.0215,0.0316,0.2274,0.1343,0.1492,1.8309,1,18,14,0,0,0
18,0.0381,1.2802,0.676,0.0023,0.6736,0.222,0.5865,0.0104,0.1291,0.0711,0.1501,0.002,0.0181,0.0148,0.2914,0.2284,0.7789,2.964,2,19,15,0,0,0
19,0.0397,1.143,0.6463,0.0021,0.6441,0.1452,0.4873,0.0198,0.1481,0.0685,0.1018,0.0025,0.0097,0.0342,0.2469,0.1342,0.1676,1.8513,3,20,16,0,0,0
20,0.0462,1.0959,0.6686,0.0026,0.6658,0.1438,0.4062,0.0092,0.0764,0.0422,0.1314,0.0018,0.021,0.0366,0.3574,0.6063,0.8658,3.4423,0,21,17,0,0,0
21,0.0643,2.1913,0.9848,0.0056,0.979,0.3777,1.146,0.029,0.3805,0.1364,0.2169,0.0037,0.0596,0.0272,0.5431,0.3702,0.3164,3.6973,1,22,18,0,0,0
