frame,surf_acquire,vp_total,vp_create_view,vp_blt,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0831,20.5951,0.0047,13.3033,0.0351,6.4834,0.1585,0.5649,0.0146,0.012,0.0405,3.338,0.0116,0,24.0727,0,1,0,0,24,0
1,0.0548,1.5533,0.0024,0.2565,0.0289,0.2288,0.1153,0.1958,0.005,0.0191,0.0382,25.9909,0.5581,0.5118,29.0648,1,2,1,0,0,0
2,0.0381,1.7856,0.0021,0.3215,0.0443,0.2272,0.1917,0.201,0.0026,0.0071,0.0169,0.5631,0.0053,0,2.4115,2,3,1,0,24,0
3,0.0384,1.5107,0.0024,0.2307,0.024,0.1608,0.1027,0.3166,0.0024,0.0048,0.0136,23.5718,0.1188,0.2118,25.5315,3,4,2,0,0,0
4,0.0726,2.1667,0.0028,0.373,0.0433,0.192,0.0846,0.1457,0.0032,0.0094,0.0319,0.6811,0.0054,0,2.9608,0,5,2,0,24,0
5,0.0493,2.0096,0.0029,0.3765,0.0257,0.2132,0.1705,0.2399,0.0063,0.022,0.0365,1.0695,0.2502,0.5117,4.1121,1,6,3,0,0,0
6,0.0445,1.1786,0.0021,0.1596,0.0075,0.1413,0.091,0.1399,0.0037,0.0209,0.0354,1.0427,0.0073,0,2.3126,2,7,3,0,24,0
7,0.0442,1.2258,0.0023,0.1479,0.0074,0.0998,0.0493,0.1923,0.0037,0.0136,0.035,0.6049,0.1986,0.3376,2.5518,3,8,4,0,0,0
8,0.0376,1.3593,0.0026,0.2512,0.0195,0.2062,0.1055,0.1382,0.0031,0.0164,0.028,0.3539,0.1251,0.1508,2.1689,0,9,5,0,0,0
9,0.0392,1.3547,0.0026,0.1909,0.0121,0.1797,0.1208,0.1583,0.0049,0.0152,0.0203,0.3864,0.2492,0.7371,2.9708,1,10,6,0,0,0
10,0.0426,1.1774,0.0024,0.1683,0.0084,0.094,0.1067,0.1444,0.0029,0.0228,0.0268,0.6079,0.7761,0.7479,3.7225,2,11,7,0,0,0
11,0.0393,1.5315,0.0023,0.1431,0.0073,0.4884,0.1054,0.1507,0.0041,0.0132,0.0207,0.3889,0.1585,0.2008,2.4251,3,12,8,0,0,0
12,0.0489,1.308,0.0024,0.1565,0.0078,0.1442,0.0822,0.2053,0.0044,0.022,0.0326,0.2795,0.1493,0.2792,2.1915,0,13,9,0,0,0
13,0.1236,2.7342,0.0177,0.3827,0.0206,0.3681,0.1904,0.3685,0.0168,0.0242,0.0332,0.7042,0.2975,0.4222,4.5334,1,14,10,0,0,0
14,0.0492,1.2673,0.0033,0.2095,0.0101,0.0989,0.0399,0.1154,0.0022,0.0219,0.0389,0.3313,0.1351,0.2665,2.1651,2,15,11,0,0,0
15,0.0505,1.4751,0.0034,0.1883,0.011,0.1653,0.1095,0.1973,0.0036,0.0168,0.0218,0.5121,0.3314,0.3502,2.9264,3,16,12,0,0,0
16,0.0492,1.0749,0.0036,0.1602,0.0107,0.0876,0.0435,0.1043,0.0024,0.0246,0.0363,0.4468,0.2594,0.2644,2.2739,0,17,13,0,0,0
17,0.1068,3.1907,0.0121,0.4271,0.0217,0.5942,0.183,0.3449,0.0114,0.0233,0.0323,0.5908,0.3054,0.2895,4.6811,1,18,14,0,0,0
18,0.0574,1.5037,0.004,0.2214,0.0119,0.1973,0.0975,0.1624,0.0055,0.0128,0.0191,0.3546,0.2904,0.3075,2.6991,2,19,15,0,0,0
19,0.0472,1.3797,0.0031,0.2176,0.0109,0.1428,0.136,0.1465,0.0031,0.0132,0.0178,0.2935,0.1621,0.1949,2.1969,3,20,16,0,0,0
20,0.0867,1.784,0.0035,0.203,0.0272,0.148,0.1184,0.156,0.0033,0.0201,0.0363,0.4033,0.3141,0.3154,3.099,0,21,17,0,0,0
