frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0706,10.5618,0.0001,0.0026,4.3396,10.5336,0.0192,5.5293,0.1077,0.5168,0.0202,0.0157,0.1011,3.1533,0.0161,0,13.9086,0,1,0,0,24,0
1,0.0494,1.2345,0.0003,0.0023,0.1971,0.6304,0.026,0.172,0.0452,0.1848,0.0047,0.0156,0.042,17.6592,0.2438,0.4974,19.9443,1,2,1,0,0,0
2,0.047,1.54,0.001,0.0025,0.2514,0.7801,0.0285,0.1578,0.1318,0.2067,0.0029,0.0078,0.0164,0.5397,0.0051,0,2.15,2,3,1,0,24,0
3,0.0513,1.7045,0.0009,0.0022,0.3094,0.7896,0.038,0.2049,0.0899,0.1429,0.0032,0.0136,0.0285,8.882,0.1394,0.2363,11.1289,3,4,2,0,0,0
4,0.0446,1.0333,0.0002,0.0027,0.1368,0.4189,0.0154,0.0827,0.0455,0.1365,0.0015,0.0035,0.0166,0.5764,0.0052,0,1.6776,0,5,2,0,24,0
5,0.045,1.7656,0.0007,0.0023,0.2301,0.9557,0.0136,0.1156,0.1152,0.4741,0.0061,0.0124,0.0184,0.7649,0.1414,0.2633,3.1318,1,6,3,0,0,0
6,0.075,1.7695,0.0003,0.004,0.2902,0.7608,0.0346,0.2459,0.0649,0.1222,0.0025,0.0064,0.0226,0.8306,0.0059,0,2.7059,2,7,3,0,24,0
7,0.0508,1.3271,0.0002,0.0019,0.1867,0.529,0.0194,0.1186,0.0511,0.1518,0.0011,0.003,0.0202,0.5872,0.1853,0.2474,2.51,3,8,4,0,0,0
8,0.0493,1.1842,0.0008,0.0025,0.2181,0.5113,0.0109,0.0847,0.0614,0.1331,0.0024,0.0109,0.016,0.2372,0.2061,0.2119,2.0418,0,9,5,0,0,0
9,0.0461,1.365,0.0008,0.0029,0.2355,0.6647,0.0106,0.1313,0.0709,0.2096,0.0058,0.0246,0.0419,2.0248,0.0071,0,3.4888,1,10,5,0,24,0
10,0.0383,1.084,0.0006,0.0022,0.1766,0.3988,0.0075,0.0727,0.04,0.0955,0.0057,0.0108,0.0171,0.6471,0.1152,0.1374,2.1102,2,11,6,0,0,0
11,0.0459,3.0184,0.0007,0.0024,0.6752,2.3145,0.0085,0.5753,0.2802,0.765,0.0095,0.0143,0.0182,0.6168,0.122,0.1462,4.0429,3,12,7,0,0,0
12,0.0382,2.8904,0.0008,0.0021,0.9024,2.2156,0.0194,0.3429,0.2664,0.68,0.004,0.0094,0.0138,1.2572,0.0052,0,4.2065,0,13,7,0,24,0
13,0.0392,23.0707,0.001,0.002,0.3167,0.7793,0.0117,0.1286,0.1261,0.1916,0.0035,0.0106,0.0448,0.7784,0.2259,0.2325,24.5379,1,14,8,0,0,0
14,0.0394,12.2336,0.0009,0.002,0.2215,0.5745,0.0099,0.1089,0.0491,0.179,0.0052,0.011,0.0179,0.2885,0.1844,0.2101,13.0707,2,15,9,0,0,0
15,0.0496,12.5927,0.001,0.0026,0.2558,0.5828,0.0279,0.1303,0.044,0.1214,0.0025,0.0062,0.0185,0.3046,0.1284,0.1671,13.335,3,16,10,0,0,0
16,0.0396,22.6111,0.0013,0.0023,0.3683,1.029,0.015,0.2124,0.0791,0.3457,0.0072,0.0149,0.0239,0.5492,0.2387,0.4034,23.9972,0,17,11,0,0,0
17,0.089,6.652,0.0009,0.0052,0.3156,0.854,0.0128,0.1958,0.0939,0.2235,0.0111,0.0153,0.0204,0.4277,0.1537,0.2541,7.6792,1,18,12,0,0,0
