frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0645,11.3324,0.0132,0.0025,0.0106,0.0088,0.0008,0.0006,4.3586,11.291,0.0249,6.4943,0.0464,0.3483,0.018,0.0266,0.2079,11.8582,0.0175,0,23.4954,0,663043168,256203872,0,0,116476604,1,0,0,24,0
1,0.0482,1.0116,0.0028,0.0026,0.0002,0,0,0,0.7724,1.0045,0.0191,0.0953,0.0282,0.0862,0.0031,0.004,0.0137,14.3566,0.2873,0.5323,16.5618,1,663043168,256209504,1,1,116476604,2,1,0,0,0
2,0.0861,1.7679,0.0069,0.0063,0.0005,0,0,0,1.2761,1.7446,0.0243,0.2091,0.1028,0.1277,0.0033,0.0156,0.0235,0.5787,0.0057,0,2.4654,2,663043168,256208800,2,1,116476604,3,1,0,24,0
3,0.0411,2.0849,0.0026,0.0022,0.0003,0,0,0,1.1264,2.0685,0.0076,0.1894,0.1881,0.5481,0.0085,0.013,0.0153,0.7488,0.1287,0.2328,3.342,3,663043168,256201056,0,1,116476604,4,2,0,0,0
4,0.0663,3.8448,0.0055,0.0029,0.0024,0,0,0,2.9472,3.8307,0.0126,0.2449,0.23,0.3934,0.0022,0.0081,0.014,2.1373,0.004,0,6.0694,0,663043168,256203872,1,1,116476604,5,2,0,24,0
5,0.0601,1.4747,0.0035,0.003,0.0003,0,0,0,1.1354,1.4649,0.0136,0.1274,0.0491,0.1295,0.0092,0.0059,0.0278,1.1847,0.0085,0,2.7579,1,663043168,256209504,2,1,116476604,6,2,0,24,0
6,0.0763,1.8364,0.0039,0.0033,0.0002,0,0,0,1.4005,1.8234,0.0343,0.1482,0.0493,0.1868,0.0035,0.0085,0.043,0.8026,0.1359,0.2642,3.2425,2,663043168,256208800,0,1,116476604,7,3,0,0,0
7,0.0415,1.2167,0.0026,0.0023,0.0002,0,0,0,0.9062,1.2043,0.0113,0.112,0.0485,0.1195,0.0058,0.0089,0.0173,0.8246,0.006,0,2.1083,3,663043168,256201056,1,1,116476604,8,3,0,24,0
8,0.0514,8.3428,0.0027,0.0023,0.0004,0,0,0,2.1084,8.284,0.0207,0.9804,1.3642,3.7863,0.021,0.0539,0.0762,2.9044,0.4893,0.4479,12.5122,0,663043168,256203872,2,1,116476604,9,4,0,0,0
9,0.0513,2.2169,0.0028,0.0024,0.0004,0,0,0,1.7914,2.2004,0.0257,0.1332,0.1072,0.1394,0.0028,0.0129,0.0208,0.8604,0.0069,0,3.1586,1,663043168,256209504,0,1,116476604,10,4,0,24,0
10,0.0487,1.153,0.0029,0.0023,0.0004,0,0,0,0.8816,1.1448,0.0261,0.1006,0.033,0.0995,0.0032,0.0049,0.0176,0.6168,0.136,0.1819,2.2226,2,663043168,256208800,1,1,116476604,11,5,0,0,0
11,0.0588,51.4551,0.0026,0.0021,0.0004,0,0,0,51.1493,51.4417,0.0138,0.1295,0.0422,0.1027,0.0033,0.0102,0.0184,0.2907,0.1457,0.2392,52.2783,3,663043168,256201056,2,1,116476604,12,6,0,0,0
12,0.0423,25.8757,0.0025,0.0021,0.0002,0,0,0,25.4451,25.8591,0.0174,0.1501,0.0668,0.1724,0.0063,0.0134,0.0216,0.3697,0.1608,0.2785,26.8261,0,663043168,256203872,0,1,116476604,13,7,0,0,0
13,0.0451,24.1047,0.003,0.0024,0.0005,0,0,0,23.8093,24.091,0.0108,0.1282,0.061,0.0793,0.0016,0.0104,0.0182,0.2835,0.1427,0.1937,24.8519,1,663043168,256209504,1,1,116476604,14,8,0,0,0
14,0.041,26.6514,0.0035,0.0028,0.0005,0,0,0,26.335,26.6362,0.0106,0.153,0.055,0.0799,0.002,0.0113,0.0185,0.3197,0.1749,0.2144,27.5091,2,663043168,256208800,2,1,116476604,15,9,0,0,0
15,0.0455,18.3384,0.0022,0.0019,0.0002,0,0,0,17.9494,18.3231,0.0327,0.1376,0.0509,0.146,0.0056,0.0125,0.025,0.3298,0.1331,0.1575,19.0916,3,663043168,256201056,0,1,116476604,16,10,0,0,0
16,0.0461,26.1662,0.0028,0.0025,0.0002,0,0,0,25.7624,26.1513,0.0127,0.1486,0.0686,0.1552,0.0027,0.0115,0.021,0.2937,0.1473,0.1755,26.9269,0,663043168,256203872,1,1,116476604,17,11,0,0,0
17,0.0448,26.5969,0.0029,0.0023,0.0005,0,0,0,26.1706,26.5785,0.0135,0.1863,0.0695,0.1348,0.0029,0.0149,0.0206,0.3324,0.1536,0.2012,27.4343,1,663043168,256209504,2,1,116476604,18,12,0,0,0
