frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0742,11.0083,0.0119,0.0023,0.0094,0.0076,0.0009,0.0005,4.3771,10.9771,0.031,6.0489,0.0841,0.4195,0.016,0.0182,0.0568,4.9658,0.0431,0,16.1555,0,190672352,2137264160,0,0,116476604,1,0,0,24,0
1,0.0484,1.4901,0.712,0.0029,0.709,0.7007,0.0059,0.0016,0.2233,0.761,0.0522,0.1931,0.1006,0.1871,0.0041,0.0164,0.0224,9.9675,0.2672,0.6273,12.6975,1,190672352,2137255712,1,0,116476604,2,1,0,0,0
2,0.0665,1.8839,0.9423,0.0057,0.9365,0.9206,0.0127,0.0014,0.3154,0.9214,0.0143,0.228,0.1252,0.233,0.0046,0.0194,0.0212,0.8871,0.0077,0,2.8693,2,190672352,2137256416,2,0,116476604,3,1,0,24,0
3,0.0454,2.1034,0.6453,0.0021,0.6431,0.6301,0.0104,0.0011,0.6071,1.4486,0.0114,0.3525,0.1499,0.3239,0.0029,0.0092,0.017,1.0061,0.1121,0.2098,3.5801,3,190672352,2137264864,0,0,116476604,4,2,0,0,0
4,0.0408,3.2351,0.8111,0.003,0.8078,0.8002,0.006,0.0006,0.5376,2.4114,0.0089,0.2583,1.1514,0.4511,0.0039,0.0118,0.0164,2.7932,0.0074,0,6.0954,0,190672352,2137264160,1,0,116476604,5,2,0,24,0
5,0.0558,5.1474,1.6526,0.0024,1.6502,1.5978,0.0423,0.0046,1.4861,3.4481,0.044,0.9301,0.2589,0.7142,0.0112,0.0449,0.0631,3.6455,0.0187,0,8.9384,1,190672352,2137255712,2,0,116476604,6,2,0,24,0
6,0.0809,2.074,1.2232,0.0026,1.2206,1.203,0.0131,0.0025,0.3189,0.845,0.0305,0.1884,0.0826,0.2222,0.0015,0.0054,0.0215,0.6266,0.2886,0.3478,3.6131,2,190672352,2137256416,0,0,116476604,7,3,0,0,0
7,0.039,1.202,0.749,0.0024,0.7466,0.74,0.0048,0.0009,0.1948,0.4429,0.0087,0.0884,0.0429,0.1063,0.0014,0.0097,0.0119,0.7014,0.0047,0,1.9606,3,190672352,2137264864,1,0,116476604,8,3,0,24,0
8,0.1869,3.1847,1.5991,0.013,1.5856,1.5541,0.0263,0.0024,0.4662,1.564,0.0205,0.423,0.3023,0.3357,0.0147,0.0204,0.0235,1.2619,0.3586,0.4011,5.6007,0,190672352,2137264160,2,0,116476604,9,4,0,0,0
9,0.0456,1.1797,0.6787,0.0022,0.6764,0.6688,0.0058,0.0008,0.1747,0.4957,0.022,0.1312,0.0473,0.1176,0.0025,0.005,0.0139,0.4984,0.1136,0.2039,2.1448,1,190672352,2137255712,0,0,116476604,10,5,0,0,0
