frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0905,13.1309,0.0236,0.0046,0.0188,0.002,0.0149,0.0011,4.3339,13.0445,0.0205,6.7344,0.1434,1.7054,0.1048,0.059,0.2446,9.6859,0.0202,0,23.1911,0,2126447328,2053602272,0,0,116476604,1,0,0,24,0
1,0.0416,2.0642,0.6846,0.0024,0.6821,0.0098,0.6683,0.0021,0.8683,1.3663,0.0307,0.1945,0.1015,0.1648,0.0057,0.0127,0.0179,5.3906,0.3193,2.4458,11.1651,1,2126447328,2053604384,1,0,116476604,2,1,0,0,0
2,0.0385,1.5444,0.6868,0.0021,0.6846,0.0101,0.6715,0.0014,0.2283,0.8463,0.0106,0.3437,0.1272,0.1325,0.0033,0.011,0.0185,0.4442,0.003,0,2.0504,2,2126447328,2053602976,2,0,116476604,3,1,0,24,0
3,0.0425,1.9468,0.6554,0.0024,0.6529,0.0114,0.6386,0.0013,0.2522,1.2675,0.0107,0.2305,0.3438,0.4245,0.0052,0.0229,0.0299,3.6176,0.6447,1.1579,8.0636,3,2126447328,2053614240,0,0,116476604,4,2,0,0,0
4,0.0576,1.9709,0.9031,0.0033,0.8998,0.0098,0.8872,0.0019,0.23,1.054,0.0112,0.564,0.0852,0.1597,0.0033,0.0133,0.0208,0.9085,0.0033,0,2.9636,0,2126447328,2053602272,1,0,116476604,5,2,0,24,0
5,0.0426,0.8602,0.5301,0.0024,0.5277,0.0031,0.5228,0.0013,0.1316,0.3247,0.007,0.0596,0.031,0.0928,0.0025,0.0051,0.0365,0.647,0.1232,0.2447,2.0534,1,2126447328,2053604384,2,0,116476604,6,3,0,0,0
6,0.0395,1.0452,0.6507,0.002,0.6486,0.0075,0.6389,0.0011,0.1369,0.3852,0.0189,0.0759,0.0343,0.1174,0.0013,0.0086,0.0397,0.3338,0.1339,0.3834,2.0873,2,2126447328,2053602976,0,0,116476604,7,4,0,0,0
7,0.0381,1.1688,0.6598,0.0021,0.6577,0.0101,0.6449,0.0015,0.2305,0.5013,0.0098,0.1228,0.0316,0.1036,0.0024,0.0069,0.0209,0.3809,0.1185,0.2087,2.0653,3,2126447328,2053614240,1,0,116476604,8,5,0,0,0
8,0.0382,1.4438,0.6761,0.0023,0.6737,0.0109,0.6598,0.0016,0.1958,0.7513,0.0106,0.2769,0.1074,0.1582,0.0017,0.0156,0.0352,0.2831,0.2788,0.3058,2.5539,0,2126447328,2053602272,2,0,116476604,9,6,0,0,0
9,0.0361,1.2474,0.7038,0.0021,0.7017,0.0069,0.693,0.0011,0.139,0.5316,0.0197,0.1179,0.073,0.1772,0.0043,0.0113,0.0366,0.3474,0.1893,0.1876,2.176,1,2126447328,2053604384,0,0,116476604,10,7,0,0,0
10,0.0398,1.4955,0.7007,0.0023,0.6983,0.0114,0.6842,0.0016,0.215,0.7839,0.0281,0.2159,0.1154,0.204,0.0045,0.0106,0.021,0.434,0.1778,0.2735,2.556,2,2126447328,2053602976,1,0,116476604,11,8,0,0,0
11,0.0402,1.0722,0.5901,0.0022,0.5878,0.0094,0.5756,0.0015,0.182,0.4704,0.0074,0.0992,0.0594,0.1202,0.0018,0.0111,0.0313,0.2737,0.1299,0.2964,1.9269,3,2126447328,2053614240,2,0,116476604,12,9,0,0,0
12,0.0382,1.34,0.7274,0.0022,0.7251,0.01,0.7121,0.0016,0.1977,0.5919,0.0107,0.1402,0.0707,0.168,0.0037,0.0204,0.0246,0.3424,0.2173,0.5424,2.6518,0,2126447328,2053602272,0,0,116476604,13,10,0,0,0
13,0.0419,1.3733,0.7049,0.0025,0.7023,0.01,0.6893,0.0015,0.2,0.6564,0.0112,0.2067,0.0892,0.1454,0.0031,0.0117,0.02,0.3582,0.2097,0.2408,2.3626,1,2126447328,2053604384,1,0,116476604,14,11,0,0,0
14,0.0398,1.6661,0.6753,0.0021,0.6732,0.0101,0.6603,0.0014,0.1976,0.9809,0.0108,0.4963,0.0962,0.1777,0.0016,0.0097,0.0163,0.2556,0.1398,0.1903,2.3997,2,2126447328,2053602976,2,0,116476604,15,12,0,0,0
15,0.0389,1.6368,0.654,0.0022,0.6518,0.0122,0.6367,0.0015,0.2355,0.9702,0.0243,0.4505,0.0921,0.164,0.0031,0.0121,0.017,0.3208,0.2019,0.2913,2.6208,3,2126447328,2053614240,0,0,116476604,16,13,0,0,0
16,0.0504,1.2569,0.6446,0.0027,0.6419,0.0096,0.6296,0.0014,0.1979,0.6042,0.0101,0.1237,0.0667,0.2027,0.0025,0.0075,0.0138,0.251,0.147,0.1589,1.9575,0,2126447328,2053602272,1,0,116476604,17,14,0,0,0
17,0.0398,1.4195,0.6624,0.0024,0.66,0.0102,0.6468,0.0015,0.2001,0.7359,0.0107,0.2078,0.0864,0.2224,0.0075,0.0194,0.034,0.4371,0.3108,0.896,3.5625,1,2126447328,2053604384,2,0,116476604,18,15,0,0,0
18,0.0393,1.1806,0.6711,0.0025,0.6686,0.0102,0.6556,0.0015,0.2029,0.4875,0.0105,0.089,0.0533,0.1293,0.0017,0.0217,0.0328,0.2727,0.133,0.2308,1.9946,2,2126447328,2053602976,0,0,116476604,19,16,0,0,0
19,0.0386,1.2195,0.6821,0.0024,0.6794,0.005,0.6727,0.001,0.1711,0.5313,0.0209,0.1769,0.0509,0.1083,0.0023,0.0055,0.0189,0.2215,0.2241,1.2979,3.3942,3,2126447328,2053614240,1,0,116476604,20,17,0,0,0
20,0.039,1.1774,0.6452,0.0022,0.6429,0.0102,0.6298,0.0016,0.2003,0.5095,0.0103,0.102,0.0619,0.1325,0.0017,0.0216,0.0327,0.2284,0.1306,0.1747,1.8622,0,2126447328,2053602272,2,0,116476604,21,18,0,0,0
