frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4045081719051,4045082662519,4045083112887,4045083296767,4045083317663,4045083584475,4045083737567,4045083737591,16,20.1854,9.43468,4.50368,1.8388,0.20896,2.66812,1.53092
1,1,0,1e+08,4045086514294,4045087074107,4045087568619,4045087648947,4045087698751,4045087908155,4045088111779,4045088111827,16,15.9753,5.59813,4.94512,0.80328,0.49804,2.09404,2.03624
2,1,0,1e+08,4045091886946,4045092151882,4045092824601,4045092906993,4045092963509,4045093262713,4045093438117,4045093438149,16,15.512,2.64936,6.72719,0.82392,0.56516,2.99204,1.75404
3,1,0,1e+08,4045093472233,4045093749481,4045094141837,4045094209013,4045094249917,4045094869625,4045095211746,4045095211810,16,17.3958,2.77248,3.92356,0.67176,0.40904,6.19708,3.42121
4,1,0,1e+08,4045095240098,4045095649768,4045096145112,4045096218564,4045096242648,4045096469572,4045096676780,4045096676804,16,14.3671,4.0967,4.95344,0.73452,0.24084,2.26924,2.07208
5,1,0,1e+08,4045097086900,4045097752003,4045098625326,4045098748394,4045098766022,4045099036430,4045099175506,4045099175542,16,20.8864,6.65103,8.73323,1.23068,0.17628,2.70408,1.39076
6,1,0,1e+08,4045100039681,4045100320810,4045100651134,4045100712858,4045100757390,4045100928006,4045101065258,4045101065282,16,10.256,2.81129,3.30324,0.61724,0.44532,1.70616,1.37252
7,1,0,1e+08,4045101962806,4045102212318,4045103445753,4045103535109,4045103575577,4045103909041,4045104083613,4045104083645,16,21.2084,2.49512,12.3343,0.89356,0.40468,3.33464,1.74572
8,1,0,1e+08,4045104871565,4045105550847,4045106413444,4045106475580,4045106496784,4045106763708,4045106900376,4045106900404,16,20.2884,6.79282,8.62597,0.62136,0.21204,2.66924,1.36668
9,1,0,1e+08,4045107738206,4045108032478,4045109215079,4045109334799,4045109352411,4045109661339,4045109803839,4045109803871,16,20.6566,2.94272,11.826,1.1972,0.17612,3.08928,1.425
10,1,0,1e+08,4045110749334,4045111400289,4045112307777,4045112372965,4045112417337,4045112682849,4045112833165,4045112833193,16,20.8386,6.50955,9.07488,0.65188,0.44372,2.65512,1.50316
11,1,0,1e+08,4045113613234,4045113888766,4045114192310,4045114283074,4045114298910,4045114465618,4045114596702,4045114596730,16,9.83496,2.75532,3.03544,0.90764,0.15836,1.66708,1.31084
12,1,0,1e+08,4045115773699,4045116290957,4045117271915,4045117339431,4045117374947,4045117660371,4045117809439,4045117809467,16,20.3577,5.17258,9.80958,0.67516,0.35516,2.85424,1.49068
13,1,0,1e+08,4045118638654,4045118912270,4045119218474,4045119284670,4045119321526,4045119532426,4045119674130,4045119674154,16,10.355,2.73616,3.06204,0.66196,0.36856,2.109,1.41704
14,1,0,1e+08,4045120598384,4045121632178,4045122278877,4045122347269,4045122388245,4045122631517,4045122793113,4045122793141,16,21.9476,10.3379,6.46699,0.68392,0.40976,2.43272,1.61596
15,1,0,1e+08,4045123568317,4045123814085,4045124115881,4045124176245,4045124197185,4045124352761,4045124483713,4045124483805,16,9.15488,2.45768,3.01796,0.60364,0.2094,1.55576,1.30952
16,1,0,1e+08,4045125687209,4045126153003,4045127236618,4045127303170,4045127351206,4045127635342,4045127800498,4045127800526,16,21.1332,4.65794,10.8361,0.66552,0.48036,2.84136,1.65156
17,1,0,1e+08,4045128577799,4045129470225,4045130196549,4045130269825,4045130291213,4045130568465,4045130793425,4045130793457,16,22.1566,8.92426,7.26324,0.73276,0.21388,2.77252,2.2496
18,1,0,1e+08,4045131274830,4045131508174,4045131807058,4045131867498,4045131931562,4045132144214,4045132271182,4045132271202,16,9.96372,2.33344,2.98884,0.6044,0.64064,2.12652,1.26968
19,1,0,1e+08,4045133218847,4045133430155,4045133732291,4045133793807,4045133830635,4045134031255,4045134316574,4045134316759,16,10.9791,2.11308,3.02136,0.61516,0.36828,2.0062,2.85319
20,1,0,1e+08,4045135863758,4045136116442,4045136470874,4045136534522,4045136586842,4045137207235,4045137516556,4045137516608,16,16.5285,2.52684,3.54432,0.63648,0.5232,6.20393,3.09321
21,1,0,1e+08,4045138590108,4045138804932,4045139136196,4045139215240,4045139257420,4045140112543,4045140316672,4045140316736,16,17.2663,2.14824,3.31264,0.79044,0.4218,8.55123,2.04129
22,1,0,1e+08,4045141311713,4045141597354,4045141924234,4045141987882,4045142022250,4045142202070,4045142348422,4045142348442,16,10.3673,2.85641,3.2688,0.63648,0.34368,1.7982,1.46352
23,1,0,1e+08,4045143492750,4045144361229,4045145090640,4045145152240,4045145183152,4045145452632,4045145649556,4045145649588,16,21.5684,8.68479,7.29411,0.616,0.30912,2.6948,1.96924
24,1,0,1e+08,4045146265064,4045147231680,4045147870462,4045147991558,4045148014594,4045148254594,4045148455622,4045148455646,16,21.9058,9.66616,6.38782,1.21096,0.23036,2.4,2.01028
25,1,0,1e+08,4045148986254,4045149655183,4045150523232,4045150608560,4045150633008,4045150909264,4045151095280,4045151095308,16,21.0905,6.68929,8.68049,0.85328,0.24448,2.76256,1.86016
26,1,0,1e+08,4045151714777,4045152650180,4045153297002,4045153429922,4045153455074,4045153696682,4045153857270,4045153857294,16,21.4252,9.35403,6.46822,1.3292,0.25152,2.41608,1.60588
27,1,0,1e+08,4045154542823,4045155535924,4045156187734,4045156273594,4045156297074,4045156535066,4045156685498,4045156685530,16,21.4271,9.93101,6.5181,0.8586,0.2348,2.37992,1.50432
28,1,0,1e+08,4045157291881,4045158285852,4045158908048,4045158982400,4045159010472,4045159247844,4045159384036,4045159384060,16,20.9218,9.93971,6.22196,0.74352,0.28072,2.37372,1.36192
29,1,0,1e+08,4045160024148,4045161024364,4045161673389,4045161737393,4045161768493,4045162020189,4045162171633,4045162171665,16,21.4752,10.0022,6.49025,0.64004,0.311,2.51696,1.51444
30,1,0,1e+08,4045163260697,4045163655584,4045164819746,4045164887222,4045164938214,4045165225174,4045165367082,4045165367110,16,21.0641,3.94887,11.6416,0.67476,0.50992,2.8696,1.41908
31,1,0,1e+08,4045166073059,4045166718949,4045167612590,4045167681834,4045167700202,4045167971822,4045168169882,4045168169918,16,20.9686,6.4589,8.93641,0.69244,0.18368,2.7162,1.9806
32,1,0,1e+08,4045168724743,4045169313805,4045170327530,4045170412794,4045170440214,4045170732734,4045170910782,4045170910810,16,21.8607,5.89062,10.1372,0.85264,0.2742,2.9252,1.78048
33,1,0,1e+08,4045171566005,4045171792997,4045172103789,4045172165505,4045172194377,4045172350117,4045172500481,4045172500509,16,9.34504,2.26992,3.10792,0.61716,0.28872,1.5574,1.50364
34,1,0,1e+08,4045173494493,4045174339270,4045175200585,4045175260505,4045175279761,4045175556213,4045175736757,4045175736785,16,22.4229,8.44777,8.61315,0.5992,0.19256,2.76452,1.80544
35,1,0,1e+08,4045176302418,4045177167968,4045177892938,4045177966582,4045178039138,4045178302714,4045178542790,4045178542818,16,22.404,8.6555,7.2497,0.73644,0.72556,2.63576,2.40076
36,1,0,1e+08,4045179164216,4045179839196,4045180765006,4045180852446,4045180935778,4045181203554,4045181346674,4045181346702,16,21.8249,6.7498,9.2581,0.8744,0.83332,2.67776,1.4312
37,1,0,1e+08,4045181976298,4045182411960,4045183463569,4045183613037,4045183637329,4045183927581,4045184062857,4045184062893,16,20.866,4.35662,10.5161,1.49468,0.24292,2.90252,1.35276
38,1,0,1e+08,4045184591075,4045184809727,4045185115611,4045185176951,4045185203327,4045185362891,4045185491747,4045185491771,16,9.00696,2.18652,3.05884,0.6134,0.26376,1.59564,1.28856
39,1,0,1e+08,4045186495211,4045186721271,4045187971590,4045188103158,4045188123682,4045188429642,4045188624238,4045188624270,16,21.2906,2.2606,12.5032,1.31568,0.20524,3.0596,1.94596
40,1,0,1e+08,4045189198588,4045189667825,4045190742382,4045190807446,4045190831762,4045191126434,4045191304418,4045191304442,16,21.0585,4.69237,10.7456,0.65064,0.24316,2.94672,1.77984
41,1,0,1e+08,4045191894420,4045192708572,4045193465140,4045193562160,4045193582024,4045193843008,4045194061616,4045194061648,16,21.6723,8.14152,7.56568,0.9702,0.19864,2.60984,2.18608
42,1,0,1e+08,4045194549111,4045194769931,4045195074059,4045195133119,4045195169247,4045195349243,4045195494027,4045195494047,16,9.44936,2.2082,3.04128,0.5906,0.36128,1.79996,1.44784
43,1,0,1e+08,4045196464821,4045196816736,4045198007649,4045198072477,4045198141349,4045198435597,4045198618153,4045198618185,16,21.5336,3.51915,11.9091,0.64828,0.68872,2.94248,1.82556
44,1,0,1e+08,4045199220842,4045199941503,4045200791870,4045200862994,4045200906542,4045201177878,4045201352918,4045201352946,16,21.321,7.20661,8.50367,0.71124,0.43548,2.71336,1.7504
45,1,0,1e+08,4045201934218,4045202186666,4045202495674,4045202554954,4045202597218,4045202755158,4045202885470,4045202885494,16,9.51276,2.52448,3.09008,0.5928,0.42264,1.5794,1.30312
46,1,0,1e+08,4045203910210,4045204829329,4045205625596,4045205687544,4045205729120,4045206000136,4045206192648,4045206192672,16,22.8246,9.19119,7.96267,0.61948,0.41576,2.71016,1.92512
47,1,0,1e+08,4045206857868,4045207783555,4045208411129,4045208536269,4045208551513,4045208793133,4045209008609,4045209008637,16,21.5077,9.25687,6.27574,1.2514,0.15244,2.4162,2.15476
48,1,0,1e+08,4045209562368,4045210080134,4045211075573,4045211135221,4045211160161,4045211456069,4045211630889,4045211630913,16,20.6854,5.17766,9.95439,0.59648,0.2494,2.95908,1.7482
49,1,0,1e+08,4045212263064,4045212959567,4045213752062,4045213815954,4045213837218,4045214110162,4045214290234,4045214290262,16,20.272,6.96503,7.92495,0.63892,0.21264,2.72944,1.80072
50,1,0,1e+08,4045214897023,4045215114975,4045215419407,4045215480591,4045215514251,4045215680011,4045215822915,4045215822935,16,9.25912,2.17952,3.04432,0.61184,0.3366,1.6576,1.42904
51,1,0,1e+08,4045216977803,4045217206483,4045217507819,4045217570343,4045217608283,4045217791107,4045217920407,4045217920431,16,9.42628,2.2868,3.01336,0.62524,0.3794,1.82824,1.293
52,1,0,1e+08,4045218985545,4045219231821,4045219530701,4045219597401,4045219625149,4045219838665,4045219979873,4045219979893,16,9.94348,2.46276,2.9888,0.667,0.27748,2.13516,1.41208
53,1,0,1e+08,4045220856451,4045221137520,4045221454844,4045221514952,4045221535124,4045221730768,4045221884240,4045221884264,16,10.2781,2.81069,3.17324,0.60108,0.20172,1.95644,1.53472
54,1,0,1e+08,4045222706940,4045223317127,4045224291196,4045224353764,4045224399984,4045224665312,4045224802188,4045224802216,16,20.9528,6.10187,9.74069,0.62568,0.4622,2.65328,1.36876
55,1,0,1e+08,4045225575196,4045225846045,4045226163801,4045226246569,4045226270825,4045226426101,4045226561461,4045226561485,16,9.86289,2.70849,3.17756,0.82768,0.24256,1.55276,1.3536
56,1,0,1e+08,4045227503942,4045228005313,4045229055577,4045229147373,4045229165349,4045229453849,4045229592293,4045229592317,16,20.8837,5.01371,10.5026,0.91796,0.17976,2.885,1.38444
57,1,0,1e+08,4045230329782,4045230557970,4045230871562,4045230948374,4045230974606,4045231141258,4045231328934,4045231328958,16,9.99176,2.28188,3.13592,0.76812,0.26232,1.66652,1.87676
58,1,0,1e+08,4045232228403,4045232617448,4045233786132,4045233865892,4045233970012,4045234267200,4045234428924,4045234428952,16,22.0055,3.89045,11.6868,0.7976,1.0412,2.97188,1.61724
59,1,0,1e+08,4045235335009,4045236113077,4045236867100,4045236925872,4045236958080,4045237241420,4045237416548,4045237416576,16,20.8157,7.78068,7.54023,0.58772,0.32208,2.8334,1.75128
60,1,0,1e+08,4045238569607,4045238779475,4045239082291,4045239150383,4045239178135,4045239344163,4045239523811,4045239523831,16,9.54224,2.09868,3.02816,0.68092,0.27752,1.66028,1.79648
61,1,0,1e+08,4045240356328,4045241107710,4045241865180,4045241946204,4045241970900,4045242238428,4045242434360,4045242434388,16,20.7806,7.51382,7.5747,0.81024,0.24696,2.67528,1.95932
62,1,0,1e+08,4045243361419,4045243556727,4045243856507,4045243917803,4045243951071,4045244116851,4045244302827,4045244302847,16,9.41428,1.95308,2.9978,0.61296,0.33268,1.6578,1.85976
63,1,0,1e+08,4045245455532,4045245932437,4045246972369,4045247093521,4045247115905,4045247389233,4045247543433,4045247543465,16,20.8793,4.76905,10.3993,1.21152,0.22384,2.73328,1.542
64,1,0,1e+08,4045248630386,4045249435536,4045250172512,4045250236376,4045250277820,4045250546592,4045250682920,4045250682944,16,20.5256,8.0515,7.36976,0.63864,0.41444,2.68772,1.36328
65,1,0,1e+08,4045251609683,4045251879351,4045252184235,4045252250971,4045252287091,4045252455439,4045252588727,4045252588751,16,9.79068,2.69668,3.04884,0.66736,0.3612,1.68348,1.33288
66,1,0,1e+08,4045253696727,4045253913915,4045254217191,4045254278687,4045254306363,4045254472427,4045254621359,4045254621379,16,9.24652,2.17188,3.03276,0.61496,0.27676,1.66064,1.48932
67,1,0,1e+08,4045255539035,4045255861426,4045256181450,4045256244102,4045256281046,4045256457086,4045256584570,4045256584594,16,10.4556,3.22391,3.20024,0.62652,0.36944,1.7604,1.27484
68,1,0,1e+08,4045257376529,4045257615587,4045257935971,4045258024983,4045258069623,4045258262299,4045258401887,4045258401907,16,10.2538,2.39058,3.20384,0.89012,0.4464,1.92676,1.39588
