frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4048724371544,4048725346801,4048725784505,4048725960909,4048725976949,4048726633520,4048726961306,4048726961358,16,25.8981,9.75257,4.37704,1.76404,0.1604,6.56571,3.27786
1,1,0,1e+08,4048728718109,4048730032764,4048730884049,4048730974421,4048731052405,4048731318733,4048731452341,4048731452377,16,27.3427,13.1465,8.51285,0.90372,0.77984,2.66328,1.33608
2,1,0,1e+08,4048732320116,4048734805125,4048736061153,4048736185942,4048736225182,4048736634878,4048736790142,4048736790174,16,44.7006,24.8501,12.5603,1.24789,0.3924,4.09696,1.55264
3,1,0,1e+08,4048736825526,4048737085098,4048737461930,4048737525598,4048737545202,4048738047024,4048738473216,4048738473308,16,16.4778,2.59572,3.76832,0.63668,0.19604,5.01822,4.26192
4,1,0,1e+08,4048738563368,4048738979593,4048739480029,4048739573569,4048739597641,4048739811905,4048740014725,4048740014749,16,14.5138,4.16225,5.00436,0.9354,0.24072,2.14264,2.0282
5,1,0,1e+08,4048740135109,4048740889521,4048741690633,4048741799137,4048741816297,4048742078681,4048742218329,4048742218361,16,20.8325,7.54412,8.01112,1.08504,0.1716,2.62384,1.39648
6,1,0,1e+08,4048743038021,4048743918613,4048744645122,4048744758746,4048744779634,4048745024714,4048745161854,4048745161882,16,21.2386,8.80592,7.26509,1.13624,0.20888,2.4508,1.3714
7,1,0,1e+08,4048745827418,4048746476564,4048747366436,4048747474872,4048747491716,4048747751096,4048747889676,4048747889708,16,20.6229,6.49146,8.89872,1.08436,0.16844,2.5938,1.3858
8,1,0,1e+08,4048748659174,4048749514869,4048750233692,4048750339792,4048750359312,4048750609828,4048750757788,4048750757812,16,20.9864,8.55695,7.18823,1.061,0.1952,2.50516,1.4796
9,1,0,1e+08,4048751453741,4048752363974,4048753064633,4048753148769,4048753165009,4048753414401,4048753549325,4048753549357,16,20.9562,9.10233,7.00659,0.84136,0.1624,2.49392,1.34924
10,1,0,1e+08,4048754171316,4048755157152,4048755776444,4048755853604,4048755894404,4048756139828,4048756271904,4048756271928,16,21.0061,9.85836,6.19292,0.7716,0.408,2.45424,1.32076
11,1,0,1e+08,4048756876389,4048757102109,4048757422769,4048757502357,4048757522021,4048757683657,4048757855065,4048757855089,16,9.787,2.2572,3.2066,0.79588,0.19664,1.61636,1.71408
12,1,0,1e+08,4048758842016,4048759117180,4048759416264,4048759491584,4048759516544,4048759739995,4048760295861,4048760296011,16,14.5399,2.75164,2.99084,0.7532,0.2496,2.23451,5.55866
13,1,0,1e+08,4048761911113,4048762183989,4048762509393,4048762586993,4048762628661,4048762788585,4048762925777,4048762925805,16,10.1469,2.72876,3.25404,0.776,0.41668,1.59924,1.37192
14,1,0,1e+08,4048763876969,4048764127570,4048764445042,4048764522410,4048764543438,4048764704878,4048764867362,4048764867382,16,9.90413,2.50601,3.17472,0.77368,0.21028,1.6144,1.62484
15,1,0,1e+08,4048765965157,4048766445004,4048767504572,4048767611140,4048767642360,4048767911788,4048768049524,4048768049636,16,20.8448,4.79847,10.5957,1.06568,0.3122,2.69428,1.37736
16,1,0,1e+08,4048768765881,4048769428175,4048770271220,4048770336172,4048770387408,4048770673920,4048770810600,4048770810628,16,20.4475,6.62294,8.43045,0.64952,0.51236,2.86512,1.3668
17,1,0,1e+08,4048771495957,4048772396686,4048773081440,4048773215520,4048773232552,4048773481652,4048773636512,4048773636544,16,21.4059,9.00729,6.84754,1.3408,0.17032,2.491,1.5486
18,1,0,1e+08,4048774174305,4048774589503,4048775691437,4048775767717,4048775810301,4048776107065,4048776245725,4048776245749,16,20.7144,4.15198,11.0193,0.7628,0.42584,2.96764,1.3866
19,1,0,1e+08,4048776988429,4048777304565,4048777624409,4048777734997,4048777754441,4048777909705,4048778042969,4048778042993,16,10.5456,3.16136,3.19844,1.10588,0.19444,1.55264,1.33264
20,1,0,1e+08,4048778909976,4048779801793,4048780476052,4048780562076,4048780581984,4048780827308,4048780958384,4048780958408,16,20.4843,8.91817,6.74259,0.86024,0.19908,2.45324,1.31076
21,1,0,1e+08,4048781622277,4048781865273,4048782182569,4048782292497,4048782314841,4048782482365,4048782674785,4048782674813,16,10.5254,2.42996,3.17296,1.09928,0.22344,1.67524,1.9242
22,1,0,1e+08,4048783732415,4048784744918,4048785370432,4048785469512,4048785486908,4048785722736,4048785878292,4048785878316,16,21.459,10.125,6.25514,0.9908,0.17396,2.35828,1.55556
23,1,0,1e+08,4048786463172,4048787319044,4048788046590,4048788191122,4048788215826,4048788470854,4048788652938,4048788652970,16,21.898,8.55872,7.27546,1.44532,0.24704,2.55028,1.82084
24,1,0,1e+08,4048789265888,4048790198558,4048790837874,4048790940034,4048790963738,4048791209670,4048791360454,4048791360478,16,20.9459,9.3267,6.39316,1.0216,0.23704,2.45932,1.50784
25,1,0,1e+08,4048791931371,4048792527968,4048793453293,4048793530661,4048793587253,4048793853801,4048794011785,4048794011817,16,20.8045,5.96597,9.25325,0.77368,0.56592,2.66548,1.57984
26,1,0,1e+08,4048794607925,4048795722318,4048796324822,4048796393774,4048796437830,4048796672074,4048796813270,4048796813294,16,22.0537,11.1439,6.02504,0.68952,0.44056,2.34244,1.41196
27,1,0,1e+08,4048797606944,4048798431147,4048799203624,4048799274944,4048799323928,4048799587112,4048799745756,4048799745788,16,21.3884,8.24203,7.72477,0.7132,0.48984,2.63184,1.58644
28,1,0,1e+08,4048800512920,4048801545514,4048802159397,4048802272021,4048802292821,4048802536489,4048802687365,4048802687389,16,21.7447,10.3259,6.13883,1.12624,0.208,2.43668,1.50876
29,1,0,1e+08,4048803476708,4048804519698,4048805156471,4048805242387,4048805291375,4048805527095,4048805665591,4048805665623,16,21.8892,10.4299,6.36773,0.85916,0.48988,2.3572,1.38496
30,1,0,1e+08,4048806658650,4048807604532,4048808289056,4048808382676,4048808402964,4048808661544,4048808840908,4048808840928,16,21.8228,9.45882,6.84524,0.9362,0.20288,2.5858,1.79364
31,1,0,1e+08,4048809359969,4048810363242,4048811018627,4048811143535,4048811172983,4048811437235,4048811633399,4048811633427,16,22.7346,10.0327,6.55385,1.24908,0.29448,2.64252,1.96164
32,1,0,1e+08,4048812019048,4048812249782,4048812544070,4048812600378,4048812627970,4048813330758,4048813596621,4048813596669,16,15.7762,2.30734,2.94288,0.56308,0.27592,7.02788,2.65863
33,1,0,1e+08,4048814752441,4048815037690,4048815365086,4048815436082,4048815469166,4048815624026,4048815778994,4048815779022,16,10.2658,2.85249,3.27396,0.70996,0.33084,1.5486,1.54968
34,1,0,1e+08,4048816608346,4048816858694,4048818022742,4048818100168,4048818140520,4048818506724,4048818685600,4048818685632,16,20.7729,2.50348,11.6405,0.77426,0.40352,3.66204,1.78876
35,1,0,1e+08,4048819353529,4048819901637,4048820968210,4048821085274,4048821107630,4048821402818,4048821611662,4048821611694,16,22.5817,5.48108,10.6657,1.17064,0.22356,2.95188,2.08844
36,1,0,1e+08,4048822164504,4048823014754,4048823739236,4048823820160,4048823843844,4048824126132,4048824292452,4048824292476,16,21.2797,8.5025,7.24482,0.80924,0.23684,2.82288,1.6632
37,1,0,1e+08,4048824863035,4048825646573,4048826410878,4048826565166,4048826588786,4048826833050,4048826985798,4048826985830,16,21.2279,7.83538,7.64305,1.54288,0.2362,2.44264,1.52748
38,1,0,1e+08,4048827442370,4048827667734,4048827976066,4048828037034,4048828081290,4048828246334,4048828391138,4048828391162,16,9.48792,2.25364,3.08332,0.60968,0.44256,1.65044,1.44804
39,1,0,1e+08,4048829301227,4048829548831,4048829862547,4048829927847,4048829964587,4048830122535,4048830265075,4048830265099,16,9.63872,2.47604,3.13716,0.653,0.3674,1.57948,1.4254
