frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0694,9.1688,0.0166,0.0026,0.0138,0.0117,0.0008,0.0009,4.3323,9.1374,0.0213,4.0537,0.1948,0.5291,0.0058,0.0137,0.0502,11.8872,0.0261,0,21.2079,0,2140144160,2133771424,0,0,116476604,1,0,0,24,0
1,0.0396,1.1886,0.6639,0.0022,0.6615,0.6498,0.0094,0.001,0.2077,0.5194,0.0209,0.1716,0.038,0.0785,0.0023,0.0049,0.013,15.3386,0.2286,0.6455,17.6627,1,2140144160,2133772128,1,0,116476604,2,1,0,0,0
2,0.0462,1.7986,0.9024,0.0026,0.8995,0.8846,0.012,0.0012,0.2797,0.8639,0.0116,0.1777,0.1011,0.2837,0.0097,0.0295,0.0469,0.9523,0.0292,0,2.8818,2,2140144160,2133772832,2,0,116476604,3,1,0,24,0
3,0.0563,2.7149,0.8733,0.0026,0.8706,0.8552,0.012,0.0016,0.3234,1.8243,0.0109,0.4358,0.3728,0.6731,0.0079,0.016,0.0228,0.8161,0.1345,0.2363,4.0536,3,2140144160,2133779168,0,0,116476604,4,2,0,0,0
4,0.0723,2.4645,1.4567,0.0054,1.4508,1.4376,0.0103,0.0013,0.4676,0.9896,0.0145,0.2114,0.0993,0.1906,0.0053,0.0169,0.0708,1.1445,0.0074,0,3.7637,0,2140144160,2133771424,1,0,116476604,5,2,0,24,0
5,0.0465,1.9815,1.2212,0.0035,1.2175,1.1966,0.0174,0.0019,0.3486,0.7427,0.0175,0.1376,0.0806,0.1542,0.0038,0.0161,0.0309,1.2577,0.2634,0.4888,4.2725,1,2140144160,2133772128,2,0,116476604,6,3,0,0,0
6,0.0405,1.1329,0.6447,0.0023,0.6423,0.6344,0.0063,0.0009,0.1652,0.4788,0.0183,0.1054,0.0647,0.1223,0.0025,0.0081,0.0313,0.8809,0.0097,0,2.099,2,2140144160,2133772832,0,0,116476604,7,3,0,24,0
7,0.0537,1.2823,0.6492,0.0024,0.6467,0.6373,0.0069,0.0013,0.2467,0.6177,0.0093,0.1172,0.0879,0.1521,0.004,0.0142,0.0177,0.6805,0.3526,0.5057,3.0634,3,2140144160,2133779168,1,0,116476604,8,4,0,0,0
8,0.039,1.0012,0.6386,0.0023,0.6362,0.6285,0.0061,0.0009,0.1574,0.3545,0.0067,0.0735,0.0428,0.072,0.0017,0.0075,0.0133,0.3517,0.1257,0.1533,1.7636,0,2140144160,2133771424,2,0,116476604,9,5,0,0,0
9,0.0386,1.0439,0.5869,0.0023,0.5844,0.5785,0.0043,0.0007,0.1652,0.4472,0.0181,0.0897,0.0643,0.1067,0.0027,0.0085,0.0303,0.2931,0.1881,0.2048,1.9201,1,2140144160,2133772128,0,0,116476604,10,6,0,0,0
10,0.0392,1.3258,0.7164,0.0021,0.714,0.7021,0.0093,0.0015,0.1707,0.5967,0.0178,0.1149,0.0857,0.2017,0.0053,0.0115,0.0339,0.3834,0.1528,0.2843,2.3295,2,2140144160,2133772832,1,0,116476604,11,7,0,0,0
11,0.0455,1.5129,0.7355,0.0022,0.7331,0.7191,0.0114,0.001,0.3,0.7624,0.0089,0.157,0.1071,0.1855,0.0033,0.0138,0.0159,0.3168,0.2149,0.2713,2.4998,3,2140144160,2133779168,2,0,116476604,12,8,0,0,0
12,0.0507,1.543,0.737,0.0024,0.7343,0.7258,0.007,0.0007,0.2607,0.7957,0.0113,0.2,0.101,0.2201,0.002,0.0094,0.0176,0.266,0.1453,0.3036,2.4208,0,2140144160,2133771424,0,0,116476604,13,9,0,0,0
13,0.0511,1.2646,0.5831,0.0027,0.5802,0.5687,0.0091,0.0011,0.2131,0.6706,0.0092,0.1017,0.1044,0.2345,0.0069,0.0099,0.0183,0.3389,0.1645,0.4172,2.3836,1,2140144160,2133772128,1,0,116476604,14,10,0,0,0
14,0.0482,1.5639,0.7562,0.0023,0.7537,0.7415,0.01,0.0012,0.2407,0.7928,0.01,0.2189,0.1184,0.1982,0.0057,0.014,0.0222,0.352,0.1513,0.1966,2.4394,2,2140144160,2133772832,2,0,116476604,15,11,0,0,0
15,0.0483,1.4155,0.7634,0.0021,0.761,0.7482,0.0101,0.0013,0.2588,0.6398,0.0229,0.1375,0.0604,0.1572,0.0023,0.0101,0.0315,0.2614,0.1641,0.2795,2.3074,3,2140144160,2133779168,0,0,116476604,16,12,0,0,0
16,0.0501,1.2794,0.6592,0.0023,0.6566,0.6447,0.0096,0.001,0.2325,0.5992,0.0091,0.1442,0.085,0.1253,0.0027,0.0125,0.0142,0.2333,0.1353,0.2154,2.0124,0,2140144160,2133771424,1,0,116476604,17,13,0,0,0
17,0.04,1.1131,0.6332,0.0023,0.6307,0.6232,0.0057,0.0009,0.1584,0.4467,0.0073,0.083,0.0657,0.1286,0.0035,0.0162,0.0323,0.3152,0.1775,0.2685,2.0561,1,2140144160,2133772128,2,0,116476604,18,14,0,0,0
18,0.042,1.4269,0.7384,0.0025,0.7357,0.7213,0.0114,0.0013,0.2555,0.6406,0.0119,0.1367,0.0724,0.1581,0.0053,0.0237,0.022,0.3375,0.1942,0.3426,2.4928,2,2140144160,2133772832,0,0,116476604,19,15,0,0,0
19,0.0405,1.2724,0.6503,0.0023,0.6479,0.6368,0.0089,0.0012,0.2336,0.5981,0.019,0.1315,0.0629,0.1482,0.0026,0.0076,0.0224,0.2667,0.1395,0.163,1.9873,3,2140144160,2133779168,1,0,116476604,20,16,0,0,0
20,0.0418,1.1439,0.6552,0.0022,0.6527,0.6439,0.0066,0.0009,0.1621,0.4554,0.008,0.0926,0.0535,0.1356,0.0033,0.0172,0.0314,0.2892,0.1386,0.2661,2.0323,0,2140144160,2133771424,2,0,116476604,21,17,0,0,0
21,0.0415,1.1257,0.6442,0.0025,0.6415,0.6336,0.0064,0.0007,0.188,0.4461,0.0083,0.0934,0.0373,0.1143,0.0046,0.0197,0.0387,0.4054,0.2623,0.3515,2.3741,1,2140144160,2133772128,0,0,116476604,22,18,0,0,0
22,0.0434,1.4891,0.6717,0.0023,0.6691,0.6612,0.0064,0.0006,0.2488,0.7923,0.0123,0.1623,0.1456,0.2154,0.007,0.0161,0.0225,0.6439,0.7976,0.8486,4.2492,2,2140144160,2133772832,1,0,116476604,23,19,0,0,0
23,0.0473,4.6211,0.8414,0.0028,0.8385,0.7844,0.0447,0.0045,1.041,3.6957,0.0355,0.626,0.8603,1.1105,0.0185,0.0525,0.0745,1.5131,0.8573,0.5558,8.0311,3,2140144160,2133779168,2,0,116476604,24,20,0,0,0
24,0.0543,1.3197,0.7005,0.003,0.6973,0.6895,0.0064,0.0006,0.2001,0.5815,0.0093,0.1427,0.1068,0.1186,0.0034,0.0127,0.0353,0.4916,0.7613,1.2759,4.468,0,2140144160,2133771424,0,0,116476604,25,21,0,0,0
25,0.0659,1.1858,0.7057,0.0026,0.7028,0.6934,0.0077,0.0013,0.1805,0.4446,0.0096,0.0877,0.0417,0.1213,0.0034,0.0179,0.0428,0.497,0.2076,0.3367,2.4489,1,2140144160,2133772128,1,0,116476604,26,22,0,0,0
26,0.0488,1.3887,0.7713,0.0034,0.7677,0.7541,0.011,0.001,0.2095,0.5786,0.0104,0.1296,0.0877,0.1362,0.0047,0.0219,0.0451,0.3105,0.1939,0.276,2.3964,2,2140144160,2133772832,2,0,116476604,27,23,0,0,0
27,0.0419,3.1278,0.6321,0.0022,0.6298,0.6238,0.0048,0.0008,0.2808,2.419,0.0113,0.6718,0.6156,0.812,0.0245,0.0489,0.0732,1.3328,0.9339,0.7305,6.6802,3,2140144160,2133779168,0,0,116476604,28,24,0,0,0
28,0.0408,1.2456,0.6177,0.0022,0.6153,0.6111,0.0031,0.0008,0.1798,0.6025,0.0076,0.1344,0.1183,0.1576,0.0044,0.0121,0.0378,0.3091,0.1513,0.2681,2.1729,0,2140144160,2133771424,1,0,116476604,29,25,0,0,0
29,0.0404,1.1098,0.6267,0.0024,0.6241,0.6159,0.0063,0.001,0.1595,0.4511,0.0075,0.09,0.0568,0.1338,0.0032,0.0172,0.0325,0.2541,0.1765,0.2342,1.9661,1,2140144160,2133772128,2,0,116476604,30,26,0,0,0
30,0.0385,1.3973,0.6789,0.0025,0.6761,0.661,0.0118,0.0017,0.2652,0.7029,0.0103,0.1843,0.0812,0.1595,0.0018,0.0099,0.0129,0.2993,0.1788,0.2231,2.2661,2,2140144160,2133772832,0,0,116476604,31,27,0,0,0
31,0.0375,1.2271,0.5512,0.0028,0.5483,0.5358,0.01,0.0013,0.2559,0.6653,0.0091,0.1413,0.0737,0.1825,0.0018,0.006,0.0129,0.262,0.2016,0.2225,2.0826,3,2140144160,2133779168,1,0,116476604,32,28,0,0,0
32,0.0413,1.4347,0.7563,0.0025,0.7536,0.7411,0.01,0.0011,0.2374,0.6555,0.01,0.1397,0.0745,0.1872,0.0057,0.0121,0.0159,0.324,0.2505,0.2422,2.5046,0,2140144160,2133771424,2,0,116476604,33,29,0,0,0
33,0.043,1.7773,0.7727,0.0028,0.7699,0.7559,0.0117,0.0012,0.2587,0.9749,0.0303,0.2594,0.1949,0.2245,0.0063,0.017,0.0266,0.8326,0.3372,0.8476,4.3151,1,2140144160,2133772128,0,0,116476604,34,30,0,0,0
34,0.0455,1.5521,0.6613,0.0032,0.6578,0.6505,0.0059,0.0008,0.1927,0.8692,0.0104,0.4013,0.1128,0.1467,0.0049,0.0135,0.0258,0.2908,0.3023,0.3267,2.8223,2,2140144160,2133772832,1,0,116476604,35,31,0,0,0
35,0.0404,1.5928,0.6581,0.0023,0.6557,0.6433,0.0098,0.0011,0.2613,0.907,0.0097,0.2177,0.1835,0.2271,0.0067,0.0184,0.0261,0.3549,0.2269,0.6683,3.0535,3,2140144160,2133779168,2,0,116476604,36,32,0,0,0
36,0.0463,2.8859,0.859,0.0023,0.8564,0.8442,0.0083,0.0012,0.2741,1.9352,0.0087,0.1361,0.2109,1.2733,0.0298,0.0561,0.0767,1.6772,0.7058,1.137,6.8995,0,2140144160,2133771424,0,0,116476604,37,33,0,0,0
37,0.0433,1.3184,0.7014,0.0027,0.6986,0.6873,0.0089,0.0011,0.2533,0.5833,0.0092,0.0954,0.0816,0.1396,0.0035,0.0194,0.0371,0.2494,0.2087,0.7795,2.808,1,2140144160,2133772128,1,0,116476604,38,34,0,0,0
38,0.0492,2.9925,0.7029,0.0025,0.7001,0.6912,0.0069,0.0006,0.1852,2.2126,0.0083,0.3377,0.6201,1.0408,0.0179,0.0484,0.0715,1.8392,0.8316,0.7141,6.8725,2,2140144160,2133772832,2,0,116476604,39,35,0,0,0
39,0.0408,1.2984,0.6652,0.0023,0.6627,0.6559,0.0052,0.0007,0.2408,0.5962,0.0086,0.1148,0.0871,0.1396,0.0047,0.02,0.0361,0.6563,0.7541,0.7881,3.9497,3,2140144160,2133779168,0,0,116476604,40,36,0,0,0
40,0.0468,1.1749,0.6452,0.0023,0.6426,0.6332,0.0078,0.0007,0.1639,0.4915,0.0092,0.0985,0.0837,0.1302,0.0055,0.0234,0.0373,0.3741,0.3609,0.7993,3.201,0,2140144160,2133771424,1,0,116476604,41,37,0,0,0
41,0.0402,1.2859,0.6766,0.0023,0.6741,0.6622,0.0094,0.0011,0.2361,0.5854,0.0234,0.1321,0.053,0.1362,0.0039,0.0104,0.0355,0.2329,0.2116,0.7503,2.7086,1,2140144160,2133772128,2,0,116476604,42,38,0,0,0
42,0.0463,1.3319,0.6935,0.0023,0.6909,0.6778,0.0106,0.0012,0.2613,0.6027,0.0107,0.1165,0.0737,0.1349,0.005,0.0213,0.0278,0.2761,0.1698,0.7526,2.7545,2,2140144160,2133772832,0,0,116476604,43,39,0,0,0
43,0.0502,1.4084,0.6526,0.003,0.6495,0.6445,0.0039,0.0008,0.1959,0.7415,0.012,0.1691,0.1325,0.2285,0.003,0.0083,0.0209,0.4124,0.6269,0.2941,3.1221,3,2140144160,2133779168,1,0,116476604,44,40,0,0,0
44,0.0449,1.4281,0.929,0.0024,0.9261,0.9152,0.009,0.001,0.2146,0.4683,0.0102,0.0849,0.0412,0.1139,0.0032,0.0173,0.0332,0.3014,0.1476,0.19,2.2353,0,2140144160,2133771424,2,0,116476604,45,41,0,0,0
45,0.0572,1.7903,0.947,0.0045,0.9422,0.9267,0.0123,0.0014,0.2959,0.8186,0.0132,0.251,0.1144,0.1381,0.0049,0.0143,0.0226,0.3808,0.1927,0.3352,2.9159,1,2140144160,2133772128,0,0,116476604,46,42,0,0,0
46,0.0471,1.0727,0.6286,0.0027,0.6257,0.6182,0.006,0.0007,0.1641,0.4046,0.0082,0.072,0.0338,0.1216,0.0045,0.0209,0.0331,0.5719,0.842,0.8927,4.1648,2,2140144160,2133772832,1,0,116476604,47,43,0,0,0
47,0.052,1.3884,0.7547,0.0036,0.751,0.7421,0.0071,0.0009,0.2333,0.5939,0.0108,0.1334,0.0657,0.1452,0.0053,0.0247,0.0159,1.7181,1.382,0.7925,5.8303,3,2140144160,2133779168,2,0,116476604,48,44,0,0,0
48,0.0455,1.3433,0.8423,0.0023,0.8397,0.8306,0.0067,0.0009,0.1889,0.4553,0.0089,0.0801,0.0366,0.1363,0.0039,0.0199,0.0348,0.2709,0.1383,0.175,2.0939,0,2140144160,2133771424,0,0,116476604,49,45,0,0,0
49,0.0556,1.4545,0.7971,0.003,0.794,0.7856,0.0062,0.0011,0.238,0.6385,0.0188,0.1771,0.0707,0.131,0.0026,0.0109,0.0164,0.2909,0.1455,1.34,3.4494,1,2140144160,2133772128,1,0,116476604,50,46,0,0,0
50,0.0427,1.2816,0.6643,0.003,0.6611,0.6548,0.0048,0.0009,0.2,0.5774,0.0093,0.0879,0.0785,0.1932,0.0078,0.0212,0.0444,0.3834,0.2727,0.5093,2.7572,2,2140144160,2133772832,2,0,116476604,51,47,0,0,0
51,0.0488,1.293,0.7786,0.0035,0.775,0.766,0.0067,0.0011,0.1946,0.4825,0.0108,0.0872,0.0429,0.1419,0.0042,0.0121,0.0378,0.3044,0.1858,0.7524,2.7881,3,2140144160,2133779168,0,0,116476604,52,48,0,0,0
52,0.0557,1.866,1.0136,0.0057,1.0076,0.9955,0.0094,0.0013,0.3144,0.8306,0.013,0.1601,0.1076,0.2298,0.0049,0.0129,0.0198,0.3962,0.2446,0.2802,3.0189,0,2140144160,2133771424,1,0,116476604,53,49,0,0,0
53,0.051,1.3437,0.6768,0.0025,0.6741,0.6666,0.0059,0.0007,0.1893,0.62,0.0095,0.0734,0.098,0.2375,0.0115,0.0298,0.0418,0.3487,0.2256,0.2707,2.3966,1,2140144160,2133772128,2,0,116476604,54,50,0,0,0
54,0.0397,1.0515,0.6276,0.0025,0.6248,0.619,0.0041,0.0008,0.169,0.3921,0.0082,0.0699,0.033,0.1083,0.0034,0.0175,0.0326,0.2743,0.2015,0.2768,1.9793,2,2140144160,2133772832,0,0,116476604,55,51,0,0,0
55,0.0451,1.3888,0.6987,0.0037,0.6948,0.6835,0.0086,0.0013,0.2681,0.6712,0.0114,0.1343,0.0755,0.1749,0.0058,0.0108,0.0195,0.3456,0.1726,0.2821,2.3769,3,2140144160,2133779168,1,0,116476604,56,52,0,0,0
56,0.0417,1.4965,0.74,0.0025,0.7373,0.728,0.0075,0.0007,0.1838,0.7246,0.0077,0.0798,0.0655,0.3831,0.0039,0.0187,0.0281,0.3711,0.2254,0.4009,2.702,0,2140144160,2133771424,2,0,116476604,57,53,0,0,0
57,0.0705,1.9113,0.8364,0.0054,0.8308,0.8204,0.008,0.0016,0.3298,1.0389,0.0104,0.1837,0.0994,0.4059,0.0086,0.0203,0.0301,0.5394,0.3033,0.4702,3.5091,1,2140144160,2133772128,0,0,116476604,58,54,0,0,0
58,0.0454,1.299,0.7728,0.0023,0.7702,0.7611,0.0071,0.0008,0.2373,0.4991,0.0077,0.0862,0.049,0.115,0.0032,0.0147,0.0385,0.267,0.1458,0.1702,2.0557,2,2140144160,2133772832,1,0,116476604,59,55,0,0,0
59,0.0529,1.6328,0.804,0.0033,0.8005,0.7928,0.0061,0.001,0.2373,0.8031,0.0095,0.1648,0.0934,0.2904,0.0069,0.0144,0.0245,0.4431,0.2005,0.2999,2.7854,3,2140144160,2133779168,2,0,116476604,60,56,0,0,0
60,0.0863,1.7468,0.812,0.0067,0.805,0.7902,0.0111,0.0018,0.3729,0.9059,0.0134,0.1954,0.093,0.2239,0.0062,0.0168,0.0226,0.3779,0.227,0.2849,2.8867,0,2140144160,2133771424,0,0,116476604,61,57,0,0,0
61,0.0401,1.2547,0.6338,0.0033,0.6303,0.6225,0.0059,0.0009,0.2571,0.5892,0.0098,0.1171,0.0672,0.1333,0.0044,0.0179,0.0346,0.3763,0.2616,0.3607,2.4803,1,2140144160,2133772128,1,0,116476604,62,58,0,0,0
62,0.0397,1.0297,0.618,0.0031,0.6147,0.608,0.0051,0.0009,0.1828,0.3824,0.0073,0.0682,0.0386,0.0809,0.0042,0.0176,0.0295,0.3831,0.2621,0.9262,3.0471,2,2140144160,2133772832,2,0,116476604,63,59,0,0,0
63,0.042,1.1794,0.7111,0.0021,0.7089,0.7022,0.0049,0.0009,0.1961,0.4345,0.0098,0.0906,0.0453,0.0885,0.0037,0.0204,0.0351,0.3073,0.1601,0.1808,1.9968,3,2140144160,2133779168,0,0,116476604,64,60,0,0,0
64,0.039,1.6036,0.7891,0.0021,0.7868,0.7773,0.0075,0.0012,0.2566,0.7929,0.0117,0.1994,0.1157,0.2048,0.0039,0.0133,0.0176,0.3595,0.2879,0.6635,3.1985,0,2140144160,2133771424,1,0,116476604,65,61,0,0,0
65,0.0392,1.2244,0.6457,0.0024,0.6431,0.6344,0.0057,0.0016,0.2057,0.5408,0.0085,0.1341,0.1029,0.0841,0.0051,0.022,0.0335,0.3232,0.1841,0.2493,2.1676,1,2140144160,2133772128,2,0,116476604,66,62,0,0,0
66,0.0478,1.4716,0.6761,0.0027,0.6731,0.6661,0.0053,0.0008,0.2206,0.7235,0.0102,0.1438,0.1485,0.1943,0.0053,0.0607,0.0213,0.4713,0.2162,0.3119,2.6867,2,2140144160,2133772832,0,0,116476604,67,63,0,0,0
67,0.0403,1.3835,0.8038,0.0028,0.8009,0.7881,0.0105,0.0011,0.2202,0.5487,0.0092,0.1115,0.091,0.1095,0.0065,0.0177,0.0333,0.2891,0.184,0.2847,2.3525,3,2140144160,2133779168,1,0,116476604,68,64,0,0,0
68,0.0396,1.0587,0.6524,0.0025,0.6491,0.6422,0.0053,0.001,0.1815,0.3728,0.0094,0.0741,0.0339,0.0678,0.0056,0.02,0.0342,0.3073,0.1867,0.2591,2.0208,0,2140144160,2133771424,2,0,116476604,69,65,0,0,0
69,0.0464,1.3961,0.682,0.0024,0.6794,0.672,0.0056,0.001,0.2856,0.6773,0.0113,0.1799,0.1161,0.0797,0.0041,0.0195,0.0279,0.3671,0.2182,0.321,2.5197,1,2140144160,2133772128,0,0,116476604,70,66,0,0,0
70,0.0474,1.3256,0.8085,0.0037,0.8045,0.7966,0.0059,0.001,0.1885,0.4761,0.0094,0.1044,0.0685,0.0997,0.005,0.0227,0.0387,0.3409,0.3493,0.8953,3.5134,2,2140144160,2133772832,1,0,116476604,71,67,0,0,0
71,0.0528,1.528,0.7794,0.0022,0.7771,0.7679,0.0072,0.0007,0.2511,0.7158,0.0143,0.2368,0.0995,0.1068,0.0071,0.0219,0.0361,0.4695,0.3523,0.92,3.6788,3,2140144160,2133779168,2,0,116476604,72,68,0,0,0
72,0.0407,1.212,0.6682,0.0021,0.6659,0.6574,0.0066,0.0012,0.2164,0.5086,0.0097,0.1137,0.082,0.0822,0.0037,0.0208,0.0351,0.3305,0.1574,0.2002,2.0738,0,2140144160,2133771424,0,0,116476604,73,69,0,0,0
73,0.0429,1.5854,0.9242,0.0032,0.9207,0.9082,0.01,0.0012,0.2124,0.6177,0.0095,0.1247,0.12,0.1437,0.0069,0.0258,0.0223,0.275,0.1762,0.2467,2.4776,1,2140144160,2133772128,1,0,116476604,74,70,0,0,0
74,0.0575,2.0033,0.9524,0.003,0.9491,0.9346,0.0116,0.0016,0.4181,1.0198,0.0201,0.1601,0.1846,0.2286,0.0075,0.0189,0.0285,0.4244,0.2874,0.4201,3.4076,2,2140144160,2133772832,2,0,116476604,75,71,0,0,0
75,0.0743,1.6916,1.1977,0.0035,1.1941,1.1836,0.0074,0.0012,0.2285,0.4454,0.0117,0.0881,0.0388,0.0742,0.004,0.0278,0.0507,0.4926,0.2088,0.2429,2.8857,3,2140144160,2133779168,0,0,116476604,76,72,0,0,0
76,0.179,4.1566,2.2979,0.0187,2.2784,2.2407,0.0296,0.0041,0.7658,1.8098,0.0355,0.4064,0.1984,0.3905,0.0109,0.0308,0.0414,0.763,0.3982,0.3655,6.0968,0,2140144160,2133771424,1,0,116476604,77,73,0,0,0
77,0.0724,1.5048,0.9543,0.0031,0.9508,0.9424,0.0063,0.0008,0.2843,0.5188,0.0123,0.1014,0.0407,0.0763,0.0032,0.0161,0.0372,0.4713,0.245,0.2786,2.7421,1,2140144160,2133772128,2,0,116476604,78,74,0,0,0
78,0.0475,1.3139,0.7893,0.0034,0.7857,0.7784,0.0056,0.0012,0.2039,0.4909,0.008,0.108,0.0562,0.1102,0.0042,0.0143,0.0371,0.3079,0.1706,0.1626,2.1511,2,2140144160,2133772832,0,0,116476604,79,75,0,0,0
