frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4052102359350,4052103893558,4052104691012,4052104895156,4052104911528,4052105158376,4052105294764,4052105294796,16,29.3545,15.3421,7.97454,2.04144,0.16372,2.46848,1.36388
1,1,0,1e+08,4052108084498,4052108556634,4052109088533,4052109171729,4052109208965,4052109480465,4052109636489,4052109636521,16,15.5202,4.72136,5.31899,0.83196,0.37236,2.715,1.56024
2,1,0,1e+08,4052109977025,4052112571385,4052113789692,4052114227356,4052114252020,4052115091732,4052115424505,4052115424569,16,54.4754,25.9436,12.1831,4.37664,0.24664,8.39712,3.32773
3,1,0,1e+08,4052115471897,4052115972276,4052116467988,4052116532756,4052116569016,4052116826280,4052116973552,4052116973584,16,15.0169,5.00379,4.95712,0.64768,0.3626,2.57264,1.47272
4,1,0,1e+08,4052117003644,4052117590365,4052118619060,4052118721492,4052118774588,4052119063384,4052119212220,4052119212252,16,22.0861,5.86721,10.2869,1.02432,0.53096,2.88796,1.48836
5,1,0,1e+08,4052119245036,4052119503724,4052119891876,4052119956108,4052120045504,4052120231692,4052120363072,4052120363108,16,11.1807,2.58688,3.88152,0.64232,0.89396,1.86188,1.3138
6,1,0,1e+08,4052121031327,4052121753855,4052122614856,4052122688472,4052122711884,4052122981328,4052123164868,4052123164896,16,21.3357,7.22528,8.61001,0.73616,0.23412,2.69444,1.8354
7,1,0,1e+08,4052123899032,4052124188958,4052125445967,4052125556475,4052125573727,4052125888083,4052126069967,4052126070003,16,21.7097,2.89926,12.5701,1.10508,0.17252,3.14356,1.81884
8,1,0,1e+08,4052126912720,4052127745931,4052128576532,4052128652712,4052128686508,4052128967456,4052129110832,4052129110856,16,21.9814,8.33211,8.30601,0.7618,0.33796,2.80948,1.43376
9,1,0,1e+08,4052129795433,4052130177740,4052131437758,4052131512638,4052131535838,4052131845198,4052131984494,4052131984526,16,21.8909,3.82307,12.6002,0.7488,0.232,3.0936,1.39296
10,1,0,1e+08,4052132739678,4052133443739,4052134304352,4052134362148,4052134378676,4052134651380,4052134832424,4052134832452,16,20.9277,7.04061,8.60613,0.57796,0.16528,2.72704,1.81044
11,1,0,1e+08,4052135618515,4052136504560,4052137302877,4052137365637,4052137407789,4052137677249,4052137814725,4052137814757,16,21.9624,8.86045,7.98317,0.6276,0.42152,2.6946,1.37476
