frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4089621006572,4089622549938,4089623211657,4089623399865,4089623416809,4089623647781,4089623779369,4089623779401,16,27.7283,15.4337,6.61719,1.88208,0.16944,2.30972,1.31588
1,1,0,1e+08,4089625179818,4089625629555,4089626010239,4089626069499,4089626108407,4089626537315,4089626996504,4089626996592,16,18.1677,4.49737,3.80684,0.5926,0.38908,4.28908,4.59189
2,1,0,1e+08,4089627743957,4089630731770,4089631403480,4089631461288,4089631489645,4089631855338,4089631988682,4089631988706,16,42.4475,29.8781,6.7171,0.57808,0.28357,3.65693,1.33344
3,1,0,1e+08,4089632015146,4089632276958,4089632695070,4089632766610,4089632865246,4089633069354,4089633226326,4089633226354,16,12.1121,2.61812,4.18112,0.7154,0.98636,2.04108,1.56972
4,1,0,1e+08,4089633257702,4089633504150,4089633968146,4089634031194,4089634048230,4089634239654,4089634385302,4089634385326,16,11.2762,2.46448,4.63996,0.63048,0.17036,1.91424,1.45648
5,1,0,1e+08,4089634416958,4089635709713,4089636807233,4089636878753,4089636930137,4089637216093,4089637345777,4089637345813,16,29.2886,12.9276,10.9752,0.7152,0.51384,2.85956,1.29684
6,1,0,1e+08,4089637373013,4089639440535,4089640391162,4089640464770,4089640498022,4089640763286,4089640914422,4089640914458,16,35.4145,20.6752,9.50627,0.73608,0.33252,2.65264,1.51136
7,1,0,1e+08,4089640943510,4089641187414,4089641546946,4089641611214,4089641685642,4089641881062,4089642049122,4089642049154,16,11.0564,2.43904,3.59532,0.64268,0.74428,1.9542,1.6806
8,1,0,1e+08,4089642084486,4089648281731,4089649396548,4089649459212,4089649493576,4089649774436,4089649896508,4089649896536,16,78.1205,61.9724,11.1482,0.62664,0.34364,2.8086,1.22072
9,1,0,1e+08,4089649934920,4089651736361,4089652123513,4089652198393,4089652218981,4089652391305,4089652502021,4089652502053,16,25.6713,18.0144,3.87152,0.7488,0.20588,1.72324,1.10716
10,1,0,1e+08,4089652543153,4089654439796,4089654779444,4089654863276,4089654883560,4089655134751,4089655675225,4089655675305,16,31.3215,18.9664,3.39648,0.83832,0.20284,2.51191,5.40474
11,1,0,1e+08,4089655709117,4089657600843,4089658375434,4089658548524,4089658616364,4089659182104,4089659365252,4089659365300,16,36.5618,18.9173,7.74591,1.7309,0.6784,5.6574,1.83148
12,1,0,1e+08,4089659391912,4089661298181,4089661604453,4089661677421,4089661730145,4089662589469,4089662863909,4089662863981,16,34.7207,19.0627,3.06272,0.72968,0.52724,8.59324,2.7444
13,1,0,1e+08,4089662892804,4089665053855,4089666153438,4089666212334,4089666271178,4089666611150,4089666741842,4089666741882,16,38.4908,21.6105,10.9958,0.58896,0.58844,3.39972,1.30692
14,1,0,1e+08,4089666770406,4089668596800,4089668930096,4089669008304,4089669054492,4089669245504,4089669358420,4089669358440,16,25.8803,18.2639,3.33296,0.78208,0.46188,1.91012,1.12916
