frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22372600567291,22372602677199,22372603266859,22372603482511,22372603515223,22372603824545,22372604037125,22372604037317,16,34.7003,21.0991,5.8966,2.15652,0.32712,3.09322,2.1258
1,1,0,1e+08,22372606381604,22372607621181,22372608266486,22372608340154,22372608370946,22372608617086,22372608744894,22372608744926,16,23.6332,12.3958,6.45305,0.73668,0.30792,2.4614,1.27808
2,1,0,1e+08,22372611083633,22372612280595,22372613335925,22372613421561,22372613439821,22372613711153,22372613841173,22372613841209,16,27.5758,11.9696,10.5533,0.85636,0.1826,2.71332,1.3002
3,1,0,1e+08,22372616142912,22372617718351,22372618518805,22372618573633,22372618590805,22372618857505,22372619014721,22372619014757,16,28.7185,15.7544,8.00454,0.54828,0.17172,2.667,1.57216
4,1,0,1e+08,22372620423055,22372623121117,22372623783411,22372624223635,22372624250335,22372625370873,22372625568730,22372625568918,16,51.4586,26.9806,6.62294,4.40224,0.267,11.2054,1.97857
5,1,0,1e+08,22372625597758,22372625884458,22372626324722,22372626415146,22372626432142,22372626662174,22372626823694,22372626823734,16,12.2598,2.867,4.40264,0.90424,0.16996,2.30032,1.6152
6,1,0,1e+08,22372628670557,22372629175892,22372630231113,22372630289941,22372630323921,22372630609889,22372630746201,22372630746241,16,20.7568,5.05335,10.5522,0.58828,0.3398,2.85968,1.36312
7,1,0,1e+08,22372632996032,22372636392282,22372637147261,22372637209149,22372637243641,22372637511073,22372637662833,22372637662869,16,46.6684,33.9625,7.54979,0.61888,0.34492,2.67432,1.5176
8,1,0,1e+08,22372641215108,22372642286403,22372643102582,22372643161470,22372643194894,22372643466346,22372643592258,22372643592294,16,23.7719,10.713,8.16179,0.58888,0.33424,2.71452,1.25912
9,1,0,1e+08,22372647297746,22372648123552,22372648774534,22372648864978,22372648908806,22372649154318,22372649317350,22372649317386,16,20.1964,8.25806,6.50982,0.90444,0.43828,2.45512,1.63032
10,1,0,1e+08,22372654481761,22372655012360,22372656260445,22372656326265,22372656362393,22372656705085,22372656851053,22372656851093,16,23.6933,5.30599,12.4809,0.6582,0.36128,3.42692,1.45968
11,1,0,1e+08,22372659401750,22372659749118,22372660224110,22372660567706,22372660600038,22372661214061,22372661574252,22372661574492,16,21.7274,3.47368,4.74992,3.43596,0.32332,6.14023,3.60191
