frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4086098952831,4086100094051,4086101026138,4086101217662,4086101233618,4086101482482,4086101620694,4086101620718,16,26.6789,11.4122,9.32087,1.91524,0.15956,2.48864,1.38212
1,1,0,1e+08,4086102922385,4086103927946,4086104584965,4086104661741,4086104705221,4086104953441,4086105107357,4086105107393,16,21.8501,10.0556,6.57019,0.76776,0.4348,2.4822,1.53916
2,1,0,1e+08,4086105755478,4086109732086,4086110229982,4086110304390,4086110375030,4086110568922,4086110754778,4086110754802,16,49.9932,39.7661,4.97896,0.74408,0.7064,1.93892,1.85856
3,1,0,1e+08,4086110790914,4086111013210,4086111480282,4086111551214,4086111573850,4086111794946,4086111962022,4086111962054,16,11.7114,2.22296,4.67072,0.70932,0.22636,2.21096,1.67076
4,1,0,1e+08,4086112081086,4086112368142,4086113542600,4086113609388,4086113644524,4086113935020,4086114103492,4086114103524,16,20.2244,2.87056,11.7446,0.66788,0.35136,2.90496,1.68472
5,1,0,1e+08,4086114955024,4086115214942,4086116379045,4086116446333,4086116510033,4086116806745,4086116973157,4086116973193,16,20.1817,2.59918,11.641,0.67288,0.637,2.96712,1.66412
6,1,0,1e+08,4086117896279,4086118399695,4086119412360,4086119483100,4086119508972,4086119795720,4086119967672,4086119967700,16,20.7142,5.03416,10.1266,0.7074,0.25872,2.86748,1.71952
7,1,0,1e+08,4086120689748,4086121542365,4086122305610,4086122422322,4086122444710,4086122698578,4086122860970,4086122861002,16,21.7125,8.52617,7.63245,1.16712,0.22388,2.53868,1.62392
8,1,0,1e+08,4086123455786,4086124217031,4086124984697,4086125081585,4086125107981,4086125372625,4086125524517,4086125524541,16,20.6875,7.61245,7.67666,0.96888,0.26396,2.64644,1.51892
9,1,0,1e+08,4086126267742,4086126838456,4086127742009,4086127822417,4086127860493,4086128126061,4086128259593,4086128259629,16,19.9189,5.70714,9.03553,0.80408,0.38076,2.65568,1.33532
10,1,0,1e+08,4086129064290,4086129923739,4086130748311,4086130821071,4086130839763,4086131116303,4086131255795,4086131255823,16,21.9153,8.59449,8.24572,0.7276,0.18692,2.7654,1.39492
11,1,0,1e+08,4086132022278,4086132261192,4086133517909,4086133581501,4086133630309,4086133920337,4086134076233,4086134076265,16,20.5399,2.38914,12.5672,0.63592,0.48808,2.90028,1.55896
12,1,0,1e+08,4086134928384,4086135853460,4086136496705,4086136584473,4086136603217,4086136849345,4086137012093,4086137012117,16,20.8373,9.25076,6.43245,0.87768,0.18744,2.46128,1.62748
13,1,0,1e+08,4086137720840,4086138731557,4086139384757,4086139462757,4086139491209,4086139740149,4086139926849,4086139926877,16,22.0604,10.1072,6.532,0.78,0.28452,2.4894,1.867
14,1,0,1e+08,4086140440149,4086140994618,4086142012434,4086142169474,4086142190222,4086142454318,4086142619466,4086142619490,16,21.7934,5.54469,10.1782,1.5704,0.20748,2.64096,1.65148
15,1,0,1e+08,4086143280233,4086143780298,4086144817010,4086144899046,4086144924738,4086145203934,4086145349254,4086145349362,16,20.6913,5.00065,10.3671,0.82036,0.25692,2.79196,1.4532
16,1,0,1e+08,4086146073992,4086146851487,4086147726438,4086147811586,4086147842302,4086148106306,4086148229054,4086148229078,16,21.5509,7.77495,8.74951,0.85148,0.30716,2.64004,1.22748
17,1,0,1e+08,4086148922288,4086149648348,4086150467588,4086150554212,4086150606344,4086150876592,4086151005920,4086151005952,16,20.8366,7.2606,8.1924,0.86624,0.52132,2.70248,1.29328
18,1,0,1e+08,4086151602035,4086152604730,4086153252894,4086153360034,4086153402694,4086153641542,4086153765754,4086153765778,16,21.6374,10.0269,6.48164,1.0714,0.4266,2.38848,1.24212
19,1,0,1e+08,4086154536095,4086155386210,4086156127520,4086156248504,4086156272140,4086156515572,4086156651772,4086156651804,16,21.1571,8.50115,7.4131,1.20984,0.23636,2.43432,1.362
20,1,0,1e+08,4086157376043,4086158302960,4086158931877,4086159014073,4086159041021,4086159281401,4086159399733,4086159399757,16,20.2371,9.26917,6.28917,0.82196,0.26948,2.4038,1.18332
