frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4093296821719,4093298285093,4093299006797,4093299171549,4093299188321,4093299429325,4093299429361,4093299429389,16,26.0767,14.6337,7.21704,1.64752,0.16772,2.41004,0.00036
1,1,0,1e+08,4093300934622,4093301525340,4093302074848,4093302175548,4093302202224,4093302475340,4093302475448,4093302475476,16,15.4085,5.90718,5.49508,1.007,0.26676,2.73116,0.00108
2,1,0,1e+08,4093302730165,4093304079792,4093304763861,4093304834193,4093304873377,4093305128773,4093305128813,4093305128841,16,23.9868,13.4963,6.84069,0.70332,0.39184,2.55396,0.0004
3,1,0,1e+08,4093305692196,4093306642305,4093307082205,4093307153017,4093307189201,4093307381353,4093307381401,4093307381453,16,16.8926,9.50109,4.399,0.70812,0.36184,1.92152,0.00048
4,1,0,1e+08,4093307410593,4093307620041,4093308033193,4093308102361,4093308131105,4093308887881,4093308887973,4093308888045,16,14.7745,2.09448,4.13152,0.69168,0.28744,7.56776,0.00092
5,1,0,1e+08,4093310425325,4093310719427,4093311258363,4093311327311,4093311357499,4093311586755,4093311586791,4093311586823,16,11.615,2.94102,5.38936,0.68948,0.30188,2.29256,0.00036
6,1,0,1e+08,4093312116835,4093312780068,4093313721494,4093313811970,4093313833918,4093314160030,4093314160158,4093314160190,16,20.4336,6.63233,9.41426,0.90476,0.21948,3.26112,0.00128
7,1,0,1e+08,4093315081396,4093315637671,4093316614001,4093316689209,4093316719973,4093316993973,4093316994009,4093316994045,16,19.1265,5.56275,9.7633,0.75208,0.30764,2.74,0.00036
8,1,0,1e+08,4093317983597,4093318265470,4093318563982,4093318655538,4093318672278,4093319277458,4093319278018,4093319278168,16,12.9457,2.81873,2.98512,0.91556,0.1674,6.0518,0.0056
9,1,0,1e+08,4093321074462,4093321311760,4093322507032,4093322620324,4093322638148,4093322965596,4093322965740,4093322965776,16,18.9131,2.37298,11.9527,1.13292,0.17824,3.27448,0.00144
10,1,0,1e+08,4093324018169,4093324817764,4093325637854,4093325724038,4093325749826,4093326027570,4093326027602,4093326027630,16,20.0946,7.99595,8.2009,0.86184,0.25788,2.77744,0.00032
11,1,0,1e+08,4093326835713,4093327638148,4093328397458,4093328533270,4093328556790,4093328821790,4093328821826,4093328821862,16,19.8615,8.02435,7.5931,1.35812,0.2352,2.65,0.00036
12,1,0,1e+08,4093329666739,4093330558689,4093331299548,4093331370736,4093331399836,4093331672120,4093331672236,4093331672264,16,20.0553,8.9195,7.40859,0.71188,0.291,2.72284,0.00116
13,1,0,1e+08,4093332545727,4093333397183,4093334168418,4093334235570,4093334268738,4093334528482,4093334528518,4093334528554,16,19.8283,8.51456,7.71235,0.67152,0.33168,2.59744,0.00036
14,1,0,1e+08,4093335314864,4093335569538,4093335882422,4093335941850,4093335977610,4093336132830,4093336132854,4093336132874,16,8.1801,2.54674,3.12884,0.59428,0.3576,1.5522,0.00024
15,1,0,1e+08,4093337226478,4093338092981,4093338873101,4093338975917,4093338997133,4093339262025,4093339262061,4093339262153,16,20.3567,8.66503,7.8012,1.02816,0.21216,2.64892,0.00036
16,1,0,1e+08,4093340254870,4093341127745,4093341879746,4093341992990,4093342009546,4093342275106,4093342275142,4093342275166,16,20.203,8.72875,7.52001,1.13244,0.16556,2.6556,0.00036
17,1,0,1e+08,4093343113808,4093343577224,4093344706544,4093344787224,4093344825076,4093345118988,4093345119028,4093345119068,16,20.0526,4.63416,11.2932,0.8068,0.37852,2.93912,0.0004
18,1,0,1e+08,4093345845737,4093346105858,4093347306589,4093347388113,4093347469589,4093347815857,4093347816005,4093347816037,16,19.703,2.60121,12.0073,0.81524,0.81476,3.46268,0.00148
19,1,0,1e+08,4093348810507,4093349505065,4093350413888,4093350497412,4093350539976,4093350812340,4093350812380,4093350812416,16,20.0191,6.94558,9.08823,0.83524,0.42564,2.72364,0.0004
20,1,0,1e+08,4093351548506,4093352425874,4093353136425,4093353260409,4093353281361,4093353523281,4093353523313,4093353523337,16,19.7483,8.77368,7.10551,1.23984,0.20952,2.4192,0.00032
21,1,0,1e+08,4093354209250,4093355205326,4093355834251,4093355932331,4093355969951,4093356199507,4093356199539,4093356199571,16,19.9032,9.96076,6.28925,0.9808,0.3762,2.29556,0.00032
22,1,0,1e+08,4093356844997,4093357648021,4093358402718,4093358523538,4093358552938,4093358810582,4093358810618,4093358810642,16,19.6564,8.03024,7.54697,1.2082,0.294,2.57644,0.00036
23,1,0,1e+08,4093359501138,4093360434144,4093361095108,4093361186968,4093361274308,4093361504264,4093361504296,4093361504328,16,20.0319,9.33006,6.60964,0.9186,0.8734,2.29956,0.00032
24,1,0,1e+08,4093362241681,4093363132508,4093363831470,4093363966366,4093363991830,4093364237330,4093364237362,4093364237390,16,19.9571,8.90827,6.98962,1.34896,0.25464,2.455,0.00032
25,1,0,1e+08,4093364940779,4093365771808,4093366504666,4093366607170,4093366659086,4093366914182,4093366914214,4093366914246,16,19.7347,8.31029,7.32858,1.02504,0.51916,2.55096,0.00032
26,1,0,1e+08,4093367578215,4093368098660,4093369109604,4093369240092,4093369264748,4093369536216,4093369536252,4093369536280,16,19.5807,5.20445,10.1094,1.30488,0.24656,2.71468,0.00036
27,1,0,1e+08,4093370433732,4093371303148,4093372034321,4093372141037,4093372185713,4093372455953,4093372456065,4093372456097,16,20.2236,8.69416,7.31173,1.06716,0.44676,2.7024,0.00112
28,1,0,1e+08,4093373171713,4093374101542,4093374760848,4093374850324,4093374883760,4093375135800,4093375135836,4093375135860,16,19.6415,9.29829,6.59306,0.89476,0.33436,2.5204,0.00036
29,1,0,1e+08,4093375860777,4093376880716,4093377509641,4093377581145,4093377615913,4093377871341,4093377871377,4093377871409,16,20.1063,10.1994,6.28925,0.71504,0.34768,2.55428,0.00036
30,1,0,1e+08,4093378936332,4093379749066,4093380503742,4093380597818,4093380624630,4093380881418,4093380881450,4093380881478,16,19.4515,8.12734,7.54676,0.94076,0.26812,2.56788,0.00032
31,1,0,1e+08,4093381584726,4093382151799,4093383122233,4093383250385,4093383275429,4093383533285,4093383533321,4093383533357,16,19.4863,5.67073,9.70434,1.28152,0.25044,2.57856,0.00036
32,1,0,1e+08,4093384155319,4093384908956,4093385726741,4093385839465,4093385863773,4093386128625,4093386128661,4093386128685,16,19.7337,7.53637,8.17785,1.12724,0.24308,2.64852,0.00036
33,1,0,1e+08,4093386791776,4093386989328,4093387288572,4093387356704,4093387380216,4093387537756,4093387537780,4093387537804,16,7.46028,1.97552,2.99244,0.68132,0.23512,1.5754,0.00024
34,1,0,1e+08,4093388466573,4093389316532,4093390031753,4093390098825,4093390142145,4093390423961,4093390424065,4093390424097,16,19.5752,8.49959,7.15221,0.67072,0.4332,2.81816,0.00104
35,1,0,1e+08,4093390999542,4093391556546,4093392521837,4093392636789,4093392654177,4093392924245,4093392924281,4093392924317,16,19.2477,5.57004,9.65291,1.14952,0.17388,2.70068,0.00036
36,1,0,1e+08,4093393625717,4093394411120,4093395176673,4093395239221,4093395278845,4093395571037,4093395571129,4093395571157,16,19.4544,7.85403,7.65553,0.62548,0.39624,2.92192,0.00092
37,1,0,1e+08,4093396291116,4093396909775,4093397822268,4093397953336,4093397969196,4093398246592,4093398246628,4093398246664,16,19.5555,6.18659,9.12493,1.31068,0.1586,2.77396,0.00036
38,1,0,1e+08,4093398928915,4093399766990,4093400508801,4093400566837,4093400584757,4093400856185,4093400856221,4093400856249,16,19.2733,8.38075,7.41811,0.58036,0.1792,2.71428,0.00036
39,1,0,1e+08,4093401492205,4093401732239,4093402966772,4093403099088,4093403119888,4093403426636,4093403426744,4093403426780,16,19.3457,2.40034,12.3453,1.32316,0.208,3.06748,0.00108
40,1,0,1e+08,4093404136247,4093405004922,4093405716712,4093405780128,4093405805296,4093406066880,4093406066916,4093406066944,16,19.307,8.68675,7.1179,0.63416,0.25168,2.61584,0.00036
41,1,0,1e+08,4093406814732,4093407497589,4093408393101,4093408468645,4093408498233,4093408778441,4093408778477,4093408778513,16,19.6378,6.82857,8.95512,0.75544,0.29588,2.80208,0.00036
42,1,0,1e+08,4093409516295,4093409734691,4093410038459,4093410098875,4093410157411,4093410362919,4093410362991,4093410363011,16,8.46716,2.18396,3.03768,0.60416,0.58536,2.05508,0.00072
43,1,0,1e+08,4093411155903,4093411681371,4093412826966,4093412969022,4093412987942,4093413284710,4093413284826,4093413284862,16,21.2896,5.25468,11.4559,1.42056,0.1892,2.96768,0.00116
44,1,0,1e+08,4093413922415,4093414148903,4093415318745,4093415386781,4093415425441,4093415756449,4093415756553,4093415756581,16,18.3417,2.26488,11.6984,0.68036,0.3866,3.31008,0.00104
45,1,0,1e+08,4093416576282,4093417181229,4093418118496,4093418276044,4093418301480,4093418562876,4093418562912,4093418562948,16,19.8667,6.04947,9.37267,1.57548,0.25436,2.61396,0.00036
46,1,0,1e+08,4093419271678,4093420062126,4093420856408,4093420931320,4093420976988,4093421242736,4093421242768,4093421242796,16,19.7112,7.90448,7.94282,0.74912,0.45668,2.65748,0.00032
47,1,0,1e+08,4093422078332,4093422921014,4093423739231,4093423839283,4093423859031,4093424144963,4093424145067,4093424145103,16,20.6677,8.42682,8.18217,1.00052,0.19748,2.85932,0.00104
48,1,0,1e+08,4093425191809,4093425787626,4093426725210,4093426829658,4093426881774,4093427164850,4093427164946,4093427164974,16,19.7316,5.95817,9.37584,1.04448,0.52116,2.83076,0.00096
49,1,0,1e+08,4093427934329,4093428745919,4093429543302,4093429623238,4093429680798,4093429950130,4093429950222,4093429950254,16,20.1593,8.1159,7.97383,0.79936,0.5756,2.69332,0.00092
50,1,0,1e+08,4093430619067,4093431190309,4093432132323,4093432214503,4093432269887,4093432551443,4093432551531,4093432551559,16,19.3249,5.71242,9.42014,0.8218,0.55384,2.81556,0.00088
51,1,0,1e+08,4093433359987,4093434147806,4093434902920,4093434984604,4093435051700,4093435301852,4093435301888,4093435301924,16,19.4194,7.87819,7.55114,0.81684,0.67096,2.50152,0.00036
52,1,0,1e+08,4093436199449,4093436974389,4093437706026,4093437785118,4093437840658,4093438089078,4093438089114,4093438089142,16,18.8969,7.7494,7.31637,0.79092,0.5554,2.4842,0.00036
53,1,0,1e+08,4093438969178,4093439869784,4093440552172,4093440642240,4093440692416,4093440946976,4093440947064,4093440947096,16,19.7792,9.00606,6.82388,0.90068,0.50176,2.5456,0.00088
54,1,0,1e+08,4093441823232,4093442650298,4093443408425,4093443580293,4093443597121,4093443843329,4093443843361,4093443843389,16,20.2016,8.27066,7.58127,1.71868,0.16828,2.46208,0.00032
55,1,0,1e+08,4093444653978,4093445556273,4093446254602,4093446359794,4093446398810,4093446649122,4093446649158,4093446649186,16,19.9521,9.02295,6.98329,1.05192,0.39016,2.50312,0.00036
56,1,0,1e+08,4093447410674,4093447635683,4093448776714,4093448857130,4093448906310,4093449216162,4093449216262,4093449216294,16,18.0562,2.25009,11.4103,0.80416,0.4918,3.09852,0.001
57,1,0,1e+08,4093450141094,4093450756157,4093451642113,4093451723141,4093451762489,4093452026793,4093452026829,4093452026865,16,18.8577,6.15063,8.85956,0.81028,0.39348,2.64304,0.00036
58,1,0,1e+08,4093452855154,4093453663254,4093454460669,4093454580073,4093454601893,4093454875241,4093454875337,4093454875365,16,20.2021,8.081,7.97415,1.19404,0.2182,2.73348,0.00096
59,1,0,1e+08,4093455870847,4093456552737,4093457451240,4093457594192,4093457614636,4093457879204,4093457879296,4093457879332,16,20.0849,6.8189,8.98503,1.42952,0.20444,2.64568,0.00092
60,1,0,1e+08,4093458907934,4093459143276,4093459435520,4093459512420,4093459536724,4093459715796,4093459715864,4093459715888,16,8.07954,2.35342,2.92244,0.769,0.24304,1.79072,0.00068
61,1,0,1e+08,4093460638838,4093461087024,4093462166828,4093462245844,4093462299800,4093462585392,4093462585432,4093462585468,16,19.4663,4.48186,10.798,0.79016,0.53956,2.85592,0.0004
62,1,0,1e+08,4093463446215,4093464237506,4093465053113,4093465141729,4093465188445,4093465459037,4093465459129,4093465459157,16,20.1294,7.91291,8.15607,0.88616,0.46716,2.70592,0.00092
63,1,0,1e+08,4093466188579,4093466590045,4093467680753,4093467798805,4093467820553,4093468109585,4093468109625,4093468109661,16,19.2108,4.01466,10.9071,1.18052,0.21748,2.89032,0.0004
64,1,0,1e+08,4093468946307,4093469708717,4093470555562,4093470648434,4093470697306,4093470959862,4093470959898,4093470959926,16,20.1362,7.6241,8.46845,0.92872,0.48872,2.62556,0.00036
65,1,0,1e+08,4093471819408,4093472423398,4093473260441,4093473382993,4093473405697,4093473680381,4093473680417,4093473680453,16,18.6105,6.0399,8.37043,1.22552,0.22704,2.74684,0.00036
66,1,0,1e+08,4093474560980,4093474827136,4093475158928,4093475218656,4093475233752,4093476101616,4093476101896,4093476101964,16,15.4098,2.66156,3.31792,0.59728,0.15096,8.67864,0.0028
67,1,0,1e+08,4093477376482,4093477654086,4093477968602,4093478050222,4093478091738,4093478265970,4093478266054,4093478266078,16,8.89596,2.77604,3.14516,0.8162,0.41516,1.74232,0.00084
68,1,0,1e+08,4093479058425,4093479585466,4093480642750,4093480744074,4093480767746,4093481054734,4093481054770,4093481054798,16,19.9637,5.27041,10.5728,1.01324,0.23672,2.86988,0.00036
69,1,0,1e+08,4093481895681,4093482513812,4093483429126,4093483538754,4093483568322,4093483836118,4093483836154,4093483836190,16,19.4051,6.18131,9.15314,1.09628,0.29568,2.67796,0.00036
70,1,0,1e+08,4093484743599,4093485473731,4093486334101,4093486425769,4093486485005,4093486759589,4093486759705,4093486759733,16,20.1613,7.30132,8.6037,0.91668,0.59236,2.74584,0.00116
71,1,0,1e+08,4093487568041,4093488364761,4093489164597,4093489252629,4093489299301,4093489561713,4093489561749,4093489561785,16,19.9374,7.9672,7.99836,0.88032,0.46672,2.62412,0.00036
72,1,0,1e+08,4093490285920,4093491000565,4093491832518,4093491926398,4093491964246,4093492273154,4093492273274,4093492273302,16,19.8738,7.14645,8.31953,0.9388,0.37848,3.08908,0.0012
73,1,0,1e+08,4093493119346,4093493341938,4093493636446,4093493695946,4093493763670,4093493937258,4093493937342,4093493937366,16,8.1802,2.22592,2.94508,0.595,0.67724,1.73588,0.00084
74,1,0,1e+08,4093495023677,4093495257814,4093495563698,4093495629018,4093495660230,4093495866154,4093495866246,4093495866266,16,8.42589,2.34137,3.05884,0.6532,0.31212,2.05924,0.00092
75,1,0,1e+08,4093496804930,4093497455455,4093498275436,4093498340684,4093498396884,4093498671940,4093498672056,4093498672088,16,18.6716,6.50525,8.19981,0.65248,0.562,2.75056,0.00116
76,1,0,1e+08,4093499493780,4093500260982,4093500998189,4093501063981,4093501107297,4093501368717,4093501368753,4093501368781,16,18.75,7.67202,7.37207,0.65792,0.43316,2.6142,0.00036
77,1,0,1e+08,4093502240070,4093502762126,4093503786189,4093503895541,4093503912697,4093504191401,4093504191437,4093504191473,16,19.514,5.22056,10.2406,1.09352,0.17156,2.78704,0.00036
78,1,0,1e+08,4093505005510,4093505251487,4093505556903,4093505620839,4093505653031,4093505815111,4093505815135,4093505815155,16,8.09645,2.45977,3.05416,0.63936,0.32192,1.6208,0.00024
79,1,0,1e+08,4093507021076,4093508004972,4093508639621,4093508701925,4093508732925,4093508973289,4093508973325,4093508973417,16,19.5234,9.83896,6.34649,0.62304,0.31,2.40364,0.00036
80,1,0,1e+08,4093509762765,4093510609948,4093511428688,4093511491568,4093511518820,4093511801444,4093511801480,4093511801508,16,20.3874,8.47183,8.1874,0.6288,0.27252,2.82624,0.00036
81,1,0,1e+08,4093512621287,4093512878623,4093513254071,4093513337539,4093513368639,4093513556023,4093513556051,4093513556079,16,9.34792,2.57336,3.75448,0.83468,0.311,1.87384,0.00028
82,1,0,1e+08,4093514291521,4093514570953,4093515048337,4093515221558,4093515338415,4093515980401,4093515980597,4093515980645,16,16.8912,2.79432,4.77384,1.73221,1.16857,6.41986,0.00196
83,1,0,1e+08,4093517122150,4093517342162,4093517658994,4093517720834,4093517752630,4093517915302,4093517915326,4093517915350,16,7.932,2.20012,3.16832,0.6184,0.31796,1.62672,0.00024
84,1,0,1e+08,4093518923085,4093519183021,4093519731730,4093519904563,4093520040146,4093520645932,4093520646140,4093520646192,16,17.2311,2.59936,5.48709,1.72833,1.35583,6.05786,0.00208
85,1,0,1e+08,4093521905534,4093522165747,4093522639423,4093522700815,4093522730175,4093522999287,4093522999411,4093522999447,16,10.9391,2.60213,4.73676,0.61392,0.2936,2.69112,0.00124
86,1,0,1e+08,4093523492703,4093523815320,4093525033431,4093525108595,4093525145391,4093525441491,4093525441611,4093525441639,16,19.4894,3.22617,12.1811,0.75164,0.36796,2.961,0.0012
87,1,0,1e+08,4093526230655,4093526599811,4093526927163,4093527074627,4093527127130,4093528033592,4093528033800,4093528033860,16,18.0321,3.69156,3.27352,1.47464,0.52503,9.06462,0.00208
88,1,0,1e+08,4093529301691,4093529599840,4093529916256,4093529976832,4093529996740,4093530154804,4093530154828,4093530154848,16,8.53157,2.98149,3.16416,0.60576,0.19908,1.58064,0.00024
89,1,0,1e+08,4093531171051,4093531952449,4093532692766,4093532794730,4093532812482,4093533068318,4093533068354,4093533068386,16,18.9733,7.81398,7.40317,1.01964,0.17752,2.55836,0.00036
90,1,0,1e+08,4093534395298,4093535076625,4093536035412,4093536111764,4093536134944,4093536401776,4093536401812,4093536401840,16,20.0654,6.81327,9.58787,0.76352,0.2318,2.66832,0.00036
91,1,0,1e+08,4093537187432,4093537934499,4093538771556,4093538865372,4093538881652,4093539164720,4093539164840,4093539164872,16,19.7744,7.47067,8.37057,0.93816,0.1628,2.83068,0.0012
92,1,0,1e+08,4093540055263,4093540881946,4093541610333,4093541718341,4093541735865,4093541993625,4093541993661,4093541993685,16,19.3842,8.26683,7.28387,1.08008,0.17524,2.5776,0.00036
93,1,0,1e+08,4093542689331,4093542998333,4093544144623,4093544230675,4093544279011,4093544573755,4093544573791,4093544573827,16,18.845,3.09002,11.4629,0.86052,0.48336,2.94744,0.00036
94,1,0,1e+08,4093545491811,4093546255676,4093547055293,4093547119161,4093547158749,4093547424973,4093547425009,4093547425037,16,19.3323,7.63865,7.99617,0.63868,0.39588,2.66224,0.00036
95,1,0,1e+08,4093548363577,4093549223534,4093549992573,4093550054017,4093550075113,4093550345553,4093550345589,4093550345621,16,19.8204,8.59957,7.69039,0.61444,0.21096,2.7044,0.00036
96,1,0,1e+08,4093551107162,4093552112624,4093552769384,4093552864372,4093552885252,4093553177552,4093553177656,4093553177680,16,20.7052,10.0546,6.5676,0.94988,0.2088,2.923,0.00104
97,1,0,1e+08,4093553741051,4093554537586,4093555289836,4093555350476,4093555378156,4093555654712,4093555654748,4093555654780,16,19.1373,7.96535,7.5225,0.6064,0.2768,2.76556,0.00036
98,1,0,1e+08,4093556506753,4093556792482,4093557099222,4093557165442,4093557207178,4093557393858,4093557393926,4093557393946,16,8.87193,2.85729,3.0674,0.6622,0.41736,1.8668,0.00068
99,1,0,1e+08,4093558470845,4093559280978,4093560017148,4093560102176,4093560144492,4093560415352,4093560415444,4093560415480,16,19.4464,8.10133,7.3617,0.85028,0.42316,2.7086,0.00092
100,1,0,1e+08,4093561227885,4093562036477,4093562837396,4093562938916,4093562959916,4093563233332,4093563233368,4093563233396,16,20.0551,8.08592,8.00919,1.0152,0.21,2.73416,0.00036
101,1,0,1e+08,4093564137382,4093564933909,4093565686193,4093565772849,4093565814829,4093566085897,4093566085933,4093566085969,16,19.4859,7.96527,7.52284,0.86656,0.4198,2.71068,0.00036
102,1,0,1e+08,4093566938007,4093568010222,4093568683661,4093568816285,4093568837169,4093569086401,4093569086437,4093569086465,16,21.4846,10.7221,6.73439,1.32624,0.20884,2.49232,0.00036
103,1,0,1e+08,4093569823001,4093570728064,4093571445410,4093571576418,4093571596910,4093571837098,4093571837130,4093571837162,16,20.1416,9.05063,7.17346,1.31008,0.20492,2.40188,0.00032
104,1,0,1e+08,4093572428084,4093572654884,4093572956220,4093573019104,4093573042384,4093573199740,4093573199768,4093573199788,16,7.71704,2.268,3.01336,0.62884,0.2328,1.57356,0.00028
105,1,0,1e+08,4093574172886,4093574979692,4093575759585,4093575825405,4093575871741,4093576142825,4093576142861,4093576142893,16,19.7001,8.06806,7.79893,0.6582,0.46336,2.71084,0.00036
106,1,0,1e+08,4093577060989,4093577589953,4093578608204,4093578709484,4093578754352,4093579071040,4093579071132,4093579071160,16,20.1017,5.28964,10.1825,1.0128,0.44868,3.16688,0.00092
107,1,0,1e+08,4093579840022,4093580707036,4093581492298,4093581569786,4093581615582,4093581889018,4093581889054,4093581889090,16,20.4907,8.67014,7.85262,0.77488,0.45796,2.73436,0.00036
108,1,0,1e+08,4093582497101,4093582979501,4093583998965,4093584119265,4093584142429,4093584462861,4093584462957,4093584462985,16,19.6588,4.824,10.1946,1.203,0.23164,3.20432,0.00096
109,1,0,1e+08,4093585387856,4093586159712,4093586901126,4093586997498,4093587051758,4093587309426,4093587309514,4093587309546,16,19.2169,7.71856,7.41414,0.96372,0.5426,2.57668,0.00088
110,1,0,1e+08,4093588076733,4093588941332,4093589754456,4093589840952,4093589894508,4093590163060,4093590163176,4093590163204,16,20.8647,8.64599,8.13124,0.86496,0.53556,2.68552,0.00116
111,1,0,1e+08,4093590983785,4093591817570,4093592540316,4093592683868,4093592705276,4093592956592,4093592956692,4093592956728,16,19.7294,8.33785,7.22746,1.43552,0.21408,2.51316,0.001
112,1,0,1e+08,4093593783811,4093594564109,4093595303821,4093595384061,4093595442153,4093595702829,4093595702921,4093595702949,16,19.1914,7.80298,7.39712,0.8024,0.58092,2.60676,0.00092
113,1,0,1e+08,4093596524372,4093597183652,4093598050016,4093598162008,4093598182084,4093598450760,4093598450852,4093598450888,16,19.2652,6.5928,8.66364,1.11992,0.20076,2.68676,0.00092
114,1,0,1e+08,4093599330249,4093599888438,4093600961234,4093601086082,4093601113082,4093601387074,4093601387114,4093601387142,16,20.5689,5.58189,10.728,1.24848,0.27,2.73992,0.0004
115,1,0,1e+08,4093602209770,4093603247668,4093603892669,4093603992381,4093604041269,4093604274461,4093604274493,4093604274525,16,20.6475,10.379,6.45001,0.99712,0.48888,2.33192,0.00032
116,1,0,1e+08,4093606267087,4093606573487,4093606987355,4093607108819,4093607137687,4093607689018,4093607689213,4093607689358,16,14.2227,3.064,4.13868,1.21464,0.28868,5.51331,0.00195
117,1,0,1e+08,4093609496517,4093610123034,4093611034744,4093611122772,4093611150128,4093611422916,4093611422948,4093611422984,16,19.2647,6.26517,9.1171,0.88028,0.27356,2.72788,0.00032
118,1,0,1e+08,4093612712085,4093612996829,4093613487653,4093613579389,4093613607437,4093613836521,4093613836553,4093613836577,16,11.2449,2.84744,4.90824,0.91736,0.28048,2.29084,0.00032
119,1,0,1e+08,4093615200586,4093615504450,4093615921142,4093616001230,4093616023530,4093616832468,4093616832684,4093616832772,16,16.3219,3.03864,4.16692,0.80088,0.223,8.08938,0.00216
120,1,0,1e+08,4093618708018,4093619029280,4093619692488,4093619787208,4093619810540,4093620094888,4093620095024,4093620095056,16,13.8704,3.21262,6.63208,0.9472,0.23332,2.84348,0.00136
121,1,0,1e+08,4093620643710,4093621451184,4093622203305,4093622333497,4093622361897,4093622615129,4093622615165,4093622615201,16,19.7149,8.07474,7.52121,1.30192,0.284,2.53232,0.00036
122,1,0,1e+08,4093624150574,4093624947892,4093625736904,4093625823852,4093625870240,4093626139508,4093626139592,4093626139620,16,19.8905,7.97318,7.89012,0.86948,0.46388,2.69268,0.00084
123,1,0,1e+08,4093627529573,4093627901219,4093629519883,4093629623179,4093629664567,4093630010016,4093630010080,4093630010140,16,24.8057,3.71646,16.1866,1.03296,0.41388,3.45449,0.00064
124,1,0,1e+08,4093630057140,4093630444285,4093631274820,4093631368816,4093631399884,4093631700768,4093631700948,4093631700984,16,16.4384,3.87145,8.30535,0.93996,0.31068,3.00884,0.0018
125,1,0,1e+08,4093632172959,4093632508416,4093632996400,4093633066316,4093633088808,4093633380288,4093633380336,4093633380384,16,12.0742,3.35457,4.87984,0.69916,0.22492,2.9148,0.00048
126,1,0,1e+08,4093633876789,4093634241581,4093634818737,4093634893101,4093634911541,4093635206509,4093635206549,4093635206585,16,13.298,3.64792,5.77156,0.74364,0.1844,2.94968,0.0004
127,1,0,1e+08,4093636055667,4093636438867,4093637023567,4093637105999,4093637137199,4093637502619,4093637502739,4093637502783,16,14.4712,3.832,5.847,0.82432,0.312,3.6542,0.0012
128,1,0,1e+08,4093638387238,4093638991947,4093639681283,4093639768779,4093639791287,4093640147591,4093640147643,4093640147679,16,17.6044,6.04709,6.89336,0.87496,0.22508,3.56304,0.00052
129,1,0,1e+08,4093641702458,4093642284128,4093643021948,4093643097252,4093643139280,4093643482220,4093643482272,4093643482316,16,17.7986,5.8167,7.3782,0.75304,0.42028,3.4294,0.00052
