frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22377485770845,22377487467934,22377488544234,22377488756642,22377488793318,22377488793418,22377488931894,22377488931918,16,31.6107,16.9709,10.763,2.12408,0.36676,0.001,1.38476
1,1,0,1e+08,22377491167754,22377491954769,22377492877355,22377492933315,22377492966807,22377492966975,22377493113759,22377493113799,16,19.4605,7.87015,9.22586,0.5596,0.33492,0.00168,1.46784
2,1,0,1e+08,22377496754226,22377497355015,22377498111657,22377498166433,22377498206445,22377498206565,22377498331285,22377498331313,16,15.7709,6.00789,7.56642,0.54776,0.40012,0.0012,1.2472
3,1,0,1e+08,22377501046969,22377501676884,22377502873865,22377502942325,22377502962817,22377502962869,22377503098585,22377503098629,16,20.5166,6.29915,11.9698,0.6846,0.20492,0.00052,1.35716
4,1,0,1e+08,22377506539073,22377507726535,22377508333904,22377508405064,22377508441172,22377508441316,22377508570780,22377508570808,16,20.3174,11.8746,6.07369,0.7116,0.36108,0.00144,1.29464
5,1,0,1e+08,22377513609517,22377514824872,22377515453846,22377515545794,22377515584378,22377515584510,22377515724666,22377515724702,16,21.1518,12.1536,6.28974,0.91948,0.38584,0.00132,1.40156
6,1,0,1e+08,22377520589034,22377522079727,22377523490044,22377523595244,22377523627520,22377523627572,22377523796268,22377523796304,16,32.0727,14.9069,14.1032,1.052,0.32276,0.00052,1.68696
7,1,0,1e+08,22377530080316,22377531509804,22377532045940,22377532122872,22377532147092,22377532147128,22377532291436,22377532291468,16,22.1115,14.2949,5.36136,0.76932,0.2422,0.00036,1.44308
8,1,0,1e+08,22377537093246,22377538050860,22377538718021,22377538782269,22377538822237,22377538822381,22377538959425,22377538959457,16,18.6621,9.57614,6.67161,0.64248,0.39968,0.00144,1.37044
9,1,0,1e+08,22377542608831,22377543659556,22377544712218,22377544840626,22377544858602,22377544858646,22377545142572,22377545142758,16,25.3393,10.5072,10.5266,1.28408,0.17976,0.00044,2.83926
10,1,0,1e+08,22377549467919,22377550284572,22377551044421,22377551134489,22377551154153,22377551154197,22377551287017,22377551287049,16,18.1913,8.16653,7.59849,0.90068,0.19664,0.00044,1.3282
11,1,0,1e+08,22377556058222,22377556690030,22377557584631,22377557848371,22377557903971,22377557904161,22377558333938,22377558334034,16,22.7581,6.31808,8.94601,2.6374,0.556,0.0019,4.29777
12,1,0,1e+08,22377562997454,22377563979734,22377564641945,22377564780733,22377564810409,22377564810449,22377564965641,22377564965669,16,19.6822,9.8228,6.62211,1.38788,0.29676,0.0004,1.55192
13,1,0,1e+08,22377569245924,22377570278558,22377570993321,22377571052897,22377571085021,22377571085177,22377571223009,22377571223049,16,19.7713,10.3263,7.14763,0.59576,0.32124,0.00156,1.37832
14,1,0,1e+08,22377580615405,22377581620857,22377582273831,22377582346595,22377582397011,22377582397147,22377582546179,22377582546219,16,19.3081,10.0545,6.52974,0.72764,0.50416,0.00136,1.49032
15,1,0,1e+08,22377587148658,22377587686096,22377588530599,22377588650307,22377588672299,22377588672327,22377588818251,22377588818435,16,16.6978,5.37438,8.44503,1.19708,0.21992,0.00028,1.45924
16,1,0,1e+08,22377592579388,22377593272647,22377594109379,22377594230695,22377594253459,22377594253503,22377594403859,22377594403891,16,18.245,6.93259,8.36732,1.21316,0.22764,0.00044,1.50356
17,1,0,1e+08,22377601370864,22377602016043,22377602657645,22377602726149,22377602766697,22377602766881,22377602912145,22377602912193,16,15.4133,6.45179,6.41602,0.68504,0.40548,0.00184,1.45264
18,1,0,1e+08,22377607230432,22377607582246,22377608094296,22377608165080,22377608188004,22377608188032,22377608342000,22377608342028,16,11.116,3.51814,5.1205,0.70784,0.22924,0.00028,1.53968
19,1,0,1e+08,22377612992810,22377613479376,22377614263627,22377614340195,22377614383828,22377614383988,22377614536212,22377614536252,16,15.4344,4.86566,7.84251,0.76568,0.43633,0.0016,1.52224
20,1,0,1e+08,22377619155460,22377619548259,22377620121957,22377620184369,22377620223885,22377620223993,22377620379037,22377620379069,16,12.2361,3.92799,5.73698,0.62412,0.39516,0.00108,1.55044
21,1,0,1e+08,22377624869935,22377625588614,22377626420340,22377626483244,22377626529296,22377626529452,22377626687340,22377626687380,16,18.1745,7.18679,8.31726,0.62904,0.46052,0.00156,1.57888
22,1,0,1e+08,22377631230258,22377631680794,22377632356393,22377632453445,22377632474317,22377632474345,22377632613249,22377632613277,16,13.8302,4.50536,6.75599,0.97052,0.20872,0.00028,1.38904
23,1,0,1e+08,22377637217347,22377638204481,22377638907223,22377639011515,22377639036099,22377639036143,22377639201643,22377639201679,16,19.8433,9.87134,7.02742,1.04292,0.24584,0.00044,1.655
24,1,0,1e+08,22377644371362,22377645029623,22377645895803,22377645963379,22377645987163,22377645987207,22377646149787,22377646149823,16,17.7846,6.58261,8.6618,0.67576,0.23784,0.00044,1.6258
25,1,0,1e+08,22377651695057,22377652215724,22377653249066,22377653335366,22377653386958,22377653387146,22377653539890,22377653539934,16,18.4488,5.20667,10.3334,0.863,0.51592,0.00188,1.52744
26,1,0,1e+08,22377657645900,22377658386089,22377659150756,22377659215604,22377659262164,22377659262344,22377659411096,22377659411128,16,17.6523,7.40189,7.64667,0.64848,0.4656,0.0018,1.48752
27,1,0,1e+08,22377663887140,22377664151916,22377664629017,22377664687373,22377664716905,22377664717033,22377664874025,22377664874061,16,9.86921,2.64776,4.77101,0.58356,0.29532,0.00128,1.56992
28,1,0,1e+08,22377669426411,22377669844494,22377670338284,22377670399536,22377670462680,22377670462812,22377670583576,22377670583596,16,11.5718,4.18083,4.9379,0.61252,0.63144,0.00132,1.20764
29,1,0,1e+08,22377674657128,22377675120860,22377675735353,22377675824933,22377675881369,22377675881481,22377676022721,22377676022761,16,13.6563,4.63732,6.14493,0.8958,0.56436,0.00112,1.4124
30,1,0,1e+08,22377680224866,22377680893289,22377681727043,22377682071843,22377682096923,22377682096963,22377682271655,22377682271683,16,20.4682,6.68423,8.33754,3.448,0.2508,0.0004,1.74692
31,1,0,1e+08,22377686545035,22377686914576,22377687401976,22377687464980,22377687565072,22377687565228,22377687747904,22377687747932,16,12.029,3.69541,4.874,0.63004,1.00092,0.00156,1.82676
32,1,0,1e+08,22377692701072,22377693389453,22377694343076,22377694466964,22377694493820,22377694493864,22377694664960,22377694664992,16,19.6392,6.88381,9.53623,1.23888,0.26856,0.00044,1.71096
33,1,0,1e+08,22377699501531,22377700210104,22377701033100,22377701148584,22377701173172,22377701173216,22377701341352,22377701341388,16,18.3986,7.08573,8.22996,1.15484,0.24588,0.00044,1.68136
34,1,0,1e+08,22377705143569,22377705506763,22377706046137,22377706121041,22377706172617,22377706172717,22377706359569,22377706359609,16,12.1604,3.63194,5.39374,0.74904,0.51576,0.001,1.86852
35,1,0,1e+08,22377710791958,22377711317684,22377712351963,22377712434059,22377712472975,22377712473095,22377712650287,22377712650331,16,18.5837,5.25726,10.3428,0.82096,0.38916,0.0012,1.77192
36,1,0,1e+08,22377717772128,22377718155366,22377718681386,22377718771370,22377718809390,22377718809478,22377719002918,22377719002966,16,12.3084,3.83238,5.2602,0.89984,0.3802,0.00088,1.9344
37,1,0,1e+08,22377726006012,22377726411310,22377727003566,22377727121770,22377727188654,22377727188766,22377727369622,22377727369654,16,13.6364,4.05298,5.92256,1.18204,0.66884,0.00112,1.80856
38,1,0,1e+08,22377733510835,22377734608339,22377735263531,22377735321859,22377735377968,22377735378140,22377735563061,22377735563093,16,20.5226,10.975,6.55192,0.58328,0.56109,0.00172,1.84921
39,1,0,1e+08,22377739700318,22377740853788,22377741936248,22377742046216,22377742068932,22377742068976,22377742217412,22377742217456,16,25.1714,11.5347,10.8246,1.09968,0.22716,0.00044,1.48436
40,1,0,1e+08,22377748631952,22377748879792,22377749300660,22377749362280,22377749395244,22377749395332,22377749552336,22377749552360,16,9.20408,2.4784,4.20868,0.6162,0.32964,0.00088,1.57004
41,1,0,1e+08,22377753969822,22377754507598,22377755040750,22377755119170,22377755161034,22377755161130,22377755325930,22377755325970,16,13.5615,5.37776,5.33152,0.7842,0.41864,0.00096,1.648
