frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0649,7.5276,0.0182,0.0028,0.0149,0.0124,0.0009,0.0011,4.2455,7.4916,0.0238,2.7453,0.0634,0.404,0.0092,0.0172,0.0482,11.415,0.034,0,19.0965,0,1783922912,1776147040,0,0,116476604,1,0,0,24,0
1,0.038,1.5857,0.6119,0.0022,0.6096,0.5979,0.009,0.0012,0.5092,0.9667,0.0228,0.1868,0.0724,0.1695,0.0052,0.0068,0.018,14.1856,0.3061,0.7045,17.1887,1,1783922912,1776136480,1,0,116476604,2,1,0,0,0
2,0.0475,1.6041,0.7952,0.0029,0.7922,0.7792,0.0103,0.0014,0.2911,0.7958,0.0297,0.1872,0.0943,0.1883,0.0043,0.0123,0.0438,0.5373,0.003,0,2.2385,2,1783922912,1776146336,2,0,116476604,3,1,0,24,0
3,0.0397,1.8659,0.6914,0.002,0.6892,0.6778,0.009,0.0012,0.4941,1.1694,0.0245,0.1691,0.1592,0.3196,0.0025,0.0049,0.0124,0.6516,0.1011,0.1899,2.9293,3,1783922912,1776149152,0,0,116476604,4,2,0,0,0
4,0.0394,3.5621,0.6938,0.0029,0.6907,0.6785,0.0098,0.0012,0.5934,2.86,0.0216,1.4988,0.1874,0.5554,0.0029,0.0078,0.0156,1.9567,0.0045,0,5.5802,0,1783922912,1776147040,1,0,116476604,5,2,0,24,0
5,0.1234,3.0885,1.5341,0.0139,1.5198,1.4937,0.0194,0.0039,0.5311,1.5322,0.0212,0.2552,0.2842,0.4339,0.0051,0.0211,0.0294,1.5306,0.0091,0,4.7858,1,1783922912,1776136480,2,0,116476604,6,2,0,24,0
6,0.0944,1.6722,0.9901,0.0041,0.9858,0.9743,0.0086,0.0016,0.2405,0.6706,0.0117,0.1474,0.0974,0.1702,0.0025,0.0109,0.02,0.8103,0.2295,1.7478,5.1576,2,1783922912,1776146336,0,0,116476604,7,3,0,0,0
7,0.0388,1.5715,0.8518,0.0025,0.8492,0.8361,0.0093,0.0024,0.2977,0.7039,0.0164,0.1545,0.0858,0.1466,0.0025,0.015,0.0274,0.3966,0.2897,0.6162,3.1398,3,1783922912,1776149152,1,0,116476604,8,4,0,0,0
8,0.0463,1.4039,0.7552,0.0026,0.7525,0.7397,0.01,0.0013,0.2352,0.6255,0.0119,0.1555,0.0517,0.168,0.0025,0.0228,0.0258,0.3056,0.1241,0.1469,2.1206,0,1783922912,1776147040,2,0,116476604,9,5,0,0,0
9,0.0383,1.2422,0.612,0.0024,0.6095,0.5986,0.0086,0.0013,0.2185,0.6197,0.0099,0.1506,0.0795,0.1549,0.0054,0.0102,0.0175,1.0716,0.0078,0,2.3801,1,1783922912,1776136480,0,0,116476604,10,5,0,24,0
10,0.0381,1.0858,0.6184,0.0024,0.6159,0.6087,0.0058,0.0007,0.1572,0.4588,0.0082,0.097,0.0672,0.1266,0.0024,0.0079,0.0141,0.4969,0.1117,0.1948,2.023,2,1783922912,1776146336,1,0,116476604,11,6,0,0,0
11,0.0577,1.3207,0.7873,0.0047,0.7825,0.7726,0.0079,0.0011,0.1894,0.5243,0.0098,0.1079,0.0702,0.1441,0.0024,0.0083,0.0182,0.5562,0.1038,0.1356,2.2629,3,1783922912,1776149152,2,0,116476604,12,7,0,0,0
12,0.0454,2.7044,0.7623,0.0028,0.7591,0.7462,0.0099,0.0016,0.9208,1.9339,0.0093,0.3503,0.2438,0.4071,0.0022,0.008,0.0148,1.3655,0.0071,0,4.1399,0,1783922912,1776147040,0,0,116476604,13,7,0,24,0
13,0.0387,19.0595,18.1595,0.0023,18.1571,18.144,0.0098,0.0017,0.3247,0.8893,0.012,0.2124,0.1429,0.1936,0.0027,0.0103,0.0136,0.5069,0.1123,0.1566,19.961,1,1783922912,1776136480,1,0,116476604,14,8,0,0,0
14,0.0388,18.2912,16.9832,0.0031,16.9799,16.9477,0.0267,0.0028,0.4485,1.2887,0.0189,0.3805,0.1973,0.23,0.0116,0.0183,0.0278,0.7126,0.2809,0.2769,19.7766,2,1783922912,1776146336,2,0,116476604,15,9,0,0,0
15,0.0596,7.5944,6.7444,0.0026,6.7415,6.7265,0.0118,0.0012,0.248,0.8384,0.0113,0.2048,0.1013,0.2665,0.0055,0.0113,0.0193,0.3637,0.1791,0.1777,8.484,3,1783922912,1776149152,0,0,116476604,16,10,0,0,0
16,0.0464,11.4669,10.3544,0.0027,10.3515,10.3372,0.0114,0.0015,0.5114,1.0956,0.0118,0.1944,0.1381,0.2329,0.0059,0.0165,0.0209,0.4979,0.2243,0.2285,12.5869,0,1783922912,1776147040,1,0,116476604,17,11,0,0,0
17,0.0425,23.4672,22.707,0.0025,22.7044,22.6916,0.0099,0.0013,0.2704,0.7421,0.0106,0.1322,0.1014,0.2203,0.0064,0.0173,0.0221,0.4803,0.1421,0.2448,24.4788,1,1783922912,1776136480,2,0,116476604,18,12,0,0,0
18,0.0409,22.9539,22.1672,0.0023,22.1648,22.1508,0.0113,0.0013,0.249,0.7745,0.0108,0.1832,0.1413,0.1869,0.0026,0.0117,0.0223,0.4258,0.1502,0.2131,23.8884,2,1783922912,1776146336,0,0,116476604,19,13,0,0,0
19,0.0485,21.7715,20.5106,0.002,20.5085,20.4892,0.015,0.0021,0.3757,1.246,0.0144,0.3221,0.1682,0.3572,0.0072,0.0143,0.0234,0.6405,0.2584,0.2373,23.1109,3,1783922912,1776149152,1,0,116476604,20,14,0,0,0
20,0.2319,14.7971,14.0537,0.0586,13.994,13.9782,0.0105,0.0017,0.3105,0.7282,0.0105,0.2115,0.0809,0.1105,0.0033,0.0137,0.0196,0.4275,0.196,0.1563,15.9223,0,1783922912,1776147040,2,0,116476604,21,15,0,0,0
21,0.0478,22.9041,22.1943,0.0064,22.1878,22.1687,0.0149,0.002,0.2767,0.692,0.0123,0.1663,0.0882,0.1433,0.0042,0.0166,0.021,0.5088,0.1616,0.1759,23.9138,1,1783922912,1776136480,0,0,116476604,22,16,0,0,0
22,0.0443,23.4205,22.8831,0.0029,22.8801,22.8695,0.0081,0.0015,0.2251,0.5269,0.0141,0.1471,0.0459,0.0923,0.0017,0.0099,0.0153,0.2109,0.1217,0.1481,24.0356,2,1783922912,1776146336,1,0,116476604,23,17,0,0,0
23,0.0516,25.3018,24.7539,0.0023,24.7514,24.7401,0.0082,0.0017,0.2467,0.542,0.0204,0.116,0.049,0.1063,0.003,0.0053,0.0135,0.2223,0.1332,0.1678,25.9637,3,1783922912,1776149152,2,0,116476604,24,18,0,0,0
24,0.0435,24.6485,23.8859,0.0023,23.8834,23.8684,0.0115,0.0015,0.3289,0.7567,0.0269,0.1526,0.1118,0.1337,0.0018,0.0054,0.0146,0.283,0.1353,0.1395,25.383,0,1783922912,1776147040,0,0,116476604,25,19,0,0,0
25,0.0387,24.5705,23.8128,0.0022,23.8105,23.7997,0.0085,0.0016,0.2626,0.7449,0.0251,0.1563,0.0962,0.1996,0.0045,0.0122,0.019,0.3273,0.1532,0.1366,25.3513,1,1783922912,1776136480,1,0,116476604,26,20,0,0,0
26,0.0429,25.0938,24.3501,0.0023,24.3476,24.3352,0.0101,0.0014,0.244,0.7291,0.0114,0.223,0.088,0.1579,0.004,0.0136,0.0201,0.3556,0.1523,0.1478,25.9046,2,1783922912,1776146336,2,0,116476604,27,21,0,0,0
27,0.052,2.9874,2.4872,0.0032,2.4838,2.4747,0.0069,0.0012,0.2069,0.4912,0.0087,0.1302,0.0457,0.0965,0.0028,0.0087,0.0139,0.2009,0.1124,0.1231,3.5535,3,1783922912,1776149152,0,0,116476604,28,22,0,0,0
28,0.1663,7.1628,5.8867,0.0178,5.868,5.8452,0.0184,0.0021,0.3677,1.2483,0.0149,0.3087,0.2109,0.3334,0.0112,0.026,0.0344,0.6602,0.3055,0.2437,8.736,0,1783922912,1776147040,1,0,116476604,29,23,0,0,0
29,0.1374,13.2648,12.5449,0.0132,12.5314,12.514,0.0137,0.0014,0.361,0.7091,0.0121,0.1703,0.0891,0.074,0.0018,0.0099,0.0147,0.2773,0.1398,0.1858,14.1317,1,1783922912,1776136480,2,0,116476604,30,24,0,0,0
30,0.0395,1.3835,0.6612,0.0026,0.6584,0.6455,0.0098,0.0016,0.233,0.7137,0.0276,0.1879,0.1039,0.1556,0.005,0.008,0.0168,0.3095,0.1771,0.2047,2.2248,2,1783922912,1776146336,0,0,116476604,31,25,0,0,0
