frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.073,7.8263,0.0157,0.0033,0.0122,0.0095,0.0012,0.0011,4.23,7.7944,0.0256,3.0493,0.0947,0.3884,0.006,0.0152,0.0643,11.1971,0.0246,0,19.1938,0,1705848096,1698040352,0,0,116476604,1,0,0,24,0
1,0.0395,1.3129,0.6352,0.0021,0.6329,0.6215,0.0089,0.0012,0.2083,0.6386,0.0224,0.1191,0.0782,0.1609,0.0491,0.0382,0.018,15.475,0.3015,0.6146,18.1632,1,1705848096,1698043872,1,0,116476604,2,1,0,0,0
2,0.0576,2.2408,1.1991,0.003,1.1958,1.184,0.0084,0.001,0.347,1.0342,0.0216,0.4368,0.095,0.1309,0.0025,0.0068,0.0173,0.5888,0.0054,0,2.9119,2,1705848096,1698046688,2,0,116476604,3,1,0,24,0
3,0.0378,1.9717,0.682,0.0021,0.6798,0.6681,0.0092,0.0011,0.38,1.2799,0.017,0.2176,0.2627,0.3968,0.0052,0.0089,0.0168,25.8091,0.7548,0.8949,29.8417,3,1705848096,1698041056,0,0,116476604,4,2,0,0,0
4,0.0521,1.488,0.8322,0.0025,0.8294,0.8161,0.0107,0.0012,0.2951,0.6456,0.0191,0.1139,0.0595,0.1521,0.0052,0.0095,0.0177,0.633,0.0132,0,2.2065,0,1705848096,1698040352,1,0,116476604,5,2,0,24,0
5,0.2191,4.3871,2.1789,0.018,2.1604,2.1059,0.044,0.0047,0.969,2.1717,0.0375,0.4533,0.2787,0.4145,0.0157,0.0333,0.0475,1.7694,0.3298,0.489,7.4222,1,1705848096,1698043872,2,0,116476604,6,3,0,0,0
6,0.0352,1.2492,0.7025,0.002,0.7003,0.6889,0.0089,0.0011,0.2202,0.529,0.0069,0.085,0.077,0.1356,0.0038,0.0163,0.0305,0.8574,0.0089,0,2.1851,2,1705848096,1698046688,0,0,116476604,7,3,0,24,0
7,0.0387,1.1702,0.6696,0.0023,0.6672,0.659,0.006,0.001,0.1646,0.4788,0.0079,0.0918,0.0791,0.1303,0.005,0.0203,0.0434,0.6428,0.2306,1.4029,3.7876,3,1705848096,1698041056,1,0,116476604,8,4,0,0,0
8,0.0403,1.0911,0.6172,0.0022,0.6148,0.6074,0.006,0.0006,0.1627,0.4545,0.0073,0.0923,0.0573,0.1304,0.004,0.018,0.0311,0.2856,0.1344,0.2139,1.8729,0,1705848096,1698040352,2,0,116476604,9,5,0,0,0
9,0.039,1.3341,0.6486,0.0023,0.6457,0.6361,0.0072,0.0012,0.223,0.6726,0.0093,0.1861,0.0934,0.1571,0.0032,0.0122,0.0163,0.2285,0.13,0.3315,2.1546,1,1705848096,1698043872,0,0,116476604,10,6,0,0,0
