frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4031715630042,4031716954728,4031717710976,4031717896308,4031717912700,4031718155236,4031718286940,4031718286972,16,26.5693,13.2469,7.56248,1.85332,0.16392,2.42536,1.31704
1,1,0,1e+08,4031721174330,4031721708085,4031722357069,4031722431705,4031722468889,4031722780329,4031722944329,4031722944357,16,17.7003,5.33755,6.48984,0.74636,0.37184,3.1144,1.64
2,1,0,1e+08,4031723085929,4031726594024,4031727771901,4031727854933,4031727878397,4031728218109,4031728411337,4031728411369,16,53.2544,35.081,11.7788,0.83032,0.23464,3.39712,1.93228
3,1,0,1e+08,4031728455857,4031728722985,4031729083425,4031729171861,4031729189293,4031729363437,4031729520277,4031729520309,16,10.6445,2.67128,3.6044,0.88436,0.17432,1.74144,1.5684
4,1,0,1e+08,4031729873890,4031730091686,4031730437106,4031730499342,4031730535762,4031730700574,4031730819902,4031730819926,16,9.46036,2.17796,3.4542,0.62236,0.3642,1.64812,1.19328
5,1,0,1e+08,4031732196278,4031732741035,4031733298563,4031733369879,4031733413167,4031733648399,4031733782535,4031733782567,16,15.8629,5.44757,5.57528,0.71316,0.43288,2.35232,1.34136
6,1,0,1e+08,4031734494889,4031735315525,4031736056417,4031736166697,4031736185533,4031736496593,4031736634029,4031736634057,16,21.3917,8.20636,7.40892,1.1028,0.18836,3.1106,1.37436
7,1,0,1e+08,4031737307062,4031738208461,4031738897518,4031738993050,4031739013530,4031739263038,4031739415742,4031739415774,16,21.0871,9.01399,6.89057,0.95532,0.2048,2.49508,1.52704
8,1,0,1e+08,4031740107303,4031741018042,4031741743030,4031741883498,4031741901938,4031742149046,4031742293138,4031742293162,16,21.8586,9.10739,7.24988,1.40468,0.1844,2.47108,1.44092
9,1,0,1e+08,4031742915400,4031743555207,4031744450999,4031744552543,4031744573539,4031744842747,4031744979763,4031744979795,16,20.644,6.39807,8.95792,1.01544,0.20996,2.69208,1.37016
10,1,0,1e+08,4031745758680,4031746587256,4031747339945,4031747437313,4031747454353,4031747704721,4031747840821,4031747840845,16,20.8217,8.28576,7.52689,0.97368,0.1704,2.50368,1.361
11,1,0,1e+08,4031748481285,4031748776966,4031749116918,4031749194814,4031749231622,4031749388122,4031749530722,4031749530746,16,10.4946,2.95681,3.39952,0.77896,0.36808,1.565,1.426
12,1,0,1e+08,4031750496247,4031751273445,4031752023240,4031752090444,4031752132972,4031752401304,4031752536336,4031752536364,16,20.4012,7.77198,7.49795,0.67204,0.42528,2.68332,1.35032
13,1,0,1e+08,4031753285364,4031754316286,4031754958274,4031755027086,4031755073742,4031755321698,4031755470442,4031755470470,16,21.8511,10.3092,6.41988,0.68812,0.46656,2.47956,1.48744
14,1,0,1e+08,4031755998861,4031756708183,4031757584854,4031757682274,4031757700506,4031757961750,4031758097854,4031758097878,16,20.9902,7.09322,8.76671,0.9742,0.18232,2.61244,1.36104
