frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4383449281483,4383450629012,4383451535476,4383451994936,4383452014652,4383452232440,4383452377512,4383452377536,16,30.9605,13.4753,9.06464,4.5946,0.19716,2.17788,1.45072
1,1,0,1e+08,4383453541416,4383455380564,4383456590892,4383456661196,4383456711140,4383457325584,4383457497540,4383457497576,16,39.5616,18.3915,12.1033,0.70304,0.49944,6.14444,1.71956
2,1,0,1e+08,4383458124059,4383461353349,4383461832593,4383461887285,4383461905469,4383462115389,4383462253497,4383462253521,16,41.2946,32.2929,4.79244,0.54692,0.18184,2.0992,1.38108
3,1,0,1e+08,4383462279417,4383462513817,4383462869445,4383462965625,4383463011629,4383464125776,4383464328840,4383464328896,16,20.4948,2.344,3.55628,0.9618,0.46004,11.1415,2.03064
4,1,0,1e+08,4383464357160,4383464677016,4383465125848,4383465185704,4383465225880,4383465415908,4383465543596,4383465543620,16,11.8646,3.19856,4.48832,0.59856,0.40176,1.90028,1.27688
5,1,0,1e+08,4383466137124,4383468689297,4383469083033,4383469174473,4383469202801,4383470287788,4383470497156,4383470497220,16,43.601,25.5217,3.93736,0.9144,0.28328,10.8499,2.09368
6,1,0,1e+08,4383470526564,4383470831128,4383471293360,4383471360796,4383471384712,4383471585088,4383471743176,4383471743196,16,12.1663,3.04564,4.62232,0.67436,0.23916,2.00376,1.58088
7,1,0,1e+08,4383472351159,4383473838365,4383474367677,4383474429953,4383474460937,4383474667449,4383474797065,4383474797093,16,24.4593,14.8721,5.29312,0.62276,0.30984,2.06512,1.29616
8,1,0,1e+08,4383475298205,4383476516512,4383477107009,4383477165573,4383477207593,4383477439153,4383477597877,4383477597901,16,22.997,12.1831,5.90497,0.58564,0.4202,2.3156,1.58724
9,1,0,1e+08,4383478213893,4383478441537,4383478768701,4383479014785,4383479035013,4383479190989,4383479327113,4383479327137,16,11.1324,2.27644,3.27164,2.46084,0.20228,1.55976,1.36124
10,1,0,1e+08,4383480382429,4383480620377,4383480922045,4383480981765,4383481001189,4383481157021,4383481296121,4383481296141,16,9.13712,2.37948,3.01668,0.5972,0.19424,1.55832,1.391
11,1,0,1e+08,4383482581280,4383483152797,4383484121840,4383484194868,4383484218256,4383484485316,4383484624020,4383484624052,16,20.4277,5.71517,9.69043,0.73028,0.23388,2.6706,1.38704
12,1,0,1e+08,4383485618058,4383486563480,4383487244975,4383487314327,4383487334495,4383487589875,4383487750507,4383487750531,16,21.3247,9.45422,6.81495,0.69352,0.20168,2.5538,1.60632
13,1,0,1e+08,4383488514015,4383489511474,4383490180969,4383490261137,4383490297677,4383490553917,4383490690385,4383490690417,16,21.764,9.97459,6.69495,0.80168,0.3654,2.5624,1.36468
14,1,0,1e+08,4383491676376,4383492450389,4383493066414,4383493139558,4383493165798,4383493399498,4383493528226,4383493528250,16,18.5187,7.74013,6.16025,0.73144,0.2624,2.337,1.28728
15,1,0,1e+08,4383494691320,4383495430212,4383496052397,4383496126261,4383496158945,4383496391433,4383496532737,4383496532817,16,18.415,7.38892,6.22185,0.73864,0.32684,2.32488,1.41304
16,1,0,1e+08,4383497240409,4383498575109,4383499139122,4383499213590,4383499260770,4383499483878,4383499643754,4383499643778,16,24.0337,13.347,5.64013,0.74468,0.4718,2.23108,1.59876
17,1,0,1e+08,4383500168356,4383501437484,4383502036229,4383502109993,4383502139201,4383502377097,4383502549885,4383502549913,16,23.8156,12.6913,5.98745,0.73764,0.29208,2.37896,1.72788
18,1,0,1e+08,4383502954184,4383503638654,4383504547394,4383504876462,4383504902350,4383505134870,4383505265466,4383505265490,16,23.1131,6.8447,9.0874,3.29068,0.25888,2.3252,1.30596
19,1,0,1e+08,4383505940203,4383506859757,4383507561070,4383507911062,4383507931062,4383508150254,4383508316542,4383508316566,16,23.7636,9.19554,7.01313,3.49992,0.2,2.19192,1.66288
20,1,0,1e+08,4383509467519,4383509944993,4383510490561,4383510702749,4383510731889,4383511127458,4383511598681,4383511598753,16,21.3123,4.77474,5.45568,2.12188,0.2914,3.95569,4.71223
21,1,0,1e+08,4383513172860,4383514007266,4383514683117,4383514791121,4383514855105,4383515101905,4383515239617,4383515239649,16,20.6679,8.34406,6.75851,1.08004,0.63984,2.468,1.37712
22,1,0,1e+08,4383517015430,4383517362050,4383517817458,4383517980778,4383518022174,4383518710056,4383518980533,4383518980585,16,19.6516,3.4662,4.55408,1.6332,0.41396,6.87882,2.70477
23,1,0,1e+08,4383519948055,4383520250281,4383521859395,4383521930240,4383521955372,4383523203222,4383523479680,4383523479744,16,35.3169,3.02226,16.0911,0.70845,0.25132,12.4785,2.76458
24,1,0,1e+08,4383523512644,4383523864109,4383524392433,4383524481573,4383524515469,4383524728449,4383524892137,4383524892165,16,13.7952,3.51465,5.28324,0.8914,0.33896,2.1298,1.63688
25,1,0,1e+08,4383524931169,4383525887244,4383526537025,4383526651133,4383526673721,4383526937805,4383527144753,4383527144785,16,22.1362,9.56075,6.49781,1.14108,0.22588,2.64084,2.06948
26,1,0,1e+08,4383528251322,4383528811329,4383529371705,4383529464761,4383529484977,4383529721869,4383529935533,4383529935577,16,16.8426,5.60007,5.60376,0.93056,0.20216,2.36892,2.13664
27,1,0,1e+08,4383531854597,4383532087637,4383532650821,4383532763733,4383532793577,4383533775028,4383533966429,4383533966489,16,21.1189,2.3304,5.63184,1.12912,0.29844,9.81451,1.91401
28,1,0,1e+08,4383535079537,4383535928845,4383536689762,4383536778702,4383536818202,4383537077602,4383537224802,4383537224830,16,21.4529,8.49308,7.60917,0.8894,0.395,2.594,1.472
29,1,0,1e+08,4383537939002,4383538752757,4383539512593,4383539675645,4383539702385,4383539984701,4383540131401,4383540131429,16,21.9243,8.13755,7.59836,1.63052,0.2674,2.82316,1.467
