frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4386926916103,4386928214002,4386929086125,4386929446361,4386929465173,4386929700157,4386929817873,4386929817901,16,29.018,12.979,8.72123,3.60236,0.18812,2.34984,1.17716
1,1,0,1e+08,4386930751756,4386931361909,4386932025717,4386932092709,4386932142649,4386932345757,4386932492877,4386932492921,16,17.4117,6.10153,6.63808,0.66992,0.4994,2.03108,1.4712
2,1,0,1e+08,4386932765419,4386933772731,4386934456377,4386934513285,4386934534241,4386934861133,4386935008185,4386935008213,16,22.4279,10.0731,6.83646,0.56908,0.20956,3.26892,1.47052
3,1,0,1e+08,4386935356164,4386935982433,4386936412013,4386936496249,4386936521265,4386936733941,4386936875461,4386936875497,16,15.1933,6.26269,4.2958,0.84236,0.25016,2.12676,1.4152
4,1,0,1e+08,4386937086365,4386937561576,4386938671044,4386938787256,4386938803456,4386939080992,4386939205644,4386939205676,16,21.1931,4.75211,11.0947,1.16212,0.162,2.77536,1.24652
5,1,0,1e+08,4386939819526,4386940408858,4386941372836,4386941482716,4386941501496,4386941760968,4386941898040,4386941898076,16,20.7855,5.89332,9.63978,1.0988,0.1878,2.59472,1.37072
6,1,0,1e+08,4386942549489,4386942959537,4386944107462,4386944213978,4386944230874,4386944524086,4386944654974,4386944655006,16,21.0552,4.10048,11.4793,1.06516,0.16896,2.93212,1.30888
7,1,0,1e+08,4386945225644,4386945459732,4386945765040,4386945843448,4386945865828,4386946024956,4386946182340,4386946182364,16,9.5672,2.34088,3.05308,0.78408,0.2238,1.59128,1.57384
8,1,0,1e+08,4386946998562,4386947873614,4386948581129,4386948739973,4386948757057,4386949001241,4386949125305,4386949125333,16,21.2677,8.75052,7.07515,1.58844,0.17084,2.44184,1.24064
9,1,0,1e+08,4386949726926,4386950190098,4386951247426,4386951375718,4386951395038,4386951675598,4386951806690,4386951806730,16,20.798,4.63172,10.5733,1.28292,0.1932,2.8056,1.31092
10,1,0,1e+08,4386952548937,4386953099157,4386954116933,4386954240321,4386954257181,4386954558145,4386954690061,4386954690093,16,21.4116,5.5022,10.1778,1.23388,0.1686,3.00964,1.31916
11,1,0,1e+08,4386955441092,4386955668321,4386955975881,4386956054117,4386956075349,4386956237301,4386956436273,4386956436297,16,9.95205,2.27229,3.0756,0.78236,0.21232,1.61952,1.98972
12,1,0,1e+08,4386957508338,4386958056742,4386959050034,4386959111454,4386959129130,4386959435522,4386959578318,4386959578350,16,20.7001,5.48404,9.93292,0.6142,0.17676,3.06392,1.42796
13,1,0,1e+08,4386960236258,4386960465247,4386960768699,4386960843059,4386960872463,4386961032635,4386961195495,4386961195519,16,9.59261,2.28989,3.03452,0.7436,0.29404,1.60172,1.6286
14,1,0,1e+08,4386962161541,4386962389897,4386962723289,4386962818517,4386962864253,4386963043913,4386963195825,4386963195849,16,10.3431,2.28356,3.33392,0.95228,0.45736,1.7966,1.51912
15,1,0,1e+08,4386964190745,4386964832396,4386965705927,4386965808911,4386965851855,4386966155467,4386966289183,4386966289303,16,20.9856,6.41651,8.73531,1.02984,0.42944,3.03612,1.33716
16,1,0,1e+08,4386967018357,4386968033346,4386968681300,4386968755792,4386968798268,4386969078608,4386969223804,4386969223828,16,22.0547,10.1499,6.47954,0.74492,0.42476,2.8034,1.45196
17,1,0,1e+08,4386969967607,4386970846069,4386971577605,4386971655841,4386971674013,4386971927353,4386972099245,4386972099281,16,21.3167,8.78462,7.31536,0.78236,0.18172,2.5334,1.71892
18,1,0,1e+08,4386972603689,4386972960817,4386974104653,4386974178569,4386974201465,4386974481629,4386974608713,4386974608745,16,20.0506,3.57128,11.4384,0.73916,0.22896,2.80164,1.27084
19,1,0,1e+08,4386975409142,4386976099877,4386976920052,4386976996480,4386977040136,4386977293684,4386977423968,4386977424004,16,20.1486,6.90735,8.20175,0.76428,0.43656,2.53548,1.30284
