frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4389991740886,4389992777875,4389993469848,4389993635468,4389993655296,4389993875136,4389994038316,4389994038340,16,22.9745,10.3699,6.91973,1.6562,0.19828,2.1984,1.6318
1,1,0,1e+08,4389997847570,4389998189348,4389998611856,4389998666884,4389998714896,4389998907304,4389999058612,4389999058644,16,12.1107,3.41778,4.22508,0.55028,0.48012,1.92408,1.51308
2,1,0,1e+08,4389999543612,4390001025297,4390001770978,4390001879258,4390001896086,4390002153358,4390002294258,4390002294286,16,27.5067,14.8168,7.45681,1.0828,0.16828,2.57272,1.409
3,1,0,1e+08,4390003215583,4390004396464,4390004808728,4390004885564,4390004927852,4390005119988,4390005248688,4390005248716,16,20.3313,11.8088,4.12264,0.76836,0.42288,1.92136,1.287
4,1,0,1e+08,4390005277296,4390008414862,4390008920950,4390008978570,4390008995990,4390009208866,4390009367430,4390009367458,16,40.9016,31.3757,5.06088,0.5762,0.1742,2.12876,1.58564
5,1,0,1e+08,4390009409158,4390009667138,4390010539090,4390010754986,4390010779557,4390011208958,4390011389738,4390011389778,16,19.8062,2.5798,8.71952,2.15896,0.24571,4.29401,1.8078
6,1,0,1e+08,4390011425322,4390012320041,4390012706577,4390012782649,4390012809357,4390012988421,4390013146265,4390013146289,16,17.2097,8.94719,3.86536,0.76072,0.26708,1.79064,1.57844
7,1,0,1e+08,4390013183493,4390014977672,4390015307948,4390015381584,4390015397496,4390016163527,4390016439200,4390016439264,16,32.5577,17.9418,3.30276,0.73636,0.15912,7.66031,2.75673
8,1,0,1e+08,4390016515616,4390016875296,4390017336184,4390017440344,4390017457096,4390017651856,4390017819600,4390017819620,16,13.04,3.5968,4.60888,1.0416,0.16752,1.9476,1.67744
9,1,0,1e+08,4390017883672,4390024396887,4390024744563,4390024794003,4390024814107,4390024975923,4390025086495,4390025086523,16,72.0285,65.1321,3.47676,0.4944,0.20104,1.61816,1.10572
10,1,0,1e+08,4390025110643,4390026926415,4390027234363,4390027290227,4390027305667,4390027466351,4390027573727,4390027573747,16,24.631,18.1577,3.07948,0.55864,0.1544,1.60684,1.07376
11,1,0,1e+08,4390027597575,4390029302779,4390030220804,4390030314264,4390030380470,4390030817937,4390030988245,4390030988293,16,33.9072,17.052,9.18025,0.9346,0.66206,4.37467,1.70308
12,1,0,1e+08,4390031014513,4390032978700,4390033284504,4390033356308,4390033375428,4390033527620,4390033636908,4390033636932,16,26.2242,19.6419,3.05804,0.71804,0.1912,1.52192,1.09288
13,1,0,1e+08,4390033677296,4390035431992,4390035738992,4390035868168,4390035887716,4390036722007,4390036944697,4390036944757,16,32.6746,17.547,3.07,1.29176,0.19548,8.34291,2.2269
14,1,0,1e+08,4390036970750,4390038875319,4390039182823,4390039253483,4390039313215,4390039519871,4390039637707,4390039637731,16,26.6698,19.0457,3.07504,0.7066,0.59732,2.06656,1.17836
15,1,0,1e+08,4390039663407,4390041523382,4390041829654,4390041926834,4390041945902,4390042120818,4390042230154,4390042230222,16,25.6682,18.5998,3.06272,0.9718,0.19068,1.74916,1.09336
16,1,0,1e+08,4390042254002,4390044144491,4390044498275,4390044637775,4390044651895,4390044804111,4390044911451,4390044911475,16,26.5747,18.9049,3.53784,1.395,0.1412,1.52216,1.0734
17,1,0,1e+08,4390044935787,4390046707720,4390047016020,4390047088648,4390047140784,4390047902688,4390048150938,4390048150998,16,32.1521,17.7193,3.083,0.72628,0.52136,7.61904,2.4825
18,1,0,1e+08,4390048293435,4390050056504,4390050362956,4390050453668,4390050485400,4390051357609,4390051618643,4390051618687,16,33.2525,17.6307,3.06452,0.90712,0.31732,8.72209,2.61034
19,1,0,1e+08,4390051644159,4390053524356,4390053896268,4390054014848,4390054035288,4390054189292,4390054301720,4390054301748,16,26.5759,18.802,3.71912,1.1858,0.2044,1.54004,1.12428
20,1,0,1e+08,4390054326464,4390056179598,4390057377306,4390057503822,4390057520042,4390057823650,4390057955554,4390057955586,16,36.2912,18.5313,11.9771,1.26516,0.1622,3.03608,1.31904
21,1,0,1e+08,4390057983190,4390059982076,4390061071483,4390061215895,4390061237543,4390061525175,4390061660123,4390061660163,16,36.7697,19.9889,10.8941,1.44412,0.21648,2.87632,1.34948
22,1,0,1e+08,4390061686803,4390063426050,4390064681168,4390064740648,4390064762004,4390065053660,4390065184220,4390065184252,16,34.9745,17.3925,12.5512,0.5948,0.21356,2.91656,1.3056
