frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0773,10.0651,0.0151,0.0026,0.0122,0.0086,0.0023,0.0007,4.7572,10.0379,0.0235,4.8322,0.0662,0.3541,0.0041,0.0114,0.038,2.691,0.0107,0,12.8855,0,318363552,2131810080,0,0,116476604,1,0,1,0,0,24,0
1,0.0524,2.4278,0.7565,0.0025,0.7536,0.7423,0.0085,0.0013,0.3182,1.6567,0.0354,0.532,0.2847,0.4797,0.0059,0.0134,0.0204,17.6632,0.0192,0,20.1868,1,318363552,2131811488,1,0,116476604,2,0,1,0,0,24,0
2,0.0458,2.5161,0.9621,0.0025,0.9592,0.9432,0.0132,0.0013,0.5376,1.539,0.0161,0.1624,0.3227,0.4877,0.0113,0.0139,0.0252,11.3224,0.0074,0,13.9207,2,318363552,2131796704,2,0,116476604,3,0,1,0,0,24,0
3,0.0481,2.0453,0.6981,0.0028,0.6948,0.6895,0.0034,0.001,0.2091,1.3302,0.008,0.1682,0.4065,0.5291,0.0086,0.0161,0.0211,0.6696,0.2256,0.4648,3.7122,3,318363552,2131800224,0,0,116476604,4,1,1,1,0,0,0
4,0.0563,1.9703,0.822,0.0039,0.8172,0.8096,0.0054,0.0008,0.225,1.1383,0.0097,0.2825,0.2789,0.3387,0.0031,0.0089,0.0145,1.4092,0.0055,0,3.4582,0,318363552,2131810080,1,0,116476604,5,1,1,0,0,24,0
5,0.0515,1.4351,0.8489,0.0033,0.8453,0.8394,0.0038,0.0013,0.2801,0.5788,0.0112,0.1721,0.0501,0.062,0.0028,0.0066,0.0175,0.806,0.0123,0,2.326,1,318363552,2131811488,2,0,116476604,6,1,1,0,0,24,0
6,0.0491,1.294,0.8048,0.0023,0.8021,0.7963,0.0039,0.0012,0.2193,0.4833,0.0228,0.1082,0.0344,0.0953,0.0027,0.0052,0.0177,0.5846,0.1204,0.2343,2.3656,2,318363552,2131796704,0,0,116476604,7,2,1,1,0,0,0
7,0.0505,1.9346,0.747,0.002,0.7446,0.7387,0.0034,0.0012,0.189,1.1758,0.0079,0.1187,0.0561,0.7993,0.0044,0.0111,0.0211,0.5543,0.1391,0.2537,3.0435,3,318363552,2131800224,1,0,116476604,8,3,1,1,0,0,0
8,0.0566,39.446,38.8101,0.0023,38.8073,38.7914,0.0119,0.0019,0.3371,0.6243,0.0098,0.0936,0.0673,0.1126,0.0034,0.0107,0.0166,0.2604,0.1262,0.2612,40.2594,0,318363552,2131810080,2,0,116476604,9,4,1,1,0,0,0
9,0.0413,68.8078,67.9426,0.0022,67.94,67.9217,0.0153,0.0015,0.3596,0.8561,0.0372,0.1728,0.0748,0.2052,0.0056,0.0083,0.0224,0.2993,0.1385,0.2246,69.6236,1,318363552,2131811488,0,0,116476604,10,5,1,1,0,0,0
10,0.0502,66.9437,66.2809,0.0029,66.2777,66.2594,0.0143,0.002,0.3266,0.6521,0.0253,0.1153,0.0373,0.143,0.0042,0.0095,0.0248,0.4385,0.1418,0.2578,67.934,2,318363552,2131796704,1,0,116476604,11,6,1,1,0,0,0
11,0.0422,70.799,69.9988,0.0022,69.9963,69.977,0.0152,0.0015,0.4076,0.7901,0.0183,0.1526,0.0703,0.1373,0.0032,0.0095,0.0178,0.2251,0.1271,0.1785,71.4617,3,318363552,2131800224,2,0,116476604,12,7,1,1,0,0,0
12,0.0502,68.9335,68.2751,0.0042,68.2703,68.2584,0.0097,0.0013,0.3217,0.6394,0.0109,0.1372,0.071,0.092,0.006,0.018,0.0201,0.2704,0.1354,0.1756,69.6615,0,318363552,2131810080,0,0,116476604,13,8,1,1,0,0,0
13,0.0457,68.329,67.5075,0.0032,67.5039,67.4869,0.0142,0.0015,0.3587,0.8032,0.0132,0.1547,0.1145,0.1509,0.0103,0.0175,0.0203,0.2633,0.2167,0.2052,69.1998,1,318363552,2131811488,1,0,116476604,14,9,1,1,0,0,0
