frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4507916688768,4507918690241,4507920894013,4507922115926,4507922161236,4507923431364,4507923975230,4507923975360,16,72.8659,20.0147,22.0377,12.2191,0.4531,12.7013,5.43866
1,1,0,1e+08,4507924524800,4507925738935,4507927019503,4507927664017,4507927691445,4507928376351,4507928673534,4507928673618,16,41.4882,12.1414,12.8057,6.44514,0.27428,6.84906,2.97183
2,1,0,1e+08,4507928710197,4507929122397,4507929708793,4507929828633,4507929849641,4507930168745,4507930360305,4507930360349,16,16.5015,4.122,5.86396,1.1984,0.21008,3.19104,1.9156
3,1,0,1e+08,4507930394573,4507930736729,4507931299793,4507931367065,4507931401093,4507931704513,4507931900013,4507931900057,16,15.0548,3.42156,5.63064,0.67272,0.34028,3.0342,1.955
4,1,0,1e+08,4507931934809,4507935002414,4507937206555,4507937401915,4507937450275,4507938761539,4507939340575,4507939340705,16,74.059,30.6761,22.0414,1.9536,0.4836,13.1126,5.79036
5,1,0,1e+08,4507939428935,4507943329590,4507945530880,4507945769114,4507945819274,4507947090531,4507947666872,4507947667037,16,82.381,39.0066,22.0129,2.38234,0.5016,12.7126,5.76341
6,1,0,1e+08,4507947746710,4507951739164,4507953982631,4507954178453,4507954227069,4507955543647,4507956146500,4507956146630,16,83.9992,39.9245,22.4347,1.95822,0.48616,13.1658,6.02853
7,1,0,1e+08,4507956228241,4507960208141,4507962453272,4507962647179,4507962695704,4507964012008,4507964615884,4507964616054,16,83.8781,39.799,22.4513,1.93907,0.48525,13.163,6.03876
8,1,0,1e+08,4507964683714,4507968653947,4507970855371,4507971087530,4507971137376,4507972408647,4507972985996,4507972986126,16,83.0241,39.7023,22.0142,2.32159,0.49846,12.7127,5.77349
9,1,0,1e+08,4507973055217,4507976976005,4507979179994,4507979436971,4507979487021,4507980759284,4507981337272,4507981337442,16,82.8222,39.2079,22.0399,2.56977,0.5005,12.7226,5.77988
10,1,0,1e+08,4507981395652,4507985395826,4507986292628,4507986354060,4507986372104,4507986584480,4507986718116,4507986718140,16,53.2249,40.0017,8.96802,0.61432,0.18044,2.12376,1.33636
11,1,0,1e+08,4507986744620,4507990771722,4507991867958,4507991929698,4507991956902,4507992190018,4507992329330,4507992329362,16,55.8474,40.271,10.9624,0.6174,0.27204,2.33116,1.39312
12,1,0,1e+08,4507992356258,4507995510148,4507995992952,4507996053960,4507996070252,4507996316236,4507996460988,4507996461024,16,41.0477,31.5389,4.82804,0.61008,0.16292,2.45984,1.44752
13,1,0,1e+08,4507996488796,4508000492355,4508002693757,4508002890553,4508002939605,4508004210929,4508004779040,4508004779210,16,82.9041,40.0356,22.014,1.96796,0.49052,12.7132,5.68111
14,1,0,1e+08,4508004844938,4508008863796,4508010382026,4508010445742,4508010491370,4508010739170,4508010876602,4508010876630,16,60.3169,40.1886,15.1823,0.63716,0.45628,2.478,1.37432
15,1,0,1e+08,4508010903046,4508014020357,4508014442901,4508014526693,4508014542849,4508014724069,4508014861957,4508014862041,16,39.59,31.1731,4.22544,0.83792,0.16156,1.8122,1.37888
16,1,0,1e+08,4508014906289,4508018898334,4508020329045,4508020433965,4508020455993,4508020824501,4508021007833,4508021007877,16,61.0159,39.9205,14.3071,1.0492,0.22028,3.68508,1.83332
17,1,0,1e+08,4508021035637,4508024999019,4508026221703,4508026314007,4508026330071,4508026555267,4508026676499,4508026676531,16,56.4089,39.6338,12.2268,0.92304,0.16064,2.25196,1.21232
