frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4335324424191,4335326660459,4335327838564,4335328134033,4335328157417,4335329215220,4335329416346,4335329416394,16,49.922,22.3627,11.781,2.95469,0.23384,10.578,2.01126
1,1,0,1e+08,4335329552782,4335330448080,4335332323360,4335332974589,4335333000127,4335333772677,4335334035361,4335334035449,16,44.8267,8.95298,18.7528,6.51229,0.25538,7.7255,2.62684
2,1,0,1e+08,4335334466876,4335335267260,4335336537465,4335336605077,4335336632713,4335336998030,4335337140834,4335337140862,16,26.7399,8.00384,12.702,0.67612,0.27636,3.65317,1.42804
3,1,0,1e+08,4335337175834,4335337428586,4335337840546,4335338154750,4335338179826,4335338602384,4335338861648,4335338861704,16,16.8587,2.52752,4.1196,3.14204,0.25076,4.22558,2.59264
4,1,0,1e+08,4335338923184,4335339329460,4335339910660,4335339977844,4335339998580,4335340241272,4335340400284,4335340400312,16,14.7713,4.06276,5.812,0.67184,0.20736,2.42692,1.59012
5,1,0,1e+08,4335340442108,4335340737456,4335341963333,4335342352485,4335342391297,4335342672741,4335342870397,4335342870453,16,24.2835,2.95348,12.2588,3.89152,0.38812,2.81444,1.97656
6,1,0,1e+08,4335342908217,4335343310417,4335344496226,4335344802546,4335344830250,4335345137710,4335345299882,4335345299910,16,23.9169,4.022,11.8581,3.0632,0.27704,3.0746,1.62172
7,1,0,1e+08,4335345958933,4335346997556,4335347683544,4335347964876,4335347986172,4335348202552,4335348393692,4335348393720,16,24.3479,10.3862,6.85988,2.81332,0.21296,2.1638,1.9114
8,1,0,1e+08,4335349246734,4335350196256,4335350889367,4335351137707,4335351159751,4335351385415,4335351561975,4335351561999,16,23.1527,9.49522,6.93111,2.4834,0.22044,2.25664,1.7656
9,1,0,1e+08,4335353054433,4335353649364,4335354123700,4335354233088,4335354276976,4335354640971,4335355158251,4335355158347,16,21.0391,5.94931,4.74336,1.09388,0.43888,3.63995,5.1728
10,1,0,1e+08,4335356810775,4335357615376,4335358377902,4335358443982,4335358470282,4335358729910,4335358863598,4335358863626,16,20.5285,8.04601,7.62526,0.6608,0.263,2.59628,1.33688
11,1,0,1e+08,4335359785102,4335360365858,4335361342264,4335361413120,4335361438080,4335361926141,4335362393878,4335362393966,16,26.0886,5.80756,9.76406,0.70856,0.2496,4.88061,4.67737
12,1,0,1e+08,4335362432450,4335363080906,4335363546282,4335363605598,4335363624242,4335363830182,4335363987766,4335363987794,16,15.5534,6.48456,4.65376,0.59316,0.18644,2.0594,1.57584
13,1,0,1e+08,4335364343817,4335365307052,4335365974557,4335366217165,4335366238609,4335366476881,4335366638809,4335366638841,16,22.9502,9.63235,6.67505,2.42608,0.21444,2.38272,1.61928
14,1,0,1e+08,4335367182882,4335368026560,4335368734429,4335368835825,4335368879769,4335369250097,4335369384577,4335369384605,16,22.0172,8.43678,7.07869,1.01396,0.43944,3.70328,1.3448
15,1,0,1e+08,4335370160646,4335370956466,4335371764793,4335371841069,4335371881309,4335372326817,4335372494933,4335372495021,16,23.3438,7.9582,8.08327,0.76276,0.4024,4.45508,1.68116
16,1,0,1e+08,4335373231740,4335374073429,4335374802008,4335374870048,4335374897188,4335375325512,4335375480556,4335375480584,16,22.4884,8.41689,7.28579,0.6804,0.2714,4.28324,1.55044
17,1,0,1e+08,4335376081707,4335377069192,4335377715885,4335377783553,4335377809649,4335378051281,4335378221837,4335378221869,16,21.4016,9.87485,6.46693,0.67668,0.26096,2.41632,1.70556
18,1,0,1e+08,4335378792011,4335379464865,4335380348231,4335380434047,4335380470887,4335380732467,4335380902979,4335380903007,16,21.11,6.72854,8.83366,0.85816,0.3684,2.6158,1.70512
19,1,0,1e+08,4335382403737,4335382911693,4335383473273,4335383563821,4335383604757,4335383827505,4335384006441,4335384006477,16,16.0274,5.07956,5.6158,0.90548,0.40936,2.22748,1.78936
