frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
0,0.0779,19.2605,0.0185,0.0032,0.0151,0.0106,0.0011,0.003,5.8684,19.1713,0.0226,10.1423,0.5146,2.5332,0.0869,0.0678,0,0,0,0,19.3413,0,4080458528,3880037536,0,0,116476604,0,0,0,0,0
1,0.0535,1.4602,0.8036,0.0036,0.7997,0.7893,0.0077,0.0016,0.2388,0.6418,0.0369,0.1586,0.0623,0.1351,0.0095,0.0141,0,0,0,0,1.5148,1,4080458528,3880022752,1,0,116476604,0,0,0,0,0
2,0.0781,2.1968,0.9107,0.004,0.9064,0.8924,0.0097,0.0018,0.4282,1.2727,0.0285,0.2875,0.1826,0.3407,0.0046,0.0129,0,0,0,0,2.2756,2,4080458528,3880028384,2,0,116476604,0,0,0,0,0
3,0.073,3.3949,1.1329,0.003,1.1298,1.1166,0.01,0.0013,0.654,2.2473,0.0308,0.4865,0.3675,0.7009,0.0072,0.0138,0,0,0,0,3.4684,3,4080458528,3880029792,0,0,116476604,0,0,0,0,0
4,0.0586,1.6241,0.7242,0.0027,0.7211,0.7143,0.0048,0.0012,0.2111,0.8845,0.0293,0.108,0.0616,0.467,0.0072,0.0147,0,0,0,0,1.6836,0,4080458528,3880037536,1,0,116476604,0,0,0,0,0
5,0.0568,2.907,0.6486,0.0028,0.6457,0.6386,0.005,0.001,0.7697,2.244,0.0146,0.4315,0.3916,0.6267,0.009,0.0138,0,0,0,0,2.9645,1,4080458528,3880022752,2,0,116476604,0,0,0,0,0
6,0.0457,13.7204,13.0693,0.0023,13.067,13.057,0.0068,0.0012,0.2871,0.6342,0.0157,0.1133,0.0481,0.1604,0.0093,0.016,0,0,0,0,13.7671,2,4080458528,3880028384,0,0,116476604,0,0,0,0,0
7,0.0576,12.6521,11.7886,0.0028,11.7854,11.7753,0.0071,0.0012,0.3063,0.8415,0.0157,0.1873,0.1221,0.2057,0.0038,0.0213,0,0,0,0,12.7119,3,4080458528,3880029792,1,0,116476604,0,0,0,0,0
8,0.0909,2.5111,1.9408,0.0035,1.937,1.9214,0.0111,0.0027,0.2571,0.5557,0.0136,0.1031,0.0523,0.1274,0.0017,0.0142,0,0,0,0,2.6032,0,4080458528,3880037536,2,0,116476604,0,0,0,0,0
9,0.138,2.6191,1.8857,0.0056,1.8793,1.8639,0.0119,0.0016,0.311,0.708,0.0228,0.1558,0.0597,0.1544,0.0038,0.0239,0,0,0,0,2.759,1,4080458528,3880022752,0,0,116476604,0,0,0,0,0
10,0.0756,1.8979,1.2392,0.0037,1.2351,1.2207,0.0103,0.0021,0.3401,0.647,0.0182,0.1207,0.0423,0.122,0.003,0.011,0,0,0,0,1.9744,2,4080458528,3880028384,1,0,116476604,0,0,0,0,0
11,0.0489,1.2897,0.7111,0.0029,0.708,0.6957,0.0092,0.0015,0.2056,0.5483,0.0108,0.1262,0.061,0.1404,0.0038,0.029,0,0,0,0,1.3407,3,4080458528,3880029792,2,0,116476604,0,0,0,0,0
12,0.0464,1.2415,0.7128,0.0026,0.71,0.7015,0.0066,0.0007,0.181,0.5015,0.0089,0.1187,0.0724,0.1174,0.0026,0.0262,0,0,0,0,1.2894,0,4080458528,3880037536,0,0,116476604,0,0,0,0,0
13,0.0525,1.3337,0.6056,0.0022,0.6031,0.5974,0.0042,0.001,0.2316,0.7055,0.0124,0.1566,0.1234,0.1739,0.0068,0.0217,0,0,0,0,1.3879,1,4080458528,3880022752,1,0,116476604,0,0,0,0,0
14,0.0471,1.0831,0.6495,0.0023,0.6469,0.6369,0.0078,0.0012,0.1923,0.4131,0.0114,0.0889,0.0354,0.0826,0.0022,0.0195,0,0,0,0,1.1323,2,4080458528,3880028384,2,0,116476604,0,0,0,0,0
15,0.0502,1.2767,0.7755,0.0021,0.7733,0.7651,0.0057,0.0012,0.1672,0.4751,0.0099,0.0707,0.0612,0.1514,0.0143,0.0249,0,0,0,0,1.3289,3,4080458528,3880029792,0,0,116476604,0,0,0,0,0
16,0.0485,1.2014,0.6105,0.0024,0.6078,0.5989,0.007,0.0009,0.1945,0.5713,0.0097,0.101,0.1256,0.1356,0.0045,0.0186,0,0,0,0,1.2508,0,4080458528,3880037536,1,0,116476604,0,0,0,0,0
17,0.0731,1.7546,1.1391,0.0039,1.1351,1.1222,0.0081,0.0031,0.2986,0.6039,0.0231,0.1579,0.0494,0.0728,0.0017,0.0109,0,0,0,0,1.8285,1,4080458528,3880022752,2,0,116476604,0,0,0,0,0
18,0.0601,1.6001,1.0859,0.0023,1.0832,1.07,0.0094,0.0021,0.1946,0.499,0.0112,0.1168,0.0379,0.1358,0.0024,0.0148,0,0,0,0,1.6614,2,4080458528,3880028384,0,0,116476604,0,0,0,0,0
19,0.1002,1.6386,1.0191,0.0302,0.9888,0.9787,0.0073,0.0015,0.2518,0.6016,0.0133,0.1364,0.0495,0.1392,0.0109,0.0166,0,0,0,0,1.7399,3,4080458528,3880029792,1,0,116476604,0,0,0,0,0
20,0.0559,1.886,1.0001,0.004,0.9959,0.9856,0.0076,0.0013,0.2708,0.864,0.013,0.181,0.1471,0.2476,0.0038,0.021,0,0,0,0,1.9432,0,4080458528,3880037536,2,0,116476604,0,0,0,0,0
