frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0809,10.6243,0.0203,0.005,0.015,0.0116,0.0015,0.0012,4.6002,10.5932,0.0233,5.4884,0.1104,0.3658,0.0046,0.0098,0.041,2.5843,0.0093,0,13.3437,0,3216181792,3209960864,0,0,116476604,1,0,1,0,0,24,0
1,0.054,1.7017,0.7036,0.0045,0.6989,0.6894,0.0074,0.0011,0.3105,0.9707,0.0267,0.2094,0.127,0.2845,0.0119,0.0251,0.0443,15.6225,0.2879,1.5158,19.4621,1,3216181792,3209962272,1,0,116476604,2,1,2,1,0,0,0
2,0.0411,1.3333,0.6628,0.0021,0.6605,0.656,0.0032,0.0009,0.2049,0.6616,0.0076,0.1809,0.1665,0.0997,0.0018,0.0081,0.0138,0.3496,0.0038,0,1.7433,2,3216181792,3209950304,2,0,116476604,3,1,1,0,0,24,0
3,0.0463,2.3508,0.6748,0.0026,0.6721,0.6558,0.013,0.0017,0.9781,1.6644,0.0212,0.2692,0.1564,0.2359,0.0033,0.0107,0.017,0.509,0.1068,0.2125,3.319,3,3216181792,3209962976,0,0,116476604,4,2,2,1,0,0,0
4,0.0392,11.7031,0.5759,0.0025,0.573,0.543,0.0272,0.0017,7.8737,11.1095,0.017,1.2075,0.8784,1.1226,0.0089,0.0162,0.0234,1.7028,0.0136,0,13.4861,0,3216181792,3209960864,1,0,116476604,5,2,1,0,0,24,0
5,0.0759,1.919,1.1233,0.0034,1.1195,1.1083,0.0086,0.0012,0.3642,0.7839,0.0279,0.19,0.0798,0.1189,0.0027,0.0108,0.0204,0.9875,0.006,0,3.0114,1,3216181792,3209962272,2,0,116476604,6,2,1,0,0,24,0
6,0.0531,1.683,0.9979,0.0027,0.995,0.9825,0.0097,0.0013,0.3217,0.6702,0.0136,0.1517,0.0681,0.1114,0.003,0.0142,0.0293,0.9419,0.1908,0.3402,3.3464,2,3216181792,3209950304,0,0,116476604,7,3,2,1,0,0,0
7,0.0407,1.281,0.6194,0.0026,0.6165,0.6049,0.0093,0.001,0.2835,0.6522,0.0231,0.1157,0.0606,0.1628,0.0055,0.0087,0.0165,0.979,0.0083,0,2.3281,3,3216181792,3209962976,1,0,116476604,8,3,1,0,0,24,0
8,0.0541,2.6362,1.5761,0.0027,1.5584,1.5392,0.0148,0.0028,0.5437,1.0402,0.0198,0.2714,0.068,0.1324,0.004,0.0191,0.0333,0.7454,0.2523,0.3606,4.2352,0,3216181792,3209960864,2,0,116476604,9,4,2,1,0,0,0
9,0.0383,1.4467,0.6401,0.0023,0.6376,0.6241,0.0106,0.0017,0.3483,0.7983,0.0099,0.1651,0.0782,0.1932,0.0028,0.0077,0.0141,0.983,0.0076,0,2.4925,1,3216181792,3209962272,0,0,116476604,10,4,1,0,0,24,0
10,0.0432,2.9471,0.6236,0.0022,0.6212,0.6095,0.0091,0.0012,1.1097,2.3121,0.0096,0.3375,0.277,0.5723,0.0053,0.0104,0.029,0.8233,0.134,0.1737,4.2311,2,3216181792,3209950304,1,0,116476604,11,5,2,1,0,0,0
11,0.1805,42.6525,41.6809,0.0035,41.6771,41.6641,0.0103,0.0012,0.3887,0.9615,0.0248,0.2155,0.1143,0.2115,0.0058,0.0089,0.0189,0.3685,0.2267,0.2382,43.8085,3,3216181792,3209962976,2,0,116476604,12,7,3,2,0,0,0
12,0.0584,20.9727,20.1068,0.0025,20.1041,20.0906,0.0107,0.0013,0.2911,0.8508,0.0229,0.2245,0.1404,0.1652,0.0056,0.0132,0.0188,0.3665,0.1625,0.2049,21.8694,0,3216181792,3209960864,0,0,116476604,13,8,2,1,0,0,0
