frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4377137708052,4377138910976,4377140035824,4377140327425,4377140356813,4377141306083,4377141519672,4377141519724,16,38.1167,12.0292,11.2485,2.91601,0.29388,9.4927,2.13589
1,1,0,1e+08,4377142046569,4377144700145,4377145329505,4377145392577,4377145426437,4377145669365,4377145794245,4377145794281,16,37.4771,26.5358,6.2936,0.63072,0.3386,2.42928,1.2488
2,1,0,1e+08,4377146518889,4377149717719,4377150961453,4377151046413,4377151062237,4377151349469,4377151480065,4377151480093,16,49.612,31.9883,12.4373,0.8496,0.15824,2.87232,1.30596
3,1,0,1e+08,4377151505161,4377151763493,4377152131281,4377152188553,4377152225453,4377152461213,4377152636185,4377152636217,16,11.3106,2.58332,3.67788,0.57272,0.369,2.3576,1.74972
4,1,0,1e+08,4377152669205,4377152935925,4377153508197,4377153612157,4377153632941,4377153866309,4377154003989,4377154004017,16,13.3481,2.6672,5.72272,1.0396,0.20784,2.33368,1.3768
5,1,0,1e+08,4377154039429,4377154990587,4377155394371,4377155456631,4377155553239,4377155738531,4377155867051,4377155867083,16,18.2765,9.51158,4.03784,0.6226,0.96608,1.85292,1.2852
6,1,0,1e+08,4377155895191,4377158635795,4377159073799,4377159129907,4377159151939,4377159483747,4377159619427,4377159619455,16,37.2426,27.406,4.38004,0.56108,0.22032,3.31808,1.3568
7,1,0,1e+08,4377159646655,4377166936602,4377167276626,4377167332446,4377167347030,4377167518310,4377167634146,4377167634174,16,79.8752,72.8995,3.40024,0.5582,0.14584,1.7128,1.15836
8,1,0,1e+08,4377167679806,4377169499747,4377170496615,4377170582978,4377170619678,4377171053320,4377171203020,4377171203052,16,35.2325,18.1994,9.96868,0.86363,0.367,4.33642,1.497
9,1,0,1e+08,4377171228028,4377173112615,4377173704981,4377173885184,4377173981852,4377174616517,4377174817605,4377174817669,16,35.8964,18.8459,5.92366,1.80203,0.96668,6.34665,2.01088
10,1,0,1e+08,4377174851961,4377176707921,4377177014117,4377177085597,4377177103701,4377177263613,4377177385925,4377177385945,16,25.3398,18.5596,3.06196,0.7148,0.18104,1.59912,1.22312
11,1,0,1e+08,4377177411369,4377179264819,4377179575759,4377179647219,4377179666099,4377179826247,4377179953463,4377179953487,16,25.4212,18.5345,3.1094,0.7146,0.1888,1.60148,1.27216
12,1,0,1e+08,4377179979375,4377181904536,4377183032432,4377183094444,4377183120824,4377183524441,4377183660725,4377183660753,16,36.8138,19.2516,11.279,0.62012,0.2638,4.03617,1.36284
13,1,0,1e+08,4377183684973,4377185592620,4377185904652,4377185979408,4377185998636,4377186150604,4377186257492,4377186257520,16,25.7255,19.0765,3.12032,0.74756,0.19228,1.51968,1.06888
14,1,0,1e+08,4377186281356,4377188072679,4377188378295,4377188449871,4377188472647,4377188626155,4377188733059,4377188733083,16,24.5173,17.9132,3.05616,0.71576,0.22776,1.53508,1.06904
15,1,0,1e+08,4377188761887,4377191209378,4377191893161,4377192002153,4377192016677,4377192301537,4377192423965,4377192424049,16,36.6216,24.4749,6.83783,1.08992,0.14524,2.8486,1.22428
16,1,0,1e+08,4377192448109,4377194239788,4377194544752,4377194617688,4377194649972,4377194802508,4377194909320,4377194909340,16,24.6123,17.9168,3.04964,0.72936,0.32284,1.52536,1.06812
17,1,0,1e+08,4377194933416,4377197494810,4377198115367,4377198177199,4377198202659,4377198448419,4377198574819,4377198574847,16,36.4143,25.6139,6.20557,0.61832,0.2546,2.4576,1.264
18,1,0,1e+08,4377198602867,4377200969317,4377201563053,4377201648209,4377201665057,4377201897597,4377202029761,4377202029789,16,34.2692,23.6645,5.93736,0.85156,0.16848,2.3254,1.32164
19,1,0,1e+08,4377202057765,4377204222059,4377205115887,4377205289614,4377205315086,4377205760965,4377205930973,4377205931025,16,38.7326,21.6429,8.93828,1.73727,0.25472,4.45879,1.70008
20,1,0,1e+08,4377205965069,4377208245433,4377208903709,4377208975065,4377209006361,4377209474968,4377209660599,4377209660749,16,36.9568,22.8036,6.58276,0.71356,0.31296,4.68607,1.85631
21,1,0,1e+08,4377209811923,4377211901740,4377214156558,4377214499822,4377214523738,4377214962241,4377215127385,4377215127433,16,53.1551,20.8982,22.5482,3.43264,0.23916,4.38503,1.65144
22,1,0,1e+08,4377215155077,4377217442906,4377217973162,4377218047462,4377218076214,4377218292138,4377218460894,4377218460930,16,33.0585,22.8783,5.30256,0.743,0.28752,2.15924,1.68756
23,1,0,1e+08,4377218501330,4377220642736,4377222127944,4377222275060,4377222306292,4377222658352,4377222838876,4377222838916,16,43.3759,21.4141,14.8521,1.47116,0.31232,3.5206,1.80524
24,1,0,1e+08,4377222874580,4377225220744,4377225732536,4377225815636,4377225853412,4377226416647,4377226590627,4377226590655,16,37.1608,23.4616,5.11792,0.831,0.37776,5.63235,1.7398
25,1,0,1e+08,4377226616551,4377228854593,4377229274273,4377229346265,4377229368741,4377229560148,4377230104718,4377230104903,16,34.8835,22.3804,4.1968,0.71992,0.22476,1.91407,5.4457
26,1,0,1e+08,4377230196261,4377232889064,4377233269924,4377233339896,4377233359084,4377233557095,4377234132205,4377234132355,16,39.3609,26.928,3.8086,0.69972,0.19188,1.98011,5.7511
27,1,0,1e+08,4377234188761,4377237984996,4377238651789,4377238706693,4377238735285,4377238980229,4377239104453,4377239104485,16,49.1572,37.9624,6.66793,0.54904,0.28592,2.44944,1.24224
28,1,0,1e+08,4377239129457,4377242167073,4377242543153,4377242613129,4377242632561,4377242812097,4377242941617,4377242941637,16,38.1218,30.3762,3.7608,0.69976,0.19432,1.79536,1.2952
29,1,0,1e+08,4377242966957,4377245982624,4377246301776,4377246359044,4377246414420,4377247205801,4377247494837,4377247494893,16,45.2794,30.1567,3.19152,0.57268,0.55376,7.91381,2.89036
30,1,0,1e+08,4377247521989,4377250753122,4377251343615,4377251395143,4377251443911,4377251700891,4377251817763,4377251817783,16,42.9579,32.3113,5.90493,0.51528,0.48768,2.5698,1.16872
31,1,0,1e+08,4377251841611,4377253683320,4377254781958,4377254843926,4377254872551,4377255284184,4377255432456,4377255432504,16,35.9089,18.4171,10.9864,0.61968,0.28625,4.11633,1.48272
32,1,0,1e+08,4377255457116,4377257403826,4377258582953,4377258643365,4377258708945,4377259022681,4377259163477,4377259163513,16,37.064,19.4671,11.7913,0.60412,0.6558,3.13736,1.40796
33,1,0,1e+08,4377259229701,4377261173643,4377261479279,4377261551979,4377261570219,4377261729759,4377261864839,4377261864867,16,26.3517,19.4394,3.05636,0.727,0.1824,1.5954,1.3508
34,1,0,1e+08,4377261892383,4377263761264,4377264066304,4377264139052,4377264159404,4377264320068,4377264477472,4377264477488,16,25.8511,18.6888,3.0504,0.72748,0.20352,1.60664,1.57404
35,1,0,1e+08,4377264501736,4377267155399,4377267440839,4377267490263,4377267507415,4377267659751,4377267766635,4377267766659,16,32.6492,26.5366,2.8544,0.49424,0.17152,1.52336,1.06884
36,1,0,1e+08,4377267790959,4377269567777,4377269876809,4377269948753,4377269968485,4377270120553,4377270226917,4377270226937,16,24.3598,17.7682,3.09032,0.71944,0.19732,1.52068,1.06364
37,1,0,1e+08,4377270250557,4377271941303,4377272247011,4377272318331,4377272337463,4377272527055,4377272644599,4377272644619,16,23.9406,16.9075,3.05708,0.7132,0.19132,1.89592,1.17544
38,1,0,1e+08,4377272668567,4377274481921,4377275716395,4377275859167,4377275875279,4377276214675,4377276351151,4377276351179,16,36.8261,18.1335,12.3447,1.42772,0.16112,3.39396,1.36476
39,1,0,1e+08,4377276375399,4377278154650,4377278463374,4377278533930,4377278601614,4377278770394,4377278879574,4377278879594,16,25.0419,17.7925,3.08724,0.70556,0.67684,1.6878,1.0918
40,1,0,1e+08,4377278903366,4377280765376,4377281112416,4377281185720,4377281249772,4377281432684,4377281539920,4377281539936,16,26.3657,18.6201,3.4704,0.73304,0.64052,1.82912,1.07236
41,1,0,1e+08,4377281563172,4377283368159,4377283675723,4377283760283,4377283799355,4377284704494,4377284928483,4377284928543,16,33.6537,18.0499,3.07564,0.8456,0.39072,9.05139,2.23989
42,1,0,1e+08,4377284955203,4377286838299,4377287912639,4377288096665,4377288114781,4377288508265,4377288652169,4377288652197,16,36.9699,18.831,10.7434,1.84026,0.18116,3.93484,1.43904
43,1,0,1e+08,4377288676333,4377290569157,4377290877745,4377290974133,4377290994277,4377291178033,4377291291565,4377291291593,16,26.1526,18.9282,3.08588,0.96388,0.20144,1.83756,1.13532
44,1,0,1e+08,4377291318577,4377293165718,4377293537390,4377293669178,4377293689530,4377293843770,4377293957302,4377293957322,16,26.3875,18.4714,3.71672,1.31788,0.20352,1.5424,1.13532
