frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0855,12.0999,0.0151,0.0032,0.0116,0.0087,0.0013,0.0011,4.7129,12.017,0.0253,4.1503,0.1276,2.9616,0.0375,0.0643,0.2385,10.6029,0.0246,0,23.0695,0,1040447712,634117408,0,0,116476604,1,0,1,0,0,24,0
1,0.0473,1.7355,0.9505,0.0021,0.9481,0.9294,0.0151,0.001,0.3662,0.776,0.0344,0.1447,0.0552,0.1713,0.0034,0.008,0.0272,13.2436,0.0106,0,15.0671,1,1040447712,634102624,1,0,116476604,2,0,1,0,0,24,0
2,0.0911,1.8978,1.0746,0.0035,1.0706,1.0518,0.0153,0.0012,0.3559,0.81,0.0094,0.1425,0.0929,0.2043,0.0041,0.0126,0.0175,0.7838,0.222,0.5113,3.7203,2,1040447712,634104032,2,0,116476604,3,1,1,1,0,0,0
3,0.0398,4.3418,0.6356,0.0023,0.633,0.6251,0.0062,0.0006,0.754,3.6904,0.0228,0.7925,1.5726,0.5425,0.0055,0.0149,0.0192,2.358,0.7019,1.6527,9.51,3,1040447712,634104736,0,0,116476604,4,2,1,1,0,0,0
4,0.0645,1.8166,0.9918,0.0031,0.9881,0.9722,0.0127,0.0016,0.3656,0.8126,0.0144,0.2146,0.0954,0.1184,0.0035,0.0113,0.0186,0.8856,0.0069,0,2.795,0,1040447712,634117408,1,0,116476604,5,2,1,0,0,24,0
5,0.0396,1.3047,0.6408,0.0027,0.6379,0.6283,0.0076,0.001,0.2049,0.6555,0.0187,0.1695,0.1013,0.1551,0.0052,0.0075,0.017,0.6832,0.2051,0.3186,2.7412,1,1040447712,634102624,2,0,116476604,6,3,1,1,0,0,0
6,0.0387,1.2908,0.6672,0.0023,0.6646,0.6521,0.0099,0.0012,0.2476,0.6128,0.0094,0.1402,0.0541,0.1571,0.0035,0.0101,0.0174,0.2889,0.1723,0.3682,2.292,2,1040447712,634104032,0,0,116476604,7,4,1,1,0,0,0
7,0.0384,1.2978,0.6558,0.0022,0.6533,0.6414,0.0099,0.0011,0.2855,0.6329,0.0254,0.1534,0.0503,0.1124,0.0052,0.0082,0.0168,0.3534,0.1789,0.1685,2.1354,3,1040447712,634104736,1,0,116476604,8,5,1,1,0,0,0
8,0.0393,1.1571,0.5621,0.0021,0.5598,0.5486,0.0088,0.0011,0.2231,0.5829,0.0098,0.1228,0.0592,0.1612,0.0061,0.0107,0.0194,0.2878,0.1982,0.1977,2.0064,0,1040447712,634117408,2,0,116476604,9,6,1,1,0,0,0
9,0.1237,1.2957,0.6516,0.0035,0.6478,0.6357,0.0094,0.0012,0.2314,0.6348,0.0104,0.1523,0.0582,0.1786,0.0032,0.0086,0.0143,0.2521,0.1267,0.1531,2.0414,1,1040447712,634102624,0,0,116476604,10,7,1,1,0,0,0
10,0.0757,1.9455,0.943,0.0057,0.9365,0.9181,0.0154,0.0012,0.3182,0.9846,0.0128,0.2004,0.1631,0.2819,0.007,0.0164,0.027,0.649,0.2366,0.2486,3.3193,2,1040447712,634104032,1,0,116476604,11,8,1,1,0,0,0
11,0.048,2.1165,1.3431,0.0035,1.3388,1.3312,0.006,0.001,0.2888,0.7645,0.0451,0.1869,0.0835,0.1555,0.0042,0.0078,0.0228,0.3672,0.2461,0.6149,3.569,3,1040447712,634104736,2,0,116476604,12,9,1,1,0,0,0
12,0.0708,1.7484,0.8942,0.0031,0.8906,0.8828,0.0065,0.0009,0.2613,0.8475,0.0274,0.2229,0.1215,0.2067,0.0069,0.0056,0.0296,0.4736,0.609,1.2411,4.7159,0,1040447712,634117408,0,0,116476604,13,10,1,1,0,0,0
13,0.0451,1.3934,0.7077,0.0031,0.7044,0.6918,0.01,0.0011,0.2507,0.6635,0.0105,0.1458,0.0895,0.1594,0.0068,0.0203,0.0219,0.3111,0.1938,0.2994,2.3803,1,1040447712,634102624,1,0,116476604,14,11,1,1,0,0,0
14,0.0401,1.1544,0.6501,0.0022,0.6477,0.6364,0.009,0.0012,0.1689,0.4866,0.008,0.0713,0.0579,0.1758,0.0041,0.0162,0.0307,0.3135,0.2273,0.3036,2.2099,2,1040447712,634104032,2,0,116476604,15,12,1,1,0,0,0
15,0.0376,1.3798,0.7257,0.0025,0.723,0.7114,0.0093,0.0012,0.2575,0.6436,0.0098,0.1577,0.0548,0.1593,0.0036,0.0095,0.0163,0.2957,0.1588,0.2768,2.2643,3,1040447712,634104736,0,0,116476604,16,13,1,1,0,0,0
16,0.0515,1.3404,0.6473,0.0024,0.6447,0.6322,0.0096,0.0011,0.249,0.6607,0.0095,0.1203,0.0995,0.1755,0.0058,0.018,0.0192,0.3729,0.1961,0.1639,2.2663,0,1040447712,634117408,1,0,116476604,17,14,1,1,0,0,0
17,0.0469,1.4613,0.7013,0.0036,0.6973,0.6866,0.0083,0.001,0.2985,0.7398,0.0112,0.165,0.0926,0.1657,0.0059,0.0108,0.0143,0.3226,0.1841,0.2453,2.3842,1,1040447712,634102624,2,0,116476604,18,15,1,1,0,0,0
18,0.0446,1.5554,0.6822,0.0027,0.6791,0.6698,0.0078,0.0006,0.2712,0.8472,0.0103,0.145,0.1249,0.2886,0.0064,0.0132,0.0197,0.4173,0.2049,0.2482,2.5878,2,1040447712,634104032,0,0,116476604,19,16,1,1,0,0,0
19,0.0387,1.229,0.6141,0.0022,0.6117,0.6031,0.0072,0.0006,0.2068,0.5907,0.0179,0.1034,0.0827,0.1738,0.0053,0.0124,0.0183,0.3164,0.1482,0.2548,2.1211,3,1040447712,634104736,1,0,116476604,20,17,1,1,0,0,0
20,0.0944,2.5091,1.1389,0.0098,1.1285,1.1083,0.0154,0.0023,0.5093,1.3331,0.0716,0.3002,0.1688,0.2746,0.0069,0.0185,0.0299,0.7086,0.2758,0.3207,4.0846,0,1040447712,634117408,2,0,116476604,21,18,1,1,0,0,0
21,0.0565,1.2272,0.6476,0.003,0.6443,0.6371,0.0058,0.0007,0.1949,0.5389,0.0087,0.0923,0.0409,0.1945,0.0072,0.0257,0.0365,0.3244,0.1393,0.1503,2.0155,1,1040447712,634102624,0,0,116476604,22,19,1,1,0,0,0
22,0.0642,1.9258,0.9337,0.0071,0.9263,0.9119,0.0111,0.0018,0.3552,0.9647,0.0167,0.2227,0.1854,0.1784,0.0054,0.0173,0.0239,0.4151,0.2992,0.2516,3.1415,2,1040447712,634104032,1,0,116476604,23,20,1,1,0,0,0
