frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4380801417119,4380803219372,4380803844252,4380804014492,4380804111612,4380804322216,4380804455684,4380804455712,16,30.3859,18.0225,6.2488,1.7024,0.9712,2.10604,1.33468
1,1,0,1e+08,4380805886674,4380807557093,4380808176802,4380808265362,4380808287818,4380808560422,4380808841100,4380808841164,16,29.5449,16.7042,6.19709,0.8856,0.22456,2.72604,2.80678
2,1,0,1e+08,4380809105188,4380812705991,4380813178951,4380813262563,4380813288547,4380813490163,4380813675419,4380813675447,16,45.7026,36.008,4.7296,0.83612,0.25984,2.01616,1.85256
3,1,0,1e+08,4380813745299,4380814053023,4380814521995,4380814585395,4380814605287,4380815244975,4380815621712,4380815621776,16,18.7648,3.07724,4.68972,0.634,0.19892,6.39688,3.76737
4,1,0,1e+08,4380815972789,4380816302717,4380816749185,4380816834633,4380816874325,4380817082077,4380817253869,4380817253893,16,12.811,3.29928,4.46468,0.85448,0.39692,2.07752,1.71792
5,1,0,1e+08,4380817568447,4380818097638,4380819101870,4380819378574,4380819406462,4380819648922,4380819811134,4380819811162,16,22.4272,5.29191,10.0423,2.76704,0.27888,2.4246,1.62212
6,1,0,1e+08,4380820406662,4380820656359,4380821900485,4380822282009,4380822312509,4380822566993,4380822718301,4380822718325,16,23.1166,2.49697,12.4413,3.81524,0.305,2.54484,1.51308
7,1,0,1e+08,4380823453042,4380824223796,4380824989512,4380825318412,4380825336976,4380825581588,4380825721152,4380825721180,16,22.6814,7.70754,7.65716,3.289,0.18564,2.44612,1.39564
8,1,0,1e+08,4380826233736,4380826994039,4380827785981,4380828149305,4380828171117,4380828413373,4380828555741,4380828555765,16,23.2203,7.60303,7.91942,3.63324,0.21812,2.42256,1.42368
9,1,0,1e+08,4380829149537,4380829472589,4380829774757,4380829836145,4380829856801,4380830011641,4380830133721,4380830133745,16,9.84208,3.23052,3.02168,0.61388,0.20656,1.5484,1.2208
10,1,0,1e+08,4380831915063,4380832239931,4380832667595,4380832731607,4380832773327,4380832979215,4380833104391,4380833104415,16,11.8935,3.24868,4.27664,0.64012,0.4172,2.05888,1.25176
11,1,0,1e+08,4380833997007,4380834234127,4380834544083,4380834603219,4380834665611,4380835256485,4380835626752,4380835626812,16,16.298,2.3712,3.09956,0.59136,0.62392,5.90874,3.70267
12,1,0,1e+08,4380837269675,4380838005360,4380838821942,4380838895286,4380838920482,4380839195790,4380839360890,4380839360918,16,20.9124,7.35685,8.16582,0.73344,0.25196,2.75308,1.651
13,1,0,1e+08,4380840387057,4380840642511,4380840942303,4380841003519,4380841049207,4380841259695,4380841420791,4380841420815,16,10.3376,2.55454,2.99792,0.61216,0.45688,2.10488,1.61096
14,1,0,1e+08,4380842107866,4380842345751,4380843604925,4380843880101,4380843903289,4380844162521,4380844324193,4380844324221,16,22.1636,2.37885,12.5917,2.75176,0.23188,2.59232,1.61672
15,1,0,1e+08,4380844986364,4380845628057,4380846544714,4380846900786,4380846927894,4380847168146,4380847296466,4380847296546,16,23.1018,6.41693,9.16657,3.56072,0.27108,2.40252,1.2832
16,1,0,1e+08,4380847998514,4380848245422,4380848548254,4380848611678,4380848635306,4380848793290,4380848917042,4380848917062,16,9.18548,2.46908,3.02832,0.63424,0.23628,1.57984,1.23752
17,1,0,1e+08,4380851177118,4380851442927,4380851788303,4380851865435,4380851897119,4380852063375,4380852259943,4380852259967,16,10.8285,2.65809,3.45376,0.77132,0.31684,1.66256,1.96568
18,1,0,1e+08,4380853142137,4380853950267,4380854703905,4380854788805,4380854831969,4380855091601,4380855218773,4380855218797,16,20.7666,8.0813,7.53638,0.849,0.43164,2.59632,1.27172
19,1,0,1e+08,4380856178086,4380856843600,4380857796191,4380857881819,4380857913179,4380858192803,4380858330767,4380858330803,16,21.5272,6.65514,9.52591,0.85628,0.3136,2.79624,1.37964
20,1,0,1e+08,4380859802375,4380860205788,4380860716816,4380860826748,4380860871476,4380861421139,4380861800978,4380861801050,16,19.9868,4.03413,5.11028,1.09932,0.44728,5.49663,3.79839
21,1,0,1e+08,4380863349663,4380864394166,4380865047998,4380865263210,4380865285190,4380865511182,4380865666686,4380865666718,16,23.1706,10.445,6.53832,2.15212,0.2198,2.25992,1.55504
22,1,0,1e+08,4380867328592,4380867657124,4380868128340,4380868214684,4380868250464,4380868661077,4380869233660,4380869233790,16,19.052,3.28532,4.71216,0.86344,0.3578,4.10613,5.72583
23,1,0,1e+08,4380870009524,4380870591441,4380871155757,4380871360721,4380871390033,4380871608581,4380871790349,4380871790377,16,17.8085,5.81917,5.64316,2.04964,0.29312,2.18548,1.81768
24,1,0,1e+08,4380872540651,4380873531056,4380874207661,4380874332505,4380874400165,4380874638509,4380874776397,4380874776421,16,22.3577,9.90405,6.76605,1.24844,0.6766,2.38344,1.37888
25,1,0,1e+08,4380875575807,4380876697529,4380877394488,4380877603216,4380877624592,4380877869276,4380878036004,4380878036032,16,24.6022,11.2172,6.96959,2.08728,0.21376,2.44684,1.66728
26,1,0,1e+08,4380878566364,4380879441072,4380880061401,4380880143729,4380880176897,4380880464741,4380880667105,4380880667129,16,21.0076,8.74708,6.20329,0.82328,0.33168,2.87844,2.02364
27,1,0,1e+08,4380882582789,4380882882021,4380883360733,4380883489712,4380883538229,4380884591198,4380884792914,4380884792978,16,22.1019,2.99232,4.78712,1.28979,0.48517,10.5297,2.01716
28,1,0,1e+08,4380885870006,4380886577052,4380887440418,4380887578926,4380887599178,4380887879878,4380888052442,4380888052466,16,21.8246,7.07046,8.63366,1.38508,0.20252,2.807,1.72564
29,1,0,1e+08,4380889032570,4380890063700,4380890682748,4380890785852,4380890828848,4380891116136,4380891342304,4380891342344,16,23.0977,10.3113,6.19048,1.03104,0.42996,2.87288,2.26168
30,1,0,1e+08,4380892277260,4380892897011,4380893832689,4380894038029,4380894057161,4380894311309,4380894457697,4380894457725,16,21.8046,6.19751,9.35678,2.0534,0.19132,2.54148,1.46388
31,1,0,1e+08,4380895089986,4380895708130,4380896633092,4380896770652,4380896795468,4380897056944,4380897205264,4380897205296,16,21.1531,6.18144,9.24962,1.3756,0.24816,2.61476,1.4832
32,1,0,1e+08,4380897687359,4380898280763,4380899225178,4380899369594,4380899394742,4380899660362,4380899830170,4380899830194,16,21.4283,5.93404,9.44415,1.44416,0.25148,2.6562,1.69808
33,1,0,1e+08,4380900554766,4380901458489,4380902166756,4380902290140,4380902335984,4380902620720,4380902744916,4380902744944,16,21.9018,9.03723,7.08267,1.23384,0.45844,2.84736,1.24196
34,1,0,1e+08,4380903290164,4380903945974,4380904844276,4380904922184,4380904953100,4380905237348,4380905427348,4380905427376,16,21.3721,6.5581,8.98302,0.77908,0.30916,2.84248,1.9
35,1,0,1e+08,4380906163603,4380906779667,4380907729362,4380907820002,4380907860550,4380908125630,4380908269522,4380908269554,16,21.0595,6.16064,9.49695,0.9064,0.40548,2.6508,1.43892
36,1,0,1e+08,4380908996744,4380910020050,4380910645402,4380910731598,4380910759598,4380910988598,4380911119434,4380911119458,16,21.2271,10.2331,6.25352,0.86196,0.28,2.29,1.30836
37,1,0,1e+08,4380911748194,4380912746490,4380913366450,4380913452954,4380913476690,4380913711214,4380913840926,4380913840954,16,20.9276,9.98296,6.1996,0.86504,0.23736,2.34524,1.29712
38,1,0,1e+08,4380914304152,4380915378790,4380915993124,4380916097016,4380916132444,4380916376812,4380916557056,4380916557080,16,22.5293,10.7464,6.14334,1.03892,0.35428,2.44368,1.80244
