frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0825,10.3282,0.0159,0.0036,0.012,0.0096,0.001,0.0008,4.234,10.2826,0.0338,5.525,0.0811,0.3942,0.0141,0.0266,0.4101,10.4251,0.0176,0,21.2857,0,2894592480,2663141088,0,0,116476604,1,0,1,0,0,24,0
1,0.0403,1.1545,0.5913,0.0021,0.589,0.5826,0.005,0.0008,0.2032,0.5578,0.0201,0.1157,0.0868,0.1295,0.002,0.0041,0.0126,5.8135,0.0084,0,7.0324,1,2894592480,2663136864,1,0,116476604,2,0,1,0,0,24,0
2,0.0442,1.5482,0.7156,0.0023,0.7131,0.6994,0.0108,0.0011,0.2897,0.8207,0.0101,0.1647,0.1161,0.2333,0.0058,0.0107,0.018,0.8676,0.2938,0.3943,3.3427,2,2894592480,2663135456,2,0,116476604,3,1,1,1,0,0,0
3,0.0393,1.6365,0.6624,0.0021,0.6601,0.6485,0.0091,0.0011,0.3067,0.9649,0.023,0.1647,0.0759,0.3883,0.0054,0.0077,0.0162,32.6352,0.1122,0.1794,34.6788,3,2894592480,2663141792,0,0,116476604,4,2,1,1,0,0,0
4,0.0629,2.1413,1.1308,0.0027,1.1277,1.1112,0.0123,0.002,0.5615,0.9957,0.0106,0.1406,0.0821,0.1947,0.0054,0.0132,0.0198,0.4506,0.0076,0,2.6847,4,2894592480,2663137568,1,0,116476604,5,2,1,0,0,24,0
5,0.04,1.7859,0.6504,0.002,0.6481,0.6366,0.0091,0.0012,0.2796,1.127,0.0226,0.1579,0.0844,0.5777,0.004,0.0075,0.0162,24.8968,0.1962,0.3461,27.4081,5,2894592480,2663143200,2,0,116476604,6,3,1,1,0,0,0
6,0.0768,2.1295,1.0856,0.0027,1.0826,1.0649,0.014,0.0018,0.5653,1.0223,0.0145,0.1368,0.0718,0.2284,0.0052,0.0201,0.0187,0.4524,0.0042,0,2.6844,6,2894592480,2663131232,0,0,116476604,7,3,1,0,0,24,0
7,0.0492,2.5928,1.5596,0.0024,1.557,1.5379,0.015,0.0019,0.52,1.0196,0.0376,0.2371,0.0839,0.1372,0.0032,0.0107,0.035,1.0399,0.1729,0.283,4.2823,7,2894592480,2663143904,1,0,116476604,8,4,1,1,0,0,0
8,0.0381,2.0146,0.6611,0.0022,0.6584,0.6458,0.01,0.0014,0.4328,1.3417,0.0089,0.2014,0.1422,0.5502,0.0051,0.0106,0.0164,15.1342,0.1395,0.1542,17.6142,0,2894592480,2663141088,2,0,116476604,9,5,1,1,0,0,0
9,0.0391,1.4513,0.6561,0.002,0.6538,0.6344,0.0169,0.0011,0.2889,0.7839,0.0092,0.1773,0.1012,0.2007,0.0055,0.0104,0.0172,0.5786,0.0031,0,2.0917,1,2894592480,2663136864,0,0,116476604,10,5,1,0,0,24,0
