frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4679098396091,4679100022378,4679100742299,4679100919139,4679100941595,4679101178719,4679101302575,4679101302603,16,29.0651,16.2629,7.19921,1.7684,0.22456,2.37124,1.23856
1,1,0,1e+08,4679102653210,4679103518645,4679104593714,4679104675778,4679104709210,4679104996298,4679105150806,4679105150838,16,24.9763,8.65435,10.7507,0.82064,0.33432,2.87088,1.54508
2,1,0,1e+08,4679106023345,4679110916590,4679111418134,4679111513454,4679111537162,4679111850154,4679111999322,4679111999358,16,59.7601,48.9325,5.01544,0.9532,0.23708,3.12992,1.49168
3,1,0,1e+08,4679112028290,4679112290146,4679112718154,4679112788906,4679112807206,4679116828578,4679117023292,4679117023316,16,49.9503,2.61856,4.28008,0.70752,0.183,40.2137,1.94714
4,1,0,1e+08,4679117050040,4679117269852,4679117663384,4679117723872,4679117745432,4679117937148,4679118083648,4679118083680,16,10.3364,2.19812,3.93532,0.60488,0.2156,1.91716,1.465
5,1,0,1e+08,4679118117252,4679118370152,4679118808324,4679118881292,4679118901828,4679120275726,4679120467850,4679120467878,16,23.5063,2.529,4.38172,0.72968,0.20536,13.739,1.92124
6,1,0,1e+08,4679120498906,4679123468566,4679124147959,4679124210859,4679124230155,4679124490703,4679124622411,4679124622443,16,41.2354,29.6966,6.79393,0.629,0.19296,2.60548,1.31708
7,1,0,1e+08,4679124649467,4679127999664,4679128770994,4679128834274,4679128876738,4679129139966,4679129276046,4679129276082,16,46.2661,33.502,7.7133,0.6328,0.42464,2.63228,1.3608
8,1,0,1e+08,4679129303682,4679129502170,4679129868694,4679129944826,4679129980442,4679130159302,4679130317682,4679130317702,16,10.1402,1.98488,3.66524,0.76132,0.35616,1.7886,1.5838
9,1,0,1e+08,4679130346294,4679132093456,4679132435348,4679132546366,4679132617096,4679133483669,4679133671198,4679133671254,16,33.2496,17.4716,3.41892,1.11018,0.7073,8.66573,1.87529
