frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
0,0.0644,9.4099,0.0145,0.0025,0.0118,0.0098,0.0008,0.0008,4.02,9.3831,0.0337,4.8827,0.0694,0.3723,0.0044,0.0112,0.0386,9.1972,0.0319,0,18.7482,0,2081825760,1579035872,0,0,116476604,1,0,1,0,0,24,0
1,0.0439,1.3695,0.6461,0.0025,0.6434,0.6308,0.0101,0.0013,0.2904,0.7135,0.0331,0.1414,0.0516,0.1924,0.0038,0.0081,0.0198,7.4569,0.2294,0.5666,9.992,1,2081825760,1579037280,1,0,116476604,2,1,1,1,0,0,0
2,0.0378,1.4728,0.659,0.0022,0.6565,0.6446,0.0096,0.0011,0.2778,0.8053,0.0089,0.176,0.1027,0.2363,0.0028,0.0077,0.0142,0.4633,0.0029,0,1.9932,2,2081825760,1785561120,2,0,116476604,3,1,1,0,0,24,0
3,0.0392,1.6031,0.65,0.0023,0.6475,0.6366,0.0086,0.0011,0.2234,0.9431,0.0075,0.098,0.1319,0.478,0.0038,0.0089,0.0128,0.6072,0.1497,0.2536,2.7766,3,2081825760,1785564640,0,0,116476604,4,2,1,1,0,0,0
4,0.0556,2.2554,0.7083,0.0026,0.7055,0.6988,0.0049,0.0009,0.5213,1.54,0.0072,0.2816,0.2088,0.5176,0.003,0.0063,0.0142,18.4609,0.0091,0,20.7985,4,2081825760,1785563232,1,0,116476604,5,2,1,0,0,24,0
5,0.1056,3.2904,1.1527,0.0034,1.1483,1.136,0.0084,0.0016,0.2448,2.09,0.0086,0.154,0.2301,1.4318,0.0189,0.0433,0.0966,2.9805,0.7887,1.0133,8.6624,5,2081825760,1785563936,2,0,116476604,6,3,1,1,0,0,0
6,0.105,2.3775,1.3663,0.0038,1.362,1.3428,0.0127,0.0028,0.5434,1.0045,0.0385,0.1783,0.1026,0.1392,0.0019,0.0054,0.0164,16.8531,0.2102,0.3202,19.9898,6,2081825760,1785565344,0,0,116476604,7,4,1,1,0,0,0
7,0.0399,1.3334,0.6655,0.0028,0.6625,0.651,0.0091,0.0011,0.2129,0.654,0.0073,0.0911,0.0762,0.2616,0.0041,0.013,0.0181,0.4596,0.0071,0,1.8607,7,2081825760,1785566048,1,0,116476604,8,4,1,0,0,24,0
8,0.0452,1.2959,0.77,0.0024,0.7672,0.7594,0.0059,0.0006,0.1846,0.5146,0.0066,0.1168,0.0757,0.1264,0.0041,0.0103,0.0155,0.8841,0.1183,0.1322,2.5539,0,2081825760,1579035872,2,0,116476604,9,5,1,1,0,0,0
9,0.0384,3.3049,0.6204,0.0024,0.6178,0.6018,0.0083,0.0066,1.313,2.6772,0.0195,0.3099,0.4351,0.5964,0.003,0.0065,0.0137,1.5158,0.0063,0,4.8815,1,2081825760,1579037280,0,0,116476604,10,5,1,0,0,24,0
10,0.0451,28.8736,27.6859,0.0024,27.6832,27.6646,0.0137,0.0014,0.5345,1.1729,0.0458,0.2335,0.1535,0.197,0.0074,0.0128,0.0372,0.8027,0.2906,0.3814,30.6147,2,2081825760,1785561120,1,0,116476604,11,6,1,1,0,0,0
11,0.0495,1.7267,0.7826,0.0028,0.7795,0.7666,0.0102,0.0012,0.3023,0.9298,0.0112,0.2025,0.1447,0.2615,0.0066,0.0136,0.0197,0.4347,0.2028,0.1885,2.7224,3,2081825760,1785564640,2,0,116476604,12,7,1,1,0,0,0
12,0.0467,1.635,0.695,0.0027,0.6918,0.6798,0.0093,0.0015,0.2841,0.9247,0.0098,0.1887,0.1444,0.29,0.0069,0.0139,0.0206,0.4491,0.2081,0.1534,2.5884,4,2081825760,1785563232,0,0,116476604,13,8,1,1,0,0,0
13,0.0563,1.6594,0.8774,0.0031,0.8735,0.8601,0.0109,0.0011,0.3251,0.7634,0.0113,0.1324,0.078,0.2053,0.0104,0.0163,0.0244,0.4678,0.2098,0.3014,2.8198,5,2081825760,1785563936,1,0,116476604,14,9,1,1,0,0,0
14,0.0454,1.2454,0.6885,0.0022,0.686,0.6722,0.011,0.0012,0.191,0.5403,0.0081,0.0884,0.0483,0.1987,0.0053,0.0154,0.0152,0.2823,0.1506,0.2121,2.017,6,2081825760,1785565344,2,0,116476604,15,10,1,1,0,0,0
15,0.0796,2.6249,1.7076,0.0046,1.7024,1.6795,0.017,0.0027,0.4137,0.9082,0.0525,0.2225,0.0912,0.1248,0.003,0.0079,0.0222,1.0054,0.0097,0,3.7459,7,2081825760,1785566048,0,0,116476604,16,10,1,0,0,24,0
16,0.1726,3.4789,1.696,0.0177,1.6773,1.6505,0.0209,0.0025,0.7638,1.7347,0.019,0.2421,0.2238,0.4672,0.0171,0.0254,0.0289,1.2883,0.4931,0.351,5.9778,0,2081825760,1579035872,1,0,116476604,17,11,1,1,0,0,0
17,0.0896,2.3083,1.2083,0.0119,1.1959,1.1777,0.0144,0.0019,0.4431,1.0608,0.0149,0.1732,0.151,0.2683,0.0093,0.0212,0.0296,0.5306,0.344,0.2331,3.6919,1,2081825760,1579037280,2,0,116476604,18,12,1,1,0,0,0
18,0.0564,1.169,0.6514,0.0032,0.6478,0.6417,0.0043,0.0012,0.2127,0.4824,0.0119,0.0982,0.0323,0.1242,0.0027,0.0137,0.0375,0.4482,0.1345,0.2454,2.1671,2,2081825760,1785561120,0,0,116476604,19,13,1,1,0,0,0
19,0.0517,1.5034,0.7139,0.0039,0.7097,0.7038,0.0043,0.0011,0.2146,0.7567,0.0267,0.1391,0.0972,0.2685,0.01,0.0213,0.0205,0.5495,0.289,0.3182,2.8881,3,2081825760,1785564640,1,0,116476604,20,14,1,1,0,0,0
20,0.0828,2.0712,1.0336,0.0094,1.0237,0.9998,0.0192,0.0025,0.4858,1.0018,0.0224,0.2548,0.0848,0.147,0.0056,0.0171,0.0277,0.4811,0.34,0.3327,3.4933,4,2081825760,1785563232,2,0,116476604,21,15,1,1,0,0,0
21,0.0585,1.8412,0.8953,0.0044,0.8907,0.8797,0.0089,0.001,0.2542,0.9101,0.0121,0.1539,0.1284,0.3538,0.0066,0.0225,0.0312,0.5715,0.4468,0.2886,3.469,5,2081825760,1785563936,0,0,116476604,22,16,1,1,0,0,0
22,0.0519,1.2353,0.6495,0.0035,0.6457,0.6386,0.0054,0.0011,0.2099,0.5433,0.009,0.1049,0.0734,0.1398,0.0058,0.0217,0.036,0.3192,0.1854,0.2645,2.1958,6,2081825760,1785565344,1,0,116476604,23,17,1,1,0,0,0
23,0.0521,1.7346,0.9263,0.0026,0.9234,0.9099,0.0106,0.0016,0.2618,0.759,0.0119,0.1214,0.0895,0.257,0.017,0.0314,0.0403,0.4239,0.9902,0.9827,4.7307,7,2081825760,1785566048,2,0,116476604,24,18,1,1,0,0,0
24,0.0517,1.6675,0.8094,0.0032,0.8053,0.7953,0.0082,0.001,0.2503,0.8224,0.0114,0.191,0.1193,0.2453,0.0047,0.0178,0.0234,0.3382,0.1733,0.2515,2.6068,0,2081825760,1579035872,0,0,116476604,25,19,1,1,0,0,0
25,0.0403,1.0172,0.6508,0.0023,0.6482,0.6436,0.0026,0.0013,0.1606,0.3468,0.008,0.0688,0.0333,0.0735,0.0022,0.0058,0.0334,0.3247,0.2041,0.2753,2.0137,1,2081825760,1579037280,1,0,116476604,26,20,1,1,0,0,0
26,0.0437,1.0165,0.6182,0.0029,0.6151,0.6075,0.0056,0.001,0.1749,0.3769,0.0074,0.0743,0.0404,0.0758,0.0037,0.0079,0.0307,0.3348,0.1787,0.3381,2.0332,2,2081825760,1785561120,2,0,116476604,27,21,1,1,0,0,0
27,0.0427,1.2835,0.5752,0.0033,0.5716,0.561,0.008,0.0012,0.2818,0.6831,0.0102,0.1105,0.0949,0.1809,0.004,0.0102,0.019,0.3004,0.2052,0.3228,2.3027,3,2081825760,1785564640,0,0,116476604,28,22,1,1,0,0,0
28,0.0369,1.3706,0.6549,0.0021,0.6525,0.641,0.0093,0.0011,0.2195,0.6929,0.0096,0.1587,0.1174,0.1817,0.0052,0.0143,0.0192,0.4134,0.2501,0.2428,2.427,4,2081825760,1785563232,1,0,116476604,29,23,1,1,0,0,0
29,0.0431,1.1693,0.647,0.0026,0.6439,0.6366,0.0057,0.0006,0.1605,0.4863,0.0075,0.1036,0.0671,0.1418,0.0056,0.0221,0.0352,0.3771,0.4147,0.7831,3.334,5,2081825760,1785563936,2,0,116476604,30,24,1,1,0,0,0
30,0.0439,1.5663,0.7938,0.0024,0.7911,0.7805,0.0081,0.0007,0.3414,0.7501,0.007,0.1695,0.0801,0.1478,0.0037,0.0112,0.0282,0.368,0.3089,0.3567,2.8382,6,2081825760,1785565344,0,0,116476604,31,25,1,1,0,0,0
31,0.0364,1.2243,0.6099,0.0021,0.6076,0.5997,0.0056,0.001,0.25,0.5975,0.0107,0.1539,0.0521,0.1269,0.003,0.0101,0.016,0.3264,0.159,0.2624,2.1125,7,2081825760,1785566048,1,0,116476604,32,26,1,1,0,0,0
32,0.0412,1.3166,0.634,0.0023,0.6315,0.6193,0.0096,0.0012,0.2415,0.6518,0.0182,0.1882,0.0932,0.1004,0.0095,0.014,0.0204,0.486,0.3171,1.2125,3.5876,0,2081825760,1579035872,2,0,116476604,33,27,1,1,0,0,0
33,0.0395,1.5022,0.7385,0.002,0.7363,0.7264,0.008,0.0008,0.2064,0.7308,0.0249,0.1613,0.134,0.1937,0.0095,0.0168,0.0323,0.3461,0.3104,0.2242,2.6064,1,2081825760,1579037280,0,0,116476604,34,28,1,1,0,0,0
