frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,4766607586420,4766609793111,4766611790685,4766612249912,4766612279024,4766613732540,4766614348730,4766614348900,16,67.6248,22.0669,19.9757,4.59227,0.29112,14.5352,6.1619
1,1,0,1e+08,4766614407545,4766615563578,4766616947196,4766617966667,4766618018327,4766619290486,4766619907238,4766619907408,16,54.9986,11.5603,13.8362,10.1947,0.5166,12.7216,6.16752
2,1,0,1e+08,4766620913857,4766624353002,4766626638363,4766627381231,4766627434991,4766628707324,4766629318095,4766629318230,16,84.0437,34.3914,22.8536,7.42868,0.5376,12.7233,6.10771
3,1,0,1e+08,4766629387523,4766632458859,4766634739857,4766634932082,4766634983273,4766636255499,4766636835563,4766636835734,16,74.4821,30.7134,22.81,1.92225,0.51191,12.7223,5.80064
4,1,0,1e+08,4766636925519,4766640050787,4766641172123,4766641237263,4766641259335,4766641526487,4766641660075,4766641660107,16,47.3459,31.2527,11.2134,0.6514,0.22072,2.67152,1.33588
5,1,0,1e+08,4766641685283,4766641908947,4766642300367,4766642364067,4766642381023,4766642575971,4766642739587,4766642739615,16,10.5433,2.23664,3.9142,0.637,0.16956,1.94948,1.63616
6,1,0,1e+08,4766642773647,4766645923022,4766646975043,4766647041719,4766647097479,4766647389063,4766647536755,4766647536783,16,47.6314,31.4938,10.5202,0.66676,0.5576,2.91584,1.47692
7,1,0,1e+08,4766647565283,4766647795475,4766648157687,4766648222915,4766648240523,4766648397983,4766648526839,4766648526867,16,9.61584,2.30192,3.62212,0.65228,0.17608,1.5746,1.28856
8,1,0,1e+08,4766648554799,4766650536338,4766651815895,4766651901619,4766651927203,4766652220411,4766652367871,4766652367903,16,38.131,19.8154,12.7956,0.85724,0.25584,2.93208,1.4746
9,1,0,1e+08,4766652395591,4766652630143,4766652994299,4766653055051,4766653082343,4766653282543,4766653891478,4766653891574,16,14.9598,2.34552,3.64156,0.60752,0.27292,2.002,6.08935
10,1,0,1e+08,4766653930294,4766655377843,4766656062130,4766656260056,4766656331406,4766656840136,4766657029352,4766657029396,16,30.991,14.4755,6.84287,1.97926,0.7135,5.0873,1.89216
11,1,0,1e+08,4766657060244,4766657351336,4766657779520,4766657853492,4766657872096,4766658054880,4766658223924,4766658223948,16,11.637,2.91092,4.28184,0.73972,0.18604,1.82784,1.69044
12,1,0,1e+08,4766658256612,4766660659101,4766660986793,4766661063725,4766661084777,4766661245649,4766661406061,4766661406081,16,31.4947,24.0249,3.27692,0.76932,0.21052,1.60872,1.60412
13,1,0,1e+08,4766661440833,4766661653249,4766661977437,4766662046389,4766662078249,4766662241833,4766662378005,4766662378033,16,9.372,2.12416,3.24188,0.68952,0.3186,1.63584,1.36172
14,1,0,1e+08,4766662410033,4766664432429,4766665115941,4766665208781,4766665238621,4766665497813,4766665695317,4766665695341,16,32.8531,20.224,6.83512,0.9284,0.2984,2.59192,1.97504
15,1,0,1e+08,4766665736709,4766666632754,4766667318961,4766667397245,4766667745973,4766668343007,4766668916697,4766668916941,16,31.8023,8.96045,6.86207,0.78284,3.48728,5.97034,5.7369
16,1,0,1e+08,4766668965917,4766669493889,4766670012873,4766670192345,4766670235577,4766671100891,4766671366220,4766671366268,16,24.0035,5.27972,5.18984,1.79472,0.43232,8.65314,2.65329
17,1,0,1e+08,4766671417200,4766672094843,4766672529903,4766672656273,4766672751940,4766674052990,4766674259726,4766674259762,16,28.4256,6.77643,4.3506,1.2637,0.95667,13.0105,2.06736
18,1,0,1e+08,4766674308398,4766674686678,4766675829236,4766676142214,4766676166874,4766676498182,4766676675982,4766676676010,16,23.6761,3.7828,11.4256,3.12978,0.2466,3.31308,1.778
19,1,0,1e+08,4766676714130,4766679199090,4766679701450,4766679920186,4766679980358,4766680919505,4766681149450,4766681149506,16,44.3538,24.8496,5.0236,2.18736,0.60172,9.39147,2.29945
20,1,0,1e+08,4766681187074,4766681573478,4766682024146,4766682103382,4766682136626,4766682913972,4766683185372,4766683185420,16,19.9835,3.86404,4.50668,0.79236,0.33244,7.77346,2.714
21,1,0,1e+08,4766683332792,4766684415274,4766685657901,4766685802609,4766685823733,4766686127957,4766686328657,4766686328693,16,29.959,10.8248,12.4263,1.44708,0.21124,3.04224,2.007
22,1,0,1e+08,4766686404857,4766686677785,4766687871752,4766687975844,4766688015008,4766688415120,4766688582748,4766688582776,16,21.7792,2.72928,11.9397,1.04092,0.39164,4.00112,1.67628
23,1,0,1e+08,4766688625368,4766690354005,4766690961670,4766691043170,4766691098866,4766691387814,4766691585638,4766691585674,16,29.6031,17.2864,6.07665,0.815,0.55696,2.88948,1.97824
24,1,0,1e+08,4766691718350,4766692582406,4766693283432,4766693400940,4766693422828,4766693669448,4766693828964,4766693828988,16,21.1064,8.64056,7.01026,1.17508,0.21888,2.4662,1.59516
25,1,0,1e+08,4766694877579,4766696030565,4766697006905,4766697190909,4766697224345,4766698171196,4766698403701,4766698403761,16,35.2618,11.5299,9.7634,1.84004,0.33436,9.46851,2.32505
26,1,0,1e+08,4766698535601,4766698855721,4766699308885,4766699385049,4766699424273,4766700560981,4766700783657,4766700783701,16,22.481,3.2012,4.53164,0.76164,0.39224,11.3671,2.22676
