frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22422806598275,22422808450326,22422809118668,22422809123980,22422809371980,22422809598408,22422809734372,22422809734404,16,31.3613,18.5205,6.68342,0.05312,2.48,2.26428,1.35964
1,1,0,1e+08,22422811283253,22422812001822,22422812958969,22422812961809,22422813002905,22422813285349,22422813418333,22422813418373,16,21.3512,7.18569,9.57147,0.0284,0.41096,2.82444,1.32984
2,1,0,1e+08,22422814243285,22422815101877,22422815981770,22422815985590,22422816040070,22422816881352,22422817081307,22422817081371,16,28.3809,8.58592,8.79893,0.0382,0.5448,8.41282,1.99955
3,1,0,1e+08,22422817106251,22422818106051,22422818677439,22422818680927,22422818715791,22422819132997,22422819278037,22422819278073,16,21.7182,9.998,5.71388,0.03488,0.34864,4.17206,1.4504
4,1,0,1e+08,22422819719383,22422821367731,22422821853359,22422821857015,22422821895111,22422822095383,22422822230775,22422822230803,16,25.1142,16.4835,4.85628,0.03656,0.38096,2.00272,1.35392
5,1,0,1e+08,22422823007348,22422823838345,22422824502505,22422824505997,22422824538485,22422824885982,22422825042178,22422825042210,16,20.3486,8.30997,6.6416,0.03492,0.32488,3.47497,1.56196
6,1,0,1e+08,22422825066494,22422826134736,22422827078833,22422827081817,22422827106229,22422827390785,22422827556793,22422827556829,16,24.9033,10.6824,9.44097,0.02984,0.24412,2.84556,1.66008
7,1,0,1e+08,22422828040149,22422828797926,22422829423170,22422829425818,22422829448826,22422829738794,22422829885246,22422829885282,16,18.4513,7.57777,6.25244,0.02648,0.23008,2.89968,1.46452
8,1,0,1e+08,22422830125982,22422830382550,22422830825970,22422830830106,22422830869882,22422831181522,22422831321414,22422831321450,16,11.9547,2.56568,4.4342,0.04136,0.39776,3.1164,1.39892
9,1,0,1e+08,22422832040245,22422833038409,22422833682579,22422833685499,22422833713059,22422833959643,22422834091803,22422834091839,16,20.5159,9.98164,6.4417,0.0292,0.2756,2.46584,1.3216
10,1,0,1e+08,22422834793672,22422835548608,22422836335537,22422836338677,22422836362937,22422836635881,22422836770669,22422836770705,16,19.7703,7.54936,7.86929,0.0314,0.2426,2.72944,1.34788
11,1,0,1e+08,22422837694075,22422838274043,22422839267970,22422839271726,22422839307010,22422839593310,22422839723382,22422839723418,16,20.2934,5.79968,9.93927,0.03756,0.35284,2.863,1.30072
12,1,0,1e+08,22422840687142,22422841003675,22422841713298,22422841719572,22422841813797,22422842677441,22422842867014,22422842867234,16,21.8009,3.16533,7.09623,0.06274,0.94225,8.63644,1.89573
13,1,0,1e+08,22422843845173,22422844068539,22422844984167,22422844988419,22422845011517,22422845424465,22422845572929,22422845572969,16,17.278,2.23366,9.15628,0.04252,0.23098,4.12948,1.48464
14,1,0,1e+08,22422845842893,22422846098895,22422846578859,22422846584311,22422846639795,22422846917535,22422847080531,22422847080567,16,12.3767,2.56002,4.79964,0.05452,0.55484,2.7774,1.62996
15,1,0,1e+08,22422847890036,22422848386352,22422849445624,22422849449220,22422849487364,22422849789072,22422849924352,22422849924492,16,20.3446,4.96316,10.5927,0.03596,0.38144,3.01708,1.3528
16,1,0,1e+08,22422851066599,22422851386442,22422851987398,22422851990786,22422852022402,22422852257630,22422852403126,22422852403170,16,13.3657,3.19843,6.00956,0.03388,0.31616,2.35228,1.45496
17,1,0,1e+08,22422853162512,22422853864859,22422854721505,22422854726209,22422854774781,22422855050065,22422855186329,22422855186365,16,20.2385,7.02347,8.56646,0.04704,0.48572,2.75284,1.36264
18,1,0,1e+08,22422856034882,22422856332708,22422856997190,22422857001466,22422857040958,22422857326578,22422857471518,22422857471550,16,14.3667,2.97826,6.64482,0.04276,0.39492,2.8562,1.4494
19,1,0,1e+08,22422858078064,22422858870851,22422859649262,22422859691618,22422859715642,22422859995534,22422860153834,22422860153870,16,20.7581,7.92787,7.78411,0.42356,0.24024,2.79892,1.583
20,1,0,1e+08,22422860983484,22422861434781,22422862633802,22422862694562,22422862718842,22422863027282,22422863214302,22422863214342,16,22.3086,4.51297,11.9902,0.6076,0.2428,3.0844,1.8702
21,1,0,1e+08,22422863478863,22422864254007,22422865049600,22422865053884,22422865100712,22422865409688,22422865553012,22422865553048,16,20.7418,7.75144,7.95593,0.04284,0.46828,3.08976,1.43324
22,1,0,1e+08,22422866713131,22422867423182,22422867937778,22422867942978,22422867976262,22422868263494,22422868431874,22422868431906,16,17.1878,7.10051,5.14596,0.052,0.33284,2.87232,1.6838
23,1,0,1e+08,22422869063647,22422869306931,22422869791867,22422869796071,22422869834439,22422870055819,22422870220795,22422870220831,16,11.5718,2.43284,4.84936,0.04204,0.38368,2.2138,1.64976
24,1,0,1e+08,22422871148590,22422871404659,22422872007989,22422872012841,22422872303109,22422873013381,22422873298033,22422873298277,16,21.4969,2.56069,6.0333,0.04852,2.90268,7.10272,2.84652
25,1,0,1e+08,22422874651781,22422875430026,22422876250634,22422876316818,22422876356054,22422876636534,22422876813782,22422876813814,16,21.6203,7.78245,8.20608,0.66184,0.39236,2.8048,1.77248
26,1,0,1e+08,22422878378479,22422878696356,22422879850821,22422879855701,22422879921629,22422880360310,22422880552550,22422880552598,16,21.7412,3.17877,11.5447,0.0488,0.65928,4.38681,1.9224
27,1,0,1e+08,22422882362424,22422883441305,22422884164383,22422884192891,22422884213039,22422884621127,22422884788455,22422884788495,16,24.2607,10.7888,7.23078,0.28508,0.20148,4.08088,1.67328
28,1,0,1e+08,22422885033664,22422886022604,22422886683968,22422886688056,22422886756084,22422887009568,22422887187060,22422887187096,16,21.5343,9.8894,6.61364,0.04088,0.68028,2.53484,1.77492
