frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22409405153829,22409407032990,22409407693083,22409407693127,22409407693171,22409408126783,22409408284075,22409408284167,16,31.3034,18.7916,6.60093,0.00044,0.00044,4.33612,1.57292
1,1,0,1e+08,22409409959918,22409411174419,22409411758917,22409411759037,22409411759061,22409412035761,22409412217245,22409412217269,16,22.5735,12.145,5.84498,0.0012,0.00024,2.767,1.81484
2,1,0,1e+08,22409413256774,22409415330700,22409416312856,22409416312972,22409416313008,22409417010805,22409417197519,22409417197547,16,39.4077,20.7393,9.82156,0.00116,0.00036,6.97797,1.86714
3,1,0,1e+08,22409417234031,22409417509551,22409417865747,22409417865787,22409417865823,22409418070951,22409418216971,22409418216999,16,9.82968,2.7552,3.56196,0.0004,0.00036,2.05128,1.4602
4,1,0,1e+08,22409418399623,22409421190507,22409422071797,22409422071909,22409422071953,22409422593081,22409422751681,22409422751713,16,43.5209,27.9088,8.8129,0.00112,0.00044,5.21128,1.586
5,1,0,1e+08,22409423731307,22409425787112,22409426444895,22409426445023,22409426445059,22409428023125,22409428197175,22409428197227,16,44.6592,20.5581,6.57783,0.00128,0.00036,15.7807,1.7405
6,1,0,1e+08,22409428243663,22409428563147,22409429059691,22409429059727,22409429059763,22409429720415,22409429904379,22409429904415,16,16.6075,3.19484,4.96544,0.00036,0.00036,6.60652,1.83964
7,1,0,1e+08,22409429933635,22409430168219,22409430549667,22409430549831,22409430549887,22409430757715,22409430916931,22409430916959,16,9.83324,2.34584,3.81448,0.00164,0.00056,2.07828,1.59216
8,1,0,1e+08,22409431059891,22409433815068,22409434277088,22409434277208,22409434277280,22409434641056,22409434799520,22409434799548,16,37.3966,27.5518,4.6202,0.0012,0.00072,3.63776,1.58464
9,1,0,1e+08,22409434832624,22409435095764,22409435498224,22409435498388,22409435498412,22409435720576,22409435838368,22409435838400,16,10.0578,2.6314,4.0246,0.00164,0.00024,2.22164,1.17792
10,1,0,1e+08,22409435867504,22409438549862,22409439088558,22409439088610,22409439088654,22409439402910,22409439555202,22409439555238,16,36.8773,26.8236,5.38696,0.00052,0.00044,3.14256,1.52292
11,1,0,1e+08,22409439587562,22409439858094,22409440258594,22409440258666,22409440258694,22409441159798,22409441381678,22409441381858,16,17.943,2.70532,4.005,0.00072,0.00028,9.01104,2.2188
12,1,0,1e+08,22409441422490,22409442262665,22409442648861,22409442648985,22409442649029,22409442860533,22409442995453,22409442995533,16,15.7304,8.40175,3.86196,0.00124,0.00044,2.11504,1.3492
13,1,0,1e+08,22409443585569,22409444829432,22409445982596,22409445982640,22409445982688,22409446422442,22409446588818,22409446588862,16,30.0329,12.4386,11.5316,0.00044,0.00048,4.39754,1.66376
14,1,0,1e+08,22409446618674,22409446887802,22409447273938,22409447274054,22409447274078,22409447516426,22409447693890,22409447693918,16,10.7524,2.69128,3.86136,0.00116,0.00024,2.42348,1.77464
15,1,0,1e+08,22409449155534,22409449497598,22409450662621,22409450662653,22409450662697,22409451019221,22409451200969,22409451201001,16,20.4547,3.42064,11.6502,0.00032,0.00044,3.56524,1.81748
16,1,0,1e+08,22409452316243,22409452601435,22409453756863,22409453756903,22409453756943,22409454099539,22409454249247,22409454249279,16,19.3304,2.85192,11.5543,0.0004,0.0004,3.42596,1.49708
17,1,0,1e+08,22409455393010,22409455725067,22409456167683,22409456167863,22409456167895,22409456438655,22409456590563,22409456590599,16,11.9759,3.32057,4.42616,0.0018,0.00032,2.7076,1.51908
18,1,0,1e+08,22409457460062,22409458281377,22409459025080,22409459025112,22409459025152,22409459334988,22409459513548,22409459513580,16,20.5352,8.21315,7.43703,0.00032,0.0004,3.09836,1.7856
19,1,0,1e+08,22409460602471,22409461031326,22409462174359,22409462174467,22409462174507,22409462497987,22409462680703,22409462680831,16,20.7836,4.28855,11.4303,0.00108,0.0004,3.2348,1.82716
20,1,0,1e+08,22409464017827,22409464264491,22409464712915,22409464713015,22409464713047,22409464992987,22409465140423,22409465140455,16,11.2263,2.46664,4.48424,0.001,0.00032,2.7994,1.47436
21,1,0,1e+08,22409466173146,22409466849387,22409467759063,22409467759131,22409467759171,22409468077159,22409468223339,22409468223375,16,20.5023,6.76241,9.09676,0.00068,0.0004,3.17988,1.4618
22,1,0,1e+08,22409469253182,22409469949181,22409470856283,22409470856423,22409470856459,22409471143195,22409471292539,22409471292575,16,20.3939,6.95999,9.07102,0.0014,0.00036,2.86736,1.49344
23,1,0,1e+08,22409472357779,22409472818201,22409473897375,22409473897411,22409473897451,22409474208791,22409474348279,22409474348315,16,19.9054,4.60422,10.7917,0.00036,0.0004,3.1134,1.39488
24,1,0,1e+08,22409475437746,22409475664652,22409476910777,22409476910833,22409476910877,22409477259349,22409477442701,22409477442797,16,20.0505,2.26906,12.4612,0.00056,0.00044,3.48472,1.83352
25,1,0,1e+08,22409478615813,22409478856701,22409479281653,22409479281729,22409479281753,22409479600616,22409480088151,22409480088336,16,14.7252,2.40888,4.24952,0.00076,0.00024,3.18863,4.87535
26,1,0,1e+08,22409481912876,22409482147992,22409482708688,22409482708736,22409482708772,22409483032984,22409483165260,22409483165288,16,12.5241,2.35116,5.60696,0.00048,0.00036,3.24212,1.32276
27,1,0,1e+08,22409483887212,22409484689326,22409485493701,22409485493909,22409485493945,22409485794909,22409485954305,22409485954393,16,20.6718,8.02114,8.04375,0.00208,0.00036,3.00964,1.59396
28,1,0,1e+08,22409487330649,22409487590389,22409488091537,22409488091661,22409488091693,22409488391441,22409488536229,22409488536265,16,12.0562,2.5974,5.01148,0.00124,0.00032,2.99748,1.44788
29,1,0,1e+08,22409489657228,22409490405705,22409491196718,22409491196762,22409491196798,22409491519318,22409491693114,22409491693146,16,20.3592,7.48477,7.91013,0.00044,0.00036,3.2252,1.73796
30,1,0,1e+08,22409493135214,22409493391338,22409494010156,22409494010368,22409494010412,22409494450452,22409494594168,22409494594196,16,14.5898,2.56124,6.18818,0.00212,0.00044,4.4004,1.43716
31,1,0,1e+08,22409495371885,22409496050241,22409496896201,22409496896285,22409496896385,22409497385957,22409497543669,22409497543701,16,21.7182,6.78356,8.4596,0.00084,0.001,4.89572,1.57712
32,1,0,1e+08,22409498662231,22409499268702,22409500157754,22409500157810,22409500157842,22409500487438,22409500665070,22409500665102,16,20.0287,6.06471,8.89052,0.00056,0.00032,3.29596,1.77632
33,1,0,1e+08,22409501727628,22409502010205,22409503245915,22409503246067,22409503246147,22409503617703,22409503775259,22409503775291,16,20.4766,2.82577,12.3571,0.00152,0.0008,3.71556,1.57556
34,1,0,1e+08,22409504867349,22409505528825,22409506463386,22409506463530,22409506463566,22409506814166,22409506962654,22409506962742,16,20.9539,6.61476,9.34561,0.00144,0.00036,3.506,1.48488
35,1,0,1e+08,22409507921029,22409508167673,22409508572181,22409508572221,22409508572257,22409508796245,22409508970741,22409508970769,16,10.4974,2.46644,4.04508,0.0004,0.00036,2.23988,1.74496
36,1,0,1e+08,22409510218868,22409510448956,22409510837412,22409510837496,22409510837524,22409511046572,22409511208676,22409511208704,16,9.89836,2.30088,3.88456,0.00084,0.00028,2.09048,1.62104
