frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22401999457796,22402000663066,22402001600888,22402001609863,22402001810423,22402002715050,22402002906457,22402002906665,16,34.4887,12.0527,9.37822,0.08975,2.0056,9.04627,1.91407
1,1,0,1e+08,22402005001630,22402005725215,22402006629521,22402006633253,22402006673345,22402006979053,22402007147493,22402007147525,16,21.459,7.23585,9.04306,0.03732,0.40092,3.05708,1.6844
2,1,0,1e+08,22402009183962,22402010260537,22402011271577,22402011589126,22402011609994,22402012412053,22402012649068,22402012649132,16,34.6517,10.7657,10.1104,3.17549,0.20868,8.02059,2.37015
3,1,0,1e+08,22402012686832,22402013048295,22402013534415,22402013537115,22402013576355,22402013809431,22402013985843,22402013985879,16,12.9905,3.61463,4.8612,0.027,0.3924,2.33076,1.76412
4,1,0,1e+08,22402014434653,22402016339406,22402016929962,22402016934078,22402016973438,22402017300190,22402017464710,22402017464750,16,30.301,19.0475,5.90556,0.04116,0.3936,3.26752,1.6452
5,1,0,1e+08,22402017948185,22402019529623,22402019977003,22402022573464,22402022622549,22402024066583,22402024238681,22402024238709,16,62.9052,15.8144,4.4738,25.9646,0.49085,14.4403,1.72098
6,1,0,1e+08,22402024267829,22402024526681,22402025045677,22402025050149,22402025081661,22402025392565,22402025557189,22402025557225,16,12.894,2.58852,5.18996,0.04472,0.31512,3.10904,1.64624
7,1,0,1e+08,22402025605773,22402025818205,22402026235185,22402026239081,22402026280013,22402026998914,22402027330328,22402027330640,16,17.2487,2.12432,4.1698,0.03896,0.40932,7.18901,3.31414
8,1,0,1e+08,22402027770792,22402028064900,22402028507708,22402028511160,22402028535852,22402028761320,22402028936048,22402028936080,16,11.6529,2.94108,4.42808,0.03452,0.24692,2.25468,1.74728
9,1,0,1e+08,22402029935684,22402030194185,22402030690869,22402030693849,22402030735269,22402030955397,22402031110245,22402031110281,16,11.746,2.58501,4.96684,0.0298,0.4142,2.20128,1.54848
10,1,0,1e+08,22402031874202,22402032335600,22402033409093,22402033734101,22402033758909,22402034025421,22402034167353,22402034167385,16,22.9318,4.61398,10.7349,3.25008,0.24808,2.66512,1.41932
11,1,0,1e+08,22402034988376,22402035766451,22402036588659,22402036592123,22402036640515,22402036925743,22402037083459,22402037083491,16,20.9512,7.78075,8.22208,0.03464,0.48392,2.85228,1.57716
12,1,0,1e+08,22402037963670,22402038367549,22402039557789,22402039561241,22402039607141,22402039917425,22402040050481,22402040050517,16,20.8685,4.03879,11.9024,0.03452,0.459,3.10284,1.33056
13,1,0,1e+08,22402040816351,22402041043252,22402041466376,22402041469608,22402041531152,22402041764916,22402041956604,22402041956636,16,11.4029,2.26901,4.23124,0.03232,0.61544,2.33764,1.91688
14,1,0,1e+08,22402042863332,22402043608127,22402044451441,22402044454673,22402044488165,22402044768153,22402044916701,22402044916737,16,20.5341,7.44795,8.43314,0.03232,0.33492,2.79988,1.48548
15,1,0,1e+08,22402045909796,22402046161129,22402046488777,22402046491957,22402046540421,22402047342474,22402047574052,22402047574208,16,16.6441,2.51333,3.27648,0.0318,0.48464,8.02053,2.31578
