frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22412957870301,22412959836361,22412960569723,22412960572319,22412960572363,22412961034839,22412961205255,22412961205391,16,33.3509,19.6606,7.33362,0.02596,0.00044,4.62476,1.70416
1,1,0,1e+08,22412963107159,22412964840781,22412965585757,22412965592285,22412965592321,22412965939583,22412966477511,22412966477696,16,33.7054,17.3362,7.44976,0.06528,0.00036,3.47262,5.37928
2,1,0,1e+08,22412968648926,22412969715275,22412970253468,22412970257196,22412970257240,22412971110830,22412971330296,22412971330360,16,26.8143,10.6635,5.38193,0.03728,0.00044,8.5359,2.19466
3,1,0,1e+08,22412971973975,22412976320988,22412977519539,22412977524299,22412977524335,22412978416359,22412978687221,22412978687277,16,67.133,43.4701,11.9855,0.0476,0.00036,8.92024,2.70862
4,1,0,1e+08,22412978718337,22412979026853,22412979612613,22412979644345,22412979644477,22412980004865,22412980178137,22412980178181,16,14.5984,3.08516,5.8576,0.31732,0.00132,3.60388,1.73272
5,1,0,1e+08,22412980209209,22412980824792,22412981710650,22412981754722,22412981754850,22412982032586,22412982195878,22412982195914,16,19.867,6.15583,8.85858,0.44072,0.00128,2.77736,1.63292
6,1,0,1e+08,22412982504999,22412985288917,22412986395783,22412988091936,22412988092112,22412988673954,22412988936965,22412988937029,16,64.3203,27.8392,11.0687,16.9615,0.00176,5.81842,2.63011
7,1,0,1e+08,22412988980394,22412989295838,22412989771710,22412989798202,22412989798298,22412990432392,22412990832114,22412990832206,16,18.5181,3.15444,4.75872,0.26492,0.00096,6.34094,3.99722
8,1,0,1e+08,22412990873832,22412991447151,22412991938543,22412992017539,22412992017663,22412992243715,22412992415683,22412992415715,16,15.4188,5.73319,4.91392,0.78996,0.00124,2.26052,1.71968
9,1,0,1e+08,22412992607383,22412992916692,22412993491696,22412993494988,22412993495024,22412993770552,22412993952968,22412993953104,16,13.4572,3.09309,5.75004,0.03292,0.00036,2.75528,1.82416
10,1,0,1e+08,22412994979510,22412995666989,22412996523904,22412996526744,22412996526796,22412996843436,22412997011560,22412997011596,16,20.3209,6.87479,8.56915,0.0284,0.00052,3.1664,1.68124
11,1,0,1e+08,22412998568630,22412998878674,22412999575943,22412999660055,22412999660215,22413000218065,22413000479055,22413000479103,16,19.1047,3.10044,6.97269,0.84112,0.0016,5.5785,2.6099
12,1,0,1e+08,22413001022800,22413001810078,22413002571664,22413002576924,22413002576968,22413002873072,22413003060840,22413003060872,16,20.3807,7.87278,7.61586,0.0526,0.00044,2.96104,1.87768
13,1,0,1e+08,22413004391855,22413005134288,22413005939570,22413005943130,22413005943178,22413006249414,22413006427850,22413006427882,16,20.3603,7.42433,8.05282,0.0356,0.00048,3.06236,1.78436
14,1,0,1e+08,22413007497571,22413008074038,22413009070750,22413009074178,22413009074226,22413009402570,22413009572658,22413009572690,16,20.7512,5.76467,9.96712,0.03428,0.00048,3.28344,1.70088
15,1,0,1e+08,22413010893766,22413011718390,22413012465310,22413012516674,22413012516790,22413012796982,22413012976698,22413012976730,16,20.8296,8.24624,7.4692,0.51364,0.00116,2.80192,1.79716
16,1,0,1e+08,22413014291038,22413014971800,22413015825578,22413016051710,22413016051810,22413016313654,22413016492598,22413016492626,16,22.0159,6.80762,8.53778,2.26132,0.001,2.61844,1.78944
17,1,0,1e+08,22413017858293,22413018848292,22413019493909,22413019532909,22413019533025,22413019787029,22413019986253,22413019986285,16,21.2799,9.89999,6.45617,0.39,0.00116,2.54004,1.99224
18,1,0,1e+08,22413021422144,22413021667436,22413022212936,22413022216872,22413022216912,22413022486728,22413022638228,22413022638264,16,12.1612,2.45292,5.455,0.03936,0.0004,2.69816,1.515
19,1,0,1e+08,22413023694686,22413024424830,22413025240366,22413025279818,22413025279926,22413025550226,22413025707890,22413025707922,16,20.1324,7.30144,8.15536,0.39452,0.00108,2.703,1.57664
20,1,0,1e+08,22413026943945,22413027245177,22413028002057,22413028005797,22413028005845,22413028341377,22413028479217,22413028479253,16,15.3531,3.01232,7.5688,0.0374,0.00048,3.35532,1.3784
21,1,0,1e+08,22413029131889,22413030106780,22413030778329,22413030812717,22413030812853,22413031066181,22413031226449,22413031226481,16,20.9459,9.74891,6.71549,0.34388,0.00136,2.53328,1.60268
22,1,0,1e+08,22413032464676,22413032751698,22413033351154,22413033356238,22413033356290,22413033666506,22413033842522,22413033842570,16,13.7789,2.87022,5.99456,0.05084,0.00052,3.10216,1.76016
23,1,0,1e+08,22413034688435,22413034969659,22413035370891,22413035373899,22413035373931,22413035579087,22413035758815,22413035758843,16,10.7041,2.81224,4.01232,0.03008,0.00032,2.05156,1.79728
24,1,0,1e+08,22413036740838,22413037451195,22413038312245,22413038359665,22413038359793,22413038654333,22413038828133,22413038828169,16,20.8733,7.10357,8.6105,0.4742,0.00128,2.9454,1.738
25,1,0,1e+08,22413039827580,22413040695512,22413041506777,22413041540673,22413041540805,22413041827277,22413041993597,22413041993701,16,21.6612,8.67932,8.11265,0.33896,0.00132,2.86472,1.6632
26,1,0,1e+08,22413042953187,22413043708533,22413044462261,22413044501685,22413044501829,22413044779809,22413044938173,22413044938313,16,19.8513,7.55346,7.53728,0.39424,0.00144,2.7798,1.58364
27,1,0,1e+08,22413045925136,22413046680419,22413047524094,22413047577662,22413047577798,22413047868546,22413048008398,22413048008434,16,20.833,7.55283,8.43675,0.53568,0.00136,2.90748,1.39852
28,1,0,1e+08,22413048954398,22413049638387,22413050437950,22413050482346,22413050482462,22413050779338,22413050937174,22413050937210,16,19.8281,6.83989,7.99563,0.44396,0.00116,2.96876,1.57836
29,1,0,1e+08,22413052219455,22413052988241,22413053824182,22413053858846,22413053858962,22413054157842,22413054297866,22413054297898,16,20.7844,7.68786,8.35941,0.34664,0.00116,2.9888,1.40024
30,1,0,1e+08,22413055409899,22413056349957,22413057084641,22413057116189,22413057116297,22413057441197,22413057587125,22413057587157,16,21.7726,9.40058,7.34684,0.31548,0.00108,3.249,1.45928
31,1,0,1e+08,22413058935028,22413059164944,22413059694108,22413059699488,22413059699528,22413060051808,22413060188048,22413060188076,16,12.5305,2.29916,5.29164,0.0538,0.0004,3.5228,1.3624
32,1,0,1e+08,22413060999452,22413061663532,22413062519623,22413062562903,22413062563027,22413062868175,22413063010019,22413063010055,16,20.106,6.6408,8.56091,0.4328,0.00124,3.05148,1.41844
33,1,0,1e+08,22413063993286,22413064700764,22413065584418,22413065658630,22413065658762,22413065943362,22413066081994,22413066082026,16,20.8874,7.07478,8.83654,0.74212,0.00132,2.846,1.38632
34,1,0,1e+08,22413066995418,22413067705730,22413068537050,22413068605654,22413068605766,22413068891446,22413069032126,22413069032158,16,20.3674,7.10312,8.3132,0.68604,0.00112,2.8568,1.4068
35,1,0,1e+08,22413069977331,22413070422481,22413071579086,22413071639218,22413071639342,22413071958086,22413072099946,22413072099978,16,21.2265,4.4515,11.566,0.60132,0.00124,3.18744,1.4186
36,1,0,1e+08,22413073072635,22413073731330,22413074545166,22413074644722,22413074644830,22413074927982,22413075079430,22413075079462,16,20.0683,6.58695,8.13836,0.99556,0.00108,2.83152,1.51448
37,1,0,1e+08,22413076023504,22413076714159,22413077620845,22413077660345,22413077660465,22413077948381,22413078096345,22413078096377,16,20.7287,6.90655,9.06686,0.395,0.0012,2.87916,1.47964
