frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22416521171897,22416522954692,22416523589462,22416523592810,22416523774846,22416524015634,22416524018738,22416524018774,16,28.4688,17.8279,6.3477,0.03348,1.82036,2.40788,0.03104
1,1,0,1e+08,22416525942246,22416528119760,22416528795965,22416528830177,22416528849893,22416529510407,22416529516283,22416529516311,16,35.7407,21.7751,6.76205,0.34212,0.19716,6.60514,0.05876
2,1,0,1e+08,22416529544123,22416529996270,22416530878045,22416530881121,22416530928017,22416531226073,22416531230405,22416531230461,16,16.8634,4.52147,8.81775,0.03076,0.46896,2.98056,0.04332
3,1,0,1e+08,22416531724709,22416533466176,22416533940096,22416533943376,22416533970256,22416535796577,22416535802509,22416535802589,16,40.7788,17.4147,4.7392,0.0328,0.2688,18.2632,0.05932
4,1,0,1e+08,22416535835543,22416536394260,22416537342057,22416537345717,22416537402825,22416537691081,22416537694369,22416537694405,16,18.5886,5.58717,9.47797,0.0366,0.57108,2.88256,0.03288
5,1,0,1e+08,22416538885239,22416543730607,22416544950244,22416545590250,22416545619990,22416545922704,22416545931660,22416545931716,16,70.4648,48.4537,12.1964,6.40006,0.2974,3.02714,0.08956
6,1,0,1e+08,22416545974804,22416546327380,22416547174509,22416547178337,22416547204797,22416547545505,22416547549077,22416547549125,16,15.7432,3.52576,8.47129,0.03828,0.2646,3.40708,0.03572
7,1,0,1e+08,22416547588633,22416547847693,22416548336713,22416548339705,22416548358561,22416549027221,22416549082836,22416549083266,16,14.9463,2.5906,4.8902,0.02992,0.18856,6.6866,0.55615
8,1,0,1e+08,22416549140977,22416549590478,22416550156783,22416550161431,22416550199583,22416550445507,22416550448343,22416550448371,16,13.0739,4.49501,5.66305,0.04648,0.38152,2.45924,0.02836
9,1,0,1e+08,22416551798118,22416552437669,22416553344894,22416553378566,22416553400854,22416553693002,22416553696122,22416553696154,16,18.9804,6.39551,9.07225,0.33672,0.22288,2.92148,0.0312
10,1,0,1e+08,22416554841949,22416555406172,22416556335817,22416556339229,22416556409725,22416556690477,22416556693713,22416556693745,16,18.518,5.64223,9.29645,0.03412,0.70496,2.80752,0.03236
11,1,0,1e+08,22416557610001,22416558557412,22416559212563,22416559243443,22416559266027,22416559519411,22416559522099,22416559522131,16,19.1213,9.47411,6.55151,0.3088,0.22584,2.53384,0.02688
12,1,0,1e+08,22416560447906,22416561150742,22416561970789,22416561974517,22416562018805,22416562302277,22416562305521,22416562305553,16,18.5765,7.02836,8.20047,0.03728,0.44288,2.83472,0.03244
13,1,0,1e+08,22416563741956,22416564037440,22416565336102,22416565376138,22416565401738,22416565733422,22416565736846,22416565736882,16,19.9493,2.95484,12.9866,0.40036,0.256,3.31684,0.03424
14,1,0,1e+08,22416566805650,22416567148091,22416568011643,22416568029135,22416568054163,22416568359863,22416568367831,22416568367871,16,15.6222,3.42441,8.63552,0.17492,0.25028,3.057,0.07968
15,1,0,1e+08,22416568802516,22416569446103,22416570344029,22416570347317,22416570375921,22416570654573,22416570662385,22416570662417,16,18.599,6.43587,8.97926,0.03288,0.28604,2.78652,0.07812
16,1,0,1e+08,22416571905354,22416572377223,22416573693525,22416573697353,22416573727793,22416574565278,22416574600488,22416574600658,16,26.953,4.71869,13.163,0.03828,0.3044,8.37485,0.3521
17,1,0,1e+08,22416574648429,22416575093702,22416575668163,22416575672819,22416575713671,22416575957651,22416575960351,22416575960379,16,13.1195,4.45273,5.74461,0.04656,0.40852,2.4398,0.027
18,1,0,1e+08,22416577215432,22416577869667,22416578751189,22416578755085,22416578797657,22416579085793,22416579088629,22416579088661,16,18.7323,6.54235,8.81522,0.03896,0.42572,2.88136,0.02836
19,1,0,1e+08,22416580941762,22416581581245,22416582191714,22416582194838,22416582230214,22416582471514,22416582478186,22416582478214,16,15.3645,6.39483,6.10469,0.03124,0.35376,2.413,0.06672
20,1,0,1e+08,22416583875244,22416584821008,22416585452502,22416585456550,22416585485742,22416585748718,22416585752238,22416585752266,16,18.7702,9.45764,6.31494,0.04048,0.29192,2.62976,0.0352
21,1,0,1e+08,22416587250118,22416587900496,22416588588066,22416588591114,22416588610550,22416588939414,22416588943342,22416588943394,16,16.9328,6.50378,6.8757,0.03048,0.19436,3.28864,0.03928
22,1,0,1e+08,22416589194298,22416589468890,22416590193858,22416590197826,22416590260754,22416591045637,22416591097982,22416591098432,16,19.0413,2.74592,7.24968,0.03968,0.62928,7.84883,0.52345
23,1,0,1e+08,22416592331779,22416592621675,22416593549433,22416593675989,22416593709877,22416594216320,22416594220068,22416594220116,16,18.8834,2.89896,9.27758,1.26556,0.33888,5.06443,0.03748
24,1,0,1e+08,22416594559173,22416595274695,22416596069042,22416596094718,22416596118982,22416596396998,22416596405230,22416596405262,16,18.4609,7.15522,7.94347,0.25676,0.24264,2.78016,0.08232
25,1,0,1e+08,22416597583015,22416598133978,22416599118261,22416599122805,22416599160013,22416599456037,22416599461701,22416599461737,16,18.7872,5.50963,9.84283,0.04544,0.37208,2.96024,0.05664
26,1,0,1e+08,22416600764772,22416601473179,22416602285094,22416602315362,22416602336542,22416602604562,22416602609694,22416602609726,16,18.4495,7.08407,8.11915,0.30268,0.2118,2.6802,0.05132
27,1,0,1e+08,22416603666519,22416603978578,22416604660575,22416604665499,22416604708919,22416605061167,22416605065131,22416605065179,16,13.9866,3.12059,6.81997,0.04924,0.4342,3.52248,0.03964
28,1,0,1e+08,22416605668467,22416606149757,22416607193205,22416607196697,22416607225801,22416607529357,22416607532469,22416607532505,16,18.6404,4.8129,10.4345,0.03492,0.29104,3.03556,0.03112
29,1,0,1e+08,22416608979833,22416609620847,22416610256390,22416610259494,22416610277874,22416610586894,22416610591410,22416610591466,16,16.1163,6.41014,6.35543,0.03104,0.1838,3.0902,0.04516
30,1,0,1e+08,22416611029960,22416611751577,22416612571418,22416612599802,22416612626778,22416612903602,22416612907566,22416612907598,16,18.7764,7.21617,8.19841,0.28384,0.26976,2.76824,0.03964
31,1,0,1e+08,22416614003478,22416614271291,22416615011348,22416615015416,22416615072224,22416615627940,22416615643875,22416615644045,16,16.4057,2.67813,7.40057,0.04068,0.56808,5.55716,0.15935
32,1,0,1e+08,22416617046599,22416617304251,22416617727547,22416617732831,22416617769359,22416618139947,22416618194759,22416618194859,16,11.4826,2.57652,4.23296,0.05284,0.36528,3.70588,0.54812
33,1,0,1e+08,22416618924983,22416619418390,22416620534012,22416620538780,22416620592212,22416620918708,22416620925360,22416620925396,16,20.0041,4.93407,11.1562,0.04768,0.53432,3.26496,0.06652
34,1,0,1e+08,22416621879739,22416622171105,22416622768649,22416622772741,22416622809657,22416623198288,22416623210048,22416623210223,16,13.3048,2.91366,5.97544,0.04092,0.36916,3.88631,0.1176
35,1,0,1e+08,22416624706245,22416624948058,22416625342398,22416625346530,22416625376302,22416625601958,22416625605934,22416625605982,16,8.99737,2.41813,3.9434,0.04132,0.29772,2.25656,0.03976
36,1,0,1e+08,22416626579572,22416627246829,22416628155542,22416628198730,22416628226622,22416628512866,22416628516386,22416628516418,16,19.3685,6.67257,9.08713,0.43188,0.27892,2.86244,0.0352
37,1,0,1e+08,22416629844061,22416630682417,22416631331454,22416631372230,22416631399638,22416631667526,22416631670866,22416631670898,16,18.2684,8.38356,6.49037,0.40776,0.27408,2.67888,0.0334
38,1,0,1e+08,22416634374209,22416634738607,22416635937258,22416635940838,22416635971598,22416636270018,22416636277902,22416636277938,16,19.0373,3.64398,11.9865,0.0358,0.3076,2.9842,0.07884
