frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22405357791675,22405359450119,22405360306979,22405360310643,22405360498359,22405360498399,22405360640075,22405360640107,16,28.4843,16.5844,8.5686,0.03664,1.87716,0.0004,1.41676
1,1,0,1e+08,22405363687616,22405366160114,22405366618222,22405366621138,22405366651514,22405366651606,22405366790382,22405366790410,16,31.0279,24.725,4.58108,0.02916,0.30376,0.00092,1.38776
2,1,0,1e+08,22405367207127,22405370399035,22405371030524,22405371033664,22405371070656,22405371070824,22405371221189,22405371221217,16,40.1409,31.9191,6.31489,0.0314,0.36992,0.00168,1.50365
3,1,0,1e+08,22405372656893,22405374815381,22405375408767,22405375412003,22405375434927,22405375434967,22405375599916,22405375599980,16,29.4309,21.5849,5.93386,0.03236,0.22924,0.0004,1.64949
4,1,0,1e+08,22405376043601,22405376569268,22405377043828,22405377065336,22405377084248,22405377084288,22405377214232,22405377214260,16,11.7066,5.25667,4.7456,0.21508,0.18912,0.0004,1.29944
5,1,0,1e+08,22405378254102,22405379958190,22405380816039,22405380860051,22405380881615,22405380881663,22405381020091,22405381020135,16,27.6603,17.0409,8.57849,0.44012,0.21564,0.00048,1.38428
6,1,0,1e+08,22405383701863,22405384954619,22405385479412,22405385481960,22405385516560,22405385516664,22405385701368,22405385701420,16,19.9956,12.5276,5.24793,0.02548,0.346,0.00104,1.84704
7,1,0,1e+08,22405386489704,22405388074430,22405388922664,22405388963560,22405388984592,22405388984640,22405389125392,22405389125436,16,26.3573,15.8473,8.48234,0.40896,0.21032,0.00048,1.40752
8,1,0,1e+08,22405390500396,22405391219933,22405392103842,22405392146314,22405392168906,22405392168950,22405392313826,22405392313858,16,18.1346,7.19537,8.83909,0.42472,0.22592,0.00044,1.44876
9,1,0,1e+08,22405394668023,22405395451096,22405396241006,22405396279926,22405396309646,22405396309686,22405396471602,22405396471638,16,18.0361,7.83073,7.8991,0.3892,0.2972,0.0004,1.61916
10,1,0,1e+08,22405399018578,22405399799968,22405400552165,22405400555089,22405400597497,22405400597609,22405400724873,22405400724901,16,17.0632,7.8139,7.52197,0.02924,0.42408,0.00112,1.27264
11,1,0,1e+08,22405402953042,22405403236130,22405403785386,22405403788942,22405403818398,22405403818438,22405403974022,22405403974054,16,10.2101,2.83088,5.49256,0.03556,0.29456,0.0004,1.55584
12,1,0,1e+08,22405407257794,22405407738900,22405408557587,22405408590139,22405408609655,22405408609703,22405408736311,22405408736339,16,14.7855,4.81106,8.18687,0.32552,0.19516,0.00048,1.26608
13,1,0,1e+08,22405409947694,22405410319754,22405411125977,22405411129101,22405411176933,22405411177069,22405411372700,22405411372792,16,14.251,3.7206,8.06223,0.03124,0.47832,0.00136,1.95631
14,1,0,1e+08,22405412685315,22405412950427,22405413584067,22405413589859,22405413629347,22405413629407,22405413823276,22405413823324,16,11.3801,2.65112,6.3364,0.05792,0.39488,0.0006,1.93869
15,1,0,1e+08,22405415421721,22405415944892,22405416963861,22405416991361,22405417009917,22405417009961,22405417141225,22405417141265,16,17.1954,5.23171,10.1897,0.275,0.18556,0.00044,1.31264
16,1,0,1e+08,22405419381229,22405420165278,22405420935490,22405420938730,22405420990774,22405420990894,22405421129234,22405421129270,16,17.4804,7.84049,7.70212,0.0324,0.52044,0.0012,1.3834
17,1,0,1e+08,22405423536329,22405424005811,22405424827882,22405424830534,22405424851090,22405424851142,22405424981402,22405424981442,16,14.4511,4.69482,8.22071,0.02652,0.20556,0.00052,1.3026
18,1,0,1e+08,22405426252888,22405426767216,22405427457440,22405427763714,22405427802144,22405427802236,22405428052458,22405428052534,16,17.9965,5.14328,6.90224,3.06274,0.3843,0.00092,2.50222
19,1,0,1e+08,22405430261816,22405430567508,22405431161388,22405431164060,22405431188264,22405431188300,22405431323564,22405431323600,16,10.6178,3.05692,5.9388,0.02672,0.24204,0.00036,1.35264
20,1,0,1e+08,22405432750069,22405433102579,22405433542299,22405433545687,22405433638219,22405433638311,22405433780303,22405433780327,16,10.3026,3.5251,4.3972,0.03388,0.92532,0.00092,1.41992
21,1,0,1e+08,22405435297640,22405436010059,22405436826424,22405436840680,22405436858372,22405436858416,22405436983452,22405436983488,16,16.8585,7.12419,8.16365,0.14256,0.17692,0.00044,1.25036
22,1,0,1e+08,22405439162662,22405439446607,22405440027824,22405440031096,22405440065324,22405440065428,22405440218960,22405440218984,16,10.5632,2.83945,5.81217,0.03272,0.34228,0.00104,1.53532
23,1,0,1e+08,22405441793322,22405442062479,22405442487907,22405442491523,22405442572239,22405442572371,22405442707815,22405442707843,16,9.14521,2.69157,4.25428,0.03616,0.80716,0.00132,1.35444
24,1,0,1e+08,22405444445020,22405445038756,22405445904793,22405445908413,22405445969441,22405445969561,22405446096153,22405446096189,16,16.5117,5.93736,8.66037,0.0362,0.61028,0.0012,1.26592
25,1,0,1e+08,22405448276069,22405449050972,22405449842460,22405449845032,22405449880636,22405449880684,22405450014496,22405450014540,16,17.3847,7.74903,7.91488,0.02572,0.35604,0.00048,1.33812
26,1,0,1e+08,22405453387094,22405454017187,22405454906418,22405454949174,22405454974442,22405454974486,22405455117130,22405455117162,16,17.3007,6.30093,8.89231,0.42756,0.25268,0.00044,1.42644
27,1,0,1e+08,22405457074251,22405457307945,22405457805113,22405457808521,22405457876277,22405457876405,22405458022385,22405458022417,16,9.48166,2.33694,4.97168,0.03408,0.67756,0.00128,1.4598
28,1,0,1e+08,22405459675265,22405460415086,22405461303876,22405461347868,22405461369308,22405461369352,22405461500124,22405461500160,16,18.249,7.39821,8.8879,0.43992,0.2144,0.00044,1.30772
29,1,0,1e+08,22405463466868,22405464291235,22405465001077,22405465069877,22405465092845,22405465092885,22405465231709,22405465231745,16,17.6488,8.24367,7.09842,0.688,0.22968,0.0004,1.38824
30,1,0,1e+08,22405467234491,22405467956610,22405468789097,22405468792021,22405468816853,22405468816901,22405468946945,22405468946981,16,17.1249,7.22119,8.32487,0.02924,0.24832,0.00048,1.30044
31,1,0,1e+08,22405471284862,22405471643162,22405472132914,22405472136006,22405472173518,22405472173618,22405472325198,22405472325234,16,10.4037,3.583,4.89752,0.03092,0.37512,0.001,1.5158
32,1,0,1e+08,22405473984942,22405474245130,22405474785130,22405474788078,22405474855558,22405474855670,22405475004654,22405475004682,16,10.1974,2.60188,5.4,0.02948,0.6748,0.00112,1.48984
33,1,0,1e+08,22405476512992,22405476866013,22405477304413,22405477307905,22405477360925,22405477361025,22405477510441,22405477510469,16,9.97477,3.53021,4.384,0.03492,0.5302,0.001,1.49416
34,1,0,1e+08,22405479099047,22405479721252,22405480685533,22405480717829,22405480735665,22405480735709,22405480867337,22405480867373,16,17.6833,6.22205,9.64281,0.32296,0.17836,0.00044,1.31628
35,1,0,1e+08,22405482896971,22405483662126,22405484515034,22405484517478,22405484558002,22405484558114,22405484686626,22405484686662,16,17.8969,7.65155,8.52908,0.02444,0.40524,0.00112,1.28512
36,1,0,1e+08,22405486622990,22405487296459,22405488126270,22405488129042,22405488147298,22405488147346,22405488270754,22405488270786,16,16.478,6.73469,8.29811,0.02772,0.18256,0.00048,1.23408
37,1,0,1e+08,22405490248761,22405490482090,22405490950982,22405490954454,22405490990494,22405490990590,22405491134994,22405491135026,16,8.86265,2.33329,4.68892,0.03472,0.3604,0.00096,1.44404
38,1,0,1e+08,22405493016094,22405493844922,22405494579197,22405494582349,22405494620781,22405494620893,22405494755493,22405494755525,16,17.3943,8.28828,7.34275,0.03152,0.38432,0.00112,1.346
39,1,0,1e+08,22405497101770,22405497809427,22405498679789,22405498682929,22405498753157,22405498753277,22405498884321,22405498884361,16,17.8259,7.07657,8.70362,0.0314,0.70228,0.0012,1.31044
40,1,0,1e+08,22405500848845,22405501527486,22405502330622,22405502577714,22405502597070,22405502597110,22405502733970,22405502733998,16,18.8515,6.78641,8.03136,2.47092,0.19356,0.0004,1.3686
41,1,0,1e+08,22405504639668,22405504995832,22405505483720,22405505486916,22405505552348,22405505552444,22405505695792,22405505695816,16,10.5615,3.56164,4.87888,0.03196,0.65432,0.00096,1.43348
42,1,0,1e+08,22405507192477,22405508078225,22405508798644,22405508823108,22405508845920,22405508845964,22405509000136,22405509000168,16,18.0769,8.85748,7.20419,0.24464,0.22812,0.00044,1.54172
43,1,0,1e+08,22405510975512,22405511673769,22405512525734,22405512584806,22405512602650,22405512602694,22405512727906,22405512727950,16,17.5244,6.98257,8.51965,0.59072,0.17844,0.00044,1.25212
44,1,0,1e+08,22405514739867,22405514967629,22405515466073,22405515469389,22405515536545,22405515536661,22405515691833,22405515691861,16,9.51994,2.27762,4.98444,0.03316,0.67156,0.00116,1.55172
45,1,0,1e+08,22405517343225,22405518030418,22405518911401,22405518914417,22405518939101,22405518939149,22405519065969,22405519066017,16,17.2279,6.87193,8.80983,0.03016,0.24684,0.00048,1.2682
46,1,0,1e+08,22405521212904,22405521886418,22405522779111,22405522781619,22405522830675,22405522830799,22405522986027,22405522986063,16,17.7316,6.73514,8.92693,0.02508,0.49056,0.00124,1.55228
47,1,0,1e+08,22405525038529,22405525668911,22405526523646,22405526558646,22405526577450,22405526577498,22405526706770,22405526706810,16,16.6828,6.30382,8.54735,0.35,0.18804,0.00048,1.29272
48,1,0,1e+08,22405528629954,22405528888747,22405529598597,22405529607022,22405529735649,22405529736114,22405530053878,22405530053946,16,14.2399,2.58793,7.0985,0.08425,1.28627,0.00465,3.17764
49,1,0,1e+08,22405532753343,22405533030889,22405533710256,22405533713344,22405533737888,22405533737936,22405533884936,22405533884984,16,11.3164,2.77546,6.79367,0.03088,0.24544,0.00048,1.47
50,1,0,1e+08,22405535243825,22405536244912,22405536889542,22405536952710,22405536979938,22405536979974,22405537140002,22405537140030,16,18.9621,10.0109,6.4463,0.63168,0.27228,0.00036,1.60028
51,1,0,1e+08,22405539169380,22405539382016,22405539861492,22405539864656,22405539950164,22405539950260,22405540118416,22405540118468,16,9.49088,2.12636,4.79476,0.03164,0.85508,0.00096,1.68156
52,1,0,1e+08,22405541772386,22405542053750,22405542518206,22405542521106,22405542542226,22405542542262,22405542685822,22405542685850,16,9.13464,2.81364,4.64456,0.029,0.2112,0.00036,1.4356
53,1,0,1e+08,22405544424780,22405544666912,22405545909329,22405545912313,22405545971297,22405545971441,22405546121277,22405546121325,16,16.9655,2.42132,12.4242,0.02984,0.58984,0.00144,1.49836
54,1,0,1e+08,22405548323985,22405549001598,22405549886558,22405549889446,22405549917882,22405549917930,22405550044438,22405550044474,16,17.2049,6.77613,8.8496,0.02888,0.28436,0.00048,1.26508
55,1,0,1e+08,22405552082156,22405552751053,22405553692252,22405553694868,22405553746436,22405553746568,22405553875968,22405553876012,16,17.9386,6.68897,9.41199,0.02616,0.51568,0.00132,1.294
56,1,0,1e+08,22405555853140,22405556098305,22405556517829,22405556520757,22405556594349,22405556594437,22405556740109,22405556740133,16,8.86993,2.45165,4.19524,0.02928,0.73592,0.00088,1.45672
57,1,0,1e+08,22405558512702,22405559233511,22405560164308,22405560166908,22405560219296,22405560219432,22405560373412,22405560373456,16,18.6075,7.20809,9.30797,0.026,0.52388,0.00136,1.5398
58,1,0,1e+08,22405562353456,22405562575004,22405563831165,22405563834557,22405563876941,22405563877085,22405564032917,22405564032953,16,16.795,2.21548,12.5616,0.03392,0.42384,0.00144,1.55832
59,1,0,1e+08,22405566240717,22405566881946,22405567849811,22405567853051,22405567917491,22405567917611,22405568051267,22405568051311,16,18.1059,6.41229,9.67865,0.0324,0.6444,0.0012,1.33656
60,1,0,1e+08,22405570376389,22405571105108,22405571995068,22405571997640,22405572024652,22405572024704,22405572155628,22405572155664,16,17.7927,7.28719,8.8996,0.02572,0.27012,0.00052,1.30924
61,1,0,1e+08,22405574195364,22405574463992,22405574925908,22405574929012,22405574956148,22405574956184,22405575101584,22405575101616,16,9.06252,2.68628,4.61916,0.03104,0.27136,0.00036,1.454
62,1,0,1e+08,22405576716434,22405576963006,22405577364958,22405577368390,22405577405362,22405577405450,22405577547030,22405577547054,16,8.3062,2.46572,4.01952,0.03432,0.36972,0.00088,1.4158
63,1,0,1e+08,22405579274024,22405579910535,22405580808044,22405580811072,22405580837188,22405580837236,22405580959044,22405580959084,16,16.8506,6.36511,8.97509,0.03028,0.26116,0.00048,1.21808
64,1,0,1e+08,22405582963253,22405583490029,22405584398527,22405584401911,22405584440287,22405584440411,22405584571691,22405584571727,16,16.0847,5.26776,9.08498,0.03384,0.38376,0.00124,1.3128
65,1,0,1e+08,22405588042611,22405588527448,22405589609308,22405589612280,22405589678984,22405589679276,22405589816432,22405589816480,16,17.7387,4.84837,10.8186,0.02972,0.66704,0.00292,1.37156
66,1,0,1e+08,22405591990412,22405592284738,22405592869459,22405592873035,22405592901027,22405592901083,22405593062143,22405593062179,16,10.7177,2.94326,5.84721,0.03576,0.27992,0.00056,1.6106
67,1,0,1e+08,22405594862611,22405595196677,22405596045255,22405596050219,22405596148658,22405596148878,22405596391479,22405596391539,16,15.2893,3.34066,8.48578,0.04964,0.98439,0.0022,2.42601
68,1,0,1e+08,22405597605087,22405598317574,22405599187053,22405599294901,22405599319481,22405599319525,22405599446417,22405599446449,16,18.4136,7.12487,8.69479,1.07848,0.2458,0.00044,1.26892
69,1,0,1e+08,22405601539277,22405601751089,22405602187217,22405602190229,22405602236373,22405602236461,22405602390325,22405602390349,16,8.51072,2.11812,4.36128,0.03012,0.46144,0.00088,1.53864
70,1,0,1e+08,22405604241373,22405604465757,22405604929958,22405604932946,22405604975386,22405604975486,22405605116250,22405605116278,16,8.74905,2.24384,4.64201,0.02988,0.4244,0.001,1.40764
71,1,0,1e+08,22405606809215,22405607488396,22405608326230,22405608352658,22405608371314,22405608371362,22405608494674,22405608494714,16,16.855,6.79181,8.37834,0.26428,0.18656,0.00048,1.23312
72,1,0,1e+08,22405610531164,22405611436273,22405612197008,22405612253352,22405612270332,22405612270376,22405612392264,22405612392292,16,18.6113,9.05109,7.60735,0.56344,0.1698,0.00044,1.21888
73,1,0,1e+08,22405614300131,22405614968813,22405615900467,22405615904043,22405615945699,22405615945815,22405616102107,22405616102143,16,18.0201,6.68682,9.31654,0.03576,0.41656,0.00116,1.56292
74,1,0,1e+08,22405618220516,22405618863198,22405619470715,22405619473351,22405619499715,22405619499759,22405619656971,22405619657019,16,14.365,6.42682,6.07517,0.02636,0.26364,0.00044,1.57212
75,1,0,1e+08,22405621154912,22405621655995,22405622675210,22405622752898,22405622790862,22405622790906,22405622950802,22405622950842,16,17.9593,5.01083,10.1921,0.77688,0.37964,0.00044,1.59896
76,1,0,1e+08,22405624998194,22405625275008,22405625687272,22405625690240,22405625747268,22405625747364,22405625928556,22405625928584,16,9.3039,2.76814,4.12264,0.02968,0.57028,0.00096,1.81192
77,1,0,1e+08,22405627567151,22405627788399,22405628167823,22405628171131,22405628234123,22405628234207,22405628372795,22405628372823,16,8.05672,2.21248,3.79424,0.03308,0.62992,0.00084,1.38588
78,1,0,1e+08,22405631413055,22405631647831,22405632038263,22405632042999,22405632095635,22405632095719,22405632273139,22405632273163,16,8.60108,2.34776,3.90432,0.04736,0.52636,0.00084,1.7742
79,1,0,1e+08,22405634154356,22405634350528,22405634770796,22405634774224,22405634845648,22405634845740,22405634989120,22405634989152,16,8.34796,1.96172,4.20268,0.03428,0.71424,0.00092,1.4338
80,1,0,1e+08,22405636784038,22405637462255,22405638396765,22405638400761,22405638430977,22405638431029,22405638562637,22405638562677,16,17.7864,6.78217,9.3451,0.03996,0.30216,0.00052,1.31608
81,1,0,1e+08,22405640662076,22405641294081,22405642135416,22405642138372,22405642200204,22405642200324,22405642334944,22405642334988,16,16.7291,6.32005,8.41335,0.02956,0.61832,0.0012,1.3462
82,1,0,1e+08,22405644337662,22405645154193,22405645885169,22405645910817,22405645931901,22405645931945,22405646063025,22405646063061,16,17.254,8.16531,7.30976,0.25648,0.21084,0.00044,1.3108
83,1,0,1e+08,22405648026824,22405648851546,22405649587390,22405649589934,22405649612878,22405649612922,22405649733526,22405649733570,16,17.0675,8.24722,7.35844,0.02544,0.22944,0.00044,1.20604
84,1,0,1e+08,22405651802920,22405652063032,22405652820172,22405652828722,22405652925813,22405652926283,22405653257745,22405653257813,16,14.5489,2.60112,7.5714,0.0855,0.97091,0.0047,3.31462
85,1,0,1e+08,22405655702948,22405656341937,22405657222390,22405657253354,22405657274642,22405657274690,22405657403102,22405657403146,16,17.002,6.38989,8.80453,0.30964,0.21288,0.00048,1.28412
86,1,0,1e+08,22405659384245,22405659918352,22405660965424,22405661001000,22405661019284,22405661019332,22405661147872,22405661147908,16,17.6366,5.34107,10.4707,0.35576,0.18284,0.00048,1.2854
87,1,0,1e+08,22405663048374,22405663783656,22405664617508,22405664650208,22405664669064,22405664669116,22405664806008,22405664806052,16,17.5768,7.35282,8.33852,0.327,0.18856,0.00052,1.36892
88,1,0,1e+08,22405666812017,22405667481372,22405668393752,22405668397028,22405668433948,22405668434072,22405668566176,22405668566208,16,17.5419,6.69355,9.1238,0.03276,0.3692,0.00124,1.32104
89,1,0,1e+08,22405670858940,22405671481458,22405672407065,22405672446169,22405672466681,22405672466729,22405672616149,22405672616189,16,17.5725,6.22518,9.25607,0.39104,0.20512,0.00048,1.4942
90,1,0,1e+08,22405674727065,22405675111651,22405675678127,22405675683355,22405675723063,22405675723107,22405675893455,22405675893491,16,11.6643,3.84586,5.66476,0.05228,0.39708,0.00044,1.70348
91,1,0,1e+08,22405677322481,22405677620401,22405678094161,22405678096825,22405678139609,22405678139705,22405678287561,22405678287593,16,9.65112,2.9792,4.7376,0.02664,0.42784,0.00096,1.47856
92,1,0,1e+08,22405680023374,22405680407370,22405680865978,22405680869122,22405680905938,22405680906038,22405681054114,22405681054138,16,10.3076,3.83996,4.58608,0.03144,0.36816,0.001,1.48076
93,1,0,1e+08,22405682615566,22405682845678,22405684023212,22405684026984,22405684075256,22405684075424,22405684233280,22405684233328,16,16.1776,2.30112,11.7753,0.03772,0.48272,0.00168,1.57856
94,1,0,1e+08,22405686527974,22405687236404,22405688115252,22405688118884,22405688149632,22405688149676,22405688279612,22405688279648,16,17.5167,7.0843,8.78848,0.03632,0.30748,0.00044,1.29936
95,1,0,1e+08,22405690229601,22405690871902,22405691783518,22405691853634,22405691874518,22405691874562,22405692006086,22405692006130,16,17.7653,6.42301,9.11616,0.70116,0.20884,0.00044,1.31524
96,1,0,1e+08,22405694272398,22405695187789,22405695901702,22405695945058,22405695973342,22405695973382,22405696099102,22405696099138,16,18.2674,9.15391,7.13913,0.43356,0.28284,0.0004,1.2572
97,1,0,1e+08,22405698515928,22405699223490,22405700091876,22405700150812,22405700169488,22405700169532,22405700297384,22405700297424,16,17.815,7.07562,8.68386,0.58936,0.18676,0.00044,1.27852
98,1,0,1e+08,22405702387298,22405703109661,22405704013805,22405704042917,22405704060941,22405704060989,22405704192049,22405704192081,16,18.0478,7.22363,9.04144,0.29112,0.18024,0.00048,1.3106
99,1,0,1e+08,22405706192345,22405706408121,22405706928673,22405706931901,22405706967329,22405706967369,22405707137589,22405707137637,16,9.45292,2.15776,5.20552,0.03228,0.35428,0.0004,1.7022
100,1,0,1e+08,22405708781509,22405709021915,22405710276086,22405710320330,22405710346154,22405710346206,22405710494006,22405710494042,16,17.1253,2.40406,12.5417,0.44244,0.25824,0.00052,1.478
101,1,0,1e+08,22405712645710,22405712863111,22405713359807,22405713431699,22405713456003,22405713456039,22405713611167,22405713611203,16,9.65493,2.17401,4.96696,0.71892,0.24304,0.00036,1.55128
102,1,0,1e+08,22405715481009,22405715738411,22405716187063,22405716193087,22405716244195,22405716244291,22405716418903,22405716418935,16,9.37926,2.57402,4.48652,0.06024,0.51108,0.00096,1.74612
103,1,0,1e+08,22405718238122,22405718750480,22405719774945,22405719811597,22405719837921,22405719837969,22405719998305,22405719998345,16,17.6022,5.12358,10.2447,0.36652,0.26324,0.00048,1.60336
104,1,0,1e+08,22405723877769,22405724764419,22405725538948,22405725544240,22405725582252,22405725582380,22405725725032,22405725725064,16,18.4729,8.8665,7.74529,0.05292,0.38012,0.00128,1.42652
105,1,0,1e+08,22405727705112,22405728358771,22405729283657,22405729323069,22405729346489,22405729346533,22405729476105,22405729476149,16,17.7104,6.53659,9.24886,0.39412,0.2342,0.00044,1.29572
106,1,0,1e+08,22405731522145,22405731764247,22405732359188,22405732362456,22405732443328,22405732443432,22405732590928,22405732590956,16,10.6881,2.42102,5.94941,0.03268,0.80872,0.00104,1.47496
107,1,0,1e+08,22405734141170,22405734473963,22405734957007,22405734961959,22405735002875,22405735002911,22405735176719,22405735176763,16,10.3559,3.32793,4.83044,0.04952,0.40916,0.00036,1.73808
108,1,0,1e+08,22405736712661,22405736997949,22405737449721,22405737452681,22405737481029,22405737481065,22405737625061,22405737625089,16,9.12428,2.85288,4.51772,0.0296,0.28348,0.00036,1.43996
109,1,0,1e+08,22405739377508,22405739646432,22405740102316,22405740105124,22405740136288,22405740136324,22405740278512,22405740278540,16,9.01032,2.68924,4.55884,0.02808,0.31164,0.00036,1.42188
110,1,0,1e+08,22405741956368,22405742641677,22405743446719,22405743450843,22405743486783,22405743486823,22405743616975,22405743617003,16,16.6063,6.85309,8.05042,0.04124,0.3594,0.0004,1.30152
111,1,0,1e+08,22405745637293,22405746005979,22405746551859,22405746555847,22405746588311,22405746588351,22405746716255,22405746716295,16,10.79,3.68686,5.4588,0.03988,0.32464,0.0004,1.27904
112,1,0,1e+08,22405748127136,22405748455565,22405749611189,22405749614109,22405749639001,22405749639053,22405749771437,22405749771481,16,16.4434,3.28429,11.5562,0.0292,0.24892,0.00052,1.32384
113,1,0,1e+08,22405751922209,22405752295621,22405753545600,22405753548748,22405753574452,22405753574508,22405753722760,22405753722808,16,18.006,3.73412,12.4998,0.03148,0.25704,0.00056,1.48252
114,1,0,1e+08,22405755809298,22405756086770,22405756697778,22405756701650,22405756741270,22405756741318,22405756993787,22405756993835,16,11.8454,2.77472,6.11008,0.03872,0.3962,0.00048,2.52469
115,1,0,1e+08,22405758508247,22405758781069,22405759474537,22405759478061,22405759516709,22405759516817,22405759669805,22405759669837,16,11.6159,2.72822,6.93468,0.03524,0.38648,0.00108,1.52988
116,1,0,1e+08,22405761185107,22405761471379,22405761957287,22405761960463,22405761987111,22405761987163,22405762139223,22405762139247,16,9.5414,2.86272,4.85908,0.03176,0.26648,0.00052,1.5206
117,1,0,1e+08,22405763725537,22405764084769,22405764558973,22405764561969,22405764584473,22405764584513,22405764730201,22405764730237,16,10.047,3.59232,4.74204,0.02996,0.22504,0.0004,1.45688
118,1,0,1e+08,22405766286631,22405766949781,22405767818582,22405767821286,22405767850502,22405767850550,22405767987134,22405767987162,16,17.0053,6.6315,8.68801,0.02704,0.29216,0.00048,1.36584
119,1,0,1e+08,22405770452196,22405770664320,22405771185064,22405771187968,22405771219820,22405771219856,22405771364992,22405771365020,16,9.12824,2.12124,5.20744,0.02904,0.31852,0.00036,1.45136
120,1,0,1e+08,22405773161247,22405773378484,22405774561232,22405774564692,22405774608364,22405774608512,22405774757744,22405774757788,16,15.9654,2.17237,11.8275,0.0346,0.43672,0.00148,1.49232
121,1,0,1e+08,22405777329038,22405777966797,22405778889258,22405778927486,22405778945642,22405778945690,22405779077266,22405779077310,16,17.4827,6.37759,9.22461,0.38228,0.18156,0.00048,1.31576
122,1,0,1e+08,22405781174751,22405781913607,22405782792218,22405782849674,22405782874554,22405782874602,22405783006182,22405783006218,16,18.3147,7.38856,8.78611,0.57456,0.2488,0.00048,1.3158
123,1,0,1e+08,22405784999844,22405785220692,22405785688976,22405785691888,22405785754068,22405785754172,22405785897068,22405785897096,16,8.97252,2.20848,4.68284,0.02912,0.6218,0.00104,1.42896
124,1,0,1e+08,22405787636432,22405787859648,22405788356464,22405788359360,22405788455300,22405788455404,22405788604184,22405788604208,16,9.67776,2.23216,4.96816,0.02896,0.9594,0.00104,1.4878
125,1,0,1e+08,22405790292006,22405790555855,22405790976599,22405790979351,22405791022967,22405791023067,22405791199171,22405791199207,16,9.07201,2.63849,4.20744,0.02752,0.43616,0.001,1.76104
