frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22570475180723,22570476774356,22570478029799,22570478033023,22570478221551,22570478499603,22570478638835,22570478638871,16,34.5815,15.9363,12.5544,0.03224,1.88528,2.78052,1.39232
1,1,0,1e+08,22570479273383,22570483352325,22570483894473,22570483900049,22570483928665,22570485128466,22570485926043,22570485926131,16,66.5275,40.7894,5.42148,0.05576,0.28616,11.998,7.97577
2,1,0,1e+08,22570487202800,22570487554048,22570488497011,22570488501027,22570488538611,22570490437399,22570490637968,22570490638004,16,34.352,3.51248,9.42963,0.04016,0.37584,18.9879,2.00569
3,1,0,1e+08,22570490670852,22570491125654,22570491818009,22570491821129,22570491840709,22570494584339,22570494720719,22570494720759,16,40.4991,4.54802,6.92355,0.0312,0.1958,27.4363,1.3638
4,1,0,1e+08,22570495105372,22570495904983,22570496658980,22570496687504,22570496708400,22570496979920,22570497131780,22570497131816,16,20.2644,7.99611,7.53997,0.28524,0.20896,2.7152,1.5186
5,1,0,1e+08,22570497161160,22570497422524,22570497962924,22570497967152,22570497998964,22570501360726,22570501745968,22570501746052,16,45.8489,2.61364,5.404,0.04228,0.31812,33.6176,3.85242
6,1,0,1e+08,22570501784073,22570502812822,22570503340427,22570503344899,22570503368479,22570503700175,22570503895624,22570503895684,16,21.1161,10.2875,5.27605,0.04472,0.2358,3.31696,1.95449
7,1,0,1e+08,22570503962436,22570506788920,22570507449623,22570507452639,22570507526707,22570507772143,22570507915051,22570507915083,16,39.5265,28.2648,6.60703,0.03016,0.74068,2.45436,1.42908
8,1,0,1e+08,22570507942379,22570508179715,22570509113781,22570509143417,22570509168521,22570509585686,22570509730070,22570509730110,16,17.8773,2.37336,9.34066,0.29636,0.25104,4.17165,1.44384
9,1,0,1e+08,22570509753618,22570511186428,22570511822283,22570511825359,22570511847723,22570512125887,22570512285739,22570512285775,16,25.3216,14.3281,6.35855,0.03076,0.22364,2.78164,1.59852
10,1,0,1e+08,22570512311935,22570512600139,22570513144759,22570513149935,22570513186815,22570513499524,22570513685292,22570513685320,16,13.7339,2.88204,5.4462,0.05176,0.3688,3.12709,1.85768
11,1,0,1e+08,22570513719052,22570514684484,22570515218632,22570515222748,22570515260264,22570515485060,22570515612220,22570515612248,16,18.932,9.65432,5.34148,0.04116,0.37516,2.24796,1.2716
12,1,0,1e+08,22570515636068,22570517211775,22570517602183,22570517604319,22570517620067,22570517815035,22570517947219,22570517947243,16,23.1118,15.7571,3.90408,0.02136,0.15748,1.94968,1.32184
13,1,0,1e+08,22570517973079,22570518193755,22570518589583,22570518592999,22570518611899,22570518825427,22570518976531,22570518976555,16,10.0348,2.20676,3.95828,0.03416,0.189,2.13528,1.51104
