frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22502496535039,22502498120371,22502498959877,22502498963229,22502499156557,22502499411337,22502499549369,22502499549401,16,30.1436,15.8533,8.39506,0.03352,1.93328,2.5478,1.38032
1,1,0,1e+08,22502501925304,22502504280803,22502504917893,22502504922901,22502504952633,22502505207505,22502505376825,22502505376857,16,34.5155,23.555,6.3709,0.05008,0.29732,2.54872,1.6932
2,1,0,1e+08,22502506343384,22502508148793,22502509252508,22502509800569,22502509825429,22502510767088,22502510986778,22502510986838,16,46.4345,18.0541,11.0372,5.48061,0.2486,9.41659,2.1969
3,1,0,1e+08,22502511016422,22502514798878,22502515364586,22502515368922,22502515401622,22502515647134,22502515871954,22502515872006,16,48.5558,37.8246,5.65708,0.04336,0.327,2.45512,2.2482
4,1,0,1e+08,22502515915826,22502517005709,22502518061954,22502519193786,22502519248496,22502520811673,22502521096314,22502521096354,16,51.8053,10.8988,10.5625,11.3183,0.5471,15.6318,2.84641
5,1,0,1e+08,22502521122886,22502521391290,22502521835450,22502524334456,22502524364556,22502525171852,22502525450741,22502525450957,16,43.2807,2.68404,4.4416,24.9901,0.301,8.07296,2.78889
6,1,0,1e+08,22502525480153,22502525874217,22502526370325,22502526403181,22502526427153,22502526667025,22502526838897,22502526838945,16,13.5879,3.94064,4.96108,0.32856,0.23972,2.39872,1.71872
7,1,0,1e+08,22502526869901,22502527269337,22502527915848,22502527941704,22502527965364,22502528375876,22502528604815,22502528604851,16,17.3495,3.99436,6.46511,0.25856,0.2366,4.10512,2.28939
8,1,0,1e+08,22502528644015,22502529755645,22502530323647,22502530327531,22502530352523,22502530650279,22502530833851,22502530833903,16,21.8989,11.1163,5.68002,0.03884,0.24992,2.97756,1.83572
9,1,0,1e+08,22502530862367,22502533431253,22502534296857,22502534300793,22502534334073,22502534604921,22502534802161,22502534802261,16,39.3989,25.6889,8.65604,0.03936,0.3328,2.70848,1.9724
10,1,0,1e+08,22502534834313,22502535107765,22502535566193,22502535570705,22502535607517,22502535875817,22502536064389,22502536064429,16,12.3012,2.73452,4.58428,0.04512,0.36812,2.683,1.88572
11,1,0,1e+08,22502536099849,22502537954508,22502538481312,22502538501652,22502538521936,22502539397414,22502539628468,22502539628676,16,35.2883,18.5466,5.26804,0.2034,0.20284,8.75478,2.31054
12,1,0,1e+08,22502539660820,22502540005389,22502540495913,22502540499841,22502540520801,22502540752517,22502540920145,22502540920201,16,12.5938,3.44569,4.90524,0.03928,0.2096,2.31716,1.67628
