frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22518404399298,22518406270725,22518407557872,22518407560880,22518407735392,22518409246016,22518409406236,22518409406276,16,50.0698,18.7143,12.8715,0.03008,1.74512,15.1062,1.6022
1,1,0,1e+08,22518409438900,22518409721528,22518411554605,22518412340546,22518412391003,22518413000876,22518413203036,22518413203068,16,37.6417,2.82628,18.3308,7.85941,0.50457,6.09873,2.0216
2,1,0,1e+08,22518413260028,22518413559332,22518414092028,22518415770845,22518415798165,22518416633534,22518416865048,22518416865108,16,36.0508,2.99304,5.32696,16.7882,0.2732,8.35369,2.31514
3,1,0,1e+08,22518416939748,22518417302349,22518417805213,22518417842273,22518417862657,22518418083261,22518418228165,22518418228205,16,12.8846,3.62601,5.02864,0.3706,0.20384,2.20604,1.44904
4,1,0,1e+08,22518418953680,22518420939384,22518421604548,22518421636984,22518421657164,22518423250967,22518423739753,22518423739918,16,47.8624,19.857,6.65164,0.32436,0.2018,15.938,4.88786
5,1,0,1e+08,22518424565873,22518425221233,22518425897254,22518427687492,22518427715484,22518428341276,22518428743901,22518428744169,16,41.783,6.5536,6.76021,17.9024,0.27992,6.25792,4.02625
6,1,0,1e+08,22518428779293,22518429167357,22518429707481,22518429745525,22518429770541,22518430010921,22518430176557,22518430176605,16,13.9731,3.88064,5.40124,0.38044,0.25016,2.4038,1.65636
7,1,0,1e+08,22518430207133,22518430944681,22518432267380,22518432272692,22518432317973,22518432729493,22518432910037,22518432910077,16,27.0294,7.37548,13.227,0.05312,0.45281,4.1152,1.80544
8,1,0,1e+08,22518432984857,22518433251321,22518433874026,22518433977991,22518434032329,22518434797985,22518435010434,22518435010482,16,20.2563,2.66464,6.22705,1.03965,0.54338,7.65656,2.12449
9,1,0,1e+08,22518436469807,22518437179109,22518438900783,22518438910863,22518439010918,22518439613312,22518439834400,22518439834620,16,33.6481,7.09302,17.2167,0.1008,1.00055,6.02394,2.21088
10,1,0,1e+08,22518440047754,22518440352580,22518441328171,22518441337411,22518441431780,22518442187046,22518442410254,22518442410302,16,23.6255,3.04826,9.75591,0.0924,0.94369,7.55266,2.23208
11,1,0,1e+08,22518444314188,22518444766309,22518445353309,22518445359233,22518445429073,22518445680325,22518445907973,22518445908017,16,15.9383,4.52121,5.87,0.05924,0.6984,2.51252,2.27648
12,1,0,1e+08,22518449420225,22518449811313,22518450329165,22518450334077,22518450378605,22518450605957,22518450786501,22518450786533,16,13.6631,3.91088,5.17852,0.04912,0.44528,2.27352,1.80544
13,1,0,1e+08,22518451972414,22518452838136,22518453494442,22518453499994,22518453538482,22518453792558,22518453940130,22518453940162,16,19.6775,8.65722,6.56306,0.05552,0.38488,2.54076,1.47572
14,1,0,1e+08,22518455023092,22518455633018,22518456732791,22518456736731,22518456768087,22518457154628,22518457317728,22518457317768,16,22.9468,6.09926,10.9977,0.0394,0.31356,3.86541,1.631
15,1,0,1e+08,22518457355692,22518457613008,22518458871945,22518458876681,22518458933205,22518459251325,22518459417433,22518459417561,16,20.6187,2.57316,12.5894,0.04736,0.56524,3.1812,1.66108
16,1,0,1e+08,22518460524099,22518461576288,22518462259847,22518462323787,22518462345639,22518462947999,22518463258648,22518463258740,16,27.3464,10.5219,6.83559,0.6394,0.21852,6.0236,3.10649
17,1,0,1e+08,22518463285436,22518463716484,22518464273828,22518464313824,22518464334676,22518464556912,22518464709464,22518464709576,16,14.2414,4.31048,5.57344,0.39996,0.20852,2.22236,1.52552
18,1,0,1e+08,22518465507098,22518465815550,22518466440714,22518466444558,22518466479058,22518466808142,22518466944446,22518466944514,16,14.3742,3.08452,6.25164,0.03844,0.345,3.29084,1.36304
