frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22487298334837,22487300041224,22487301502047,22487301504927,22487301703587,22487301980164,22487302114580,22487302114612,16,37.7978,17.0639,14.6082,0.0288,1.9866,2.76577,1.34416
1,1,0,1e+08,22487302493090,22487303504585,22487304162429,22487304195881,22487304218089,22487304475245,22487304634773,22487304634805,16,21.4171,10.1149,6.57844,0.33452,0.22208,2.57156,1.59528
2,1,0,1e+08,22487305443135,22487309209739,22487309667520,22487309670296,22487309686368,22487309896644,22487310070772,22487310070820,16,46.2769,37.666,4.57781,0.02776,0.16072,2.10276,1.74128
3,1,0,1e+08,22487310100012,22487310474613,22487311006881,22487313555995,22487313581787,22487313887185,22487314031673,22487314031709,16,39.317,3.74601,5.32268,25.4911,0.25792,3.05398,1.44488
4,1,0,1e+08,22487314057489,22487314291893,22487314777681,22487314781561,22487314801969,22487315166420,22487315386045,22487315386105,16,13.2862,2.34404,4.85788,0.0388,0.20408,3.64451,2.19625
5,1,0,1e+08,22487315850445,22487322441211,22487323170035,22487323210103,22487323238611,22487323518315,22487323669939,22487323669975,16,78.1953,65.9077,7.28824,0.40068,0.28508,2.79704,1.51624
6,1,0,1e+08,22487323696879,22487323936183,22487324378999,22487324382883,22487324412511,22487325095732,22487325334928,22487325335144,16,16.3826,2.39304,4.42816,0.03884,0.29628,6.83221,2.39196
7,1,0,1e+08,22487325361704,22487325724285,22487326229353,22487326259789,22487326303837,22487326514193,22487326662073,22487326662101,16,13.004,3.62581,5.05068,0.30436,0.44048,2.10356,1.4788
8,1,0,1e+08,22487326688697,22487327786636,22487328386776,22487328390584,22487328419808,22487328737204,22487328908776,22487328908824,16,22.2013,10.9794,6.0014,0.03808,0.29224,3.17396,1.71572
9,1,0,1e+08,22487329121164,22487331976629,22487332879632,22487332988720,22487333009940,22487333284092,22487333425296,22487333425332,16,43.0417,28.5547,9.03003,1.09088,0.2122,2.74152,1.41204
10,1,0,1e+08,22487333465196,22487333728304,22487334300294,22487334309584,22487334371708,22487335173317,22487335552728,22487335552788,16,20.8759,2.63108,5.7199,0.0929,0.62124,8.01609,3.79411
11,1,0,1e+08,22487335584480,22487337046529,22487337673365,22487337677041,22487337703629,22487338011749,22487338191929,22487338191989,16,26.0751,14.6205,6.26836,0.03676,0.26588,3.0812,1.8018
12,1,0,1e+08,22487338221301,22487338546993,22487339012969,22487339045201,22487339063217,22487339329749,22487339501497,22487339501533,16,12.8023,3.25692,4.65976,0.32232,0.18016,2.66532,1.71748
13,1,0,1e+08,22487339540785,22487340185107,22487341439207,22487341475123,22487341495767,22487341812739,22487342033751,22487342033895,16,24.9311,6.44322,12.541,0.35916,0.20644,3.16972,2.21012
14,1,0,1e+08,22487342070759,22487343239562,22487344091181,22487344094929,22487344133077,22487344434417,22487344609321,22487344609353,16,25.3859,11.688,8.51619,0.03748,0.38148,3.0134,1.74904
15,1,0,1e+08,22487344644157,22487346138669,22487346807411,22487346811103,22487346849115,22487347113023,22487347310743,22487347310855,16,26.667,14.9451,6.68742,0.03692,0.38012,2.63908,1.9772
16,1,0,1e+08,22487347361399,22487348782792,22487349438328,22487349441488,22487349483708,22487349738292,22487349924072,22487349924104,16,25.627,14.2139,6.55536,0.0316,0.4222,2.54584,1.8578
17,1,0,1e+08,22487349960056,22487351334089,22487352001143,22487352021459,22487352041339,22487352307887,22487352483859,22487352483891,16,25.2384,13.7403,6.67054,0.20316,0.1988,2.66548,1.75972
18,1,0,1e+08,22487352535799,22487353958208,22487354621697,22487354680229,22487354700533,22487354951909,22487355129937,22487355129965,16,25.9417,14.2241,6.63489,0.58532,0.20304,2.51376,1.78028
19,1,0,1e+08,22487355166181,22487356344759,22487357272195,22487357319671,22487357338375,22487357613995,22487357784951,22487357784983,16,26.188,11.7858,9.27436,0.47476,0.18704,2.7562,1.70956
20,1,0,1e+08,22487357824759,22487358971548,22487359958050,22487359986230,22487360010646,22487360293382,22487360483474,22487360483506,16,26.5875,11.4679,9.86502,0.2818,0.24416,2.82736,1.90092
21,1,0,1e+08,22487360519366,22487361712245,22487362582527,22487362585831,22487362610187,22487362891955,22487363073675,22487363073707,16,25.5434,11.9288,8.70282,0.03304,0.24356,2.81768,1.8172
22,1,0,1e+08,22487363356456,22487363901573,22487364929685,22487364934433,22487364959325,22487365262173,22487365439981,22487365440013,16,20.8356,5.45117,10.2811,0.04748,0.24892,3.02848,1.77808
23,1,0,1e+08,22487366520168,22487367153030,22487368066007,22487368069543,22487368090391,22487368374423,22487368524523,22487368524555,16,20.0439,6.32862,9.12977,0.03536,0.20848,2.84032,1.501
24,1,0,1e+08,22487369597958,22487369928499,22487370741224,22487370744580,22487370769724,22487371130224,22487371304296,22487371304336,16,17.0638,3.30541,8.12725,0.03356,0.25144,3.605,1.74072
25,1,0,1e+08,22487371620640,22487371906732,22487372397332,22487372401652,22487372460676,22487372782828,22487372930272,22487372930304,16,13.0966,2.86092,4.906,0.0432,0.59024,3.22152,1.47444
26,1,0,1e+08,22487373645711,22487374402023,22487375206385,22487375210125,22487375253785,22487375535757,22487375692661,22487375692693,16,20.4698,7.56312,8.04362,0.0374,0.4366,2.81972,1.56904
27,1,0,1e+08,22487376634644,22487376875920,22487377204164,22487377206764,22487377224916,22487377385656,22487377536328,22487377536500,16,9.01856,2.41276,3.28244,0.026,0.18152,1.6074,1.50672
28,1,0,1e+08,22487378564820,22487379217205,22487380161881,22487380165077,22487380200465,22487380492761,22487380638533,22487380638565,16,20.7375,6.52385,9.44676,0.03196,0.35388,2.92296,1.45772
29,1,0,1e+08,22487381547913,22487382536915,22487383314846,22487383317878,22487383346162,22487383619506,22487383774602,22487383774634,16,22.2672,9.89002,7.77931,0.03032,0.28284,2.73344,1.55096
30,1,0,1e+08,22487384989611,22487385519157,22487386533971,22487386537327,22487386566467,22487386858211,22487387037751,22487387037787,16,20.4818,5.29546,10.1481,0.03356,0.2914,2.91744,1.7954
31,1,0,1e+08,22487387909862,22487388915634,22487389557999,22487389561627,22487389614907,22487389903183,22487390036743,22487390036775,16,21.2691,10.0577,6.42365,0.03628,0.5328,2.88276,1.3356
32,1,0,1e+08,22487390827111,22487391323386,22487392372580,22487392480444,22487392498800,22487392806456,22487392929912,22487392929948,16,21.0284,4.96275,10.4919,1.07864,0.18356,3.07656,1.23456
33,1,0,1e+08,22487393652136,22487393898196,22487394235368,22487394240388,22487394288264,22487394464944,22487394603192,22487394603216,16,9.5108,2.4606,3.37172,0.0502,0.47876,1.7668,1.38248
34,1,0,1e+08,22487395710486,22487396246205,22487397244609,22487397249297,22487397274429,22487397587397,22487397739029,22487397739065,16,20.2858,5.35719,9.98404,0.04688,0.25132,3.12968,1.51632
35,1,0,1e+08,22487398607380,22487399228383,22487400165851,22487400169399,22487400196147,22487400512051,22487400656823,22487400656859,16,20.4948,6.21003,9.37468,0.03548,0.26748,3.15904,1.44772
36,1,0,1e+08,22487401623478,22487402315084,22487403236877,22487403240237,22487403291725,22487403580569,22487403748289,22487403748321,16,21.2484,6.91606,9.21793,0.0336,0.51488,2.88844,1.6772
37,1,0,1e+08,22487404754443,22487405465701,22487406351393,22487406355037,22487406389545,22487406693065,22487406875741,22487406875769,16,21.2133,7.11258,8.85692,0.03644,0.34508,3.0352,1.82676
38,1,0,1e+08,22487407857131,22487408567357,22487409453420,22487409457824,22487409482648,22487409778368,22487409944680,22487409944768,16,20.8764,7.10226,8.86063,0.04404,0.24824,2.9572,1.66312
39,1,0,1e+08,22487410747544,22487411226513,22487412312975,22487412316747,22487412355251,22487412656807,22487412799175,22487412799211,16,20.5167,4.78969,10.8646,0.03772,0.38504,3.01556,1.42368
40,1,0,1e+08,22487413662805,22487414272895,22487415219009,22487415222253,22487415241473,22487415537709,22487415689209,22487415689309,16,20.265,6.1009,9.46114,0.03244,0.1922,2.96236,1.515
41,1,0,1e+08,22487416553232,22487417229862,22487418143121,22487418146917,22487418168573,22487418456585,22487418601085,22487418601189,16,20.4796,6.7663,9.13259,0.03796,0.21656,2.88012,1.445
42,1,0,1e+08,22487419406862,22487420330629,22487420966262,22487420969646,22487421008170,22487421266690,22487421438922,22487421438954,16,20.3209,9.23767,6.35633,0.03384,0.38524,2.5852,1.72232
43,1,0,1e+08,22487422293883,22487422565943,22487422895219,22487422919071,22487422935979,22487423095415,22487423251939,22487423252007,16,9.58124,2.7206,3.29276,0.23852,0.16908,1.59436,1.56524
44,1,0,1e+08,22487424290722,22487424953387,22487425922169,22487425958897,22487425979401,22487426265217,22487426430045,22487426430153,16,21.3943,6.62665,9.68782,0.36728,0.20504,2.85816,1.64828
45,1,0,1e+08,22487427184767,22487427962599,22487428859255,22487428891431,22487428915783,22487429209911,22487429388875,22487429388907,16,22.0414,7.77832,8.96656,0.32176,0.24352,2.94128,1.78964
