frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22771062359502,22771063756843,22771065001640,22771065138792,22771065355624,22771065627620,22771065767196,22771065767228,16,34.0773,13.9734,12.448,1.37152,2.16832,2.71996,1.39576
1,1,0,1e+08,22771066361358,22771069603841,22771070160373,22771070164873,22771070263649,22771070513177,22771070693973,22771070694009,16,43.3265,32.4248,5.56532,0.045,0.98776,2.49528,1.80796
2,1,0,1e+08,22771071135970,22771074789149,22771076071709,22771076221033,22771076249717,22771076588709,22771076763761,22771076763793,16,56.2782,36.5318,12.8256,1.49324,0.28684,3.38992,1.75052
3,1,0,1e+08,22771076793501,22771077066805,22771077536029,22771077539801,22771077563393,22771079648288,22771079869898,22771079869922,16,30.7642,2.73304,4.69224,0.03772,0.23592,20.849,2.2161
4,1,0,1e+08,22771081690789,22771081922793,22771082588098,22771082591226,22771082622862,22771082966046,22771083120262,22771083120294,16,14.295,2.32004,6.65305,0.03128,0.31636,3.43184,1.54216
5,1,0,1e+08,22771083146954,22771083475798,22771084747546,22771085510418,22771085541378,22771085784998,22771085925982,22771085926022,16,27.7907,3.28844,12.7175,7.62872,0.3096,2.4362,1.40984
6,1,0,1e+08,22771088706370,22771089471026,22771090286338,22771090289978,22771090327694,22771090648550,22771090800358,22771090800386,16,20.9402,7.64656,8.15312,0.0364,0.37716,3.20856,1.51808
7,1,0,1e+08,22771090831590,22771093155870,22771093702827,22771093708843,22771093845928,22771094789240,22771094993181,22771094993245,16,41.6166,23.2428,5.46957,0.06016,1.37085,9.43312,2.03941
8,1,0,1e+08,22771095171309,22771095497341,22771095963741,22771095967953,22771095996365,22771096684008,22771097182639,22771097182774,16,20.1147,3.26032,4.664,0.04212,0.28412,6.87643,4.98631
9,1,0,1e+08,22771097231851,22771097978099,22771098501439,22771098577147,22771098602327,22771098891036,22771099254181,22771099254361,16,20.2251,7.46248,5.2334,0.75708,0.2518,2.88709,3.63145
10,1,0,1e+08,22771099304862,22771101922634,22771102982133,22771103100693,22771103136093,22771103433845,22771103610041,22771103610069,16,43.0521,26.1777,10.595,1.1856,0.354,2.97752,1.76196
11,1,0,1e+08,22771103643953,22771103963869,22771105147414,22771105291919,22771105323447,22771105952478,22771106178467,22771106178507,16,25.3455,3.19916,11.8355,1.44505,0.31528,6.29031,2.25989
12,1,0,1e+08,22771106217227,22771107661720,22771108289689,22771108294757,22771108346253,22771108601565,22771108747189,22771108747213,16,25.2999,14.4449,6.27969,0.05068,0.51496,2.55312,1.45624
13,1,0,1e+08,22771108782813,22771110513332,22771111179754,22771111266366,22771111288498,22771111608198,22771111828658,22771111828686,16,30.4587,17.3052,6.66422,0.86612,0.22132,3.197,2.2046
14,1,0,1e+08,22771111866890,22771112470598,22771113220598,22771113229158,22771113436854,22771114064405,22771114273309,22771114273349,16,24.0646,6.03708,7.5,0.0856,2.07696,6.27551,2.08904
15,1,0,1e+08,22771114310433,22771115220127,22771115736347,22771115739203,22771115761391,22771116073187,22771116248087,22771116248187,16,19.3775,9.09694,5.1622,0.02856,0.22188,3.11796,1.749
16,1,0,1e+08,22771116274099,22771117543798,22771117991874,22771117995018,22771118014770,22771118846318,22771119084025,22771119084077,16,28.0998,12.697,4.48076,0.03144,0.19752,8.31548,2.37707
17,1,0,1e+08,22771119111837,22771119481974,22771120006282,22771120077054,22771120098050,22771120317302,22771120464114,22771120464142,16,13.523,3.70137,5.24308,0.70772,0.20996,2.19252,1.46812
18,1,0,1e+08,22771120496458,22771122546141,22771123189233,22771123232545,22771123369560,22771124244112,22771124433321,22771124433365,16,39.3691,20.4968,6.43092,0.43312,1.37015,8.74552,1.89209
19,1,0,1e+08,22771124459393,22771124761405,22771125264973,22771125269769,22771125393809,22771125849954,22771126283165,22771126283253,16,18.2386,3.02012,5.03568,0.04796,1.2404,4.56145,4.33211
20,1,0,1e+08,22771126343257,22771126756470,22771127301314,22771127388438,22771127410906,22771127629682,22771127819578,22771127819606,16,14.7635,4.13213,5.44844,0.87124,0.22468,2.18776,1.89896
21,1,0,1e+08,22771127859062,22771129251868,22771129915905,22771129999389,22771130050477,22771131275327,22771131429227,22771131429263,16,35.702,13.9281,6.64037,0.83484,0.51088,12.2485,1.539
22,1,0,1e+08,22771131458499,22771132257901,22771133013498,22771133131174,22771133164738,22771133507486,22771133699630,22771133699654,16,22.4115,7.99402,7.55597,1.17676,0.33564,3.42748,1.92144
23,1,0,1e+08,22771133762794,22771134853040,22771135511690,22771135610090,22771135637506,22771135871630,22771136044594,22771136044622,16,22.8183,10.9025,6.5865,0.984,0.27416,2.34124,1.72964
24,1,0,1e+08,22771136078722,22771137446880,22771138116463,22771138236567,22771138267495,22771138515783,22771138719675,22771138719699,16,26.4098,13.6816,6.69583,1.20104,0.30928,2.48288,2.03892
25,1,0,1e+08,22771138756047,22771140267232,22771140919877,22771141011609,22771141033033,22771141278817,22771141484417,22771141484449,16,27.284,15.1119,6.52645,0.91732,0.21424,2.45784,2.056
26,1,0,1e+08,22771141564917,22771142755817,22771143470282,22771143558554,22771143585082,22771143830322,22771143997174,22771143997198,16,24.3228,11.909,7.14465,0.88272,0.26528,2.4524,1.66852
27,1,0,1e+08,22771144058462,22771145412324,22771146092045,22771146173837,22771146196273,22771146441989,22771146648021,22771146648049,16,25.8959,13.5386,6.79721,0.81792,0.22436,2.45716,2.06032
28,1,0,1e+08,22771146754733,22771147852594,22771148736354,22771148824474,22771148852086,22771149117938,22771149260894,22771149260918,16,25.0618,10.9786,8.8376,0.8812,0.27612,2.65852,1.42956
29,1,0,1e+08,22771149289762,22771150849696,22771151514129,22771151598373,22771151622853,22771151872657,22771152011293,22771152011321,16,27.2156,15.5993,6.64433,0.84244,0.2448,2.49804,1.38636
30,1,0,1e+08,22771152045657,22771153209969,22771154124874,22771154207150,22771154237418,22771154506290,22771154681386,22771154681410,16,26.3575,11.6431,9.14905,0.82276,0.30268,2.68872,1.75096
31,1,0,1e+08,22771154718494,22771156218120,22771156887138,22771156890634,22771156930790,22771157268518,22771157417858,22771157417886,16,26.9939,14.9963,6.69018,0.03496,0.40156,3.37728,1.4934
32,1,0,1e+08,22771157447542,22771158381820,22771159383682,22771159476322,22771159500842,22771159784034,22771159984802,22771159984830,16,25.3729,9.34278,10.0186,0.9264,0.2452,2.83192,2.00768
33,1,0,1e+08,22771160028134,22771161373629,22771162016409,22771162127885,22771162150481,22771162385001,22771162531965,22771162531993,16,25.0386,13.455,6.4278,1.11476,0.22596,2.3452,1.46964
34,1,0,1e+08,22771162562525,22771163965024,22771164616250,22771164689018,22771164714730,22771165000802,22771165169594,22771165169614,16,26.0709,14.025,6.51226,0.72768,0.25712,2.86072,1.68792
35,1,0,1e+08,22771165200870,22771166282966,22771167219858,22771167333198,22771167356294,22771167619214,22771167764870,22771167764902,16,25.6403,10.821,9.36892,1.1334,0.23096,2.6292,1.45656
36,1,0,1e+08,22771167815858,22771168965600,22771169767593,22771169867697,22771169896113,22771170163385,22771170311841,22771170311865,16,24.9601,11.4974,8.01993,1.00104,0.28416,2.67272,1.48456
37,1,0,1e+08,22771170342277,22771171734209,22771172493110,22771172559150,22771172580814,22771172840102,22771172987034,22771172987070,16,26.4479,13.9193,7.58901,0.6604,0.21664,2.59288,1.46932
38,1,0,1e+08,22771173020282,22771174564196,22771175220961,22771175310197,22771175329301,22771175566977,22771175724073,22771175724097,16,27.0382,15.4391,6.56765,0.89236,0.19104,2.37676,1.57096
39,1,0,1e+08,22771175774501,22771177078589,22771177721502,22771177812314,22771177835710,22771178070378,22771178274034,22771178274062,16,24.9956,13.0409,6.42913,0.90812,0.23396,2.34668,2.03656
40,1,0,1e+08,22771178384330,22771179725484,22771180386717,22771180493069,22771180513545,22771180754789,22771180914425,22771180914449,16,25.3012,13.4115,6.61233,1.06352,0.20476,2.41244,1.59636
41,1,0,1e+08,22771180948437,22771182367340,22771183016446,22771183106678,22771183133774,22771183383126,22771183527194,22771183527222,16,25.7879,14.189,6.49106,0.90232,0.27096,2.49352,1.44068
42,1,0,1e+08,22771183555350,22771185020788,22771185695557,22771185770713,22771185795633,22771186046701,22771186195533,22771186195557,16,26.4021,14.6544,6.74769,0.75156,0.2492,2.51068,1.48832
43,1,0,1e+08,22771186230329,22771187623860,22771188295811,22771188396363,22771188418487,22771188666431,22771188839311,22771188839339,16,26.0901,13.9353,6.71951,1.00552,0.22124,2.47944,1.7288
44,1,0,1e+08,22771188870879,22771190146006,22771190897378,22771190986246,22771191009070,22771191263930,22771191409806,22771191409830,16,25.3895,12.7513,7.51372,0.88868,0.22824,2.5486,1.45876
45,1,0,1e+08,22771191449226,22771192965470,22771193617844,22771193704936,22771193726176,22771193966492,22771194111296,22771194111324,16,26.621,15.1624,6.52374,0.87092,0.2124,2.40316,1.44804
46,1,0,1e+08,22771194151248,22771195272164,22771196067759,22771196152399,22771196176831,22771196441691,22771196611139,22771196611167,16,24.5992,11.2092,7.95595,0.8464,0.24432,2.6486,1.69448
47,1,0,1e+08,22771196700787,22771197988690,22771198770833,22771198882429,22771198911453,22771199172449,22771199326773,22771199326805,16,26.2602,12.879,7.82143,1.11596,0.29024,2.60996,1.54324
48,1,0,1e+08,22771199357745,22771200860999,22771201509495,22771201599463,22771201621719,22771201873607,22771202015303,22771202015327,16,26.5758,15.0325,6.48496,0.89968,0.22256,2.51888,1.41696
49,1,0,1e+08,22771202046619,22771202745838,22771203088330,22771203092678,22771203169314,22771203921341,22771204163600,22771204163664,16,21.1704,6.99219,3.42492,0.04348,0.76636,7.52027,2.42259
50,1,0,1e+08,22771204190808,22771205348960,22771205723760,22771205727580,22771205757812,22771206056995,22771206526129,22771206526201,16,23.3539,11.5815,3.748,0.0382,0.30232,2.99183,4.69134
51,1,0,1e+08,22771206559497,22771207013838,22771207572338,22771207707098,22771207734970,22771207965402,22771208141962,22771208141998,16,15.825,4.54341,5.585,1.3476,0.27872,2.30432,1.7656
52,1,0,1e+08,22771208197162,22771208826270,22771209130678,22771209134382,22771209154630,22771210022518,22771210237984,22771210238032,16,20.4087,6.29108,3.04408,0.03704,0.20248,8.67888,2.15466
53,1,0,1e+08,22771210266964,22771211472382,22771211888406,22771211989142,22771212010382,22771212788255,22771212978293,22771212978357,16,27.1139,12.0542,4.16024,1.00736,0.2124,7.77873,1.90038
54,1,0,1e+08,22771213004989,22771213450285,22771213908549,22771213911421,22771213933389,22771214150473,22771214329909,22771214329933,16,13.2494,4.45296,4.58264,0.02872,0.21968,2.17084,1.79436
55,1,0,1e+08,22771214359989,22771224019228,22771224670826,22771224702914,22771224725746,22771224988386,22771225132110,22771225132138,16,107.721,96.5924,6.51598,0.32088,0.22832,2.6264,1.43724
56,1,0,1e+08,22771225161242,22771227514729,22771228149234,22771228258374,22771228277966,22771228534654,22771228660906,22771228660938,16,34.997,23.5349,6.34505,1.0914,0.19592,2.56688,1.26252
57,1,0,1e+08,22771228687618,22771230510801,22771230920165,22771230922785,22771230963949,22771231140057,22771231247297,22771231247321,16,25.597,18.2318,4.09364,0.0262,0.41164,1.76108,1.0724
58,1,0,1e+08,22771231267801,22771233721386,22771234554989,22771234631041,22771234651501,22771234967241,22771235092261,22771235092293,16,38.2449,24.5358,8.33603,0.76052,0.2046,3.1574,1.2502
59,1,0,1e+08,22771235114681,22771237083412,22771238166289,22771238262673,22771238281749,22771238553929,22771238681669,22771238681705,16,35.6702,19.6873,10.8288,0.96384,0.19076,2.7218,1.2774
60,1,0,1e+08,22771238703053,22771238962065,22771239351945,22771239355317,22771239379049,22771239549069,22771239687989,22771239688013,16,9.8496,2.59012,3.8988,0.03372,0.23732,1.7002,1.3892
61,1,0,1e+08,22771239712273,22771241817620,22771242271064,22771242293728,22771242310880,22771242506576,22771242640680,22771242640704,16,29.2843,21.0535,4.53444,0.22664,0.17152,1.95696,1.34104
62,1,0,1e+08,22771242666188,22771242889900,22771243534153,22771243542673,22771243787350,22771244256106,22771244436090,22771244436126,16,17.6994,2.23712,6.44253,0.0852,2.44677,4.68756,1.79984
63,1,0,1e+08,22771244469310,22771245111177,22771245475473,22771245507049,22771245530573,22771245715181,22771245891317,22771245891341,16,14.2203,6.41867,3.64296,0.31576,0.23524,1.84608,1.76136
64,1,0,1e+08,22771245920125,22771247498378,22771247859202,22771247863250,22771247903674,22771248073562,22771248232554,22771248232574,16,23.1245,15.7825,3.60824,0.04048,0.40424,1.69888,1.58992
65,1,0,1e+08,22771248261066,22771248480442,22771248813274,22771248816922,22771248902162,22771249714150,22771249945016,22771249945080,16,16.8401,2.19376,3.32832,0.03648,0.8524,8.11988,2.30866
66,1,0,1e+08,22771250094009,22771250917283,22771251315311,22771251318831,22771251357183,22771252239955,22771252443568,22771252443616,16,23.4961,8.23274,3.98028,0.0352,0.38352,8.82772,2.03613
67,1,0,1e+08,22771252473856,22771253511763,22771253917019,22771253919579,22771253938315,22771254099603,22771254252215,22771254252239,16,17.7838,10.3791,4.05256,0.0256,0.18736,1.61288,1.52612
68,1,0,1e+08,22771254277303,22771255935548,22771257111501,22771257191637,22771257214641,22771257523049,22771257652545,22771257652573,16,33.7527,16.5824,11.7595,0.80136,0.23004,3.08408,1.29496
69,1,0,1e+08,22771257675301,22771257907293,22771258311401,22771258376753,22771258407437,22771259232366,22771259440964,22771259441024,16,17.6572,2.31992,4.04108,0.65352,0.30684,8.24929,2.08598
70,1,0,1e+08,22771259470828,22771259863218,22771260348490,22771260411830,22771260430954,22771260639450,22771260816598,22771260816622,16,13.4579,3.9239,4.85272,0.6334,0.19124,2.08496,1.77148
