frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22775144746322,22775146357160,22775147195293,22775147272117,22775147443161,22775147709021,22775147833457,22775147833493,16,30.8717,16.1084,8.38133,0.76824,1.71044,2.6586,1.24436
1,1,0,1e+08,22775148749656,22775151217324,22775151869189,22775151952941,22775151980109,22775152226849,22775152381289,22775152381321,16,36.3166,24.6767,6.51865,0.83752,0.27168,2.4674,1.5444
2,1,0,1e+08,22775152752841,22775156596902,22775157518770,22775157523414,22775157549722,22775158473862,22775158700660,22775158700724,16,59.4788,38.4406,9.21868,0.04644,0.26308,9.2414,2.26798
3,1,0,1e+08,22775158732692,22775159030304,22775159484860,22775162343949,22775162369755,22775162758441,22775162898077,22775162898117,16,41.6542,2.97612,4.54556,28.5909,0.25806,3.88686,1.39636
4,1,0,1e+08,22775162927953,22775163218657,22775163664521,22775163752649,22775163778889,22775164568272,22775164766270,22775164766334,16,18.3838,2.90704,4.45864,0.88128,0.2624,7.89383,1.97998
5,1,0,1e+08,22775166260300,22775169482636,22775171040598,22775171129306,22775171153882,22775172081900,22775172258898,22775172258962,16,59.9866,32.2234,15.5796,0.88708,0.24576,9.28018,1.76998
6,1,0,1e+08,22775172285166,22775172620926,22775173111938,22775173222966,22775173247630,22775173452182,22775173618210,22775173618246,16,13.3308,3.3576,4.91012,1.11028,0.24664,2.04552,1.66028
7,1,0,1e+08,22775173649122,22775176451024,22775176973036,22775177032072,22775177054824,22775177495764,22775177650952,22775177650996,16,40.0187,28.019,5.22012,0.59036,0.22752,4.4094,1.55188
8,1,0,1e+08,22775177700292,22775177945684,22775178652785,22775178719709,22775178744909,22775179086841,22775179226473,22775179226509,16,15.2622,2.45392,7.07101,0.66924,0.252,3.41932,1.39632
9,1,0,1e+08,22775179256277,22775181211748,22775181681956,22775181684572,22775181708216,22775181912132,22775182043356,22775182043392,16,27.8712,19.5547,4.70208,0.02616,0.23644,2.03916,1.31224
10,1,0,1e+08,22775182067436,22775182292240,22775182848661,22775182995409,22775183019877,22775183332581,22775183495961,22775183495997,16,14.2856,2.24804,5.56421,1.46748,0.24468,3.12704,1.6338
11,1,0,1e+08,22775183533005,22775185778702,22775186248234,22775186253546,22775186319878,22775186622406,22775186774594,22775186774634,16,32.4163,22.457,4.69532,0.05312,0.66332,3.02528,1.52188
12,1,0,1e+08,22775186805534,22775187050830,22775187525842,22775187529210,22775187547118,22775187809722,22775187989258,22775187989290,16,11.8376,2.45296,4.75012,0.03368,0.17908,2.62604,1.79536
13,1,0,1e+08,22775188026750,22775189420373,22775190535050,22775190639236,22775190660348,22775191056037,22775191204973,22775191205013,16,31.7826,13.9362,11.1468,1.04186,0.21112,3.95689,1.48936
14,1,0,1e+08,22775191232205,22775191507073,22775191901065,22775191970017,22775191989381,22775192583943,22775192934846,22775192934938,16,17.0273,2.74868,3.93992,0.68952,0.19364,5.94562,3.50903
15,1,0,1e+08,22775192970088,22775201694298,22775202212884,22775202215252,22775202231032,22775202490280,22775202606788,22775202606872,16,96.3678,87.2421,5.18586,0.02368,0.1578,2.59248,1.16508
16,1,0,1e+08,22775202628804,22775204489820,22775205732018,22775205816742,22775205835246,22775206127298,22775206260402,22775206260438,16,36.3163,18.6102,12.422,0.84724,0.18504,2.92052,1.33104
17,1,0,1e+08,22775206291502,22775208597351,22775209418502,22775209498130,22775209515986,22775209828650,22775209959342,22775209959378,16,36.6788,23.0585,8.21151,0.79628,0.17856,3.12664,1.30692
18,1,0,1e+08,22775209996050,22775211932701,22775212502377,22775212505189,22775212521481,22775212774813,22775212892889,22775212892921,16,28.9687,19.3665,5.69676,0.02812,0.16292,2.53332,1.18076
19,1,0,1e+08,22775212925017,22775215540225,22775216183006,22775216269258,22775216290354,22775216532398,22775216653534,22775216653570,16,37.2855,26.1521,6.42781,0.86252,0.21096,2.42044,1.21136
20,1,0,1e+08,22775216682678,22775216913433,22775218165909,22775218261345,22775218285389,22775218572785,22775218748333,22775218748369,16,20.6569,2.30755,12.5248,0.95436,0.24044,2.87396,1.75548
21,1,0,1e+08,22775218787713,22775220438477,22775221047195,22775221092251,22775221115051,22775221435207,22775221640387,22775221640419,16,28.5271,16.5076,6.08718,0.45056,0.228,3.20156,2.0518
22,1,0,1e+08,22775221682043,22775223170836,22775223843365,22775224014161,22775224034169,22775224299669,22775224476889,22775224476917,16,27.9487,14.8879,6.72529,1.70796,0.20008,2.655,1.7722
23,1,0,1e+08,22775224515625,22775225759585,22775226411066,22775226506562,22775226532294,22775226855150,22775227015054,22775227015082,16,24.9946,12.4396,6.51481,0.95496,0.25732,3.22856,1.59904
24,1,0,1e+08,22775227073670,22775228023656,22775229040441,22775229199577,22775229226621,22775229487101,22775229684329,22775229684357,16,26.1069,9.49986,10.1679,1.59136,0.27044,2.6048,1.97228
25,1,0,1e+08,22775229732765,22775230854115,22775231706482,22775231879670,22775231902954,22775232161750,22775232362726,22775232362758,16,26.2999,11.2135,8.52367,1.73188,0.23284,2.58796,2.00976
26,1,0,1e+08,22775232411830,22775233726822,22775234410621,22775234553841,22775234582785,22775234835549,22775234997737,22775234997769,16,25.8594,13.1499,6.83799,1.4322,0.28944,2.52764,1.62188
27,1,0,1e+08,22775235046869,22775236408112,22775237068974,22775237147114,22775237168114,22775237407866,22775237546802,22775237546830,16,24.9996,13.6124,6.60862,0.7814,0.21,2.39752,1.38936
28,1,0,1e+08,22775237575474,22775238973489,22775239609834,22775239663102,22775239704438,22775239951582,22775240099114,22775240099142,16,25.2367,13.9802,6.36345,0.53268,0.41336,2.47144,1.47532
29,1,0,1e+08,22775240126658,22775240999917,22775242056656,22775242059916,22775242185334,22775242577790,22775242747142,22775242747310,16,26.2065,8.73259,10.5674,0.0326,1.25418,3.92456,1.69352
30,1,0,1e+08,22775242779934,22775243679468,22775244083484,22775244085884,22775244143416,22775245051406,22775245275513,22775245275709,16,24.9578,8.99534,4.04016,0.024,0.57532,9.0799,2.24107
31,1,0,1e+08,22775245301677,22775246399005,22775246780801,22775246834277,22775246856585,22775247096325,22775247219829,22775247219869,16,19.1819,10.9733,3.81796,0.53476,0.22308,2.3974,1.23504
32,1,0,1e+08,22775247244729,22775248559219,22775249188604,22775249197959,22775249286369,22775250002742,22775250169774,22775250169890,16,29.2516,13.1449,6.29385,0.09355,0.8841,7.16373,1.67032
33,1,0,1e+08,22775250194666,22775250484094,22775250899722,22775250902246,22775250943146,22775251140274,22775251299842,22775251299870,16,11.052,2.89428,4.15628,0.02524,0.409,1.97128,1.59568
34,1,0,1e+08,22775251330510,22775253550566,22775254751546,22775254857174,22775254878347,22775255226843,22775255357807,22775255357843,16,40.2733,22.2006,12.0098,1.05628,0.21173,3.48496,1.30964
35,1,0,1e+08,22775255384771,22775255622815,22775255997215,22775255999923,22775256016063,22775256202867,22775256367047,22775256367067,16,9.82296,2.38044,3.744,0.02708,0.1614,1.86804,1.6418
36,1,0,1e+08,22775256472099,22775258890889,22775259768602,22775259772102,22775259810690,22775260141254,22775260276942,22775260276974,16,38.0487,24.1879,8.77713,0.035,0.38588,3.30564,1.35688
37,1,0,1e+08,22775260302114,22775260526886,22775260870238,22775260873114,22775260894698,22775261060906,22775261282194,22775261282282,16,9.80168,2.24772,3.43352,0.02876,0.21584,1.66208,2.21288
38,1,0,1e+08,22775261328818,22775261967750,22775262273346,22775262276014,22775262294314,22775262501882,22775262638842,22775262638866,16,13.1005,6.38932,3.05596,0.02668,0.183,2.07568,1.3696
39,1,0,1e+08,22775262671474,22775264262704,22775264579988,22775264584284,22775264659324,22775265539096,22775265722068,22775265722128,16,30.5065,15.9123,3.17284,0.04296,0.7504,8.79772,1.82972
40,1,0,1e+08,22775265747288,22775266067690,22775266550118,22775266552850,22775266636870,22775266867154,22775267031154,22775267031182,16,12.8389,3.20402,4.82428,0.02732,0.8402,2.30284,1.64
41,1,0,1e+08,22775267066134,22775268283662,22775269115308,22775269224380,22775269246312,22775269526640,22775269763200,22775269763300,16,26.9717,12.1753,8.31646,1.09072,0.21932,2.80328,2.3656
42,1,0,1e+08,22775269802296,22775270913627,22775271725274,22775271864490,22775271887118,22775272138450,22775272285726,22775272285758,16,24.8346,11.1133,8.11647,1.39216,0.22628,2.51332,1.47276
43,1,0,1e+08,22775272319970,22775273851688,22775274524990,22775274631798,22775274651154,22775274924862,22775275063526,22775275063558,16,27.4359,15.3172,6.73302,1.06808,0.19356,2.73708,1.38664
44,1,0,1e+08,22775275093442,22775275726054,22775276035250,22775276038158,22775276093058,22775276283570,22775276465834,22775276465934,16,13.7249,6.32612,3.09196,0.02908,0.549,1.90512,1.82264
45,1,0,1e+08,22775276493930,22775278542731,22775279378681,22775279463293,22775279481165,22775279818245,22775279943733,22775279943769,16,34.4984,20.488,8.3595,0.84612,0.17872,3.3708,1.25488
46,1,0,1e+08,22775279969745,22775280201469,22775280547785,22775280550641,22775280573745,22775280733685,22775280883993,22775280884061,16,9.14316,2.31724,3.46316,0.02856,0.23104,1.5994,1.50308
