frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22759057987775,22759059437795,22759060086698,22759060089510,22759060270866,22759061693959,22759061844197,22759061844233,16,38.5646,14.5002,6.48903,0.02812,1.81356,14.2309,1.50238
1,1,0,1e+08,22759061870121,22759062138145,22759063460546,22759064900093,22759064931057,22759065250653,22759065478073,22759065478117,16,36.08,2.68024,13.224,14.3955,0.30964,3.19596,2.2742
2,1,0,1e+08,22759065524717,22759066631574,22759067872993,22759067876549,22759067995173,22759068318141,22759068487249,22759068487289,16,29.6257,11.0686,12.4142,0.03556,1.18624,3.22968,1.69108
3,1,0,1e+08,22759068515949,22759068781145,22759069299245,22759069835649,22759069865005,22759070987895,22759071165200,22759071165252,16,26.493,2.65196,5.181,5.36404,0.29356,11.2289,1.77305
4,1,0,1e+08,22759071201624,22759071496444,22759071937768,22759071940724,22759071964900,22759073394425,22759073609157,22759073609197,16,24.0757,2.9482,4.41324,0.02956,0.24176,14.2953,2.14732
5,1,0,1e+08,22759073639709,22759078587440,22759079532643,22759079627087,22759079648235,22759079918831,22759080092571,22759080092607,16,64.529,49.4773,9.45203,0.94444,0.21148,2.70596,1.7374
6,1,0,1e+08,22759080126115,22759082033550,22759082836066,22759082916562,22759082936126,22759083204870,22759083362718,22759083362754,16,32.3664,19.0743,8.02516,0.80496,0.19564,2.68744,1.57848
7,1,0,1e+08,22759083391798,22759083645022,22759084137650,22759084141138,22759084237950,22759085020134,22759085299668,22759085299872,16,19.0807,2.53224,4.92628,0.03488,0.96812,7.82184,2.79534
8,1,0,1e+08,22759085327360,22759086658952,22759087344079,22759087349743,22759087485488,22759087830528,22759087980516,22759087980552,16,26.5319,13.3159,6.85127,0.05664,1.35745,3.4504,1.49988
9,1,0,1e+08,22759088007184,22759088255140,22759088781216,22759088785848,22759088849724,22759089770164,22759089982385,22759089982445,16,19.7526,2.47956,5.26076,0.04632,0.63876,9.2044,2.12221
10,1,0,1e+08,22759090019373,22759090480261,22759090912153,22759090966441,22759090986937,22759091586085,22759091922208,22759091922272,16,19.029,4.60888,4.31892,0.54288,0.20496,5.99148,3.36123
11,1,0,1e+08,22759091951468,22759093150760,22759093620140,22759093624244,22759093664963,22759094738755,22759094932251,22759094932299,16,29.8083,11.9929,4.6938,0.04104,0.40719,10.7379,1.93496
12,1,0,1e+08,22759094959851,22759095268059,22759095719923,22759095723423,22759095820615,22759096034095,22759096214759,22759096214803,16,12.5495,3.08208,4.51864,0.035,0.97192,2.1348,1.80664
13,1,0,1e+08,22759096246659,22759096953118,22759098278938,22759098428746,22759098456118,22759098806030,22759099030846,22759099031006,16,27.8435,7.06459,13.2582,1.49808,0.27372,3.49912,2.24816
14,1,0,1e+08,22759099058102,22759099318582,22759100359911,22759100364787,22759100406555,22759100849961,22759101019125,22759101019169,16,19.6107,2.6048,10.4133,0.04876,0.41768,4.43406,1.69164
15,1,0,1e+08,22759101053161,22759101934144,22759103109958,22759103234166,22759103258826,22759103592602,22759103785770,22759103785866,16,27.327,8.80983,11.7581,1.24208,0.2466,3.33776,1.93168
16,1,0,1e+08,22759103837314,22759104951648,22759105920569,22759106029545,22759106054753,22759106335413,22759106521617,22759106521649,16,26.8433,11.1433,9.68921,1.08976,0.25208,2.8066,1.86204
17,1,0,1e+08,22759106592169,22759114729030,22759115783333,22759115786885,22759115821225,22759116152821,22759116284965,22759116285001,16,96.9283,81.3686,10.543,0.03552,0.3434,3.31596,1.32144
18,1,0,1e+08,22759116307949,22759118862366,22759119512570,22759119659806,22759119677602,22759119905690,22759120031646,22759120031678,16,37.2373,25.5442,6.50204,1.47236,0.17796,2.28088,1.25956
19,1,0,1e+08,22759120055806,22759122164089,22759123198010,22759123293190,22759123312582,22759123581078,22759123731618,22759123731778,16,36.7597,21.0828,10.3392,0.9518,0.19392,2.68496,1.5054
20,1,0,1e+08,22759123763998,22759126310197,22759127039142,22759127042698,22759127100634,22759127366930,22759127496030,22759127496066,16,37.3207,25.462,7.28945,0.03556,0.57936,2.66296,1.291
21,1,0,1e+08,22759127529294,22759129315115,22759129760691,22759129764027,22759129784023,22759130018335,22759130142267,22759130142299,16,26.13,17.8582,4.45576,0.03336,0.19996,2.34312,1.23932
22,1,0,1e+08,22759130165611,22759130853526,22759131677806,22759131713110,22759131732546,22759132004142,22759132211910,22759132212034,16,20.4642,6.87915,8.2428,0.35304,0.19436,2.71596,2.07768
23,1,0,1e+08,22759132314518,22759133267412,22759133873432,22759133877464,22759133970496,22759134331976,22759134464416,22759134464448,16,21.4993,9.52894,6.0602,0.04032,0.93032,3.6148,1.3244
24,1,0,1e+08,22759134491880,22759136291453,22759136962906,22759137051850,22759137075034,22759137335622,22759137502686,22759137502726,16,30.1085,17.9957,6.71453,0.88944,0.23184,2.60588,1.67064
25,1,0,1e+08,22759137557582,22759138853028,22759139513081,22759139621013,22759139645257,22759139897869,22759140109885,22759140109913,16,25.5233,12.9545,6.60053,1.07932,0.24244,2.52612,2.12016
26,1,0,1e+08,22759140157605,22759141392014,22759142048163,22759142156155,22759142184063,22759142435179,22759142596463,22759142596491,16,24.3889,12.3441,6.56149,1.07992,0.27908,2.51116,1.61284
27,1,0,1e+08,22759142629927,22759143839082,22759144671213,22759144747881,22759144770857,22759145039381,22759145209209,22759145209241,16,25.7931,12.0915,8.32131,0.76668,0.22976,2.68524,1.69828
28,1,0,1e+08,22759145251293,22759146629029,22759147352084,22759147455280,22759147478760,22759147727540,22759147894168,22759147894200,16,26.4291,13.7774,7.23055,1.03196,0.2348,2.4878,1.66628
29,1,0,1e+08,22759147930356,22759149291952,22759149972933,22759150083309,22759150106497,22759150357637,22759150632185,22759150632305,16,27.0195,13.616,6.80981,1.10376,0.23188,2.5114,2.74548
30,1,0,1e+08,22759150665065,22759151962581,22759152709794,22759152823726,22759152845810,22759153097034,22759153261602,22759153261718,16,25.9665,12.9752,7.47213,1.13932,0.22084,2.51224,1.64568
31,1,0,1e+08,22759153293486,22759154720954,22759155394069,22759155398193,22759155483853,22759155734009,22759155899389,22759155899505,16,26.0602,14.2747,6.73115,0.04124,0.8566,2.50156,1.6538
32,1,0,1e+08,22759155935069,22759156896154,22759157833088,22759157931584,22759157958756,22759158224424,22759158390000,22759158390032,16,24.5496,9.61085,9.36934,0.98496,0.27172,2.65668,1.65576
33,1,0,1e+08,22759158427280,22759159894527,22759160544661,22759160632149,22759160653293,22759160890025,22759161048441,22759161048469,16,26.2119,14.6725,6.50134,0.87488,0.21144,2.36732,1.58416
34,1,0,1e+08,22759161083981,22759162577119,22759163226022,22759163306466,22759163326690,22759163569954,22759163740046,22759163740074,16,26.5609,14.9314,6.48903,0.80444,0.20224,2.43264,1.70092
35,1,0,1e+08,22759163832106,22759165055564,22759165813049,22759165901985,22759165923441,22759166182069,22759166334681,22759166334709,16,25.026,12.2346,7.57485,0.88936,0.21456,2.58628,1.52612
36,1,0,1e+08,22759166376573,22759167618051,22759168388359,22759168484215,22759168505283,22759168830987,22759168993511,22759168993539,16,26.1697,12.4148,7.70308,0.95856,0.21068,3.25704,1.62524
37,1,0,1e+08,22759169029395,22759170487190,22759171131742,22759171222946,22759171244194,22759171481798,22759171641950,22759171642038,16,26.1264,14.5779,6.44552,0.91204,0.21248,2.37604,1.60152
38,1,0,1e+08,22759171674498,22759173030130,22759173713087,22759173718219,22759173764595,22759174040123,22759174247375,22759174247403,16,25.7291,13.5563,6.82957,0.05132,0.46376,2.75528,2.07252
39,1,0,1e+08,22759174429487,22759175766119,22759176426642,22759176542042,22759176564194,22759176803146,22759176964526,22759176964558,16,25.3507,13.3663,6.60523,1.154,0.22152,2.38952,1.6138
40,1,0,1e+08,22759177009294,22759178373260,22759179029754,22759179121258,22759179143434,22759179379990,22759179528270,22759179528298,16,25.19,13.6397,6.56494,0.91504,0.22176,2.36556,1.4828
