frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,1443954771102,1443956439043,1443956439791,1443956439843,1443956439899,1443956439951,1443957107523,1443957107567,16,23.3647,16.6794,0.00748,0.00052,0.00056,0.00052,6.67572
1,1,0,1e+08,1443966684213,1443967199486,1443967199706,1443967271350,1443967271382,1443967271414,1443968184040,1443968184688,16,15.0048,5.15273,0.0022,0.71644,0.00032,0.00032,9.12626
2,1,0,1e+08,1443976192568,1443978046698,1443978047762,1443978169195,1443978169247,1443978169299,1443978651367,1443978651403,16,24.5883,18.5413,0.01064,1.21433,0.00052,0.00052,4.82068
3,1,0,1e+08,1443986213580,1443987388458,1443987389586,1443987476962,1443987476994,1443987477022,1443988390970,1443988391070,16,21.7749,11.7488,0.01128,0.87376,0.00032,0.00028,9.13948
4,1,0,1e+08,1443996692888,1443997288676,1443997288796,1443997354520,1443997354604,1443997354632,1443998259825,1443998259901,16,15.6701,5.95788,0.0012,0.65724,0.00084,0.00028,9.05193
5,1,0,1e+08,1444007204949,1444008128490,1444008128634,1444008203018,1444008203058,1444008203094,1444008581542,1444008582126,16,13.7718,9.23541,0.00144,0.74384,0.0004,0.00036,3.78448
6,1,0,1e+08,1444017863781,1444019311923,1444019312135,1444019414815,1444019414871,1444019414923,1444019890259,1444019890295,16,20.2651,14.4814,0.00212,1.0268,0.00056,0.00052,4.75336
7,1,0,1e+08,1444028719032,1444029872673,1444029872981,1444030021637,1444030021713,1444030021789,1444030637363,1444030637975,16,19.1894,11.5364,0.00308,1.48656,0.00076,0.00076,6.15574
8,1,0,1e+08,1444038669258,1444038998166,1444038998290,1444039067690,1444039067738,1444039067778,1444039432482,1444039432514,16,7.63256,3.28908,0.00124,0.694,0.00048,0.0004,3.64704
9,1,0,1e+08,1444047094064,1444047497084,1444047497289,1444047799751,1444047799906,1444047800051,1444048560876,1444048561624,16,14.6756,4.0302,0.00205,3.02462,0.00155,0.00145,7.60825
10,1,0,1e+08,1444056182680,1444056494052,1444056494242,1444056600305,1444056600329,1444056600381,1444056988217,1444056988245,16,8.05565,3.11372,0.0019,1.06063,0.00024,0.00052,3.87836
11,1,0,1e+08,1444064065692,1444064492764,1444064492808,1444064564644,1444064564680,1444064564712,1444064956084,1444064956128,16,8.90436,4.27072,0.00044,0.71836,0.00036,0.00032,3.91372
12,1,0,1e+08,1444072473784,1444072854812,1444072854868,1444072932480,1444072932560,1444072932596,1444073345212,1444073345252,16,8.71468,3.81028,0.00056,0.77612,0.0008,0.00036,4.12616
13,1,0,1e+08,1444081929494,1444082250158,1444082250190,1444082320890,1444082320966,1444082320990,1444082701330,1444082701902,16,7.72408,3.20664,0.00032,0.707,0.00076,0.00024,3.8034
14,1,0,1e+08,1444091572844,1444092599687,1444092599759,1444092724227,1444092724283,1444092724339,1444093192971,1444093193007,16,16.2016,10.2684,0.00072,1.24468,0.00056,0.00056,4.68632
15,1,0,1e+08,1444102210828,1444102601551,1444102601607,1444102680615,1444102680643,1444102680699,1444103046231,1444103046895,16,8.36067,3.90723,0.00056,0.79008,0.00028,0.00056,3.65532
16,1,0,1e+08,1444110718160,1444111073667,1444111073731,1444111162663,1444111162687,1444111162743,1444111542151,1444111542179,16,8.24019,3.55507,0.00064,0.88932,0.00024,0.00056,3.79408
17,1,0,1e+08,1444119072852,1444119817397,1444119817501,1444119963462,1444119963518,1444119963570,1444120498371,1444120498423,16,14.2557,7.44545,0.00104,1.45961,0.00056,0.00052,5.34801
18,1,0,1e+08,1444132681827,1444133068287,1444133068327,1444133148363,1444133148391,1444133148491,1444134117776,1444134117906,16,14.3608,3.8646,0.0004,0.80036,0.00028,0.001,9.69285
19,1,0,1e+08,1444146824764,1444147355752,1444147355796,1444147438112,1444147438144,1444147438264,1444147896494,1444147897094,16,10.7233,5.30988,0.00044,0.82316,0.00032,0.0012,4.5823
20,1,0,1e+08,1444159735614,1444160212996,1444160213186,1444160308845,1444160308893,1444160308925,1444161315603,1444161315655,16,15.8004,4.77382,0.0019,0.95659,0.00048,0.00032,10.0668
21,1,0,1e+08,1444168894648,1444169372463,1444169372668,1444169640488,1444169640638,1444169640788,1444170373250,1444170373870,16,14.7922,4.77815,0.00205,2.6782,0.0015,0.0015,7.32462
22,1,0,1e+08,1444177787366,1444178167983,1444178168043,1444178262815,1444178262835,1444178262859,1444178667703,1444178667727,16,8.80361,3.80617,0.0006,0.94772,0.0002,0.00024,4.04844
23,1,0,1e+08,1444191423543,1444191988095,1444191988231,1444192070455,1444192070507,1444192070535,1444192427731,1444192428327,16,10.0478,5.64552,0.00136,0.82224,0.00052,0.00028,3.57196
24,1,0,1e+08,1444199880024,1444200245048,1444200245112,1444200339540,1444200339588,1444200339636,1444200722841,1444200722869,16,8.42845,3.65024,0.00064,0.94428,0.00048,0.00048,3.83205
25,1,0,1e+08,1444209555151,1444210041521,1444210041561,1444210116233,1444210116265,1444210116301,1444210503073,1444210503665,16,9.48514,4.8637,0.0004,0.74672,0.00032,0.00036,3.86772
26,1,0,1e+08,1444217859619,1444218674307,1444218674411,1444218853598,1444218853674,1444218853750,1444219440263,1444219440299,16,15.8068,8.14688,0.00104,1.79187,0.00076,0.00076,5.86513
27,1,0,1e+08,1444227033339,1444227456643,1444227457579,1444227534155,1444227534239,1444227534267,1444227913843,1444227913991,16,8.80652,4.23304,0.00936,0.76576,0.00084,0.00028,3.79576
28,1,0,1e+08,1444236644488,1444237061554,1444237061610,1444237146406,1444237146458,1444237146514,1444238311961,1444238312013,16,16.6752,4.17066,0.00056,0.84796,0.00052,0.00056,11.6545
29,1,0,1e+08,1444245792320,1444246211566,1444246211634,1444246304830,1444246304870,1444246304906,1444246763200,1444246763808,16,9.71488,4.19246,0.00068,0.93196,0.0004,0.00036,4.58294
30,1,0,1e+08,1444254715232,1444255433086,1444255433291,1444255651388,1444255651464,1444255651536,1444256251714,1444256251750,16,15.3652,7.17854,0.00205,2.18097,0.00076,0.00072,6.00178
31,1,0,1e+08,1444266010292,1444266355519,1444266355547,1444266555346,1444266555382,1444266555414,1444267006845,1444267007437,16,9.97145,3.45227,0.00028,1.99799,0.00036,0.00032,4.51431
32,1,0,1e+08,1444274323236,1444275163748,1444275164392,1444275310441,1444275310517,1444275310589,1444275866506,1444275866546,16,15.4331,8.40512,0.00644,1.46049,0.00076,0.00072,5.55917
33,1,0,1e+08,1444283907595,1444284214724,1444284214756,1444284287752,1444284287804,1444284287844,1444284659712,1444284659748,16,7.52153,3.07129,0.00032,0.72996,0.00052,0.0004,3.71868
34,1,0,1e+08,1444291732902,1444292198665,1444292198875,1444292526086,1444292526236,1444292526386,1444293184591,1444293184631,16,14.5173,4.65763,0.0021,3.27211,0.0015,0.0015,6.58205
35,1,0,1e+08,1444301095208,1444302025524,1444302026164,1444302138049,1444302138101,1444302138157,1444302685914,1444302685962,16,15.9075,9.30316,0.0064,1.11885,0.00052,0.00056,5.47757
36,1,0,1e+08,1444309936912,1444310716528,1444310716733,1444310878151,1444310878227,1444310878303,1444311461716,1444311461756,16,15.2484,7.79616,0.00205,1.61418,0.00076,0.00076,5.83413
37,1,0,1e+08,1444318817176,1444319593899,1444319594109,1444319784720,1444319784796,1444319784868,1444320367184,1444320367240,16,15.5006,7.76723,0.0021,1.90611,0.00076,0.00072,5.82316
38,1,0,1e+08,1444328005404,1444328342484,1444328342604,1444328428660,1444328428708,1444328428752,1444328804176,1444328804200,16,7.98796,3.3708,0.0012,0.86056,0.00048,0.00044,3.75424
39,1,0,1e+08,1444336605900,1444337031473,1444337031509,1444337104145,1444337104185,1444337104221,1444337512873,1444337512941,16,9.07041,4.25573,0.00036,0.72636,0.0004,0.00036,4.08652
40,1,0,1e+08,1444344600772,1444344876384,1444344876424,1444344948344,1444344948376,1444344948408,1444345301744,1444345301772,16,7.01,2.75612,0.0004,0.7192,0.00032,0.00032,3.53336
41,1,0,1e+08,1444352449154,1444353348698,1444353349590,1444353464698,1444353464750,1444353464806,1444353998594,1444353998642,16,15.4949,8.99544,0.00892,1.15108,0.00052,0.00056,5.33788
42,1,0,1e+08,1444361153140,1444361742154,1444361742359,1444362000371,1444362000447,1444362000523,1444362610739,1444362610783,16,14.5764,5.89014,0.00205,2.58012,0.00076,0.00076,6.10216
43,1,0,1e+08,1444371145620,1444371491336,1444371491380,1444371566668,1444371566700,1444371566732,1444371941568,1444371941608,16,7.95988,3.45716,0.00044,0.75288,0.00032,0.00032,3.74836
44,1,0,1e+08,1444379538637,1444380454878,1444380455610,1444380583823,1444380583875,1444380583931,1444381146180,1444381146216,16,16.0758,9.16241,0.00732,1.28213,0.00052,0.00056,5.62249
45,1,0,1e+08,1444388334940,1444388723883,1444388724073,1444388814996,1444388815020,1444388815060,1444389188876,1444389188912,16,8.53972,3.88943,0.0019,0.90923,0.00024,0.0004,3.73816
46,1,0,1e+08,1444396352515,1444396728283,1444396728327,1444396808411,1444396808447,1444396808483,1444397202967,1444397202995,16,8.5048,3.75768,0.00044,0.80084,0.00036,0.00036,3.94484
47,1,0,1e+08,1444404425060,1444405297307,1444405297979,1444405452880,1444405452936,1444405452988,1444406014417,1444406014469,16,15.8941,8.72247,0.00672,1.54901,0.00056,0.00052,5.61429
48,1,0,1e+08,1444413332460,1444413591734,1444413591919,1444413730641,1444413730705,1444413730753,1444414598914,1444414598950,16,12.6649,2.59274,0.00185,1.38722,0.00064,0.00048,8.68161
49,1,0,1e+08,1444421710552,1444421992040,1444421992088,1444422073696,1444422073716,1444422073752,1444422396360,1444422396392,16,6.8584,2.81488,0.00048,0.81608,0.0002,0.00036,3.22608
