frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22957239144386,22957240471946,22957241577314,22957241875510,22957241897726,22957242151570,22957242336154,22957242336182,16,31.918,13.2756,11.0537,2.98196,0.22216,2.53844,1.84584
1,1,0,1e+08,22957243301187,22957244243357,22957244992315,22957245304933,22957245359319,22957245975749,22957246169241,22957246169293,16,28.6811,9.4217,7.48958,3.12618,0.54386,6.1643,1.93492
2,1,0,1e+08,22957246200897,22957246619469,22957247023649,22957247140753,22957247162141,22957247410557,22957247595521,22957247595621,16,13.9472,4.18572,4.0418,1.17104,0.21388,2.48416,1.84964
3,1,0,1e+08,22957248088766,22957249454719,22957250165513,22957250241201,22957250306221,22957250993435,22957251270175,22957251270339,16,31.8157,13.6595,7.10794,0.75688,0.6502,6.87214,2.7674
4,1,0,1e+08,22957251361299,22957252168365,22957252568489,22957252640033,22957252670197,22957252872137,22957253054637,22957253054669,16,16.9337,8.07066,4.00124,0.71544,0.30164,2.0194,1.825
5,1,0,1e+08,22957253376345,22957257979562,22957258631319,22957258745399,22957258764451,22957258995303,22957259127071,22957259127103,16,57.5076,46.0322,6.51757,1.1408,0.19052,2.30852,1.31768
6,1,0,1e+08,22957259155923,22957259390327,22957259795287,22957259893603,22957259962915,22957260241535,22957260390239,22957260390275,16,12.3435,2.34404,4.0496,0.98316,0.69312,2.7862,1.48704
7,1,0,1e+08,22957260426683,22957261019420,22957261881016,22957261988188,22957262008736,22957262275936,22957262444416,22957262444444,16,20.1776,5.92737,8.61596,1.07172,0.20548,2.672,1.6848
8,1,0,1e+08,22957262495732,22957262729428,22957263624268,22957263731805,22957263849292,22957264292454,22957264472374,22957264472486,16,19.7675,2.33696,8.9484,1.07537,1.17487,4.43162,1.7992
9,1,0,1e+08,22957264503642,22957264758746,22957265149498,22957265299646,22957265318202,22957265488090,22957265637934,22957265637958,16,11.3432,2.55104,3.90752,1.50148,0.18556,1.69888,1.49844
10,1,0,1e+08,22957265671818,22957267132706,22957267466386,22957267549918,22957267579186,22957268088518,22957268524177,22957268524397,16,28.5258,14.6089,3.3368,0.83532,0.29268,5.09332,4.35659
11,1,0,1e+08,22957268631792,22957268997634,22957269494294,22957269568366,22957269606214,22957269859978,22957270025582,22957270025610,16,13.9382,3.65842,4.9666,0.74072,0.37848,2.53764,1.65604
12,1,0,1e+08,22957270060138,22957272136653,22957273276438,22957273357214,22957273396566,22957273775606,22957273951078,22957273951202,16,38.9106,20.7651,11.3979,0.80776,0.39352,3.7904,1.75472
13,1,0,1e+08,22957273985522,22957274246230,22957274603902,22957274682618,22957274710942,22957275565866,22957275811241,22957275811397,16,18.2587,2.60708,3.57672,0.78716,0.28324,8.54924,2.45375
14,1,0,1e+08,22957275842973,22957276183889,22957276691865,22957276805529,22957276824993,22957277039237,22957277189509,22957277189537,16,13.4656,3.40916,5.07976,1.13664,0.19464,2.14244,1.50272
15,1,0,1e+08,22957277217761,22957278372138,22957278693562,22957278810462,22957278827454,22957278991970,22957279122858,22957279122882,16,19.0512,11.5438,3.21424,1.169,0.16992,1.64516,1.30888
