frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22964599399519,22964600862557,22964602415154,22964602600768,22964602679304,22964603009476,22964603176460,22964603176492,16,37.7697,14.6304,15.526,1.85614,0.78536,3.30172,1.66984
1,1,0,1e+08,22964604479199,22964605274695,22964605794215,22964605921983,22964605947383,22964606214915,22964606405991,22964606406035,16,19.2684,7.95496,5.1952,1.27768,0.254,2.67532,1.91076
2,1,0,1e+08,22964608380194,22964609906239,22964610688476,22964610796168,22964610812584,22964611070592,22964611221176,22964611221212,16,28.4102,15.2605,7.82237,1.07692,0.16416,2.58008,1.50584
3,1,0,1e+08,22964611572396,22964612754069,22964613265901,22964613358745,22964613406457,22964614110112,22964614481106,22964614481310,16,29.0891,11.8167,5.11832,0.92844,0.47712,7.03655,3.70994
4,1,0,1e+08,22964615511947,22964615768367,22964616282855,22964616368839,22964616406271,22964616843952,22964617051741,22964617051781,16,15.3983,2.5642,5.14488,0.85984,0.37432,4.37681,2.07789
5,1,0,1e+08,22964618702444,22964619077625,22964619590192,22964619672736,22964619697752,22964619925552,22964620158125,22964620158189,16,14.5574,3.75181,5.12567,0.82544,0.25016,2.278,2.32573
6,1,0,1e+08,22964620656534,22964627018674,22964627695538,22964627827370,22964627850478,22964628088386,22964628252010,22964628252046,16,75.9551,63.6214,6.76864,1.31832,0.23108,2.37908,1.63624
7,1,0,1e+08,22964628291678,22964628555786,22964629106591,22964629198655,22964629216631,22964629540223,22964629696663,22964629696699,16,14.0502,2.64108,5.50805,0.92064,0.17976,3.23592,1.5644
8,1,0,1e+08,22964629734503,22964629977755,22964630507131,22964630578495,22964630619995,22964631350833,22964631629706,22964631629970,16,18.9547,2.43252,5.29376,0.71364,0.415,7.30838,2.78873
9,1,0,1e+08,22964631682707,22964632413928,22964632834760,22964632916260,22964632949512,22964633233773,22964633548429,22964633548521,16,18.6581,7.31221,4.20832,0.815,0.33252,2.84261,3.14656
10,1,0,1e+08,22964633586485,22964635773469,22964636460546,22964636579290,22964636601122,22964636867378,22964637009946,22964637009978,16,34.2349,21.8698,6.87077,1.18744,0.21832,2.66256,1.42568
11,1,0,1e+08,22964637066154,22964637285734,22964637724886,22964637802774,22964637834606,22964638158306,22964638358758,22964638358818,16,12.9266,2.1958,4.39152,0.77888,0.31832,3.237,2.00452
12,1,0,1e+08,22964638418247,22964640428393,22964640832545,22964640948669,22964640968377,22964641851994,22964642094819,22964642095011,16,36.7676,20.1015,4.04152,1.16124,0.19708,8.83617,2.42825
13,1,0,1e+08,22964642130079,22964642466027,22964642920223,22964643008659,22964643035083,22964643240939,22964643422587,22964643422619,16,12.9254,3.35948,4.54196,0.88436,0.26424,2.05856,1.81648
14,1,0,1e+08,22964643477839,22964645691325,22964646229193,22964646312389,22964646334253,22964647156100,22964647479116,22964647479176,16,40.0134,22.1349,5.37868,0.83196,0.21864,8.21847,3.23016
15,1,0,1e+08,22964647515352,22964647877066,22964648396058,22964648518994,22964648554682,22964648765994,22964648932362,22964648932450,16,14.171,3.61714,5.18992,1.22936,0.35688,2.11312,1.66368
16,1,0,1e+08,22964648986006,22964649277666,22964650451097,22964650577309,22964650597877,22964650880969,22964651066185,22964651066217,16,20.8021,2.9166,11.7343,1.26212,0.20568,2.83092,1.85216
17,1,0,1e+08,22964651144429,22964652444696,22964653096171,22964653221547,22964653249999,22964653529207,22964653693767,22964653693795,16,25.4937,13.0027,6.51475,1.25376,0.28452,2.79208,1.6456
18,1,0,1e+08,22964653757839,22964654906114,22964655697728,22964655766276,22964655857540,22964656117272,22964656258796,22964656258824,16,25.0099,11.4827,7.91614,0.68548,0.91264,2.59732,1.41524
19,1,0,1e+08,22964656296400,22964656495172,22964657684714,22964657823899,22964657852163,22964658169551,22964658405455,22964658405491,16,21.0909,1.98772,11.8954,1.39185,0.28264,3.17388,2.35904
20,1,0,1e+08,22964658738139,22964658946043,22964659961018,22964660044470,22964660086034,22964660514438,22964660684734,22964660684774,16,19.4664,2.07904,10.1498,0.83452,0.41564,4.28404,1.70296
21,1,0,1e+08,22964661738038,22964661966450,22964663109426,22964663185376,22964663227988,22964663673334,22964663856006,22964663856046,16,21.1801,2.28412,11.4298,0.7595,0.42612,4.45346,1.82672
