frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22968383008990,22968384208489,22968385100465,22968385333233,22968385388801,22968385388929,22968385589081,22968385589113,16,25.8012,11.995,8.91976,2.32768,0.55568,0.00128,2.00152
1,1,0,1e+08,22968386623826,22968387641164,22968388250469,22968388361837,22968388402605,22968388402701,22968388582333,22968388582361,16,19.5854,10.1734,6.09305,1.11368,0.40768,0.00096,1.79632
2,1,0,1e+08,22968389218224,22968392927285,22968393813351,22968393952931,22968393975607,22968393975651,22968394143495,22968394143531,16,49.2531,37.0906,8.86066,1.3958,0.22676,0.00044,1.67844
3,1,0,1e+08,22968394168599,22968394403599,22968394832359,22968394919991,22968394959771,22968394959875,22968395337303,22968395337488,16,11.6889,2.35,4.2876,0.87632,0.3978,0.00104,3.77428
4,1,0,1e+08,22968397539545,22968399496891,22968400032790,22968400918879,22968400945915,22968400946003,22968401769911,22968401770003,16,42.3046,19.5735,5.35899,8.86089,0.27036,0.00088,8.23908
5,1,0,1e+08,22968401794246,22968402229516,22968402773872,22968402883124,22968402903676,22968402903712,22968403064348,22968403064384,16,12.7014,4.3527,5.44356,1.09252,0.20552,0.00036,1.60636
6,1,0,1e+08,22968403090304,22968403354352,22968404171676,22968405121508,22968405140336,22968405140372,22968405285564,22968405285604,16,21.953,2.64048,8.17324,9.49832,0.18828,0.00036,1.45192
7,1,0,1e+08,22968405306388,22968405563328,22968406049228,22968406127380,22968406164236,22968406164340,22968406298124,22968406298156,16,9.91768,2.5694,4.859,0.78152,0.36856,0.00104,1.33784
8,1,0,1e+08,22968406318704,22968409419805,22968410071189,22968410149205,22968410181801,22968410181905,22968410320057,22968410320097,16,40.0139,31.011,6.51384,0.78016,0.32596,0.00104,1.38152
9,1,0,1e+08,22968410339869,22968410577345,22968410990717,22968411068365,22968411091437,22968411091473,22968411252073,22968411252113,16,9.12244,2.37476,4.13372,0.77648,0.23072,0.00036,1.606
10,1,0,1e+08,22968411271077,22968413853385,22968414862885,22968414996785,22968415020953,22968415021001,22968415201493,22968415201533,16,39.3046,25.8231,10.095,1.339,0.24168,0.00048,1.80492
11,1,0,1e+08,22968415224665,22968415478233,22968415915133,22968416036077,22968416058213,22968416058253,22968416229125,22968416229165,16,10.045,2.53568,4.369,1.20944,0.22136,0.0004,1.70872
12,1,0,1e+08,22968416251397,22968417924214,22968418883157,22968418999665,22968419019661,22968419019701,22968419171873,22968419171913,16,29.2052,16.7282,9.58943,1.16508,0.19996,0.0004,1.52172
13,1,0,1e+08,22968419192677,22968419431073,22968419817965,22968419897845,22968419935489,22968419935577,22968420278681,22968420278866,16,10.8619,2.38396,3.86892,0.7988,0.37644,0.00088,3.43104
