frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22960896715947,22960898005516,22960898823335,22960899068059,22960899094227,22960899094263,22960899220019,22960899220051,16,25.041,12.8957,8.17819,2.44724,0.26168,0.00036,1.25756
1,1,0,1e+08,22960900208075,22960901268989,22960901989074,22960902129342,22960902158170,22960902158210,22960902324934,22960902324966,16,21.1689,10.6091,7.20085,1.40268,0.28828,0.0004,1.66724
2,1,0,1e+08,22960902653226,22960903408536,22960904304360,22960904374984,22960904440912,22960904441032,22960904583968,22960904584008,16,19.3078,7.5531,8.95824,0.70624,0.65928,0.0012,1.42936
3,1,0,1e+08,22960905226353,22960909440538,22960910699726,22960910842074,22960910863042,22960910863090,22960911026802,22960911026906,16,58.0055,42.1418,12.5919,1.42348,0.20968,0.00048,1.63712
4,1,0,1e+08,22960911053782,22960911349958,22960911775110,22960911849842,22960911905162,22960911905234,22960912048086,22960912048114,16,9.94332,2.96176,4.25152,0.74732,0.5532,0.00072,1.42852
5,1,0,1e+08,22960912074446,22960915565323,22960916769046,22960916927482,22960916948638,22960916948690,22960917111270,22960917111310,16,50.3686,34.9088,12.0372,1.58436,0.21156,0.00052,1.6258
6,1,0,1e+08,22960917134662,22960917428822,22960917831842,22960917903518,22960917940594,22960917940678,22960918080082,22960918080106,16,9.45444,2.9416,4.0302,0.71676,0.37076,0.00084,1.39404
7,1,0,1e+08,22960918100326,22960920505211,22960921126361,22960921245493,22960921267241,22960921267277,22960921427105,22960921427209,16,33.2688,24.0489,6.2115,1.19132,0.21748,0.00036,1.59828
8,1,0,1e+08,22960921449313,22960921746609,22960922726845,22960922889425,22960922910629,22960922910693,22960923120949,22960923121101,16,16.7179,2.97296,9.80236,1.6258,0.21204,0.00064,2.10256
9,1,0,1e+08,22960923149269,22960923452617,22960923910477,22960924032517,22960924051321,22960924051349,22960924177293,22960924177321,16,10.2805,3.03348,4.5786,1.2204,0.18804,0.00028,1.25944
10,1,0,1e+08,22960924690359,22960925842718,22960926483023,22960926579715,22960926619783,22960926619887,22960926772707,22960926772739,16,20.8238,11.5236,6.40305,0.96692,0.40068,0.00104,1.5282
