frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22972208982549,22972210397205,22972211638508,22972212261359,22972212283819,22972212283859,22972212433835,22972212433867,16,34.5132,14.1466,12.413,6.22851,0.2246,0.0004,1.49976
1,1,0,1e+08,22972212453663,22972213391495,22972214136539,22972214257235,22972214278787,22972214278827,22972214428267,22972214428303,16,19.7464,9.37832,7.45044,1.20696,0.21552,0.0004,1.4944
2,1,0,1e+08,22972215102428,22972217735699,22972218417223,22972218516491,22972218570663,22972218570771,22972218755019,22972218755047,16,36.5262,26.3327,6.81524,0.99268,0.54172,0.00108,1.84248
3,1,0,1e+08,22972218787907,22972219031975,22972219625648,22972219731688,22972219758616,22972219758660,22972219942765,22972219942825,16,11.5492,2.44068,5.93673,1.0604,0.26928,0.00044,1.84105
4,1,0,1e+08,22972220063017,22972224255151,22972225484692,22972225559448,22972225619620,22972225619764,22972225774176,22972225774204,16,57.1119,41.9213,12.2954,0.74756,0.60172,0.00144,1.54412
5,1,0,1e+08,22972225797368,22972227454277,22972228011187,22972230709311,22972230736567,22972230736655,22972230919762,22972230919947,16,51.2258,16.5691,5.5691,26.9812,0.27256,0.00088,1.83107
6,1,0,1e+08,22972230957077,22972232375703,22972232864515,22972232933963,22972232971127,22972232971219,22972233104775,22972233104799,16,21.4772,14.1863,4.88812,0.69448,0.37164,0.00092,1.33556
7,1,0,1e+08,22972233123615,22972236902517,22972237550755,22972237645555,22972237664319,22972237664359,22972237825883,22972237825923,16,47.0231,37.789,6.48238,0.948,0.18764,0.0004,1.61524
8,1,0,1e+08,22972237853559,22972238105611,22972238825612,22972238955077,22972238982737,22972238982793,22972239146081,22972239146121,16,12.9256,2.52052,7.20001,1.29465,0.2766,0.00056,1.63288
9,1,0,1e+08,22972239181697,22972241430901,22972241912029,22972241989421,22972242034533,22972242034641,22972242194037,22972242194069,16,30.1237,22.492,4.81128,0.77392,0.45112,0.00108,1.59396
10,1,0,1e+08,22972242214805,22972242612352,22972243700444,22972243769304,22972243849712,22972243849832,22972243990748,22972243990784,16,17.7598,3.97547,10.8809,0.6886,0.80408,0.0012,1.40916
11,1,0,1e+08,22972244007924,22972245311949,22972246522560,22972246672665,22972246697225,22972246697281,22972246883425,22972246883469,16,28.7554,13.0403,12.1061,1.50105,0.2456,0.00056,1.86144
12,1,0,1e+08,22972246902041,22972247173973,22972247589181,22972247669885,22972247710517,22972247710593,22972247838853,22972247838873,16,9.36832,2.71932,4.15208,0.80704,0.40632,0.00076,1.2826
13,1,0,1e+08,22972247856765,22972250920220,22972251607899,22972251700915,22972251780811,22972251780927,22972251935807,22972251935839,16,40.7907,30.6346,6.87679,0.93016,0.79896,0.00116,1.5488
14,1,0,1e+08,22972251957995,22972252181799,22972253011082,22972253174307,22972253252832,22972253253056,22972253470610,22972253470658,16,15.1266,2.23804,8.29283,1.63225,0.78525,0.00224,2.17554
15,1,0,1e+08,22972253493662,22972255638151,22972256859578,22972257000342,22972257022970,22972257023018,22972257195706,22972257195750,16,37.0209,21.4449,12.2143,1.40764,0.22628,0.00048,1.72688
16,1,0,1e+08,22972257215066,22972257467506,22972257863394,22972257966374,22972257987634,22972257987662,22972258157606,22972258157626,16,9.4256,2.5244,3.95888,1.0298,0.2126,0.00028,1.69944
17,1,0,1e+08,22972258181614,22972260710499,22972261258139,22972261350211,22972261386235,22972261386339,22972261552119,22972261552151,16,33.7054,25.2889,5.4764,0.92072,0.36024,0.00104,1.6578
18,1,0,1e+08,22972261571671,22972262428057,22972263089899,22972263226727,22972263258183,22972263258219,22972263467095,22972263467119,16,18.9545,8.56386,6.61842,1.36828,0.31456,0.00036,2.08876
19,1,0,1e+08,22972263493527,22972264411232,22972265492525,22972265610417,22972265631857,22972265631905,22972265784517,22972265784553,16,22.9103,9.17705,10.8129,1.17892,0.2144,0.00048,1.52612
20,1,0,1e+08,22972265805633,22972267576288,22972268225187,22972268364247,22972268387855,22972268387891,22972268546499,22972268546527,16,27.4089,17.7066,6.48899,1.3906,0.23608,0.00036,1.58608
21,1,0,1e+08,22972268579599,22972270261284,22972270916481,22972271029617,22972271055861,22972271055897,22972271215793,22972271215825,16,26.3623,16.8169,6.55197,1.13136,0.26244,0.00036,1.59896
22,1,0,1e+08,22972271244997,22972272752131,22972273515738,22972273642458,22972273661590,22972273661630,22972273806202,22972273806234,16,25.6124,15.0713,7.63607,1.2672,0.19132,0.0004,1.44572
23,1,0,1e+08,22972273828350,22972275611825,22972276250641,22972276376721,22972276396017,22972276396053,22972276581993,22972276582025,16,27.5367,17.8347,6.38816,1.2608,0.19296,0.00036,1.8594
24,1,0,1e+08,22972276611105,22972278264984,22972278912182,22972279024254,22972279044570,22972279044606,22972279198666,22972279198694,16,25.8759,16.5388,6.47198,1.12072,0.20316,0.00036,1.5406
25,1,0,1e+08,22972279223018,22972280582059,22972281459454,22972281544694,22972281582710,22972281582818,22972281742438,22972281742470,16,25.1945,13.5904,8.77395,0.8524,0.38016,0.00108,1.5962
26,1,0,1e+08,22972281759898,22972283573874,22972284216091,22972284338687,22972284366087,22972284366123,22972284545267,22972284545291,16,27.8539,18.1398,6.42217,1.22596,0.274,0.00036,1.79144
27,1,0,1e+08,22972284572591,22972285999078,22972286755177,22972286872681,22972286893185,22972286893225,22972287045305,22972287045341,16,24.7275,14.2649,7.56099,1.17504,0.20504,0.0004,1.5208
28,1,0,1e+08,22972287063917,22972288986846,22972289609292,22972289685392,22972289710008,22972289710044,22972289866344,22972289866368,16,28.0245,19.2293,6.22446,0.761,0.24616,0.00036,1.563
29,1,0,1e+08,22972289887580,22972290377051,22972291503638,22972291587262,22972291621386,22972291621430,22972291800378,22972291800418,16,19.1284,4.89471,11.2659,0.83624,0.34124,0.00044,1.78948
30,1,0,1e+08,22972291850354,22972294044568,22972294539952,22972294655652,22972294679032,22972294679064,22972294870000,22972294870024,16,30.1967,21.9421,4.95384,1.157,0.2338,0.00032,1.90936
31,1,0,1e+08,22972294899708,22972297811860,22972298375653,22972298567779,22972298658588,22972298659043,22972299017310,22972299017398,16,41.1769,29.1215,5.63793,1.92126,0.90809,0.00455,3.58267
32,1,0,1e+08,22972299039422,22972299410750,22972299957110,22972300050706,22972300098546,22972300098646,22972300270590,22972300270614,16,12.3119,3.71328,5.4636,0.93596,0.4784,0.001,1.71944
33,1,0,1e+08,22972300288466,22972302081048,22972302721110,22972302828594,22972302847562,22972302847602,22972302982846,22972302982882,16,26.9442,17.9258,6.40062,1.07484,0.18968,0.0004,1.35244
34,1,0,1e+08,22972303003226,22972304029154,22972305000451,22972305100913,22972305143306,22972305143370,22972305325286,22972305325334,16,23.2211,10.2593,9.71297,1.00462,0.42393,0.00064,1.81916
35,1,0,1e+08,22972305398402,22972306589291,22972307805940,22972307979345,22972308002297,22972308002353,22972308171301,22972308171345,16,27.7294,11.9089,12.1665,1.73405,0.22952,0.00056,1.68948
36,1,0,1e+08,22972308193909,22972316394701,22972316730809,22972316783589,22972316833301,22972316833377,22972316940641,22972316940661,16,87.4675,82.0079,3.36108,0.5278,0.49712,0.00076,1.07264
37,1,0,1e+08,22972316955857,22972318795829,22972319934173,22972320015001,22972320098353,22972320098497,22972320248897,22972320248941,16,32.9308,18.3997,11.3834,0.80828,0.83352,0.00144,1.504
38,1,0,1e+08,22972320265581,22972322112989,22972322426129,22972322495821,22972322514537,22972322514561,22972322639973,22972322639993,16,23.7441,18.4741,3.1314,0.69692,0.18716,0.00024,1.25412
39,1,0,1e+08,22972322654785,22972324872491,22972325986744,22972326136600,22972326161541,22972326161601,22972326337058,22972326337110,16,36.8233,22.1771,11.1425,1.49856,0.24941,0.0006,1.75457
