frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0605,11.7984,0.0153,0.003,0.012,0.0097,0.0009,0.001,4.8288,11.7157,0.0114,0.0001,0.0226,3.2769,0.0161,0.1313,0.1168,0.0756,0.6414,0.8936,0.0571,0.4654,5.4086,0.0411,0.0626,0.0835,9.5269,0.0113,0,21.4894,0,411550944,2147199200,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0458,1.6019,0.7069,0.0028,0.7039,0.6979,0.0042,0.0011,0.2458,0.8726,0.0127,0.0063,0.0069,0.091,0.0034,0.0912,0.0098,0.0229,0.1444,0.1222,0.0056,0.099,0.5478,0.0065,0.0201,0.0248,1.9531,0.0105,0,3.6414,1,411550944,2147202016,1,0,116476604,2,0,1,0,0,0,24,0
2,0.0779,5.3459,0.9808,0.0028,0.9777,0.9693,0.0064,0.0014,0.3474,4.311,0.0125,0.007,0.0148,0.1671,0.0072,0.0605,0.0072,0.006,0.0699,1.6846,0.0395,1.8381,3.8202,0.0346,0.0498,0.077,4.4314,0.6655,1.0456,12.3194,2,411550944,2147202720,2,0,116476604,3,1,1,1,0,0,0,0
3,0.1031,2.9962,1.6856,0.0068,1.6779,1.6599,0.0126,0.002,0.4936,1.2899,0.0184,0.0142,0.015,0.2133,0.0095,0.1787,0.0071,0.0047,0.1627,0.0968,0.0041,0.0617,0.7132,0.0038,0.019,0.0249,2.0892,0.0093,0,5.2296,3,411550944,2147197088,0,0,116476604,4,1,1,0,0,0,24,0
4,0.0988,7.4251,1.5988,0.0031,1.5951,1.5381,0.0463,0.0063,1.1682,5.7768,0.0426,0.0234,0.0625,1.1441,0.0811,1.0076,0.0594,0.039,0.8447,0.685,0.0422,0.5131,4.1945,0.0197,0.0466,0.0535,2.0864,0.4442,0.6163,11.0449,4,411550944,2147194976,1,0,116476604,5,2,1,1,0,0,0,0
5,0.047,1.7589,0.8268,0.0029,0.8237,0.8171,0.0046,0.0012,0.2524,0.9234,0.0075,0.0049,0.0077,0.1434,0.0038,0.0731,0.0046,0.0021,0.0386,0.2404,0.0026,0.1357,0.6312,0.0033,0.0078,0.0153,25.675,0.3219,0.3131,28.3159,5,411550944,2147206944,2,0,116476604,6,3,1,1,0,0,0,0
6,0.2056,6.9012,3.3783,0.042,3.3348,3.2411,0.0774,0.0088,1.628,3.4881,0.044,0.02,0.0592,0.5005,0.0499,0.3413,0.0106,0.013,0.2453,0.246,0.0152,0.2753,1.6084,0.0206,0.0326,0.0393,1.3358,0.455,0.6404,9.9963,6,411550944,2147197792,0,0,116476604,7,4,1,1,0,0,0,0
7,0.051,2.7672,0.7987,0.003,0.7954,0.7885,0.0051,0.001,0.2439,1.9504,0.0087,0.0063,0.0075,0.0979,0.0035,0.0561,0.0042,0.0045,0.2999,0.6796,0.0123,0.505,1.6385,0.0135,0.0169,0.0249,0.6465,0.1844,0.2932,4.1112,7,411550944,2147210464,1,0,116476604,8,5,1,1,0,0,0,0
8,0.0423,3.4238,0.8484,0.003,0.8452,0.8379,0.0056,0.0007,0.5411,2.5457,0.0222,0.0066,0.0075,0.1516,0.0064,0.2991,0.0074,0.0138,0.322,0.43,0.006,0.7101,1.9128,0.0151,0.0278,0.0414,0.7867,0.0142,0,4.3146,0,411550944,2147199200,2,0,116476604,9,5,1,0,0,0,24,0
9,0.0786,2.1627,1.3477,0.0026,1.3445,1.3316,0.0103,0.0012,0.2874,0.7956,0.0107,0.0064,0.0062,0.1116,0.0224,0.1056,0.0058,0.004,0.0942,0.0639,0.0028,0.0609,0.4362,0.0054,0.0185,0.0277,1.3908,0.0064,0,3.6702,1,411550944,2147202016,0,0,116476604,10,5,1,0,0,0,24,0
