frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22979807425301,22979809071742,22979809711891,22979809992931,22979810032875,22979810268559,22979810474599,22979810474643,16,30.4934,16.4644,6.40149,2.8104,0.39944,2.35684,2.0604
1,1,0,1e+08,22979811578888,22979812743131,22979814107588,22979815798365,22979815825981,22979816715081,22979816970140,22979816970200,16,53.9131,11.6424,13.6446,16.9078,0.27616,8.891,2.55059
2,1,0,1e+08,22979817067113,22979817353933,22979817816053,22979817894853,22979817920241,22979818119249,22979818302481,22979818302517,16,12.354,2.8682,4.6212,0.788,0.25388,1.99008,1.83232
3,1,0,1e+08,22979818380665,22979818812315,22979819337723,22979819433139,22979819467659,22979820316709,22979823745431,22979823745575,16,53.6491,4.3165,5.25408,0.95416,0.3452,8.4905,34.2872
4,1,0,1e+08,22979823784935,22979825368769,22979825914182,22979826056518,22979826080102,22979826354242,22979826539106,22979826539138,16,27.542,15.8383,5.45413,1.42336,0.23584,2.7414,1.84864
5,1,0,1e+08,22979826582802,22979827205466,22979828082067,22979829879180,22979829931690,22979831324274,22979831517621,22979831517709,16,49.3491,6.22664,8.76601,17.9711,0.5251,13.9258,1.93347
6,1,0,1e+08,22979831561212,22979831993462,22979832494502,22979832626606,22979832651586,22979832906810,22979833092682,22979833092714,16,15.315,4.3225,5.0104,1.32104,0.2498,2.55224,1.85872
7,1,0,1e+08,22979833145198,22979835221933,22979836483828,22979836626036,22979836649612,22979836976680,22979837151532,22979837151568,16,40.0637,20.7674,12.6189,1.42208,0.23576,3.27068,1.74852
8,1,0,1e+08,22979837187760,22979837411180,22979837793732,22979837872428,22979837896276,22979838656289,22979838933920,22979838933984,16,17.4622,2.2342,3.82552,0.78696,0.23848,7.60013,2.77631
9,1,0,1e+08,22979839040616,22979840109654,22979840530842,22979840644018,22979840666486,22979840952634,22979841130634,22979841130678,16,20.9006,10.6904,4.21188,1.13176,0.22468,2.86148,1.78
10,1,0,1e+08,22979841165346,22979843958000,22979845865186,22979846029063,22979846051827,22979846437215,22979846642255,22979846642291,16,54.7694,27.9265,19.0719,1.63877,0.22764,3.85388,2.0504
11,1,0,1e+08,22979846714895,22979847031631,22979847486683,22979847618836,22979847646032,22979848786018,22979849000738,22979849000878,16,22.8598,3.16736,4.55052,1.32153,0.27196,11.3999,2.1472
12,1,0,1e+08,22979849042466,22979849847175,22979851004443,22979851327335,22979851347595,22979851665043,22979851864423,22979851864455,16,28.2199,8.04709,11.5727,3.22892,0.2026,3.17448,1.9938
13,1,0,1e+08,22979851909095,22979852465495,22979853710011,22979854008283,22979854026247,22979854296391,22979854474131,22979854474159,16,25.6506,5.564,12.4452,2.98272,0.17964,2.70144,1.7774
14,1,0,1e+08,22979854518191,22979855946723,22979856599797,22979856686649,22979856730057,22979856969461,22979857154941,22979857154969,16,26.3678,14.2853,6.53074,0.86852,0.43408,2.39404,1.8548
15,1,0,1e+08,22979857196705,22979858392877,22979859142003,22979859267863,22979859286671,22979859549791,22979859766107,22979859766207,16,25.695,11.9617,7.49126,1.2586,0.18808,2.6312,2.16316
