frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,22946278069650,22946280303680,22946281287554,22946281717418,22946281738682,22946282022758,22946282229818,22946282229854,16,41.602,22.3403,9.83874,4.29864,0.21264,2.84076,2.0706
1,1,0,1e+08,22946284252604,22946285492231,22946286351784,22946286510588,22946286532688,22946286784768,22946286927608,22946286927644,16,26.7504,12.3963,8.59553,1.58804,0.221,2.5208,1.4284
2,1,0,1e+08,22946287971749,22946289662944,22946290389598,22946291360047,22946291406557,22946292179926,22946292383274,22946292383450,16,44.117,16.9119,7.26654,9.70449,0.4651,7.73369,2.03348
3,1,0,1e+08,22946292423802,22946292769174,22946293209546,22946293289262,22946293468570,22946293809294,22946294386274,22946294386594,16,19.6279,3.45372,4.40372,0.79716,1.79308,3.40724,5.7698
4,1,0,1e+08,22946295359071,22946295706488,22946296201634,22946296350312,22946297010020,22946297462429,22946297659061,22946297659261,16,23.0019,3.47417,4.95146,1.48678,6.59708,4.52409,1.96632
5,1,0,1e+08,22946299102604,22946304216320,22946305818870,22946305894986,22946306129510,22946306589554,22946306759622,22946306759654,16,76.5705,51.1372,16.0255,0.76116,2.34524,4.60044,1.70068
6,1,0,1e+08,22946306804766,22946307049246,22946307938320,22946310020924,22946310048744,22946310488226,22946310759783,22946310759867,16,39.551,2.4448,8.89074,20.826,0.2782,4.39482,2.71557
7,1,0,1e+08,22946310811663,22946311830568,22946312479304,22946312587300,22946312621688,22946313723752,22946313900608,22946313900656,16,30.8899,10.189,6.48736,1.07996,0.34388,11.0206,1.76856
8,1,0,1e+08,22946313930204,22946314182472,22946314610208,22946314824832,22946314842008,22946315508277,22946315829496,22946315829560,16,18.9936,2.52268,4.27736,2.14624,0.17176,6.66269,3.21219
9,1,0,1e+08,22946315861380,22946316239222,22946316758178,22946316983458,22946317004798,22946317206454,22946317353198,22946317353226,16,14.9185,3.77842,5.18956,2.2528,0.2134,2.01656,1.46744
10,1,0,1e+08,22946317393702,22946320975936,22946322230833,22946322587801,22946322613061,22946323041629,22946323225401,22946323225433,16,58.3173,35.8223,12.549,3.56968,0.2526,4.28568,1.83772
11,1,0,1e+08,22946323274629,22946323586993,22946324838462,22946325134662,22946325158138,22946325428274,22946325588122,22946325588158,16,23.1353,3.12364,12.5147,2.962,0.23476,2.70136,1.59848
12,1,0,1e+08,22946325630874,22946325861038,22946326829789,22946327200304,22946327225680,22946327631732,22946327868348,22946327868384,16,22.3751,2.30164,9.68751,3.70515,0.25376,4.06052,2.36616
13,1,0,1e+08,22946329215752,22946330073759,22946330873566,22946331138542,22946331178090,22946331574046,22946331777986,22946331778014,16,25.6226,8.58007,7.99807,2.64976,0.39548,3.95956,2.0394
14,1,0,1e+08,22946333211798,22946333925574,22946334451102,22946334520194,22946334655678,22946334852626,22946335020026,22946335020058,16,18.0826,7.13776,5.25528,0.69092,1.35484,1.96948,1.674
15,1,0,1e+08,22946335898280,22946336618700,22946337450146,22946337843090,22946338020162,22946338242094,22946338429974,22946338430054,16,25.3177,7.2042,8.31446,3.92944,1.77072,2.21932,1.8788
16,1,0,1e+08,22946339117938,22946339755404,22946340626316,22946340798220,22946340822348,22946341094132,22946341293192,22946341293368,16,21.7543,6.37466,8.70912,1.71904,0.24128,2.71784,1.9906
17,1,0,1e+08,22946342991831,22946343310763,22946343791811,22946343952959,22946343983299,22946344826009,22946345066126,22946345066318,16,20.7449,3.18932,4.81048,1.61148,0.3034,8.4271,2.40117
18,1,0,1e+08,22946346875785,22946348105676,22946349468012,22946349912308,22946349942600,22946350202796,22946350368480,22946350368508,16,34.9272,12.2989,13.6234,4.44296,0.30292,2.60196,1.65684
19,1,0,1e+08,22946350412928,22946350690540,22946351983624,22946352403845,22946352431157,22946352707273,22946352864965,22946352864997,16,24.5207,2.77612,12.9308,4.20221,0.27312,2.76116,1.57692
20,1,0,1e+08,22946352897345,22946353147021,22946354206182,22946354285206,22946354579894,22946355082710,22946355262274,22946355262306,16,23.6496,2.49676,10.5916,0.79024,2.94688,5.02816,1.79564
