frame,widget,full_bbox_area,dynamic_bbox_area,bytes,changed,fallback_reason
1,fit_distance_text,488040,0,0,False,none
1,iso_text,8415,0,0,False,none
1,exposure_text,6138,0,0,False,none
1,temp_text,8619,0,0,False,none
1,alt_text,82218,195,780,True,none
1,lean_indicator,104329,0,0,False,none
2,fit_distance_text,488040,0,0,False,none
2,iso_text,8415,0,0,False,none
2,exposure_text,6138,0,0,False,none
2,temp_text,8619,0,0,False,none
2,alt_text,82218,195,780,True,none
2,lean_indicator,104329,0,0,False,none
3,fit_distance_text,488040,0,0,False,none
3,iso_text,8415,0,0,False,none
3,exposure_text,6138,0,0,False,none
3,temp_text,8619,0,0,False,none
3,alt_text,82218,195,780,True,none
3,lean_indicator,104329,0,0,False,none
4,fit_distance_text,488040,0,0,False,none
4,iso_text,8415,0,0,False,none
4,exposure_text,6138,0,0,False,none
4,temp_text,8619,0,0,False,none
4,alt_text,82218,195,780,True,none
4,lean_indicator,104329,0,0,False,none
5,fit_distance_text,488040,0,0,False,none
5,iso_text,8415,0,0,False,none
5,exposure_text,6138,0,0,False,none
5,temp_text,8619,0,0,False,none
5,alt_text,82218,195,780,True,none
5,lean_indicator,104329,0,0,False,none
6,fit_distance_text,488040,0,0,False,none
6,iso_text,8415,0,0,False,none
6,exposure_text,6138,0,0,False,none
6,temp_text,8619,0,0,False,none
6,alt_text,82218,195,780,True,none
6,lean_indicator,104329,0,0,False,none
7,fit_distance_text,488040,0,0,False,none
7,iso_text,8415,0,0,False,none
7,exposure_text,6138,0,0,False,none
7,temp_text,8619,0,0,False,none
7,alt_text,82218,195,780,True,none
7,lean_indicator,104329,0,0,False,none
8,fit_distance_text,488040,0,0,False,none
8,iso_text,8415,0,0,False,none
8,exposure_text,6138,0,0,False,none
8,temp_text,8619,0,0,False,none
8,alt_text,82218,195,780,True,none
8,lean_indicator,104329,0,0,False,none
9,fit_distance_text,488040,0,0,False,none
9,iso_text,8415,0,0,False,none
9,exposure_text,6138,0,0,False,none
9,temp_text,8619,0,0,False,none
9,alt_text,82218,195,780,True,none
9,lean_indicator,104329,0,0,False,none
10,fit_distance_text,488040,0,0,False,none
10,iso_text,8415,0,0,False,none
10,exposure_text,6138,0,0,False,none
10,temp_text,8619,0,0,False,none
10,alt_text,82218,195,780,True,none
10,lean_indicator,104329,0,0,False,none
11,fit_distance_text,488040,0,0,False,none
11,iso_text,8415,0,0,False,none
11,exposure_text,6138,0,0,False,none
11,temp_text,8619,0,0,False,none
11,alt_text,82218,192,768,True,none
11,lean_indicator,104329,0,0,False,none
12,fit_distance_text,488040,0,0,False,none
12,iso_text,8415,0,0,False,none
12,exposure_text,6138,0,0,False,none
12,temp_text,8619,0,0,False,none
12,alt_text,82218,192,768,True,none
12,lean_indicator,104329,0,0,False,none
13,fit_distance_text,488040,0,0,False,none
13,iso_text,8415,0,0,False,none
13,exposure_text,6138,0,0,False,none
13,temp_text,8619,0,0,False,none
13,alt_text,82218,192,768,True,none
13,lean_indicator,104329,0,0,False,none
14,fit_distance_text,488040,0,0,False,none
14,iso_text,8415,0,0,False,none
14,exposure_text,6138,0,0,False,none
14,temp_text,8619,0,0,False,none
14,alt_text,82218,192,768,True,none
14,lean_indicator,104329,0,0,False,none
15,fit_distance_text,488040,0,0,False,none
15,iso_text,8415,0,0,False,none
15,exposure_text,6138,0,0,False,none
15,temp_text,8619,0,0,False,none
15,alt_text,82218,192,768,True,none
15,lean_indicator,104329,0,0,False,none
16,fit_distance_text,488040,0,0,False,none
16,iso_text,8415,0,0,False,none
16,exposure_text,6138,0,0,False,none
16,temp_text,8619,0,0,False,none
16,alt_text,82218,192,768,True,none
16,lean_indicator,104329,0,0,False,none
17,fit_distance_text,488040,0,0,False,none
17,iso_text,8415,0,0,False,none
17,exposure_text,6138,0,0,False,none
17,temp_text,8619,0,0,False,none
17,alt_text,82218,192,768,True,none
17,lean_indicator,104329,0,0,False,none
18,fit_distance_text,488040,0,0,False,none
18,iso_text,8415,0,0,False,none
18,exposure_text,6138,0,0,False,none
18,temp_text,8619,0,0,False,none
18,alt_text,82218,126,504,True,none
18,lean_indicator,104329,0,0,False,none
19,fit_distance_text,488040,0,0,False,none
19,iso_text,8415,0,0,False,none
19,exposure_text,6138,0,0,False,none
19,temp_text,8619,0,0,False,none
19,alt_text,82218,126,504,True,none
19,lean_indicator,104329,0,0,False,none
20,fit_distance_text,488040,0,0,False,none
20,iso_text,8415,0,0,False,none
20,exposure_text,6138,0,0,False,none
20,temp_text,8619,0,0,False,none
20,alt_text,82218,126,504,True,none
20,lean_indicator,104329,0,0,False,none
21,fit_distance_text,488040,0,0,False,none
21,iso_text,8415,0,0,False,none
21,exposure_text,6138,0,0,False,none
21,temp_text,8619,0,0,False,none
21,alt_text,82218,126,504,True,none
21,lean_indicator,104329,0,0,False,none
22,fit_distance_text,488040,0,0,False,none
22,iso_text,8415,0,0,False,none
22,exposure_text,6138,0,0,False,none
22,temp_text,8619,0,0,False,none
22,alt_text,82218,126,504,True,none
22,lean_indicator,104329,0,0,False,none
23,fit_distance_text,488040,0,0,False,none
23,iso_text,8415,0,0,False,none
23,exposure_text,6138,0,0,False,none
23,temp_text,8619,0,0,False,none
23,alt_text,82218,126,504,True,none
