frame,map_gpu_ms,chart_gpu_ms,gauge_gpu_ms,lean_gpu_ms,final_gpu_ms
0,0.0004,0.0004,0.0004,0.035,12.7589
1,0.0016,0.0015,0.0014,0.035,9.11574
2,0.00135,0.00125,0.0012,0.035,12.1642
3,0.00036,0.00036,0.0004,0.035,6.26311
4,0.00072,0.00164,0.00072,0.035,5.93943
5,0.00032,0.00028,0.00028,0.035,8.45445
6,0.00024,0.0002,0.00028,0.035,3.6966
7,0.00032,0.00032,0.00028,0.035,3.652
8,0.00092,0.0006,0.00076,0.035,4.25347
9,0.0012,0.0011,0.0013,0.035,7.59234
10,0.00052,0.00044,0.00044,0.035,5.16518
11,0.00032,0.00036,0.00036,0.035,5.62371
12,0.00072,0.00056,0.0008,0.035,5.78322
13,0.00108,0.00072,0.00072,0.035,5.74543
14,0.00044,0.0004,0.00048,0.035,5.02179
15,0.00056,0.00052,0.00052,0.035,5.59673
16,0.00115,0.0011,0.00135,0.035,6.41451
17,0.00076,0.00048,0.00052,0.035,4.94033
18,0.00036,0.0004,0.0004,0.035,6.02306
19,0.00115,0.00115,0.0013,0.035,5.88508
20,0.00044,0.00044,0.00052,0.035,5.18509
21,0.00048,0.0006,0.00072,0.035,5.29038
22,0.0016,0.00135,0.00165,0.035,5.75004
23,0.00044,0.00044,0.00044,0.035,5.038
24,0.00052,0.00044,0.00044,0.035,4.59784
25,0.00036,0.00036,0.00036,0.035,5.19224
26,0.00044,0.0004,0.00044,0.035,6.21094
27,0.00044,0.00052,0.00048,0.035,5.26397
28,0.00064,0.00064,0.00072,0.035,6.09654
29,0.00064,0.00056,0.00052,0.035,5.11298
30,0.00052,0.00048,0.00052,0.035,5.16569
31,0.00028,0.00028,0.00032,0.035,4.74808
32,0.00056,0.00044,0.0004,0.035,5.03195
33,0.00048,0.00044,0.00044,0.035,5.10129
34,0.00036,0.00032,0.00044,0.035,4.45304
35,0.00024,0.00024,0.00024,0.035,4.98444
36,0.001,0.00068,0.00068,0.035,6.06768
37,0.00028,0.00028,0.00032,0.035,3.9502
38,0.00048,0.00044,0.00044,0.035,5.53588
39,0.00036,0.00036,0.00036,0.035,3.80948
40,0.00036,0.00036,0.0004,0.035,4.11024
41,0.00068,0.0006,0.00068,0.035,4.60709
42,0.00036,0.00036,0.00036,0.035,3.96804
43,0.00032,0.00028,0.00028,0.035,3.93168
44,0.00032,0.00028,0.0004,0.035,4.18656
45,0.00044,0.00044,0.00052,0.035,4.80385
46,0.0004,0.0004,0.00052,0.035,4.67504
47,0.00096,0.00068,0.00076,0.035,6.04821
48,0.0004,0.0004,0.00052,0.035,4.55284
49,0.00165,0.0013,0.0019,0.035,10.5481
50,0.0004,0.0004,0.0004,0.035,6.37536
51,0.00028,0.00028,0.00028,0.035,4.08828
52,0.00036,0.00028,0.00052,0.035,4.2224
53,0.0008,0.00072,0.00076,0.035,5.79975
54,0.00044,0.00044,0.00052,0.035,5.36237
55,0.00048,0.0004,0.00052,0.035,5.27708
56,0.00032,0.00024,0.00032,0.035,10.2843
57,0.0002,0.0002,0.00024,0.035,3.44268
58,0.00024,0.00024,0.00032,0.035,3.97952
59,0.00028,0.00028,0.00028,0.035,3.76664
60,0.00072,0.00056,0.00044,0.035,4.917
61,0.00032,0.00032,0.00032,0.035,3.86436
62,0.0019,0.00145,0.00155,0.035,6.77126
63,0.00048,0.00044,0.00048,0.035,5.17437
64,0.00032,0.00032,0.00056,0.035,4.3713
65,0.00032,0.00032,0.0004,0.035,4.44632
66,0.00056,0.00036,0.00044,0.035,5.1506
67,0.00028,0.00028,0.00036,0.035,3.85156
68,0.00044,0.00044,0.00048,0.035,5.37181
69,0.00052,0.00048,0.00048,0.035,5.13736
70,0.00175,0.00135,0.0019,0.035,7.71182
71,0.0006,0.00056,0.00048,0.035,5.07128
72,0.00052,0.00032,0.00036,0.035,4.70112
73,0.00028,0.00028,0.00032,0.035,4.39284
74,0.00028,0.00028,0.00028,0.035,4.7949
75,0.00052,0.00056,0.00048,0.035,4.95676
76,0.00028,0.00024,0.00028,0.035,4.167
77,0.00052,0.00052,0.00052,0.035,5.1484
78,0.00072,0.00064,0.00072,0.035,5.67658
79,0.00044,0.00044,0.00044,0.035,5.30005
80,0.00064,0.0006,0.00072,0.035,5.71702
81,0.0006,0.00044,0.00048,0.035,4.32256
82,0.00044,0.00044,0.00052,0.035,5.19217
83,0.00028,0.00028,0.00032,0.035,4.03884
84,0.0004,0.00036,0.0004,0.035,4.32784
85,0.00044,0.00036,0.00036,0.035,4.07248
86,0.00096,0.00064,0.00072,0.035,4.26195
87,0.00048,0.00044,0.00044,0.035,4.12336
88,0.00036,0.00036,0.0004,0.035,5.1622
89,0.00032,0.00028,0.00032,0.035,4.20124
90,0.00036,0.00036,0.0004,0.035,3.95328
91,0.00028,0.00028,0.00028,0.035,3.73456
92,0.00032,0.00032,0.00036,0.035,3.9768
93,0.00032,0.00032,0.00036,0.035,4.5234
94,0.00028,0.00032,0.00028,0.035,3.9902
95,0.00024,0.00024,0.00028,0.035,3.68428
96,0.00048,0.00044,0.00072,0.035,5.35834
97,0.00032,0.00028,0.00032,0.035,4.32008
98,0.00032,0.00032,0.00036,0.035,5.68308
99,0.00056,0.00036,0.00036,0.035,4.47556
100,0.00028,0.00028,0.00032,0.035,3.99428
101,0.00104,0.00072,0.00072,0.035,5.98331
102,0.00032,0.00028,0.00032,0.035,3.88556
103,0.00036,0.00032,0.00036,0.035,4.95313
104,0.0018,0.00155,0.00165,0.035,9.38464
105,0.00036,0.00028,0.00036,0.035,4.37252
106,0.00036,0.00036,0.0004,0.035,4.26716
107,0.00032,0.00032,0.00032,0.035,4.30368
108,0.00028,0.00024,0.00032,0.035,3.61632
109,0.00028,0.00024,0.00028,0.035,3.97316
110,0.00032,0.00028,0.00032,0.035,3.77408
111,0.00092,0.00084,0.0012,0.035,6.33072
112,0.00032,0.00028,0.00028,0.035,3.82172
113,0.00028,0.00028,0.00036,0.035,3.99288
114,0.00032,0.00024,0.00032,0.035,3.81736
115,0.00028,0.00028,0.00032,0.035,4.24528
116,0.00032,0.00032,0.00028,0.035,4.1778
117,0.00068,0.00064,0.0008,0.035,6.32097
118,0.00032,0.00032,0.0004,0.035,5.08258
119,0.00028,0.00032,0.00032,0.035,4.0752
120,0.00044,0.0004,0.00044,0.035,10.4373
121,0.00044,0.00044,0.00048,0.035,5.19926
122,0.00056,0.00056,0.00048,0.035,5.24842
123,0.00032,0.00032,0.00032,0.035,4.37616
124,0.00052,0.0004,0.00044,0.035,4.83488
125,0.00028,0.00032,0.00032,0.035,3.67912
126,0.00036,0.00032,0.0004,0.035,3.78348
127,0.00024,0.0002,0.00028,0.035,4.21392
128,0.00056,0.00048,0.00064,0.035,5.39521
129,0.00032,0.00036,0.00036,0.035,4.63325
130,0.00072,0.00084,0.00076,0.035,6.36118
131,0.00028,0.00032,0.00036,0.035,3.8748
132,0.00032,0.00028,0.00028,0.035,9.5128
133,0.0004,0.00036,0.00044,0.035,7.31235
134,0.00115,0.00115,0.0013,0.035,11.332
135,0.00068,0.00068,0.00068,0.035,6.07521
136,0.00072,0.00064,0.00072,0.035,5.6943
137,0.00048,0.00048,0.00052,0.035,5.47949
138,0.00084,0.00064,0.00096,0.035,6.26034
139,0.00028,0.00028,0.00028,0.035,4.11384
140,0.00044,0.00044,0.00048,0.035,5.48433
141,0.00052,0.00052,0.00048,0.035,5.08816
142,0.00044,0.0004,0.0004,0.035,5.25896
143,0.00084,0.00064,0.001,0.035,6.46785
144,0.00048,0.00044,0.00052,0.035,5.10016
145,0.00028,0.00028,0.00036,0.035,4.10096
146,0.00056,0.00056,0.00052,0.035,5.31108
147,0.00044,0.00036,0.0004,0.035,4.26976
148,0.00135,0.0013,0.00155,0.035,7.51778
149,0.0008,0.0008,0.00076,0.035,5.58215
150,0.00052,0.00048,0.00044,0.035,5.49812
151,0.0012,0.0011,0.00135,0.035,11.3065
152,0.00028,0.00028,0.00028,0.035,3.64772
153,0.00096,0.00076,0.00072,0.035,5.57101
154,0.00044,0.00032,0.00036,0.035,4.08444
155,0.0014,0.0018,0.0016,0.035,8.94209
156,0.0015,0.0013,0.00195,0.035,6.90062
157,0.00036,0.00032,0.00036,0.035,5.1124
158,0.00036,0.0004,0.00036,0.035,4.1284
159,0.0018,0.0016,0.00155,0.035,6.61033
160,0.0006,0.00044,0.00048,0.035,4.27436
161,0.00068,0.00044,0.00052,0.035,5.04336
162,0.00032,0.00036,0.00036,0.035,6.13669
163,0.00092,0.0006,0.001,0.035,6.0906
164,0.00032,0.00032,0.0004,0.035,10.3318
165,0.00064,0.00052,0.00052,0.035,5.27813
166,0.00205,0.00135,0.00155,0.035,7.10336
167,0.00044,0.00044,0.00052,0.035,5.49213
168,0.00036,0.00032,0.00056,0.035,4.24424
169,0.0018,0.0015,0.0016,0.035,9.32129
170,0.00072,0.00064,0.00072,0.035,5.5962
171,0.00096,0.00072,0.00072,0.035,6.04309
172,0.00032,0.00032,0.00032,0.035,4.03284
173,0.00032,0.00032,0.00028,0.035,3.9876
174,0.00024,0.00024,0.00028,0.035,3.71428
175,0.00024,0.00024,0.00024,0.035,3.76472
176,0.00024,0.00024,0.0002,0.035,3.5126
177,0.00052,0.00048,0.00044,0.035,5.00628
178,0.00024,0.0002,0.00024,0.035,3.64896
179,0.00024,0.00028,0.00028,0.035,3.4974
180,0.00048,0.0004,0.00032,0.035,4.367
181,0.00028,0.00028,0.00036,0.035,3.9022
182,0.00036,0.00032,0.00036,0.035,4.97205
183,0.00028,0.00028,0.00036,0.035,5.36078
184,0.00044,0.00028,0.00028,0.035,3.73252
185,0.00032,0.00036,0.00036,0.035,3.9846
186,0.0018,0.00155,0.00155,0.035,6.27824
187,0.00052,0.00048,0.00048,0.035,5.50272
188,0.00088,0.00076,0.00088,0.035,6.34145
189,0.00032,0.00028,0.00036,0.035,4.04396
190,0.00028,0.00028,0.00032,0.035,4.0252
191,0.00032,0.00032,0.00032,0.035,4.05972
192,0.00028,0.00028,0.00028,0.035,3.76196
193,0.00036,0.00028,0.00032,0.035,3.8318
194,0.00195,0.0014,0.00165,0.035,8.58335
195,0.00024,0.00028,0.00028,0.035,3.63848
196,0.00044,0.00044,0.00052,0.035,5.06477
197,0.00068,0.00064,0.00072,0.035,6.50772
198,0.00052,0.00048,0.00044,0.035,5.48182
199,0.00032,0.00036,0.00032,0.035,3.92956
200,0.00032,0.00032,0.00032,0.035,4.00752
201,0.00036,0.00032,0.00036,0.035,4.23888
202,0.00036,0.00036,0.00036,0.035,4.92076
203,0.00044,0.00044,0.00052,0.035,5.08185
204,0.0017,0.0013,0.0014,0.035,8.56447
205,0.00064,0.00052,0.00052,0.035,5.67058
206,0.00064,0.00064,0.00068,0.035,6.12953
207,0.00052,0.00056,0.00048,0.035,5.53577
208,0.00032,0.00036,0.0004,0.035,4.50144
209,0.00175,0.0017,0.00165,0.035,9.26631
210,0.00028,0.00032,0.00036,0.035,5.29789
211,0.00032,0.00032,0.00036,0.035,4.13848
212,0.00068,0.00052,0.00044,0.035,5.23612
213,0.00052,0.00116,0.00116,0.035,5.02172
214,0.00032,0.00028,0.00036,0.035,3.98888
215,0.00032,0.00032,0.00028,0.035,3.82936
216,0.00112,0.00072,0.00076,0.035,5.75825
217,0.00165,0.0016,0.0017,0.035,7.33905
218,0.00032,0.00028,0.00036,0.035,3.97916
219,0.00024,0.00028,0.00028,0.035,3.75744
220,0.00024,0.0002,0.00024,0.035,3.51708
221,0.00024,0.00024,0.00028,0.035,3.595
222,0.00024,0.00024,0.00024,0.035,3.82068
223,0.00032,0.00032,0.00032,0.035,3.9964
224,0.00072,0.00068,0.001,0.035,5.5101
225,0.00028,0.00028,0.00032,0.035,4.30984
226,0.0004,0.0004,0.00044,0.035,4.15012
227,0.00076,0.00064,0.00076,0.035,6.31846
228,0.0017,0.0015,0.00155,0.035,7.50446
229,0.0004,0.00036,0.00044,0.035,4.94661
230,0.00044,0.00036,0.00048,0.035,5.22837
231,0.0004,0.00044,0.00052,0.035,4.05208
232,0.00044,0.0004,0.00044,0.035,4.82772
233,0.00028,0.00032,0.00028,0.035,3.83528
234,0.00052,0.00036,0.00036,0.035,3.9534
235,0.0019,0.00145,0.00165,0.035,10.268
236,0.00036,0.00028,0.00036,0.035,3.99352
237,0.00024,0.00028,0.00028,0.035,3.72932
238,0.00028,0.00028,0.00028,0.035,3.94924
239,0.00072,0.00064,0.00076,0.035,5.75138
240,0.00104,0.0008,0.00072,0.035,6.38887
241,0.00032,0.00032,0.00032,0.035,4.16636
242,0.00032,0.00028,0.00032,0.035,4.359
243,0.00032,0.00028,0.0004,0.035,4.19876
244,0.00044,0.00044,0.00052,0.035,4.793
245,0.00036,0.00032,0.00032,0.035,4.00004
246,0.00052,0.00056,0.00048,0.035,5.30393
247,0.00175,0.0013,0.00195,0.035,7.45947
248,0.00084,0.00072,0.0008,0.035,6.16198
249,0.00028,0.00024,0.00028,0.035,3.62032
250,0.00036,0.00036,0.00032,0.035,4.22864
251,0.00175,0.0013,0.00195,0.035,7.49073
252,0.00392,0.0008,0.00084,0.035,6.36338
253,0.00036,0.00036,0.00036,0.035,4.28752
254,0.00076,0.00068,0.00096,0.035,5.68314
255,0.00032,0.00028,0.00032,0.035,4.585
256,0.00024,0.00028,0.00028,0.035,3.80736
