frame,canvas_alloc_ms,canvas_clear_ms,canvas_copy_ms,widget_render_ms,widget_composite_ms,alpha_ms,bbox_ms,crop_ms,tobytes_ms,large_bytes_processed
0,0.0,0.02,0.0,45.31,2.5,0.437,0.045,0.818,1.533,35563288
1,0.0,0.02,0.0,13.116,2.5,0.369,0.036,0.736,1.051,35563288
2,0.0,0.02,0.0,12.453,2.5,0.458,0.032,0.707,1.114,35563288
3,0.0,0.02,0.0,13.385,2.5,0.393,0.032,0.899,1.2,35563288
4,0.0,0.02,0.0,12.541,2.5,0.448,0.034,0.901,1.407,35563288
5,0.0,0.02,0.0,12.518,2.5,0.426,0.041,0.876,1.265,35563288
6,0.0,0.02,0.0,19.167,2.5,0.572,0.284,2.089,2.912,35563288
7,0.0,0.02,0.0,16.254,2.5,0.59,0.048,0.811,1.348,35563288
8,0.0,0.02,0.0,12.381,2.5,0.41,0.043,0.762,1.097,35563288
9,0.0,0.02,0.0,12.417,2.5,0.423,0.037,0.766,1.106,35563288
10,0.0,0.02,0.0,12.526,2.5,0.386,0.035,0.731,1.061,35563288
11,0.0,0.02,0.0,12.419,2.5,0.427,0.049,0.703,1.112,35563288
12,0.0,0.02,0.0,12.692,2.5,0.398,0.032,0.826,1.34,35563288
13,0.0,0.02,0.0,12.918,2.5,0.429,0.037,0.747,1.156,35563288
14,0.0,0.02,0.0,13.122,2.5,0.609,0.035,0.675,1.073,35563288
15,0.0,0.02,0.0,12.468,2.5,0.423,0.033,0.703,1.027,35563288
16,0.0,0.02,0.0,12.599,2.5,0.406,0.032,0.682,0.967,35563288
17,0.0,0.02,0.0,12.559,2.5,0.438,0.032,0.682,1.254,35563288
18,0.0,0.02,0.0,13.333,2.5,0.582,0.037,0.714,0.961,35563288
19,0.0,0.02,0.0,13.152,2.5,0.451,0.036,0.877,1.256,35563288
20,0.0,0.02,0.0,12.658,2.5,0.431,0.034,0.661,1.048,35563288
21,0.0,0.02,0.0,12.534,2.5,0.415,0.033,0.697,1.387,35563288
22,0.0,0.02,0.0,12.436,2.5,0.393,0.041,0.813,1.269,35563288
23,0.0,0.02,0.0,13.042,2.5,0.437,0.038,0.711,1.249,35563288
24,0.0,0.02,0.0,12.46,2.5,0.506,0.033,0.724,1.039,35563288
25,0.0,0.02,0.0,22.679,2.5,0.466,0.034,0.697,1.006,35563288
26,0.0,0.02,0.0,12.343,2.5,0.478,0.037,0.687,1.174,35563288
27,0.0,0.02,0.0,12.567,2.5,0.365,0.034,0.711,1.218,35563288
28,0.0,0.02,0.0,12.85,2.5,0.477,0.042,0.759,1.396,35563288
29,0.0,0.02,0.0,13.04,2.5,0.512,0.036,0.759,1.289,35563288
30,0.0,0.02,0.0,13.436,2.5,0.448,0.035,0.655,1.02,35563288
31,0.0,0.02,0.0,12.241,2.5,0.441,0.033,0.678,1.174,35563288
32,0.0,0.02,0.0,12.401,2.5,0.409,0.033,0.656,0.965,35563288
33,0.0,0.02,0.0,12.321,2.5,0.552,0.033,0.659,1.387,35563288
34,0.0,0.02,0.0,14.319,2.5,0.525,0.033,0.83,1.164,35563288
35,0.0,0.02,0.0,12.148,2.5,0.428,0.031,0.807,1.459,35563288
36,0.0,0.02,0.0,26.138,2.5,0.661,0.051,0.828,1.455,35563288
37,0.0,0.02,0.0,12.635,2.5,0.429,0.033,0.67,1.239,35563288
38,0.0,0.02,0.0,12.475,2.5,0.517,0.036,0.715,1.122,35563288
39,0.0,0.02,0.0,13.166,2.5,0.431,0.034,0.716,1.255,35563288
40,0.0,0.02,0.0,13.598,2.5,0.488,0.035,0.761,1.142,35563288
41,0.0,0.02,0.0,12.365,2.5,0.422,0.04,0.724,1.097,35563288
42,0.0,0.02,0.0,12.898,2.5,0.435,0.035,0.846,1.39,35563288
43,0.0,0.02,0.0,11.934,2.5,0.434,0.041,0.748,1.348,35563288
44,0.0,0.02,0.0,11.745,2.5,0.439,0.042,0.777,1.172,35563288
45,0.0,0.02,0.0,11.844,2.5,0.388,0.04,0.818,1.199,35563288
46,0.0,0.02,0.0,12.166,2.5,0.502,0.044,0.671,1.231,35563288
47,0.0,0.02,0.0,12.544,2.5,0.608,0.033,0.594,1.076,35563288
48,0.0,0.02,0.0,11.868,2.5,0.426,0.034,0.714,1.289,35563288
49,0.0,0.02,0.0,12.039,2.5,0.468,0.033,0.683,1.123,35563288
50,0.0,0.02,0.0,12.726,2.5,0.502,0.038,0.713,1.245,35563288
51,0.0,0.02,0.0,23.025,2.5,0.526,0.041,0.837,1.33,35563288
52,0.0,0.02,0.0,11.842,2.5,0.43,0.04,0.805,1.359,35563288
53,0.0,0.02,0.0,12.407,2.5,0.458,0.067,0.798,1.55,35563288
54,0.0,0.02,0.0,11.732,2.5,0.467,0.036,0.716,1.108,35563288
55,0.0,0.02,0.0,12.544,2.5,0.467,0.033,0.677,1.306,35563288
56,0.0,0.02,0.0,12.731,2.5,0.498,0.037,0.618,1.048,35563288
57,0.0,0.02,0.0,12.81,2.5,0.517,0.033,0.703,1.358,35563288
58,0.0,0.02,0.0,12.921,2.5,0.485,0.039,0.69,1.203,35563288
59,0.0,0.02,0.0,12.914,2.5,0.453,0.033,0.666,1.057,35563288
60,0.0,0.02,0.0,15.678,2.5,0.869,0.038,0.952,1.64,35563288
61,0.0,0.02,0.0,29.106,2.5,0.765,0.055,1.583,2.207,35563288
62,0.0,0.02,0.0,17.096,2.5,0.705,0.043,1.091,1.527,35563288
63,0.0,0.02,0.0,14.844,2.5,0.401,0.037,0.87,1.225,35563288
64,0.0,0.02,0.0,25.968,2.5,0.538,0.038,0.782,1.27,35563288
65,0.0,0.02,0.0,13.562,2.5,0.439,0.034,0.666,1.162,35563288
66,0.0,0.02,0.0,12.752,2.5,0.362,0.034,0.673,1.171,35563288
67,0.0,0.02,0.0,12.683,2.5,0.466,0.034,0.668,1.114,35563288
