frame,widget_key,renderer,call_index,duration_ms,width,height,cache_hit_if_known
0,fit_distance_text,bar,0,3.7176,2324,199,0
0,iso_text,text,1,0.513,140,51,0
0,exposure_text,text,2,0.5151,144,51,0
0,temp_text,text,3,0.6493,114,51,0
0,alt_text,bar,4,2.0784,337,213,0
1,fit_distance_text,bar,0,0.817,2324,199,0
1,iso_text,text,1,0.0413,140,51,1
1,exposure_text,text,2,0.0135,144,51,1
1,temp_text,text,3,0.0125,114,51,1
1,alt_text,bar,4,0.9803,337,213,0
2,fit_distance_text,bar,0,0.9005,2324,199,0
2,iso_text,text,1,0.0242,140,51,1
2,exposure_text,text,2,0.0132,144,51,1
2,temp_text,text,3,0.0117,114,51,1
2,alt_text,bar,4,0.847,337,213,0
3,fit_distance_text,bar,0,0.777,2324,199,0
3,iso_text,text,1,0.0224,140,51,1
3,exposure_text,text,2,0.0163,144,51,1
3,temp_text,text,3,0.015,114,51,1
3,alt_text,bar,4,0.9141,337,213,0
4,fit_distance_text,bar,0,0.8035,2324,199,0
4,iso_text,text,1,0.0219,140,51,1
4,exposure_text,text,2,0.013,144,51,1
4,temp_text,text,3,0.0114,114,51,1
4,alt_text,bar,4,0.8992,337,213,0
5,fit_distance_text,bar,0,0.7265,2324,199,0
5,iso_text,text,1,0.0203,140,51,1
5,exposure_text,text,2,0.0126,144,51,1
5,temp_text,text,3,0.0115,114,51,1
5,alt_text,bar,4,0.7944,337,213,0
6,fit_distance_text,bar,0,0.7703,2324,199,0
6,iso_text,text,1,0.0199,140,51,1
6,exposure_text,text,2,0.0126,144,51,1
6,temp_text,text,3,0.0114,114,51,1
6,alt_text,bar,4,0.7777,337,213,0
7,fit_distance_text,bar,0,0.7528,2324,199,0
7,iso_text,text,1,0.0382,140,51,1
7,exposure_text,text,2,0.0132,144,51,1
7,temp_text,text,3,0.0114,114,51,1
7,alt_text,bar,4,0.8589,337,213,0
8,fit_distance_text,bar,0,0.8793,2324,199,0
8,iso_text,text,1,0.0314,140,51,1
8,exposure_text,text,2,0.0132,144,51,1
8,temp_text,text,3,0.0116,114,51,1
8,alt_text,bar,4,0.8894,337,213,0
9,fit_distance_text,bar,0,0.8627,2324,199,0
9,iso_text,text,1,0.0232,140,51,1
9,exposure_text,text,2,0.0131,144,51,1
9,temp_text,text,3,0.012,114,51,1
9,alt_text,bar,4,0.8482,337,213,0
10,fit_distance_text,bar,0,0.8013,2324,199,0
10,iso_text,text,1,0.0218,140,51,1
10,exposure_text,text,2,0.0126,144,51,1
10,temp_text,text,3,0.0115,114,51,1
10,alt_text,bar,4,0.9203,337,213,0
11,fit_distance_text,bar,0,0.8621,2324,199,0
11,iso_text,text,1,0.0223,140,51,1
11,exposure_text,text,2,0.013,144,51,1
11,temp_text,text,3,0.0115,114,51,1
11,alt_text,bar,4,0.8337,337,213,0
12,fit_distance_text,bar,0,0.7691,2324,199,0
12,iso_text,text,1,0.0263,140,51,1
12,exposure_text,text,2,0.0132,144,51,1
12,temp_text,text,3,0.0116,114,51,1
12,alt_text,bar,4,0.8284,337,213,0
13,fit_distance_text,bar,0,1.0075,2324,199,0
13,iso_text,text,1,0.0581,140,51,1
13,exposure_text,text,2,0.0168,144,51,1
13,temp_text,text,3,0.0383,114,51,1
13,alt_text,bar,4,1.0411,337,213,0
14,fit_distance_text,bar,0,0.8096,2324,199,0
14,iso_text,text,1,0.0319,140,51,1
14,exposure_text,text,2,0.0297,144,51,1
14,temp_text,text,3,0.0118,114,51,1
14,alt_text,bar,4,0.9104,337,213,0
15,fit_distance_text,bar,0,0.8608,2324,199,0
15,iso_text,text,1,0.0323,140,51,1
15,exposure_text,text,2,0.0136,144,51,1
15,temp_text,text,3,0.012,114,51,1
15,alt_text,bar,4,0.9138,337,213,0
16,fit_distance_text,bar,0,0.9689,2324,199,0
16,iso_text,text,1,0.0224,140,51,1
16,exposure_text,text,2,0.013,144,51,1
16,temp_text,text,3,0.0112,114,51,1
16,alt_text,bar,4,0.874,337,213,0
17,fit_distance_text,bar,0,0.9155,2324,199,0
17,iso_text,text,1,0.0218,140,51,1
17,exposure_text,text,2,0.0128,144,51,1
17,temp_text,text,3,0.024,114,51,1
17,alt_text,bar,4,0.8486,337,213,0
18,fit_distance_text,bar,0,1.0521,2324,199,0
18,iso_text,text,1,0.1012,140,51,0
18,exposure_text,text,2,0.664,144,51,0
18,temp_text,text,3,0.1824,114,51,0
18,alt_text,bar,4,8.4583,337,213,0
19,fit_distance_text,bar,0,0.8448,2324,199,0
19,iso_text,text,1,0.0282,140,51,1
19,exposure_text,text,2,0.0134,144,51,1
19,temp_text,text,3,0.0117,114,51,1
19,alt_text,bar,4,1.0373,337,213,0
20,fit_distance_text,bar,0,0.728,2324,199,0
20,iso_text,text,1,0.0213,140,51,1
20,exposure_text,text,2,0.0128,144,51,1
20,temp_text,text,3,0.0115,114,51,1
20,alt_text,bar,4,0.8263,337,213,0
21,fit_distance_text,bar,0,0.8852,2324,199,0
21,iso_text,text,1,0.0226,140,51,1
21,exposure_text,text,2,0.0129,144,51,1
21,temp_text,text,3,0.012,114,51,1
21,alt_text,bar,4,0.8213,337,213,0
22,fit_distance_text,bar,0,0.9005,2324,199,0
22,iso_text,text,1,0.0227,140,51,1
22,exposure_text,text,2,0.0228,144,51,1
22,temp_text,text,3,0.012,114,51,1
22,alt_text,bar,4,0.7783,337,213,0
23,fit_distance_text,bar,0,0.8656,2324,199,0
23,iso_text,text,1,0.023,140,51,1
23,exposure_text,text,2,0.0129,144,51,1
23,temp_text,text,3,0.0115,114,51,1
23,alt_text,bar,4,0.8622,337,213,0
24,fit_distance_text,bar,0,1.0417,2324,199,0
24,iso_text,text,1,0.0436,140,51,1
24,exposure_text,text,2,0.0142,144,51,1
24,temp_text,text,3,0.0115,114,51,1
24,alt_text,bar,4,0.9191,337,213,0
25,fit_distance_text,bar,0,0.8209,2324,199,0
25,iso_text,text,1,0.0319,140,51,1
25,exposure_text,text,2,0.0127,144,51,1
25,temp_text,text,3,0.0117,114,51,1
25,alt_text,bar,4,0.9813,337,213,0
26,fit_distance_text,bar,0,0.7697,2324,199,0
26,iso_text,text,1,0.0318,140,51,1
26,exposure_text,text,2,0.0131,144,51,1
26,temp_text,text,3,0.0115,114,51,1
26,alt_text,bar,4,0.9387,337,213,0
27,fit_distance_text,bar,0,0.8881,2324,199,0
27,iso_text,text,1,0.0214,140,51,1
27,exposure_text,text,2,0.0134,144,51,1
27,temp_text,text,3,0.0121,114,51,1
27,alt_text,bar,4,0.8215,337,213,0
28,fit_distance_text,bar,0,0.8688,2324,199,0
28,iso_text,text,1,0.0228,140,51,1
28,exposure_text,text,2,0.0129,144,51,1
28,temp_text,text,3,0.0114,114,51,1
28,alt_text,bar,4,0.8896,337,213,0
29,fit_distance_text,bar,0,0.8733,2324,199,0
29,iso_text,text,1,0.0216,140,51,1
29,exposure_text,text,2,0.0129,144,51,1
29,temp_text,text,3,0.0117,114,51,1
29,alt_text,bar,4,0.8984,337,213,0
30,fit_distance_text,bar,0,0.839,2324,199,0
30,iso_text,text,1,0.0272,140,51,1
30,exposure_text,text,2,0.0133,144,51,1
30,temp_text,text,3,0.012,114,51,1
30,alt_text,bar,4,0.8819,337,213,0
31,fit_distance_text,bar,0,0.8265,2324,199,0
31,iso_text,text,1,0.0282,140,51,1
31,exposure_text,text,2,0.013,144,51,1
31,temp_text,text,3,0.0117,114,51,1
31,alt_text,bar,4,0.9805,337,213,0
32,fit_distance_text,bar,0,0.8053,2324,199,0
32,iso_text,text,1,0.0245,140,51,1
32,exposure_text,text,2,0.0129,144,51,1
32,temp_text,text,3,0.0116,114,51,1
32,alt_text,bar,4,0.8933,337,213,0
33,fit_distance_text,bar,0,0.861,2324,199,0
33,iso_text,text,1,0.0605,140,51,1
33,exposure_text,text,2,0.0141,144,51,1
33,temp_text,text,3,0.0118,114,51,1
33,alt_text,bar,4,0.9123,337,213,0
34,fit_distance_text,bar,0,0.8421,2324,199,0
34,iso_text,text,1,0.0227,140,51,1
34,exposure_text,text,2,0.013,144,51,1
34,temp_text,text,3,0.0116,114,51,1
