frame,chart_key,value_str,split_valid,cursor_w,cursor_h,value_w,value_h
0,fit_heart_rate_text,None,1,7,341,166,62
0,fit_cadence_text,None,1,7,341,154,52
1,fit_heart_rate_text,None,1,7,341,166,62
1,fit_cadence_text,None,1,7,341,154,52
2,fit_heart_rate_text,None,1,7,341,166,62
2,fit_cadence_text,None,1,7,341,154,52
3,fit_heart_rate_text,None,1,7,341,166,62
3,fit_cadence_text,None,1,7,341,154,52
4,fit_heart_rate_text,None,1,7,341,166,62
4,fit_cadence_text,None,1,7,341,154,52
5,fit_heart_rate_text,None,1,7,341,166,62
5,fit_cadence_text,None,1,7,341,154,52
6,fit_heart_rate_text,None,1,7,341,166,62
6,fit_cadence_text,None,1,7,341,154,52
7,fit_heart_rate_text,None,1,7,341,166,62
7,fit_cadence_text,None,1,7,341,154,52
8,fit_heart_rate_text,None,1,7,341,166,62
8,fit_cadence_text,None,1,7,341,154,52
9,fit_heart_rate_text,None,1,7,341,166,62
9,fit_cadence_text,None,1,7,341,154,52
10,fit_heart_rate_text,None,1,7,341,166,62
10,fit_cadence_text,None,1,7,341,154,52
11,fit_heart_rate_text,None,1,7,341,166,62
11,fit_cadence_text,None,1,7,341,154,52
12,fit_heart_rate_text,None,1,7,341,166,62
12,fit_cadence_text,None,1,7,341,154,52
13,fit_heart_rate_text,None,1,7,341,166,62
13,fit_cadence_text,None,1,7,341,154,52
14,fit_heart_rate_text,None,1,7,341,166,62
14,fit_cadence_text,None,1,7,341,154,52
15,fit_heart_rate_text,None,1,7,341,166,62
15,fit_cadence_text,None,1,7,341,154,52
16,fit_heart_rate_text,None,1,7,341,166,62
16,fit_cadence_text,None,1,7,341,154,52
17,fit_heart_rate_text,None,1,7,341,166,62
17,fit_cadence_text,None,1,7,341,154,52
18,fit_heart_rate_text,None,1,7,341,166,62
18,fit_cadence_text,None,1,7,341,154,52
19,fit_heart_rate_text,None,1,7,341,166,62
19,fit_cadence_text,None,1,7,341,154,52
20,fit_heart_rate_text,None,1,7,341,166,62
20,fit_cadence_text,None,1,7,341,154,52
21,fit_heart_rate_text,None,1,7,341,166,62
21,fit_cadence_text,None,1,7,341,154,52
22,fit_heart_rate_text,None,1,7,341,166,62
22,fit_cadence_text,None,1,7,341,154,52
23,fit_heart_rate_text,None,1,7,341,166,62
23,fit_cadence_text,None,1,7,341,154,52
24,fit_heart_rate_text,None,1,7,341,166,62
24,fit_cadence_text,None,1,7,341,154,52
25,fit_heart_rate_text,None,1,7,341,166,62
25,fit_cadence_text,None,1,7,341,154,52
26,fit_heart_rate_text,None,1,7,341,166,62
26,fit_cadence_text,None,1,7,341,154,52
27,fit_heart_rate_text,None,1,7,341,166,62
27,fit_cadence_text,None,1,7,341,154,52
28,fit_heart_rate_text,None,1,7,341,166,62
28,fit_cadence_text,None,1,7,341,154,52
29,fit_heart_rate_text,None,1,7,341,166,62
29,fit_cadence_text,None,1,7,341,154,52
30,fit_heart_rate_text,None,1,7,341,166,62
30,fit_cadence_text,None,1,7,341,154,52
