frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.5603,36.7103,0.338,0.0299,0.3065,0.2142,0.0452,0.0068,11.2805,11.3995,0.007,0,0.0003,0.0002,0,0,0,0.0604,0,0,0.0115,0.0001,0.0003,0.0181,0.0135,0.0606,3.7188,0.021,0,41.0829,0,3193941984,2771648800,0,0,378072108,1,0,1,0,0,0,24,0
1,0.0828,22.0869,1.178,0.0043,1.173,1.1554,0.01,0.0021,0.4002,0.4613,0.0042,0.0184,0.0003,0.0002,0,0,0,0.0039,0,0,0.003,0,0.0002,0.0079,0.0157,0.024,0.8041,0.2974,1.0243,24.7763,1,3193941984,2771638240,1,0,378072108,2,1,1,1,0,0,0,0
2,0.0792,33.4541,6.4742,0.0043,6.4689,6.4556,0.0067,0.0007,0.3143,0.3784,0.0041,0.0186,0.0001,0.0001,0,0,0,0.0042,0,0,0.0038,0,0.0001,0.0087,0.0223,0.0339,0.3207,0.1199,0.2937,34.4347,2,3193941984,3197158048,2,0,378072108,3,2,1,1,0,0,0,0
3,0.0469,41.8566,0.5434,0.0024,0.5406,0.528,0.0084,0.0012,0.2291,0.2756,0.0033,0.013,0.0001,0.0001,0,0,0,0.0023,0,0,0.0066,0.0001,0.0002,0.0066,0.0101,0.0768,0.9572,0.4157,0.3896,43.9785,3,3193941984,3197158752,0,0,378072108,4,3,1,1,0,0,0,0
4,0.057,14.1051,0.0645,0.0026,0.0611,0.055,0.0016,0.0011,0.2816,0.333,0.0044,0.014,0.0002,0,0,0,0,0.004,0,0,0.0026,0.0001,0.0001,0.0076,0.0041,0.0249,0.2462,0.1043,0.1546,14.7725,4,3193941984,3197156640,1,0,378072108,5,4,1,1,0,0,0,0
5,0.0596,18.7171,4.5837,0.0023,4.581,4.5607,0.0139,0.0016,0.432,0.5337,0.008,0.0336,0.0002,0.0002,0,0,0,0.0051,0,0,0.0041,0.0001,0.0003,0.0133,0.0217,0.025,0.2983,0.108,0.0949,19.381,5,3193941984,3197165088,2,0,378072108,6,5,1,1,0,0,0,0
6,0.0526,26.1175,5.2884,0.0037,5.2844,5.2667,0.0114,0.0015,0.3434,0.4349,0.0088,0.0302,0.0008,0.0002,0,0,0,0.0063,0,0,0.0039,0.0001,0.0003,0.0105,0.0133,0.0273,0.3478,0.1422,0.1319,26.9425,6,3193941984,3197170016,0,0,378072108,7,6,1,1,0,0,0,0
7,0.0409,27.7311,0.6768,0.0023,0.6741,0.6189,0.0067,0.0015,0.2501,0.3338,0.0036,0.0323,0.0005,0.0007,0,0,0,0.0067,0,0,0.0053,0.0001,0.0008,0.0106,0.0204,0.041,0.5955,0.3456,0.1902,29.1658,7,3193941984,3197162976,1,0,378072108,8,7,1,1,0,0,0,0
8,0.0506,15.4556,5.5325,0.0028,5.5294,5.5087,0.0153,0.0016,0.2903,0.3754,0.0039,0.0452,0.0005,0.0003,0,0,0,0.005,0,0,0.003,0,0.0003,0.0102,0.0246,0.0182,0.1973,0.0943,0.1687,16.1047,0,3193941984,2771648800,2,0,378072108,9,8,1,1,0,0,0,0
9,0.0407,11.1399,0.3525,0.0024,0.3497,0.3273,0.0175,0.0018,0.222,0.2795,0.0037,0.0161,0.001,0.0003,0,0,0,0.0049,0,0,0.0023,0,0.0003,0.0108,0.0269,0.0179,0.2441,0.1027,0.1187,11.7585,1,3193941984,2771638240,0,0,378072108,10,9,1,1,0,0,0,0
10,0.0619,10.3315,0.7255,0.0059,0.719,0.7034,0.0093,0.0022,0.2622,0.3204,0.0039,0.0123,0.0002,0,0,0,0,0.0061,0,0,0.0092,0,0,0.0107,0.0188,0.0255,0.2643,0.1146,0.1023,11.0012,2,3193941984,3197158048,1,0,378072108,11,10,1,1,0,0,0,0
11,0.0574,16.6479,6.0737,0.0031,6.0701,6.0589,0.0061,0.0013,0.4114,0.5176,0.0048,0.0416,0.0005,0.0007,0,0,0,0.0052,0,0,0.0044,0,0.0007,0.0113,0.0284,0.0237,0.2386,0.0921,0.0944,17.2473,3,3193941984,3197158752,2,0,378072108,12,11,1,1,0,0,0,0
12,0.0444,17.1625,0.4998,0.0026,0.4968,0.4877,0.0047,0.0013,0.1788,0.2343,0.0053,0.0144,0.0002,0.0002,0,0,0,0.0035,0,0,0.0028,0,0.0002,0.0108,0.023,0.0335,0.3811,0.1795,0.1211,18.0354,4,3193941984,3197156640,0,0,378072108,13,12,1,1,0,0,0,0
